,分词排序,词频
0,怡亚通,840
1,零售,225
2,物流,145
3,上海,136
4,信息,132
5,浙江,125
6,食品,101
7,怡亚,100
8,深圳,74
9,百诚,74
10,科技,73
11,小额贷款,61
12,房地产,59
13,电子商务,52
14,电器,47
15,北京,39
16,宇商,37
17,中国香港,37
18,重庆,34
19,预,34
20,银行,33
21,高新,33
22,山东,33
23,安徽,33
24,回售,33
25,网站,32
26,广西,32
27,工程,31
28,江苏,31
29,湖南,31
30,资讯网,31
31,医药,29
32,网络科技,29
33,怡,29
34,日用百货,28
35,环境,27
36,杭州,27
37,周国辉,26
38,大陆,26
39,新加坡,26
40,建设,25
41,商品销售,25
42,怡亚债,25
43,投控,24
44,分销,24
45,资源,24
46,货运,24
47,董监,24
48,数据,23
49,仓储,23
50,超市,22
51,香港,21
52,咨询服务,21
53,典当行,21
54,化妆品,21
55,乳制品,21
56,璨,20
57,云南,20
58,终端,19
59,酒类,19
60,电子产品,19
61,联怡,18
62,岁,18
63,用品,18
64,伊斯特,17
65,威尔,17
66,河南,17
67,广东,17
68,计算机,16
69,怡通,16
70,教育,16
71,上调,16
72,能源,16
73,家电,15
74,共享,15
75,星链,15
76,互联网,15
77,信托,15
78,未莱,14
79,集成,14
80,广州,14
81,华茂,14
82,粤,14
83,数码,14
84,国内贸易,14
85,广度,13
86,运输,13
87,小微,13
88,新源,13
89,河南省,13
90,新疆,13
91,河北,13
92,日年,13
93,灵狐,13
94,散装,13
95,担,13
96,张,12
97,外汇,12
98,信息技术,12
99,沈阳,12
100,日日,12
101,安,12
102,湖北,12
103,福州,12
104,强制执行,12
105,稳定期,12
106,亚通,11
107,健康,11
108,青岛,11
109,江西,11
110,长沙,11
111,文化,11
112,扶贫,11
113,乐,11
114,上下游,10
115,母婴,10
116,恒通,10
117,同方,10
118,土地,10
119,去年同期,10
120,灵,10
121,杰,10
122,香城,10
123,天津,10
124,陕西,10
125,大连,10
126,日用,10
127,国大,10
128,卓诚,10
129,电子,10
130,怡亚怡亚,10
131,金融机构,10
132,办公用品,10
133,顺和,9
134,生态,9
135,传统,9
136,大华,9
137,合肥,9
138,服务平台,9
139,前海怡,9
140,品正,9
141,咸宁,9
142,万睿,9
143,成都,9
144,山西,9
145,鑫,9
146,国际贸易,9
147,厦门,9
148,发展前景,9
149,协议书,9
150,增信,9
151,生物,9
152,中派,9
153,年收入,9
154,家用电器,9
155,道路,9
156,货物运输,9
157,装卸,9
158,陈,8
159,非核心,8
160,远期,8
161,服务网络,8
162,连锁,8
163,应链,8
164,前海宇,8
165,商保理,8
166,百货,8
167,酒业,8
168,武汉,8
169,重庆市,8
170,蚌埠,8
171,江西省,8
172,音响工程,8
173,冯均,8
174,鸿,8
175,顺延,8
176,材料,8
177,建造,8
178,增长期,8
179,日用品,8
180,潼关县,8
181,怡得,8
182,金业,8
183,姚飞,7
184,外包,7
185,商,7
186,若干,7
187,赋能,7
188,卓怡,7
189,对伟仕佳杰,7
190,网络,7
191,配送,7
192,虹枫,7
193,淄博,7
194,分子,7
195,金元,7
196,武汉市,7
197,贵州省,7
198,交易方式,7
199,张翔,7
200,莫京,7
201,召集,7
202,节假日,7
203,第个,7
204,信用等级,7
205,服务业,7
206,温州,7
207,信通,7
208,农业,7
209,伟仕佳杰,7
210,餐饮,7
211,金鼎信,7
212,否已,7
213,李正,6
214,时期,6
215,精细化,6
216,杠杆,6
217,购汇,6
218,链接,6
219,智能,6
220,信息安全,6
221,响应,6
222,医疗器械,6
223,合作伙伴,6
224,信息系统,6
225,深,6
226,大泽,6
227,超然,6
228,益阳,6
229,三级,6
230,摘要,6
231,修订稿,6
232,通诚,6
233,格力电器,6
234,度,6
235,子,6
236,怡美,6
237,商务,6
238,驻马店市,6
239,兴联汇,6
240,化学品,6
241,消品,6
242,宁波,6
243,邯郸市,6
244,索嘉,6
245,五星,6
246,理,6
247,明达,6
248,物业,6
249,伟民,6
