,分词排序,词频
0,海利,293
1,材料,250
2,浙江,215
3,丝,75
4,涤纶,73
5,工业,73
6,帘子布,58
7,车用,52
8,越南,51
9,信息,49
10,地板,41
11,长丝,39
12,海宁市,36
13,环保,36
14,海宁,35
15,石塑,35
16,银行,35
17,建设,33
18,差别化,32
19,轮胎,31
20,工程,30
21,土地,29
22,利民,25
23,马桥,24
24,收缩,24
25,高模,23
26,地博,21
27,安全气囊,20
28,工厂,20
29,灯箱,18
30,资讯网,18
31,智能,18
32,香港,17
33,矿业,17
34,环境,17
35,广西,16
36,塑胶,16
37,差异化,16
38,厂区,16
39,万份,16
40,安全带,15
41,布,15
42,资源,14
43,结余,14
44,嘉兴市,14
45,起任,14
46,丹麦,13
47,三大,13
48,化学纤维,13
49,数据,12
50,高王伟,12
51,上海,11
52,房地产,11
53,结项,11
54,尖山,11
55,按高管,11
56,表中,10
57,膜,10
58,高品质,10
59,制造业,10
60,为元股,10
61,嘉兴,10
62,欧洲,9
63,汽车,9
64,投产,9
65,高性能,9
66,聚酯,9
67,自建,9
68,鑫鑫,9
69,能源,9
70,排放,9
71,西宁,9
72,省,9
73,吕佩芬,8
74,格迈佳,8
75,教育,8
76,第十八次,8
77,商品流通,8
78,成交价,8
79,彪,8
80,工程师,8
81,经编,7
82,天花,7
83,厂商,7
84,交通,7
85,橡胶,7
86,塑料制品,7
87,定期存单,7
88,扩建,7
89,万平方米,7
90,装置,7
91,配偶,7
92,施琴芳,7
93,杨鹰,7
94,街道,7
95,丹麦克朗,7
96,装饰,6
97,国际化,6
98,柔性,6
99,米其林,6
100,一线品牌,6
101,丝和吨,6
102,引入,6
103,更好,6
104,扩张,6
105,功能性,6
106,化纤,6
107,价值观,6
108,制造,6
109,开立,6
110,限度,6
111,商业银行,6
112,马,6
113,万向,6
114,创业投资,6
115,浙,6
116,人力资源,6
117,环境保护局,6
118,本科,6
119,副教授,6
120,衡量,6
121,生物,6
122,油气,6
123,竣工,6
124,纤维,5
125,产业园,5
126,总成,5
127,喷绘,5
128,涂层,5
129,住友,5
130,大陆,5
131,配置,5
132,健康,5
133,交流,5
134,追求,5
135,纺织业,5
136,募,5
137,自动化,5
138,葛骏敏,5
139,鹏程,5
140,王国,5
141,亲属,5
142,孙文忠,5
143,第二十次,5
144,顾客,5
145,环境保护,5
146,节能,5
147,成交,5
148,王伟,5
149,财经学院,5
150,汇利,5
151,换取,5
152,定期存款,5
153,基础设施,5
154,源于,5
155,对此,4
156,扣减,4
157,公告日,4
158,股即,4
159,科技,4
160,矿业集团,4
161,天健,4
162,水,4
163,第十六次,4
164,聚酯切片,4
165,试生产,4
166,传统,4
167,韩泰,4
168,几年,4
169,车型,4
170,锦纶,4
171,性价比,4
172,意识,4
173,新建,4
174,加盟,4
175,体现,4
176,高新技术,4
177,摩擦,4
178,顺利,4
179,质量标准,4
180,增,4
181,内审,4
182,降,4
183,等级,4
184,信用证,4
185,迁,4
186,智能化,4
187,技术改造,4
188,最大化,4
189,业经,4
190,污染,4
191,元不送,4
192,松,4
193,姚桂松,4
194,承,4
195,控股公司,4
196,判决书,4
197,田阳,4
198,金金,4
199,摘要,4
200,考核办法,4
201,意见书,4
202,第十七次,4
203,由元,4
204,由名,4
205,至名,4
206,污水处理,4
207,环境影响,4
208,审号,4
209,颁发,4
210,交易方式,4
211,姚峻,4
212,沈玉华,4
213,高宇,4
214,中欧,4
215,硅谷,4
216,天堂,4
217,齐银,4
218,太极,4
219,公司财务,4
220,召集,4
221,积极开展,4
222,审计部,4
223,陷,4
224,建筑物,4
225,退税,4
226,亿平方米,4
227,浸胶,4
228,保险费,4
229,付现,4
230,通用,4
231,外汇,4
232,深圳,4
233,基准利率,4
234,湖州,4
235,高利,3
236,民主,3
237,林佩芬,3
238,国际贸易,3
239,陈彩琴,3
240,罗,3
241,联,3
242,玬,3
243,解读,3
244,气囊,3
245,原丝,3
246,高强,3
247,丝有,3
248,美誉度,3
249,国外,3
250,同行,3
251,高附加值,3
252,走,3
253,蓬盖,3
254,产品开发,3
255,技术创新,3
256,固铂,3
257,诺基亚,3
258,制造商,3
259,多家,3
260,满产,3
261,定位,3
262,普利司通,3
263,四大,3
264,越来越,3
265,广阔,3
266,稳步,3
267,工程项目,3
268,秉承,3
269,贡献,3
270,使命,3
271,首家,3
272,集中化,3
273,延伸,3
274,丝中,3
275,载体,3
276,批量,3
277,供货,3
278,降本增效,3
279,德国,3
280,新品,3
281,帘布,3
282,纺丝,3
283,办事处,3
284,信息化,3
285,事故,3
286,先进性,3
287,力量,3
288,骨干,3
289,积极性,3
290,至上,3
291,卓越,3
292,关税,3
293,针对性,3
294,内销,3
295,外销,3
296,统计,3
297,出资额,3
298,大楼,3
299,售出,3
300,超募,3
301,预先,3
302,立体仓库,3
303,速度,3
304,中所作,3
305,自本,3
306,三十六个,3
307,关系密切,3
308,父母,3
309,送达,3
310,上诉,3
311,高级人民法院,3
312,和谐,3
