,分词排序,词频
0,飞马,638
1,东莞,134
2,环保,109
3,富乔,97
4,深圳,86
5,资讯网,84
6,银行,79
7,黄壮勉,79
8,资源,73
9,物流,72
10,止该,70
11,恩,58
12,上海,57
13,香港,56
14,启航,50
15,大同,50
16,合冠,47
17,信息,46
18,新能源,44
19,额为,43
20,广物,38
21,黄壮,36
22,授信额度,34
23,新加坡,32
24,勉洪琰,31
25,环境,30
26,大宗,29
27,扩股,29
28,房地产,28
29,骏马,27
30,数据,27
31,广州,25
32,北京,25
33,工程,25
34,垃圾,25
35,建设,25
36,发电,24
37,前海,24
38,信托,23
39,垃圾焚烧,22
40,仓储,21
41,土地,20
42,中诚信,20
43,北京华,19
44,能源,19
45,油,18
46,去年同期,18
47,华南,17
48,塑胶,17
49,被套,17
50,紧张,16
51,城,15
52,服务业,15
53,排放,15
54,面向,14
55,王丽梅,13
56,苏州,13
57,能源行业,13
58,金融机构,13
59,昭,12
60,东莞市,12
61,福田区,12
62,江苏,12
63,信用等级,12
64,宏观,11
65,广东,11
66,古浪,11
67,温县,11
68,污染物,11
69,年经,11
70,华油,10
71,服务平台,10
72,污泥,10
73,外汇,10
74,布袋,10
75,除尘器,10
76,错,10
77,报上,10
78,南山区,9
79,鼎富,9
80,张健江,9
81,网站,9
82,固废,9
83,商业银行,9
84,国丰,9
85,锅炉,9
86,黄汕敏,9
87,大学本科,9
88,费益,8
89,佛山,8
90,无锡,8
91,百川,8
92,新安,8
93,来宾,8
94,宜阳,8
95,淅川,8
96,无害化,8
97,涉诉,8
98,内外部,8
99,深圳市中级人民法院,8
100,衡量,8
101,证评,8
102,曹杰,8
103,王国,8
104,文,8
105,金发,8
106,泊熹,8
107,流贷,8
108,合冠合冠,7
109,银钧,7
110,信息技术,7
111,服务行业,7
112,客商,7
113,产业园,7
114,局面,7
115,法庭,7
116,上调,7
117,谨慎,7
118,往来款项,7
119,第一名,7
120,第二名,7
121,第三名,7
122,第四名,7
123,第五名,7
124,远期,7
125,尽快,7
126,上诉,7
127,物流业,7
128,环境保护,7
129,高新技术,7
130,赵自军,7
131,照亮,7
132,南山,7
133,否广物,7
134,已提,7
135,管辖权,7
136,异议,7
137,理性,6
138,运输,6
139,汇通,6
140,原平,6
141,高平,6
142,阿旗,6
143,乔,6
144,科技,6
145,第四季度,6
146,一体化,6
147,商流,6
148,资金流,6
149,信息流,6
150,集合,6
151,香港特别行政区,6
152,高等法院,6
153,电力,6
154,教育,6
155,超出,6
156,经营规模,6
157,可持续性,6
158,列入,6
159,名单,6
160,入股,6
161,监测,6
162,筹划,6
163,停牌,6
164,被动,6
165,晏,6
166,罗,6
167,志军,6
168,分管,6
169,起任,6
170,兴业银行,6
171,无效,6
172,倍数,6
173,建筑物,6
174,建造,6
175,上海市浦东新区,6
176,立信,5
177,铭冠,5
178,太初,5
179,阿鲁科尔沁旗,5
180,阳光,5
181,综上,5
182,高度,5
183,一批,5
184,经济纠纷,5
185,链条,5
186,上游,5
187,较长,5
188,综合利用,5
189,受阻,5
190,物流园,5
191,内因,5
192,增减额,5
193,到位,5
194,同类,5
195,就业,5
196,争议,5
197,不定期,5
198,张革初,5
199,海波,5
200,徐,5
201,刘卫东,5
202,群峰,5
203,职工代表,5
204,履历,5
205,负面影响,5
206,降级,5
207,除净,5
208,信用证,5
209,否前,5
210,平安,5
211,注本,5
212,纠,5
213,不服,5
214,劳动法,4
215,数程,4
216,人费益,4
217,深南,4
218,大道,4
219,商务部,4
220,函号,4
221,工业,4
222,一体,4
223,经营风险,4
224,垃圾处理,4
225,焚烧,4
226,处理率,4
227,从降,4
228,扩容,4
229,损,4
230,最高院,4
231,恶化,4
232,网络,4
233,特性,4
234,业务管理,4
235,品牌优势,4
236,山西省,4
237,矿产资源,4
238,经营收入,4
239,外汇业务,4
240,价,4
241,公司债,4
242,寻求,4
243,工作效率,4
244,多宗,4
245,新设,4
246,租赁业,4
247,后本,4
248,四期,4
249,易,4
250,电子,4
251,医疗,4
252,交流,4
253,二氧化硫,4
254,氮氧化物,4
255,烟尘,4
256,大同市,4
257,中介机构,4
258,惠州,4
259,锐金,4
260,绵阳市,4
261,英大,4
262,郑,4
263,陈亮,4
264,吕,4
265,由名,4
266,华夏银行,4
267,金融中心,4
268,江西省,4
269,地矿局,4
270,于本,4
271,广发,4
272,职能部门,4
273,息税,4
274,启用,4
275,以换,4
276,经营权,4
277,供应量,4
278,教育费,4
279,免征,4
280,差,4
281,补贴款,4
282,不满,4
283,否华油,4
284,建设银行,4
285,中国银行,4
286,龙华,4
287,优友,4
288,审判,4
289,劳动人事,4
290,南头,3
291,街道,3
292,新路,3
293,马家龙,3
294,不派,3
295,富乔富,3
296,高尔夫,3
297,联系人,3
298,媒体,3
299,有无,3
300,钟宇,3
301,宋保军,3
302,商务,3
303,互联网,3
304,奠定,3
305,集,3
306,服务公司,3
307,匹配,3
308,上下游,3
309,全方位,3
310,有色金属,3
311,独特,3
312,控,3
313,风控,3
314,发改委,3
315,城镇,3
316,广阔,3
317,带动,3
318,签约,3
319,自主经营,3
320,延伸,3
321,在内,3
322,煤炭,3
323,联网,3
324,推行,3
325,城乡,3
326,生态,3
327,交通运输,3
328,颁发,3
329,中央,3
330,下滑,3
331,本部,3
332,资金周转,3
333,属性,3
334,统计,3
335,热电,3
336,框架,3
337,意向,3
338,助力,3
339,运转,3
340,初步,3
341,深耕,3
342,人力资源,3
343,收集,3
344,大部分,3
345,纠正,3
346,富乔年,3
347,对手,3
348,经立信,3
349,清理,3
350,解聘,3
351,十九,3
352,一至,3
353,如期,3
354,公正,3
355,引入,3
356,考察,3
357,科学,3
358,贡献力量,3
359,社会保险,3
360,休假,3
361,工会,3
362,公益,3
363,扶贫,3
364,污染,3
365,垃圾焚烧炉,3
366,竣工,3
367,高新,3
368,深证,3
369,函告,3
370,妹妹,3
371,名非,3
372,彭钦文,3
373,林志伟,3
374,就职,3
375,博士,3
376,深圳大学,3
377,经济师,3
378,营运,3
379,康先生,3
380,罗典,3
381,大队,3
382,宝安,3
383,事业,3
384,革初,3
385,保险,3
386,板,3
387,分开,3
388,财务部门,3
389,设置,3
390,现行,3
391,印章,3
392,偏离,3
393,政府部门,3
394,下调,3
395,增信,3
396,担,3
397,流动比率,3
398,汇票,3
399,难以确定,3
400,保费,3
401,准备金,3
402,生物,3
403,油气,3
404,中央银行,3
405,止本,3
406,额外,3
407,运输设备,3
408,工程项目,3
409,法律合同,3
410,来源于,3
411,续约,3
412,软件,3
413,服务收入,3
414,垃圾处置,3
415,市政局,3
416,每日,3
417,月度,3
418,上网,3
419,电量,3
420,电力公司,3
421,非金融,3
422,生育,3
423,中西部,3
424,补,3
425,售后,3
426,租回,3
427,石油,3
428,赊销,3
429,上海浦东发展银行,3
430,渤海,3
431,远东,3
432,村镇,3
433,包商,3
434,令本,3
435,二审,3
436,尘埃,3
437,裁决,3
438,办公区,3
439,审判庭,3
440,良诺,3
441,已有,2
442,对此,2
443,理解,2
444,经济波动,2
445,证监会,2
446,指合冠,2
447,市场策划,2
448,高平市,2
449,外文,2
450,栋,2
451,楼,2
452,网址,2
453,电子信箱,2
454,电话传真,2
455,证券部,2
456,元非,2
457,统一标准,2
458,双,2
459,传统,2
460,并存,2
461,电子商务,2
462,激烈,2
463,覆盖面,2
464,国务院办公厅,2
465,层面,2
466,总局,2
467,国民经济,2
468,商建,2
469,步伐,2
470,信息化,2
471,农业,2
472,秉承,2
473,诚信为本,2
474,精益,2
475,致力于,2
476,低成本,2
477,长足进步,2
478,举足轻重,2
479,手段,2
480,住,2
481,建部,2
482,年底,2
483,建成区,2
484,静脉,2
485,污水,2
486,建筑,2
487,再生资源,2
488,供热,2
489,旗帜,2
490,蓝,2
491,突出贡献,2
492,样板,2
493,登上,2
494,中央电视台,2
495,推介,2
496,各界,2
497,对富乔,2
498,县域,2
499,开工,2
500,滚动,2
501,办公楼,2
502,业务量,2
503,清盘,2
504,信托公司,2
505,跨国公司,2
506,知名,2
507,专注,2
508,客户资源,2
509,环节,2
510,参与者,2
511,聚集,2
512,挖掘,2
513,华南地区,2
514,华东,2
515,操作,2
516,信誉,2
517,晋升,2
518,专业化,2
519,贯穿,2
520,全过程,2
521,再造,2
522,闭环,2
523,金属,2
524,污水处理,2
525,最大化,2
526,化固,2
527,废,2
528,不断创新,2
529,停滞,2
530,形势严峻,2
531,不振,2
532,公司业绩,2
533,账龄法,2
534,改为,2
535,前大,2
536,不含,2
537,银行贷款,2
538,存入,2
539,小计加,2
540,存有,2
541,制约,2
542,陆续,2
543,定期存单,2
544,销项,2
545,投资额,2
546,体量,2
547,富乔为,2
548,生物质,2
549,光伏,2
550,革新,2
551,开源节流,2
552,管理效率,2
553,多方,2
554,举措,2
555,拟定,2
556,过往,2
557,制衡,2
558,努力提高,2
559,本币,2
560,规避,2
561,升值,2
562,时期,2
563,不大,2
564,贬值,2
565,缺乏,2
566,削弱,2
567,职业规划,2
568,针对性,2
569,当前状况,2
570,修复,2
571,高度重视,2
572,应有,2
573,近年,2
574,时所作,2
575,年均,2
576,时当期,2
577,修订本,2
578,元调,2
579,增长期,2
580,元重,2
581,控股权,2
582,情,2
583,海珠区,2
584,仲裁庭,2
585,所涉,2
586,尚无,2
587,终审,2
588,全力,2
589,降,2
590,皆,2
591,回售,2
592,其正,2
593,筹措,2
594,回售款,2
595,并拟,2
596,筹集资金,2
597,短期内,2
598,获批,2
599,获,2
600,销,2
601,元器件,2
602,协议书,2
603,成本价,2
604,第二十一次,2
605,第十五次,2
606,高风险,2
607,经济效益,2
608,发展观,2
609,创新型,2
610,树立,2
611,企业形象,2
612,监管部门,2
613,平等,2
614,劳动合同,2
615,履行义务,2
616,休息,2
617,感情,2
618,集体,2
619,职业技能,2
620,和谐,2
621,准入,2
622,公司员工,2
623,配置,2
624,就业机会,2
625,下岗职工,2
626,践行,2
627,绿色,2
628,路,2
629,场所,2
630,排放口,2
631,流化床,2
632,焚烧炉,2
633,汽轮机,2
634,秸秆,2
635,燃料,2
636,烟气,2
637,环境影响,2
638,应急,2
639,环保局,2
640,公示,2
641,磋商,2
642,慎重,2
643,协商一致,2
644,其后,2
645,国家税务局,2
646,地方税务局,2
647,并于,2
648,接到,2
649,无异议,2
650,换股,2
651,第个,2
652,股占本,2
653,因涉,2
654,五矿,2
655,延续,2
656,按高管,2
657,披,2
658,露,2
659,大兴,2
660,陇,2
661,光大,2
662,励上,2
663,尊赢,2
664,杨,2
665,翠玉,2
666,孙喆,2
667,陈洁玲,2
668,大业,2
669,性别,2
670,辞去,2
671,办,2
672,资格证书,2
673,财董,2
674,会计系,2
675,中专,2
676,汕头,2
677,经济学,2
678,业务部,2
679,所长,2
680,湖南,2
681,工程师,2
682,巴士,2
683,希润,2
684,代表大会,2
685,洪嘉燕,2
686,翁方造,2
687,地质,2
688,科长,2
689,公司总裁,2
690,日年,2
691,否张,2
692,健江,2
693,按规定,2
694,学习型,2
695,业务流程,2
696,经营场所,2
697,商标,2
698,房产,2
699,机器设备,2
700,用工,2
701,财务会计,2
702,文张,2
703,密切联系,2
704,科学性,2
705,根据上述,2
706,管理控制,2
707,失误,2
708,董,2
709,指除,2
710,计息,2
711,珠江,2
712,机构名称,2
713,会师,2
714,报字,2
715,评委,2
716,级别,2
717,债债项,2
718,计算方法,2
719,速动,2
720,垫付,2
721,重要性,2
722,广泛性,2
723,未决,2
724,拆出,2
725,股债,2
726,国务院,2
727,交通运输业,2
728,日止,2
729,付出,2
730,表因,2
731,对非,2
732,按原,2
733,时如,2
734,替换,2
735,材料,2
736,低值易耗品,2
737,包装物,2
738,或换,2
739,下非,2
740,参照,2
741,通用设备,2
742,时该,2
743,承租,2
744,抵债,2
745,专利权,2
746,非专利,2
747,住房,2
748,教育经费,2
749,养老保险,2
750,管理权,2
751,核对,2
752,无误,2
753,开具,2
754,使用费,2
755,明确规定,2
756,免租,2
757,节能,2
758,节水,2
759,减半,2
760,南郊区,2
761,横琴,2
762,平潭,2
763,实验区,2
764,深港,2
765,热力,2
766,即征,2
767,退,2
768,车辆,2
769,放在,2
770,期货,2
771,票,2
772,定期存款,2
773,代,2
774,项年,2
775,分类单位,2
776,认的,2
777,确益,2
778,事,2
779,装修费,2
780,互抵,2
781,保险费,2
782,补短,2
783,元减,2
784,折旧费,2
785,退税,2
786,安居房,2
787,资助款,2
788,征地,2
789,社保,2
790,稳岗,2
791,年物,2
792,博会,2
793,参展,2
794,展位,2
795,国库,2
796,监督管理,2
797,计算机软件,2
798,加拿大元,2
799,维多利亚,2
800,地为,2
801,期期,2
802,控年,2
803,制权,2
804,转月,2
805,尽可能,2
806,限额,2
807,充足,2
808,投资国,2
809,丰,2
810,委托方,2
811,包方名,2
812,承包方,2
813,费出,2
814,否洪琰,2
815,喜,2
816,投黄壮,2
817,静安,2
