,分词排序,词频
0,大立,243
1,浙江,199
2,红外,80
3,信息,43
4,探测器,40
5,科技,37
6,热像仪,33
7,工程,32
8,惠民,28
9,银行,27
10,杭州,27
11,制冷,26
12,庞,24
13,焦,24
14,平面,24
15,军品,23
16,建设,22
17,中投,22
18,机器人,21
19,房地产,20
20,光电,19
21,微电子,17
22,器件,15
23,巡检,15
24,数据,13
25,装备,10
26,型号,10
27,土地,10
28,红外热,9
29,登载,9
30,高新技术,8
31,顺利,8
32,工业,8
33,应用领域,8
34,优先级,8
35,万份,8
36,成像,7
37,科研,7
38,批产,7
39,电力,7
40,研制,7
41,五核,7
42,信用证,7
43,签订协议,7
44,产品名称,7
45,起息,7
46,凭证,7
47,航天,7
48,自强,7
49,工程师,7
50,滨江区,6
51,媒体,6
52,芯片,6
53,石化,6
54,个人消费,6
55,自动,6
56,驾驶,6
57,网络,6
58,定型,6
59,高基,6
60,新兴,6
61,投资总额,6
62,软件产品,6
63,集合,6
64,潘,6
65,徐之建,6
66,课题,6
67,教育,6
68,代垫,6
69,购房款,6
70,配偶,6
71,探测,5
72,清理,5
73,民用,5
74,军用,5
75,传统,5
76,夜视,5
77,惯导,5
78,资源,5
79,元器件,5
80,智能,5
81,安享,5
82,姜利军,5
83,李纪南,5
84,金发,5
85,主持,5
86,职,5
87,材料,5
88,建造,5
89,换取,5
90,定期存款,5
91,源于,5
92,波长,4
93,图像,4
94,物体,4
95,滨,4
96,康路,4
97,天健,4
98,解读,4
99,此项,4
100,调整法,4
101,表中,4
102,即征,4
103,退,4
104,现已,4
105,安防,4
106,多型,4
107,上海,4
108,浙江大学,4
109,封装,4
110,消费,4
111,军队,4
112,科研项目,4
113,科研院所,4
114,批量,4
115,健全,4
116,通信,4
117,制造业,4
118,军民,4
119,税负,4
120,申屠,4
121,红毅,4
122,巨潮网,4
123,召集,4
124,扶贫,4
125,阎喜魁,4
126,进取,4
127,徐,4
128,庞志刚,4
129,日日,4
130,较长,4
131,油气,4
132,建筑物,4
133,小型,4
134,微利,4
135,不获,4
136,龄,4
137,外汇,4
138,赵英,3
139,股股,3
140,辐射,3
141,热,3
142,手段,3
143,有无,3
144,人庞,3
145,范奇,3
146,证券部,3
147,华林,3
148,琦,3
149,机构名称,3
150,注将,3
151,方与,3
152,接受方,3
153,武器装备,3
154,完备,3
155,核高基,3
156,国防,3
157,民品,3
158,低成本,3
159,各军兵种,3
160,侦察,3
161,图像识别,3
162,人工智能,3
163,技术储备,3
164,国家电网,3
165,售后服务,3
166,成熟,3
167,市场营销,3
168,业内,3
169,面阵,3
170,宇航,3
171,导航,3
172,全力,3
173,国产化,3
174,电网,3
175,无人化,3
176,建立健全,3
177,知名度,3
178,放心,3
179,满意,3
180,响应,3
181,健康,3
182,性价比,3
183,深挖,3
184,产品开发,3
185,用地,3
186,容积率,3
187,延迟,3
188,计算机,3
189,电子设备,3
190,系本,3
191,无需,3
192,毁损,3
193,募,3
194,划出,3
195,五届,3
196,设置,3
197,上限,3
198,周进,3
199,半年,3
200,身份,3
201,第五次,3
202,起个,3
203,见证,3
204,来访,3
205,崔亚民,3
206,起任,3
207,职称,3
208,工程学,3
209,获,3
210,市场经济,3
211,介绍,3
212,软件,3
213,选聘,3
214,审,3
215,采取任何,3
216,期后,3
217,保费,3
218,准备金,3
219,生物,3
220,中央银行,3
221,益,3
222,低值易耗品,3
223,政策性,3
224,余值,3
225,应缴,3
226,税额,3
227,教育费,3
228,房产,3
229,元以,3
230,无因,3
231,出票,3
232,商业银行,3
233,长经,3
234,催收,3
235,无账,3
236,微,3
237,添置,3
238,代理费,3
239,称为,2
240,原子,2
241,光谱,2
242,传感器,2
243,被测,2
244,信号处理,2
245,视频,2
246,温度,2
247,场,2
248,外文,2
249,网址,2
250,电子信箱,2
251,国,2
252,统一标准,2
253,因其,2
254,不具,2
255,偶发性,2
256,保密,2
257,十二五,2
258,广泛应用,2
259,努力实现,2
260,火控,2
261,瞄准,2
262,对抗,2
263,近年,2
264,武警部队,2
265,拓宽,2
266,提供商,2
267,竞争对手,2
268,制造,2
269,生产工艺,2
270,辅以,2
271,覆盖全国,2
272,紧密,2
273,态势,2
274,中国科学院,2
275,领先地位,2
276,正样,2
277,率先,2
278,首款,2
279,像素,2
280,技术水平,2
281,级抗,2
282,辐照,2
283,卫星,2
284,坚强,2
285,广阔,2
286,增长点,2
287,十九,2
288,强军,2
289,部队,2
290,可控,2
291,军工,2
292,优秀人才,2
293,招聘,2
294,相匹配,2
295,人才培养,2
296,充分调动,2
297,积极性,2
298,高度,2
299,秉承,2
300,得以,2
301,网商,2
302,如期,2
303,同步,2
304,高速,2
305,小型化,2
306,高集成度,2
307,坚实,2
308,知名,2
309,一步,2
310,晶圆级,2
311,车载,2
312,旅游,2
313,户外,2
314,供货,2
315,人才队伍,2
316,充分利用,2
317,研,2
318,满意度,2
319,装修,2
320,台,2
321,台台,2
322,资讯网,2
323,净流量,2
324,年份,2
325,去向,2
326,超募,2
327,投向,2
328,阵列,2
329,经年,2
330,具体实施,2
331,招商银行,2
332,结构性,2
333,高性价比,2
334,二年,2
335,通讯,2
336,节点,2
337,保质保量,2
338,可靠性,2
339,投入使用,2
340,硬件,2
341,尽快,2
342,生产能力,2
343,进口,2
344,规章制度,2
345,领导小组,2
346,第一批,2
347,复函,2
348,国科火,2
349,国家税务局,2
350,退税,2
351,杭,2
352,国税,2
353,滨号,2
354,此次,2
355,易,2
356,记录表,2
357,清晰,2
358,应有,2
359,透明,2
360,需提交,2
361,时所作,2
362,注动,2
363,活,2
364,摘要,2
365,股约,2
366,成交,2
367,均价,2
368,期自,2
369,第十六次,2
370,再次,2
371,订立,2
372,否无,2
373,透明度,2
374,责任人,2
375,监管部门,2
376,沟通交流,2
377,交流,2
378,刘晓松,2
379,其所,2
380,章佳欢,2
381,科工,2
382,陈红强,2
383,姜滨,2
384,韦明芳,2
385,刘远军,2
386,中国建设银行,2
387,摩根士丹利,2
388,华鑫,2
389,多因子,2
390,精选,2
391,混合型,2
392,参,2
