,分词排序,词频
0,新能源,323
1,拓日,298
2,光伏,192
3,电站,158
4,太阳能,97
5,科技,79
6,青海,73
7,工程,59
8,扶贫,57
9,陕西,51
10,信息,50
11,建设,46
12,喀什,43
13,发电,40
14,奥欣,35
15,新能,29
16,玻璃,29
17,组件,29
18,瑞城,24
19,定边,22
20,资讯网,22
21,海南州,22
22,孙,21
23,三级,21
24,陈五奎,20
25,硅,20
26,电池,20
27,深圳,19
28,澄城县,19
29,能源,17
30,岳普湖,17
31,晶体,16
32,支架,15
33,数据,14
34,新疆,14
35,太阳电池,14
36,脱贫,14
37,减半,14
38,乐山,13
39,上网,13
40,土地,12
41,材料,12
42,现代农业,12
43,李粉莉,12
44,三免,12
45,科瑞思,11
46,新政,11
47,平价,11
48,发电量,11
49,凯翔,11
50,记录表,11
51,光电,11
52,新天源,10
53,矿业,10
54,健康,10
55,非洲,10
56,清洁,10
57,房地产,10
58,张学斌,10
59,渭南市,10
60,制造,9
61,非晶硅,9
62,建造,9
63,高新技术,9
64,环境保护,9
65,银行,9
66,制造业,9
67,海西,8
68,电费,8
69,环境,8
70,永富,8
71,出让,8
72,李,8
73,青原,8
74,等于,8
75,天城,8
76,海西州,8
77,汉中市,7
78,兆瓦,7
79,获,7
80,欧洲,7
81,薄膜,7
82,资源,7
83,自持,7
84,芯片,7
85,户,7
86,科学,7
87,电价,7
88,阳光,7
89,工业园,7
90,年报,7
91,生物,7
92,乌干达,7
93,百瑞特,7
94,多晶硅,6
95,面向,6
96,媒体,6
97,装备,6
98,西安,6
99,运维,6
100,承接,6
101,完备,6
102,广西,6
103,电子设备,6
104,再生能源,6
105,施工,6
106,陈琛,6
107,教育,6
108,香港,6
109,飞利科,6
110,刚察,6
111,港汇,6
112,创惠,6
113,余永米,5
114,汉中,5
115,亚太,5
116,单晶硅,5
117,硅片,5
118,出台,5
119,南山区,5
120,广场,5
121,产业基地,5
122,引入,5
123,新建,5
124,抗,5
125,差异化,5
126,承建,5
127,推行,5
128,技术升级,5
129,管理模式,5
130,竣工,5
131,承租,5
132,白水县,5
133,鹏城,5
134,铜川,5
135,昊天,5
136,上海,5
137,节能,5
138,林晓峰,5
139,公正,5
140,专业人才,5
141,贫困户,5
142,生,5
143,会计学,5
144,冯东,5
145,科技进步,5
146,武汉大学,5
147,完整性,5
148,油气,5
149,肯尼亚,5
150,汉能,5
151,泰,5
152,晶盛,5
153,建筑,5
154,基础设施,5
155,退税,5
156,格尔木,5
157,华能,5
158,屋顶,5
159,杨国强,4
160,周含,4
161,运渠,4
162,用品,4
163,专注,4
164,承揽,4
165,齐全,4
166,控制能力,4
167,此基础,4
168,挑战,4
169,分布式,4
