,分词排序,词频
0,大连,282
1,天宝,266
2,绿色食品,214
3,冰淇淋,109
4,农产品,77
5,信息,74
6,水产品,64
7,资讯网,64
8,大连市,47
9,食品,46
10,黄作庆,41
11,承运,40
12,水果,32
13,植物蛋白,25
14,北大,24
15,农业,24
16,物流,24
17,国家开发银行,23
18,工程,22
19,库,21
20,株式会社,20
21,大豆,20
22,数据,19
23,银行,17
24,财政拨款,17
25,果蔬,16
26,北京,16
27,金州区,15
28,传统,15
29,日元,15
30,网站,14
31,鱼片,14
32,益,14
33,动物,13
34,蛋白,13
35,冻,13
36,消费,13
37,新建,13
38,房地产,13
39,麒麟,12
40,制造,12
41,进料加工,12
42,气调,12
43,保鲜,12
44,去年同期,12
45,建设,12
46,亿美元,12
47,药品,11
48,销售业务,11
49,致同,10
50,华家,10
51,土地,10
52,财富,10
53,健康,9
54,车间,9
55,国外,9
56,智方,9
57,资金周转,9
58,秋石,8
59,街道,8
60,媒体,8
61,资源,8
62,蔬菜,8
63,尽快,8
64,罚息,8
65,材料,8
66,天葆,8
67,预先,8
68,百合,8
69,春神,8
70,孙树玲,7
71,深圳,7
72,网址,7
73,加工业,7
74,农副产品,7
75,环境,7
76,人工,7
77,冷库,7
78,鲜仓,7
79,商品销售,7
80,辽宁省,7
81,人所持,7
82,轮候,7
83,生物,7
84,广发,6
85,拥政,6
86,三里,6
87,鳕鱼,6
88,鱼,6
89,客户资源,6
90,储存,6
91,增长点,6
92,绿色,6
93,厂区,6
94,水产,6
95,运输,6
96,环节,6
97,外贸,6
98,消费市场,6
99,冷冻,6
100,年均,6
101,龙头企业,6
102,筹措,6
103,碧天,6
104,列入,6
105,失信,6
106,被执行人,6
107,回复,6
108,蛋白质,5
109,含有,5
110,村号,5
111,仓储,5
112,欧盟,5
113,贮藏,5
114,态势,5
115,农户,5
116,种植,5
117,新厂区,5
118,搬迁,5
119,科学,5
120,上涨,5
121,联盟,5
122,金融危机,5
123,复利,5
124,对此,5
125,核查,5
126,国际贸易,5
