,分词排序,词频
0,安妮,348
1,厦门,314
2,版权,212
3,北京,145
4,畅元国,87
5,科技,74
6,数据,71
7,信息,64
8,张杰,40
9,银行,38
10,上海,37
11,区块,35
12,链,34
13,互联网,29
14,林旭,24
15,曦,24
16,微,22
17,杨超,21
18,媒体,20
19,商务信息,20
20,用纸,20
21,房地产,20
22,当年度,20
23,新疆,20
24,网络,19
25,服务业,19
26,梦想,18
27,成都,18
28,文化,17
29,信息技术,17
30,至美,17
31,天津,17
32,湖南,17
33,陈兆滨,16
34,旌旗,16
35,资源,15
36,是因为,15
37,受本,15
38,软件,15
39,维权,14
40,工程,14
41,起个,14
42,建设,13
43,资讯网,13
44,创作,13
45,版权保护,13
46,期为,13
47,鲁武英,13
48,深圳,13
49,强制执行,13
50,侵权,12
51,纸制品,12
52,淘智惠,12
53,网络科技,12
54,香港,12
55,毛智才,12
56,分发,11
57,全家,11
58,作品,11
59,剧派,11
60,游戏,11
61,九次,11
62,方大,11
63,解禁,11
64,清华,11
65,土地,11
66,志强,10
67,畅元,10
68,泉州,10
69,获,10
70,源,10
71,集美区,9
72,大信,9
73,账号,9
74,矩阵,9
75,电子商务,9
76,传播,9
77,人工智能,9
78,原创,9
79,计易,9
80,超级,9
81,现成,9
82,庆云,9
83,纸业,9
84,建筑物,9
85,许,8
86,确权,8
87,存证,8
88,产品设计,8
89,联移,8
90,物业管理,8
91,江勇,8
92,艾迪,8
93,李晶,8
94,获授,8
95,中欧,8
96,环境,7
97,公司版权,7
98,未达,7
99,数为,7
100,负面影响,7
101,监测,7
102,智能,7
103,创作者,7
104,滚动,7
105,杨,7
106,雷建,7
107,刘正君,7
108,虹,7
109,健康,7
110,霍尔果斯,7
111,芙,7
112,龙文,7
113,元及,7
114,合作方,6
115,盗版,6
116,业务管理,6
117,在内,6
118,影视,6
119,编写,6
120,服务平台,6
121,交易平台,6
122,数码,6
123,印务,6
124,海沧,6
125,安全性,6
126,券商,6
127,凭证,6
128,防伪,6
129,超雷建,6
130,源弘,6
131,科贸,6
132,环境保护,6
133,后限售,6
134,教育,6
135,否黄,6
136,真实性,6
137,建造,6
138,南京,6
139,喀什,6
140,紫昊,6
141,元于,6
142,前向,6
143,规避,5
144,孵化,5
145,扣,5
146,非后,5
147,杏林,5
148,锦园,5
149,南路,5
150,影视剧,5
151,审判,5
152,假冒,5
153,在线,5
154,视频,5
155,账本,5
156,稿稿,5
157,模型,5
158,第一名,5
159,第二名,5
160,第三名,5
161,第四名,5
162,第五名,5
163,结构性,5
