,分词排序,词频
0,升达,808
1,林业,516
2,四川,330
3,陕西,297
4,绿源,222
5,榆林,143
6,金源,131
7,天然气,117
8,米脂,95
9,未向,84
10,银行,75
11,工程,69
12,信息,65
13,能源,60
14,扣划,55
15,物流,53
16,保和堂,52
17,江昌政,48
18,资讯网,41
19,中海,39
20,林产,39
21,江山,36
22,成都,36
23,厦门,36
24,土地,35
25,该笔,35
26,艾恩,34
27,吉斯,34
28,海南,32
29,工业,31
30,经营层,28
31,圣明,28
32,华融,27
33,房地产,27
34,燃气,26
35,回复,24
36,对升达,24
37,问询,23
38,单洋,22
39,贵州,22
40,证监局,22
41,人江昌政,21
42,涉嫌,21
43,中弘达,20
44,数据,20
45,博通,19
46,人造板,19
47,延安,18
48,温江,18
49,彭山,18
50,拍卖,17
51,退还,17
52,任职期间,16
53,焦作,16
54,家居,16
55,董静涛,16
56,青白江,16
57,因未,16
58,委派,15
59,清洁,15
60,建设,15
61,资金紧张,15
62,科技,14
63,上涨,14
64,无力,14
65,因升达,13
66,液化,13
67,海舜,13
68,环保,13
69,广元,13
70,深圳,13
71,筹划,13
72,停牌,13
73,诉升达,13
74,远远,13
75,陈德珍,13
76,信托,13
77,材料,12
78,加气,12
79,甲方,12
80,民昌,12
81,安徽,12
82,撤诉,12
83,上海浦东发展银行,12
84,华信,11
85,负有,11
86,定金,11
87,触发,11
88,石化,11
89,股票价格,11
90,异常,11
91,中安,11
92,扶贫,11
93,黄雅虹,10
94,王良成,10
95,人原,10
96,拍,10
97,作价,10
98,缺少,10
99,胜大,10
100,后本,10
101,乙方,10
102,中企,10
103,顾,10
104,制品,10
105,蔡,10
106,否已,10
107,农村,10
108,商业银行,10
109,划扣,10
110,年利率,10
111,年月生,10
112,错,10
113,报错,10
114,年报,9
115,印章,9
116,框架,9
117,装饰,9
118,源,9
119,乾润,9
120,锦江区,9
121,杨,9
122,注年,9
123,西南财经大学,9
124,实施细则,9
125,代,8
126,两条,8
127,交,8
128,抵债,8
129,上海,8
130,内蒙古,8
131,东华,8
132,正街,8
133,运输,8
134,气,8
135,广发,8
136,华评,8
137,报字,8
138,中中,8
139,刘东斌,8
140,矿业,8
141,注升达,8
142,江昌政为,8
143,郝靖伟,8
144,第期,8
145,凌驾于,7
146,并流,7
147,民间,7
148,扩股,7
149,拟以,7
150,国投,7
151,环境,7
152,大幅度,7
153,资金周转,7
154,名利双收,7
155,结构性,7
156,现代农业,7
157,北京,7
158,秦,7
159,栋梁,7
160,拉萨,7
161,恒耀,7
162,商务,7
163,新华,7
164,薛英,7
165,担保责任,7
166,注注,7
167,王俊浩,7
168,合肥市,7
169,借款人,7
170,以升达,7
171,生物,7
172,建筑物,7
173,否升达,7
174,工程施工,6
175,追讨,6
176,制药,6
177,多家,6
178,城镇,6
179,折旧费,6
180,罚息,6
181,川,6
182,追究,6
183,尽快,6
184,半年报,6
185,下同,6
186,商业机会,6
187,促使,6
188,人马,6
189,扎鲁特旗,6
190,代升达,6
191,巴塘县,6
192,教育,6
193,杨彬,6
194,法律手段,6
195,姜兰,6
196,连带保证,6
197,于期,6
198,十四所,6
199,述,6
200,刘立强,6
201,技术开发区,6
202,欠付,6
203,改组,6
204,金融机构,6
205,建造,6
206,元注,6
207,浙商,6
208,神木,6
209,李玉周,5
210,之上,5
211,划出,5
212,液化气,5
213,买卖合同,5
214,止年,5
215,续签,5
216,至个,5
217,维修,5
218,海舜未,5
219,维修服务,5
220,源于,5
221,温江区,5
222,山西,5
223,投保,5
224,网站,5
225,大部分,5
226,公司业绩,5
227,解散,5
228,新奥,5
229,停工,5
230,代为,5
231,彭山县,5
232,轮候,5
233,季报,5
234,自查,5
235,资源,5
236,龙,5
237,张昌林,5
238,种植,5
239,调解,5
240,保全,5
241,民生,5
242,砂西,5
243,注是,5
244,清理,5
245,合泰,5
246,判决书,5
247,使用费,5
248,玉山,5
249,四川大学,5
250,博士,5
251,可回收,5
252,油气,5
253,嵌入,5
254,自贡市,5
255,华燃,5
256,镇远县,5
257,恒丰,5
258,办事处,5
259,每期,5
260,内部监督,4
261,这一,4
262,后升达,4
263,经升达,4
264,绿,4
265,三方,4
266,青白江区,4
267,理,4
268,张兰,4
269,有息,4
270,绝大部分,4
271,在内,4
272,分歧,4
273,陕西省,4
274,黄陵县,4
275,汉中,4
276,中介机构,4
277,主管部门,4
278,保管,4
279,审计部,4
280,焦作市,4
281,财务会计,4
282,十个,4
283,工作日内,4
284,一家,4
285,房产,4
286,经营权,4
287,经营期,4
288,期后,4
289,盐市口,4
290,列入,4
291,授信额度,4
292,定期存单,4
293,该行,4
294,钦州,4
295,胡静谊,4
296,熊昕,4
297,月利率,4
298,尚有,4
299,迟延,4
300,律师费,4
301,货价,4
302,金元,4
303,冲抵,4
304,抵偿,4
305,建国路,4
306,证明书,4
307,开具,4
308,活期储蓄,4
309,其于,4
310,储蓄,4
311,扣非,4
312,补偿款,4
313,伟力,4
314,诺安,4
315,南通,4
316,李,4
