,分词排序,词频
0,新华,476
1,购物广场,268
2,福建,92
3,信息,75
4,零售,64
5,科技,51
6,电子商务,48
7,久,47
8,阿里巴巴,44
9,泸州,43
10,房地产,42
11,爱,36
12,厦门,34
13,天津,34
14,杭州,33
15,物业,31
16,西藏,30
17,超市,30
18,江西,27
19,泉州,26
20,金丹,26
21,北京,25
22,百货,25
23,直营,25
24,物流,25
25,返利,25
26,数据,24
27,久爱致,23
28,成都,22
29,店,22
30,工程,22
31,实业集团,21
32,福州,21
33,资讯网,21
34,和昌,20
35,云南白药,20
36,金志,19
37,聚酒致,19
38,电商,19
39,陈发树,19
40,国,18
41,爱致,16
42,体育,16
43,三明,16
44,倪国涛,16
45,业态,15
46,瀚云,15
47,积分,15
48,消费者,14
49,致,14
50,郭风香,14
51,都鑫叶,14
52,闽,13
53,莆田市,13
54,陈志勇,13
55,崔德花,13
56,安心,13
57,银行,13
58,陈智敏,12
59,天健,12
60,海物会,12
61,新盒,12
62,万家,12
63,惠,12
64,餐饮,11
65,购物,11
66,消费,11
67,泽泰,10
68,资源,10
69,漳州,10
70,龙岩,10
71,房产,10
72,龚水金,10
73,土地,10
74,郭建生,9
75,体验,9
76,商务,9
77,闽南地区,9
78,南平,9
79,华,9
80,网络科技,9
81,健康,9
82,福州市,8
83,上海,8
84,闽东地区,8
85,西北地区,8
86,沙县,8
87,网络,8
88,新店,8
89,装修,8
90,会计核算,8
91,股于,8
92,股股,8
93,建设,8
94,否许,8
95,信息技术,7
96,顾客,7
97,省外,7
98,开设,7
99,仓储,7
100,烟草,7
101,费用率,7
102,林政乡,7
103,聚久致,7
104,创业投资,7
105,教育,7
106,潘华,7
107,生物,7
108,网站,6
109,实致,6
110,久佳,6
111,聚量,6
112,拉萨,6
113,连锁,6
114,会员,6
115,物流配送,6
116,开业,6
117,权属,6
118,泉州市,6
119,配送,6
120,赣州,6
121,及久,6
122,发票,6
123,副会长,6
124,分会,6
125,否徐,6
126,媒体,5
127,涂蓬芳,5
128,选文,5
129,第一季度,5
130,技术开发区,5
131,零售业,5
132,文化,5
133,数为,5
134,品类,5
135,健全,5
136,丰泽,5
137,关闭,5
138,莆田,5
139,江西省,5
140,南昌,5
141,广东,5
142,水电,5
143,林则,5
144,龙,5
145,高级人民法院,5
146,定向,5
147,限售期,5
148,召集,5
149,扶贫,5
150,人类,5
151,衡量,5
152,油气,5
153,换取,5
154,兑换,5
155,折扣,5
156,确认函,5
157,老窖,5
158,源于,5
159,外汇,5
160,魏丽琴,4
161,软件技术,4
162,广场,4
163,鼓楼区,4
164,五四路,4
165,北,4
166,第三季度,4
167,第四季度,4
168,此项,4
169,上线,4
170,场景,4
171,生鲜,4
