,分词排序,词频
0,联络,339
1,信息,303
2,杭州,275
3,北京,119
4,科技,89
5,双赢,79
6,迪岸,68
7,何志涛,53
8,智能,44
9,天域,40
10,传媒,39
11,上海,39
12,电商,38
13,网络,37
14,硬件,33
15,香港,32
16,媒体,27
17,互联网,27
18,深圳,26
19,数据,24
20,房,23
21,找,22
22,郭静波,21
23,房地产,21
24,文化,20
25,金融服务,20
26,陈理,19
27,工程,19
28,银行,19
29,信息技术,18
30,机场,18
31,新台币,18
32,三尚,17
33,电子商务,17
34,成都,17
35,能量,16
36,百维博锐,15
37,文化传媒,15
38,网络科技,15
39,技术咨询,15
40,资讯网,14
41,永久性,14
42,加拿大元,14
43,东阳,13
44,建设,13
45,换届选举,13
46,玩,13
47,酷,13
48,资源,12
49,动鱼,12
50,多元化,11
51,软件,11
52,分拆,11
53,通讯,11
54,扶贫,11
55,信托,11
56,浙江,11
57,税收法律,11
58,医用,11
59,经销,10
60,中介,10
61,计算机,10
62,国华,10
63,跨境,9
64,曾晓东,9
65,数码科技,9
66,医疗,9
67,重庆,9
68,游戏,8
69,徐,8
70,智勇,8
71,广州,8
72,西藏,8
73,台湾,8
74,环境,8
75,剩下,8
76,装置,8
77,招商引资,8
78,地方性,8
79,金玉,7
80,滨江区,7
81,联网,7
82,物流,7
83,电视剧,7
84,分发,7
85,第一名,7
86,第二名,7
87,第三名,7
88,第四名,7
89,第五名,7
90,影视,7
91,策划,7
92,演出,7
93,曾昭龙,7
94,否葛新刚,7
95,土地,7
96,卓属,7
97,乐泾达,7
98,天津,7
99,税项,7
100,软硬件,7
101,竣华,6
102,网站,6
103,产业布局,6
104,壹,6
105,教育,6
106,李学东,6
107,陆,6
108,王晓峰,6
109,花,6
110,材料,6
111,医疗器械,6
112,传播,6
113,技术转让,6
114,小型,6
115,微利,6
116,翼动,6
117,部件,6
118,外汇,6
119,街号,5
120,芯图,5
121,新世纪,5
122,零售,5
123,秉承,5
124,极致,5
125,电子,5
126,扩张,5
127,高铁,5
128,租房,5
129,仓库,5
130,四个,5
131,金融机构,5
132,房产,5
133,新蛋,5
134,原募,5
135,北美地区,5
136,高雁峰,5
137,何海明,5
138,本科,5
139,否曾,5
140,决定书,5
141,衡量,5
142,技术推广,5
143,电子产品,5
144,计算机软件,5
145,除净,5
146,纳税人,5
147,增值税率,5
148,赐麓,5
149,款年,5
150,旗下,4
151,俞,4
152,集成,4
153,志涛,4
154,立信,4
155,廖家河,4
156,丛存,4
157,经营策略,4
158,知名,4
159,消费者,4
160,清晰,4
161,南京,4
162,独家,4
163,电影,4
164,谨慎,4
165,贡献,4
166,购物,4
167,建造,4
168,强大,4
169,展示,4
170,第六次,4
171,艺术交流,4
172,充足,4
173,乔文东,4
174,滕学军,4
175,所知,4
176,保险,4
177,销售税,4
178,粤财,4
179,支运成,4
180,白皙,4
181,葛新刚,4
182,传媒大学,4
183,通信,4
184,内审,4
185,主任委员,4
186,审查,4
187,交流,4
188,生物,4
189,油气,4
190,办公设备,4
191,许可证,4
192,海域,4
193,恩,4
194,次级,4
195,以换,4
196,建筑物,4
197,政策性,4
198,教育费,4
199,税额,4
200,所得税率,4
201,含个,4
202,穿戴,4
203,加州,4
204,安达,4
205,扶否,4
206,代收,4
207,模块,4
208,直流,4
209,版权,4
210,王燕飞,3
211,找房,3
212,外部环境,3
213,多层次,3
214,上下游,3
215,客户服务,3
216,万个,3
217,募资后,3
218,快捷,3
219,运营商,3
220,禄口,3
221,畅达,3
222,平面媒体,3
223,影视剧,3
224,剧,3
225,经纪,3
226,播出,3
227,在线,3
228,几年,3
229,北美,3
230,评为,3
231,偏好,3
232,亿美元,3
233,协同效应,3
234,线下,3
235,开设,3
236,新兴,3
237,更好,3
238,国际化,3
239,扩展,3
240,品类,3
241,激烈,3
242,超募,3
243,审慎考虑,3
244,展览,3
245,健康,3
246,动态,3
247,各个方面,3
248,完备,3
249,科学,3
250,透明,3
251,尽可能,3
252,陆燕,3
253,携手,3
254,世邦,3
255,苏州,3
256,六个月,3
257,发展前景,3
258,来源于,3
259,南达科他州,3
260,未决,3
261,汇融,3
262,脱贫,3
263,简历,3
264,董监,3
