,分词排序,词频
0,乐通,289
1,珠海市,221
2,化工,168
3,油墨,78
4,材料,71
5,科技,66
6,互联网,48
7,轩翔,47
8,北京,46
9,信息,45
10,思悦,43
11,珠海,41
12,房地产,39
13,大晟,38
14,环保,34
15,传媒,29
16,湖州,21
17,工程,20
18,土地,14
19,上海,13
20,数据,13
21,制造,12
22,投放,12
23,樟树市,12
24,拓美,12
25,建筑物,12
26,周宇斌,11
27,智通,11
28,银行,11
29,云昊,11
30,中国籍,11
31,郑州,10
32,大华,10
33,媒体,10
34,环境,10
35,建设,10
36,中科,10
37,周镇科,10
38,广东,10
39,包装材料,9
40,互联,9
41,资源,9
42,涂料,9
43,环境保护,9
44,肖诗强,9
45,喀什,8
46,金鼎,8
47,网站,8
48,资讯网,8
49,武汉,8
50,信维,8
51,高新,8
52,蓝海,8
53,建造,8
54,黄秋英,7
55,日盛,7
56,凹印,7
57,传播,7
58,制造业,7
59,商业银行,7
60,崔佳,7
61,扶贫,7
62,智明,7
63,文化传媒,6
64,官塘乐通,6
65,工业园,6
66,印刷,6
67,致力于,6
68,颠覆,6
69,信息技术,6
70,交通银行,6
71,人及,6
72,刘明,6
73,新余,6
74,协议书,6
75,文化,6
76,王悦,6
77,林,6
78,江苏,6
79,生物,6
80,文,6
81,香洲,6
82,香港,6
83,乐营,6
84,生产费,6
85,张洁,5
86,取决于,5
87,证券部,5
88,李俊,5
89,激烈,5
90,谋求,5
91,拟以,5
92,化学原料,5
93,柔印,5
94,授信额度,5
95,农村,5
96,厂商,5
97,深圳,5
98,日日,5
99,税额,5
100,华南理工大学,5
101,广州,5
102,否刘明,5
103,混合,5
104,衡量,5
105,丙方,5
106,日止,5
107,保险,5
108,事业,5
109,郭蒙,4
110,强大,4
111,收紧,4
112,媒介,4
113,程序化,4
114,市场营销,4
115,第十八,4
116,同日,4
117,再次,4
118,化学,4
119,特种,4
120,网络,4
121,之二,4
122,节能,4
123,政府部门,4
124,王,4
125,韬光,4
126,沙振权,4
127,工程部,4
128,博士,4
129,导师,4
130,工商管理,4
131,否张勇,4
132,绩效评价,4
133,财务部门,4
134,财产损失,4
135,甲方,4
136,对外贸易,4
137,合作局,4
138,珠,4
139,外经贸,4
140,资号,4
141,后本,4
142,新疆,4
143,刘秋华,4
144,订立,4
145,嵌入,4
146,或重,4
147,以换,4
148,带息,4
149,教育费,4
150,实缴,4
151,湖州市,4
152,郑州市,4
153,思悅,4
154,不派,3
155,刘明学,3
156,食品包装,3
157,聚合,3
158,下滑,3
159,生活圈,3
160,积压,3
161,流量,3
162,口碑,3
163,规模化,3
164,客户资源,3
165,技术实力,3
166,配方,3
167,推行,3
168,生产工艺,3
169,秉承,3
170,带动,3
171,成效,3
172,趋严,3
173,健康,3
174,大宗,3
175,制造品,3
176,技术推广,3
177,科学,3
178,人才队伍,3
179,对此,3
180,透明,3
181,额外,3
182,合称,3
183,肖诗,3
184,为关,3
185,联方,3
186,外资,3
187,板,3
188,姚妙燕,3
189,建新,3
190,许梓峰,3
191,人前,3
192,兴办,3
193,黄捷,3
194,谢燕洪,3
195,张雪梅,3
196,张勇,3
197,女年,3
198,副教授,3
199,博士生,3
200,东凌,3
201,天龙,3
202,教育,3
203,召集,3
204,审,3
205,事,3
206,工作效率,3
207,偏离,3
208,缺,3
209,补,3
210,指除,3
211,负面,3
212,负面影响,3
213,保费,3
214,准备金,3
215,油气,3
216,中央银行,3
217,金融机构,3
218,乐诚,3
219,工贸,3
220,乙方,3
221,工商行政管理局,3
222,企业法人,3
223,富禾,3
224,丁方,3
225,出资额,3
226,占本,3
227,除净,3
228,很小,3
229,自制,3
230,半成品,3
231,低值易耗品,3
232,惯例,3
233,毁损,3
234,运输设备,3
235,届满时,3
236,政策性,3
237,喀什地区,3
238,免征,3
239,小型,3
240,微利,3
241,危险,3
242,化学品,3
243,结余,3
244,服务业,3
245,抵押物,3
246,二项,3
247,款年,3
248,外文,2
249,网址,2
250,电子信箱,2
251,电话传真,2
252,有无,2
253,历次,2
254,年本,2
255,第三季度,2
256,统一标准,2
257,中高档,2
258,居高,2
259,压缩,2
260,稳中求进,2
261,工作思路,2
262,技术手段,2
263,钻研,2
264,上涨,2
265,加剧,2
266,污染,2
267,客户服务,2
268,环保型,2
269,强有力,2
270,传统媒体,2
271,广告行业,2
272,放缓,2
273,消失,2
274,银行贷款,2
275,门户,2
276,电子商务,2
277,在线,2
278,网民,2
279,网盟,2
280,自动,2
281,终端,2
282,体现,2
283,组建,2
284,配合,2
285,水性,2
286,主导,2
287,自动化,2
