,分词排序,词频
0,理工,394
1,监测,312
2,宁波,247
3,环境,241
4,能源,187
5,电力,136
6,环保,120
7,博微,101
8,软件,98
9,尚洋,85
10,北京,71
11,信息,71
12,环科,70
13,碧蓝,67
14,科技,63
15,信息化,62
16,数据,59
17,在线,58
18,水质,57
19,建设,52
20,工程,49
21,天一,48
22,土壤,47
23,修复,40
24,江西,39
25,对博微,39
26,自动,36
27,环境监测,35
28,信息技术,31
29,周方洁,28
30,湖南,28
31,电网,27
32,智能,26
33,三十六个,24
34,测试报告,24
35,成都,21
36,杰特奥,20
37,造价,20
38,上海,19
39,尚青,19
40,智慧,19
41,环境保护,19
42,浙江,19
43,环境治理,18
44,陈,18
45,中国籍,18
46,杭州,17
47,银行,17
48,雷鸟,16
49,施工,16
50,运维,16
51,去年同期,16
52,房地产,16
53,尚清,15
54,贵州,15
55,工程造价,15
56,靳明,15
57,西安,14
58,送红股,14
59,江苏,13
60,服务业,13
61,监测站,13
62,远程,13
63,配电网,13
64,地表水,12
65,三维,12
66,数据分析,12
67,联网,12
68,成交价,12
69,为元股,12
70,期有,12
71,更长,12
72,后且,12
73,另有,12
74,朱林生,12
75,创业投资,12
76,污染,11
77,小贷,10
78,绿,10
79,水源,10
80,高压,10
81,输电,10
82,电力工程,10
83,建造,10
84,高新技术,10
85,核心技术,10
86,监测数据,10
87,制造业,10
88,四如,10
89,出资额,10
90,资讯网,10
91,南京,9
92,预警,9
93,建康,9
94,传感,9
95,产业政策,9
96,湖南省,9
97,土地,9
98,登记日,8
99,四川,8
100,北仑,8
101,制造,8
102,软件开发,8
103,电力行业,8
104,巡检,8
105,国家电网,8
106,人工智能,8
107,生态环境,8
108,甬能,8
109,汉迪,8
110,刘笑梅,8
111,坤,8
112,万泽,8
113,教育,8
114,南昌,8
115,金华,7
116,天健,7
117,工具软件,7
118,大气,7
119,环境质量,7
120,强劲,7
121,工程项目,7
122,售后服务,7
123,热脱,7
124,清单,7
125,湘潭,7
126,生态,7
127,三变,7
128,未达,7
129,算,7
130,博,7
131,联众,7
132,鹍,7
133,石,7
134,钶,7
135,限售期,7
136,南昌市,7
137,商业银行,7
138,马中,7
139,副总,7
140,软件业,7
141,王惠芬,6
142,华电,6
143,智能化,6
144,山东,6
145,管理局,6
146,节能,6
147,超额,6
148,重金属,6
149,农村,6
150,化工,6
151,专业化,6
152,电力企业,6
153,资源,6
154,可视化,6
155,顺利,6
156,场地,6
157,改增,6
158,相继,6
159,动态,6
160,质控,6
161,空气,6
162,套,6
163,人工工资,6
164,加剧,6
165,派送,6
166,股占,6
167,元含,6
168,欧阳,6
169,银汉,6
170,兴业,6
171,凯地,6
172,薪火,6
173,科创,6
174,中润发,6
175,公式,6
176,三方,6
177,伍卫国,6
178,年期,6
179,率年,6
180,推断,6
181,于售,6
182,逸,6
183,洪财,6
184,保税区,5
185,小额贷款,5
186,路,5
187,李雪会,5
188,零售,5
189,发电,5
190,工程建设,5
191,定制,5
192,工地,5
193,开发成本,5
194,一支,5
195,软件产品,5
196,一体化,5
197,响应,5
198,技术创新,5
199,一等奖,5
200,电力公司,5
201,空气质量,5
202,水,5
203,实践,5
204,勘测,5
205,招投标,5
206,环境保护局,5
207,防治,5
208,房产,5
209,减资,5
210,广阔,5
211,泛,5
212,十条,5
213,业经,5
214,第十九次,5
215,杨柳,5
216,江帆,5
217,银泰睿祺,5
218,年报,5
219,乙丙,5
220,生产成本,5
221,扶贫,5
222,股于,5
223,绩效评价,5
224,抽样,5
225,发票,5
226,建筑物,5
227,换取,5
228,至本,5
229,企号,5
230,源于,5
231,外汇,5
232,计算机软件,4
233,博微广,4
234,华科技,4
235,曹娥江,4
236,工程设计,4
237,新能源,4
238,限定,4
239,道路,4
240,第四季度,4
241,方应,4
242,输变电,4
243,系统集成,4
244,生命周期,4
245,成熟,4
246,总站,4
247,二等奖,4
248,分析仪,4
249,仪器,4
250,采集,4
251,网络,4
252,人力,4
253,颁发,4
254,环境污染,4
255,中南,4
256,确立,4
257,竞争对手,4
258,手段,4
259,赢得,4
260,换版,4
261,高速,4
262,类产品,4
263,剔除,4
264,落地,4
265,精益,4
266,评审,4
267,预报,4
268,工程量,4
269,南方电网,4
270,国网,4
271,跟进,4
272,服务项目,4
273,铜仁市,4
274,集成,4
275,江西省,4
276,公司业绩,4
277,迎来,4
278,元该,4
