,分词排序,词频
0,深圳,649
1,赫美,544
2,科技,168
3,北京,164
4,上海,92
5,浩宁达,84
6,银行,78
7,首赫,73
8,王磊,64
9,惠州,64
10,汉桥,58
11,信息,57
12,资讯网,57
13,机器厂,56
14,消费,52
15,南京,48
16,国际品牌,45
17,工程,45
18,智慧,41
19,彩虹,36
20,欧祺亚,34
21,土地,34
22,户,34
23,克拉,31
24,欧蓝,30
25,广东,28
26,坪,28
27,户赫美,28
28,旅游,27
29,时装,26
30,臻,26
31,福田区,26
32,商务,26
33,乔,25
34,锐拔,25
35,互联网,25
36,商场,24
37,资源,24
38,亚美,23
39,运通,23
40,成都,22
41,钻石,22
42,文旅,22
43,文化,21
44,电气,21
45,小额贷款,21
46,杭州,21
47,王,21
48,赫美万宏,20
49,房产,20
50,浩美,19
51,房地产,19
52,山区,19
53,金融信息,18
54,数据,18
55,信托,18
56,珠宝,17
57,制造,17
58,零售,17
59,服饰,17
60,重庆,17
61,招商引资,17
62,地方性,17
63,于阳,16
64,国际贸易,16
65,电商,16
66,会员,16
67,赫美小贷,16
68,广州,16
69,盈彩,15
70,品类,15
71,刘睿,15
72,电子商务,15
73,珠宝首饰,15
74,服装服饰,15
75,旅业,14
76,百货,14
77,消费者,14
78,万宏,14
79,开发技术,14
80,主合同,14
81,还清,14
82,崇高,13
83,服装,13
84,建设,13
85,焕然,13
86,赌,13
87,一笔,13
88,最新,13
89,招商银行,13
90,珠海,12
91,伟业,12
92,山西,12
93,旅行社,12
94,蓝希,12
95,领地,12
96,权星,12
97,梁加,12
98,新安,12
99,会计报表,12
100,公章,11
101,群体,11
102,台湾,11
103,康泰,11
104,智能,11
105,武汉,11
106,郝毅,11
107,调解,11
108,李波,11
109,四川,11
110,失效,11
111,温州,10
112,海联,10
113,资金紧张,10
114,两岸,10
115,金卡易联,10
116,香港,10
117,教育,10
118,兴业银行,10
119,协议价,10
120,转账,10
121,祈,10
122,联金,10
123,最新进展,10
124,人赫美,10
125,金所,9
126,山,9
127,线下,9
128,强大,9
129,引入,9
130,思路,9
131,锦途,9
132,金融服务,9
133,电表,9
134,粤,9
135,失信,9
136,皓星,9
137,黄裕雄,9
138,新能源,9
139,装修,9
140,机器设备,9
141,华侨城,9
142,中国农业银行,9
143,韩霞,8
144,天鸿,8
145,年轻,8
146,净现金,8
147,流量,8
148,金融机构,8
149,准备金,8
150,四家,8
151,国融,8
152,兴华,8
153,在内,8
154,裁决,8
155,远东,8
156,列入,8
157,被执行人,8
158,材料,8
159,暂未,8
160,深圳市中级人民法院,8
161,浩美天湾,8
162,网络科技,8
163,阿玛尼,8
164,原为,8
165,博磊,8
166,新纪元,8
167,李丽,7
168,正中,7
169,珠江,7
170,赫美卓扬,7
171,网络,7
172,消费品,7
173,健康,7
174,线上,7
175,迎合,7
176,创意,7
177,公司财务,7
178,宁波,7
179,浙商,7
180,开庭审理,7
181,追索权,7
182,文,7
183,西藏,7
184,赫远,7
185,扶贫,7
186,葛勇,7
187,朱文,7
188,斌,7
189,电力,7
190,信息技术,7
191,仪表,7
192,光电,7
193,工厂,7
194,能源,7
195,建筑物,7
196,供电,7
197,光宇,7
198,美世,7
199,投资人,7
200,纷,7
201,艺术设计,6
202,广袤,6
203,大道,6
204,回流,6
205,放缓,6
206,农业,6
207,习惯,6
208,售后,6
209,物业,6
210,精品,6
211,系年,6
212,装修费,6
213,制造业,6
214,旅游业,6
215,首饰,6
216,自动化,6
217,美小贷,6
218,于高端,6
219,发力,6
220,餐饮,6
221,中国光大银行,6
222,粤科,6
223,公证,6
224,名单,6
225,武汉市,6
226,仪器仪表,6
227,电器,6
228,无线,6
229,李小阳,6
230,干黎术,6
231,微电子,6
232,财富,6
233,无锡,6
234,多处,6
235,尚品,6
236,益,6
237,中浩,6
238,深,6
239,浩美鼎石,6
240,续约,6
241,借款人,6
242,高新技术,6
243,国网,6
244,软件,6
245,履行期,6
246,纠,6
247,营业部,6
248,已有,5
249,传播,5
250,深南,5
251,致力于,5
252,高品质,5
253,难度,5
254,高科技,5
255,庄园,5
256,践行,5
257,周转率,5
258,商品销售,5
259,折旧费,5
260,下滑,5
261,电能,5
262,未付,5
263,价,5
264,厦门,5
265,全力,5
266,环境,5
267,零售业,5
268,江苏,5
269,第三十六,5
270,金苏琴,5
271,评报,5
272,以赫美,5
273,强制执行,5
274,小贷,5
275,网,5
276,层面,5
277,任红,5
278,陈丹,5
279,柏克,5
280,力合,5
281,否王磊,5
282,需经,5
283,凌驾于,5
284,之上,5
285,十二大,5
286,产业园,5
287,标准计,5
288,提,5
289,建造,5
290,信用证,5
291,力诚,5
292,星辉,5
293,此前,5
294,拟以,5
295,租回,5
296,出资额,5
297,服务中心,5
298,拉萨,5
299,家庭成员,5
300,工作日内,5
301,出让方,5
302,代偿,5
303,每笔,5
304,否赫,5
305,之日否,5
306,二年,5
307,商业银行,5
308,不善,4
309,栋楼,4
310,媒体,4
311,何国,4
312,铨,4
313,刘伟,4
314,服务商,4
315,奢侈,4
316,三线,4
317,一线,4
318,收紧,4
319,扩张,4
320,进货,4
321,存量,4
322,裕,4
323,文堂,4
324,策划,4
325,合资,4
326,打通,4
327,时尚,4
328,熟悉,4
329,上线,4
330,电能表,4
331,资管,4
332,保险经纪,4
333,占据,4
334,轻奢,4
335,合作方,4
336,定位,4
337,新会员,4
338,有机,4
339,亩,4
340,科技园,4
341,住房,4
342,测试项目,4
343,足额,4
344,中煜鑫邦,4
345,升华,4
346,康,4
347,陕西省,4
348,二十,4
349,冶,4
350,执号,4
351,核查,4
352,担保责任,4
353,为元股,4
354,宋洋,4
355,陈发,4
356,文化产业,4
357,举办,4
358,资格证书,4
359,框架,4
360,设置,4
361,若干,4
362,偏离,4
363,完整性,4
364,对赫美,4
365,未决,4
366,新铭达,4
367,瑞丰,4
368,电工,4
369,众金,4
370,红金坊,4
371,艺术,4
372,馨途,4
373,陆续,4
374,日为,4
375,担保物,4
376,联营公司,4
377,教育费,4
378,福田,4
379,定期存单,4
380,内蒙古,4
381,东部,4
382,新尚品,4
383,惠利泰,4
384,中锦熠,4
385,年利率,4
386,实缴,4
387,著作权,4
388,赔偿损失,4
