,分词排序,词频
0,电信,380
1,天津,223
2,科技,172
3,信利,99
4,隆,94
5,陈岩,93
6,铁塔,77
7,信息,75
8,通信,75
9,资讯网,74
10,上海,72
11,深圳,64
12,工程,63
13,于茜茜,61
14,无线,58
15,展期,58
16,网络,57
17,公司债务,56
18,洽谈,53
19,尽快,51
20,回复,51
21,一案,48
22,否陈岩,47
23,齐星,44
24,广东,41
25,青岛,41
26,龙跃,40
27,信托,39
28,宽带,38
29,银行,37
30,星跃,36
31,山东,33
32,实业集团,33
33,一向,33
34,售后,33
35,回租,33
36,建设,28
37,数据,27
38,香港,25
39,元北讯,24
40,北京,23
41,河北,23
42,珠海,23
43,裁决,23
44,罚息,23
45,未付,22
46,通讯,20
47,日止,20
48,诉讼费用,20
49,诉讼费,20
50,保全费,20
51,专网,19
52,基站,19
53,建设工程,18
54,由北讯,17
55,指北讯,16
56,车库,16
57,联网,16
58,调解,16
59,终端,15
60,和解,15
61,律师费,15
62,接入,14
63,物联,14
64,资源,14
65,暂计,14
66,停车,13
67,电信业务,13
68,天津市,13
69,网,13
70,复利,13
71,迟延,13
72,信用等级,13
73,致同,12
74,兴业,12
75,财富,12
76,广州,12
77,环境,12
78,房地产,12
79,天宇,12
80,健,11
81,宽带数据,11
82,中国银行,11
83,开创,10
84,霍尔果斯,10
85,互联网,10
86,金融机构,10
87,否北讯,10
88,保全,10
89,仲裁委,10
90,纠,10
91,浙江,9
92,西北,9
93,频段,9
94,国网,9
95,第项,9
96,二三,9
97,扶贫,9
98,次年,9
99,以北,9
100,买卖合同,9
101,真实性,8
102,完整性,8
103,技术咨询,8
104,衢州,8
105,北讯北讯,8
106,呼叫,8
107,传输速率,8
108,传送,8
109,大唐,8
110,自营,8
111,对手,8
112,告诉,8
113,拍卖,8
114,变卖,8
115,受偿权,8
116,仓库,8
117,下调,8
118,生物,8
119,宝安,8
120,智慧,7
121,移动性,7
122,塔,7
123,扩股,7
124,第十二次,7
125,第二类,7
126,教育,7
127,资金紧张,7
128,电费,7
129,网络服务,7
130,元及,7
131,受偿,7
132,连带保证,7
133,三四,7
134,衡信,7
135,环保,7
136,营业部,7
137,土地,7
138,信息化,6
139,咨询服务,6
140,中航,6
141,立体,6
142,福建,6
143,环球,6
144,第三季度,6
145,宽带网,6
146,获准,6
147,钢管,6
148,山,6
149,泰科,6
150,投资人,6
151,北讯云联,6
152,兴隆,6
153,附属,6
154,下线,6
155,引入,6
156,万分之,6
157,金元,6
158,胶州市,6
159,不动产,6
160,撤诉,6
161,小时,6
162,元为,6
163,保险费,6
164,筹划,6
165,集合,6
166,长安,6
167,重要性,6
168,教育费,6
169,北京分行,6
170,阳泉市,6
171,商业银行,6
172,工业,5
173,晋中,5
174,惠州,5
175,山西,5
176,应急,5
177,获批,5
178,传输,5
179,延时,5
180,河北省,5
181,电力,5
182,制造业,5
183,扩容,5
184,仓储,5
185,软件,5
186,送达,5
187,人及,5
188,无力,5
189,大面积,5
190,八对,5
191,讼,5
192,留购,5
193,代理费,5
194,第一二,5
