,分词排序,词频
0,雷科,349
1,防务,296
2,江苏,244
3,科技,118
4,北京理工,113
5,雷达,74
6,西安,68
7,北京,66
8,电子,63
9,信息,58
10,奇维,51
11,卫星,42
12,导航,35
13,成都,34
14,爱,34
15,科特,34
16,苏州,34
17,信息技术,33
18,理工,32
19,博海,31
20,北斗,29
21,智能,29
22,常发,28
23,数据,28
24,工程,28
25,创业,27
26,存储,24
27,计算机,24
28,否戴斌,23
29,微,21
30,刘峰,20
31,研制,20
32,遥感,20
33,汽车,19
34,戴斌,17
35,芯片,16
36,北京理工大学,16
37,深圳,16
38,雷科雷,15
39,资讯网,15
40,毫米波,15
41,刘升,15
42,材料,14
43,电子科技,14
44,银行,14
45,实时,12
46,环境,12
47,群,12
48,工业,12
49,雷科于,12
50,高立宁,11
51,接收,11
52,制造,11
53,仪器,11
54,技术咨询,11
55,模块,10
56,鼎拓科,10
57,芯,10
58,为元股,10
59,测量,10
60,军工,9
61,制冷,9
62,微波,9
63,军用,9
64,建设,9
65,软硬件,9
66,高精度,9
67,国家级,9
68,军民,9
69,获授,9
70,信托,9
71,交易方式,9
72,天津,9
73,土地,9
74,高新技术,9
75,弹药,8
76,智能网,8
77,装备,8
78,光电,8
79,软件,8
80,固态,8
81,射频,8
82,电子产品,8
83,韩周安,8
84,房租,8
85,翠微,8
86,关键技术,8
87,补贴款,8
88,实业集团,7
89,武进区,7
90,上海,7
91,信息处理,7
92,相控阵,7
93,无人机,7
94,科研,7
95,探测,7
96,制造业,7
97,接收机,7
98,自动化,7
99,向名,7
100,记录表,7
101,北方,7
102,大治,7
103,刘,7
104,日为,7
105,第三十八,7
106,雨,7
107,黄辉,7
108,控制技术,7
109,常州,7
110,稳岗,7
111,常州市,6
112,媒体,6
113,联,6
114,体制,6
115,信号处理,6
116,仿真,6
117,民用,6
118,预先,6
119,型号,6
120,高性能,6
121,轨,6
122,一体化,6
123,可控,6
124,定位,6
125,苏州市,6
126,元件,6
127,博士后,6
128,基带,6
129,资源,6
130,通讯,6
131,电子设备,6
132,高科技,6
133,及雷科,6
134,摘要,6
135,名单,6
136,环境保护,6
137,五矿,6
138,成交价,6
139,刘训,6
140,房地产,6
141,房产,6
142,干扰,6
143,中关村,6
144,西安市,6
145,信息化,6
146,业而,6
147,开发技术,6
148,人戴斌,5
149,嵌入式,5
150,传感,5
151,核心技术,5
152,成像,5
153,毛二可,5
154,博士,5
155,二等奖,5
156,兼并,5
157,计算机系统,5
158,弘达,5
159,伟业,5
160,科雷,5
161,规模化,5
162,科学,5
163,定向,5
164,环保,5
165,物业,5
166,由股,5
167,股年,5
168,股占,5
169,匡,5
170,振兴,5
171,刘雪琴,5
172,否刘峰,5
173,否高立宁,5
174,增至,5
175,乾盛,5
176,常熟,4
177,北理,4
178,延政,4
179,中路,4
180,号常发,4
181,楼,4
182,信息产业,4
183,产值,4
184,机理,4
185,图像,4
186,图像处理,4
187,制导,4
188,奠定,4
189,硕士学位,4
190,星上,4
191,获准,4
192,产业布局,4
193,数据处理,4
194,检测,4
195,组件,4
196,智能化,4
197,控制系统,4
198,公正,4
199,超募,4
200,隧道,4
201,监测,4
202,救援,4
203,路,4
204,备,4
205,军品,4
206,扩展,4
207,选取,4
208,文化,4
209,黄勇,4
210,三十六个,4
211,除雷科,4
212,商业机会,4
213,票,4
214,退税率,4
215,第三十三,4
216,平米,4
217,年息,4
218,平等,4
219,扶贫,4
220,周安,4
221,等位,4
222,限售期,4
223,孵化器,4
224,足以,4
225,半数以上,4
226,层面,4
227,农,4
228,刘捷,4
229,龚国伟,4
230,天明,4
231,华汇,4
232,获,4
233,奥瑞思,4
234,介绍,4
235,否刘升,4
236,教育,4
237,非专利,4
238,频谱,4
239,场强,4
240,技术转让,4
241,嵌入,4
242,混合,4
243,建筑物,4
244,买方,4
245,鲸鲨,4
246,过往,4
247,表现,4
248,期年,4
249,坐落于,4
250,权证,4
251,管委会,4
252,青羊区,4
253,补助款,4
254,分年,4
255,陕西省,4
256,流失,3
257,不派,3
258,孙,3
259,蒸发器,3
260,冷凝器,3
261,电磁,3
262,通信,3
263,黄小平,3
264,永中,3
265,徐伟东,3
266,杨志存,3
267,高速,3
268,全频段,3
269,特种,3
270,交通,3
271,安防,3
272,国产化,3
273,面,3
274,百度,3
275,名录,3
276,国家自然科学基金,3
277,测量仪,3
278,预研,3
279,导引头,3
280,第一个,3
281,多源,3
282,算法,3
283,地面,3
284,遥感信息,3
285,处理器,3
286,实时处理,3
287,工作站,3
288,测控,3
289,贵州,3
290,模拟,3
291,防撞,3
292,信道,3
293,高度重视,3
294,光机电,3
295,零配件,3
296,机械加工,3
297,雷科众,3
298,投向,3
299,选任,3
300,应有,3
301,透明,3
302,所购,3
303,孟立,3
304,坤,3
305,曾涛,3
306,姚迪,3
307,于雷科,3
308,杨,3
309,承诺书,3
310,日日,3
311,清理,3
312,海关,3
313,归类,3
314,朝阳,3
315,韩,3
316,获批,3
317,地产,3
318,物业费,3
319,为关,3
