,分词排序,词频
0,浙江,299
1,纤维,295
2,高新,271
3,上海,261
4,新能源,198
5,智航,123
6,湖州,114
7,撤诉,106
8,信息,95
9,信托,90
10,江苏,89
11,垚,80
12,科技,79
13,阔,78
14,工业,74
15,颜静刚,67
16,苏州,58
17,正悦,56
18,航天,53
19,中技,52
20,银行,47
21,锂电池,44
22,中融,43
23,汽车,42
24,北京,41
25,智融,38
26,沪,36
27,涤纶,35
28,丝,35
29,湖州市,31
30,工程,31
31,燃料电池,30
32,动力,28
33,案号,26
34,土地,26
35,民间,25
36,借贷,25
37,涉诉,25
38,材料,24
39,由本,24
40,安达,20
41,武汉,20
42,大宗,20
43,高性能,20
44,祈尊,20
45,否已,20
46,周发章,19
47,苏,19
48,深圳,18
49,膜,18
50,媒体,18
51,号本,18
52,建筑物,17
53,天花,16
54,环保,16
55,电池,16
56,科工,16
57,印章,16
58,诉本,16
59,元案,16
60,尤航,15
61,众宇,14
62,投票权,14
63,调解,14
64,项下,14
65,该案,14
66,资金紧张,14
67,建设,13
68,泰州市,13
69,泰州,13
70,灯箱,12
71,氢能,12
72,高新技术,12
73,制造业,12
74,孤鹰,12
75,追索权,12
76,浙,12
77,涉案,12
78,河南省,12
79,尚无,12
80,蒋勇,12
81,数据,11
82,高级人民法院,11
83,房地产,11
84,香港,10
85,泰和,10
86,北京航天,10
87,证监会,10
88,环境,10
89,电力,10
90,稽查,10
91,人颜静,10
92,翁,10
93,甲方,10
94,签发,10
95,上诉,10
96,建筑工程,10
97,主合同,10
98,机器设备,10
99,建造,10
100,动力系统,9
101,线绳,9
102,能源,9
103,劲速,9
104,总队,9
105,无条件,9
106,电子,9
107,祁尊,9
108,控股方,9
109,中行,9
110,南浔,8
111,差别化,8
112,纺织品,8
113,动力电池,8
114,三元,8
115,电芯,8
116,众华,8
117,金融机构,8
118,监管部门,8
119,节能,8
120,生物,8
121,我方,8
122,粤,8
123,山东,8
124,锂离子,8
125,集合,8
126,就职,8
127,富控,8
128,邵瑞泽,7
129,霍善庆,7
130,纸业,7
131,网站,7
132,强制,7
133,平仓,7
134,浸胶,7
135,帘子布,7
136,投产,7
137,健康,7
138,减排,7
139,追偿,7
140,涉浦,7
141,裁决,7
142,金票,7
143,锂,7
144,年月生,7
145,扣款,7
146,工行,7
147,客车,7
148,后勤,6
149,展宇,6
150,孚,6
151,镇,6
152,工业园区,6
153,第一季度,6
154,特种,6
155,汽车产业,6
156,三期,6
157,充分利用,6
158,承接,6
159,双,6
160,较强,6
161,尽快,6
162,外汇,6
163,撤回,6
164,需承担,6
165,经济损失,6
166,茅惠新,6
167,发章,6
168,工作日内,6
169,本身,6
170,连带保证,6
171,受托人,6
172,和解,6
173,确认函,6
174,设置,6
175,资讯网,6
176,某诉,6
177,长葛市,6
178,许昌市,6
179,中铁,6
180,定期存款,6
181,想,6
182,广东,6
183,环境保护,6
184,陈晓龙,6
185,云南,6
186,辞职,6
187,电子科技,6
188,姜付秀,6
189,大连,6
190,年终,6
191,抵押物,6
192,投出,6
193,嵌入,6
194,晶茨,6
195,带有,5
196,氢,5
197,健全,5
198,帆布,5
199,娱乐,5
200,核心部件,5
201,密度,5
202,电堆,5
203,系智航,5
204,划款,5
205,蓄电池,5
206,唯一,5
207,退市,5
208,第五次,5
209,此次,5
210,来看,5
211,资源,5
212,财政补贴,5
213,赢,5
214,杜绝,5
215,表内,5
216,得以,5
217,配合,5
218,期后,5
219,足额,5
220,困境,5
221,豁免,5
222,吕彬,5
223,丙方,5
224,约束力,5
225,因涉嫌,5
226,提醒,5
227,审查,5
228,保管,5
229,买卖合同,5
230,改聘,5
231,上海市第一中级人民法院,5
232,虹口区,5
233,中航,5
234,深圳市中级人民法院,5
235,恒华,5
236,江西,5
237,紫宸,5
238,夏长,5
239,筑荟,5
240,中宇,5
241,基准日,5
242,联席,5
243,杨,5
244,杨梅,5
245,油气,5
246,低值易耗品,5
247,一汽,5
248,梁秀红,5
249,包装材料,4
250,佳源,4
251,乙二醇,4
252,有无,4
253,中邮,4
254,被动,4
255,提示性,4
256,第三季度,4
257,网络,4
258,硬软,4
259,基础设施,4
260,正极,4
261,万支,4
262,关键环节,4
263,能量,4
264,车用,4
265,技术创新,4
266,扩产,4
267,对外贸易,4
268,文化,4
269,极板,4
270,失效,4
271,警示,4
272,化学纤维,4
273,下滑,4
274,试生产,4
275,工程验收,4
276,充电,4
277,投融资,4
278,为此,4
279,营运,4
280,行政责任,4
281,刑事责任,4
282,前提条件,4
283,表中,4
284,再融资,4
285,扣减,4
286,下述,4
287,委托人,4
288,编报,4
289,开具,4
290,段落,4
291,通字,4
292,结论性,4
293,采购计划,4
294,相符,4
295,会计凭证,4
296,逐个,4
297,清单,4
298,核对,4
299,销户,4
300,度,4
301,第六次,4
302,江西省,4
303,南昌市,4
304,赣,4
305,上海市浦东新区,4
306,天津,4
307,张,4
308,国际贸易,4
309,嘉定区,4
310,珠海,4
311,嘉兴市,4
312,引致,4
313,讼,4
314,提,4
315,和谐,4
316,公益事业,4
317,专人,4
318,意向,4
319,排,4
320,他期,4
321,就业,4
322,中融证,4
323,盛锦号,4
324,崔皓丹,4
325,左德起,4
326,工商管理,4
327,温福君,4
328,精工,4
329,烟台,4
330,祎,4
331,教育,4
332,混合,4
333,弃权,4
334,票,4
335,借款人,4
336,负担,4
337,归类,4
338,成分,4
339,国家税务局,4
340,售后,4
341,东汛,4
342,锂业,4
343,天万,4
344,交通银行,4
345,文化传媒,4
346,仲裁委,4
347,财保,4
348,证监局,3
349,电子信箱,3
350,赖建清,3
351,事务部,3
352,王,3
353,小宝,3
354,刘素,3
355,高水平,3
356,强大,3
357,胶管,3
358,轮胎,3
359,织物,3
360,制造,3
361,用布,3
362,德国,3
363,否否否,3
364,能耗,3
365,扩张,3
366,上下游,3
367,降低生产,3
368,致力于,3
369,以期,3
370,项为,3
371,国家标准,3
372,发电,3
373,制备,3
374,开工率,3
375,内销,3
376,外销,3
377,少,3
378,超募,3
379,投向,3
380,为准,3
381,后本,3
382,长丝,3
383,化学品,3
384,中长期,3
385,出台,3
386,成熟,3
387,再次发生,3
388,意识,3
389,沟通交流,3
390,拓宽,3
391,规避,3
392,凝聚力,3
393,退出,3
394,科学,3
395,涉嫌,3
396,法律手段,3
397,尚存,3
398,长久,3
399,之内,3
400,李,3
401,回,3
402,一次性,3
403,负,3
404,方已,3
405,评估师,3
406,人均,3
407,承担责任,3
408,日法始,3
409,尊重,3
410,召集,3
411,受益人,3
412,处分,3
413,予,3
414,担保责任,3
415,主管部门,3
416,众会,3
417,规章制度,3
418,广泛性,3
419,表外,3
420,物料,3
421,上报,3
422,权限,3
423,财务部门,3
424,二次,3
425,整理,3
426,开通,3
427,分开,3
428,清理,3
429,岗位职责,3
430,支付款,3
431,公告日,3
432,第十三次,3
433,近期,3
434,元应,3
435,客观性,3
436,关否,3
437,豫,3
438,刘,3
439,渤海,3
440,已调,3
441,解,3
442,民事裁定,3
443,法否,3
444,小额贷款,3
445,京仲案,3
446,杨柳树,3
447,桑顿,3
448,无锡,3
