,分词排序,词频
0,杭氧,437
1,气体,384
2,杭州,346
3,空分,116
4,氧气,80
5,杭,78
6,体,73
7,工程,62
8,制氧机,46
9,江西,45
10,信息,45
11,低温,39
12,山西,38
13,驻马店,37
14,按季,37
15,协议价,36
16,衢州,34
17,制造,33
18,资讯网,33
19,搬迁,33
20,工业,32
21,分离,27
22,银行,27
23,吉林,26
24,土地,26
25,广西,24
26,华融,24
27,金融机构,24
28,建筑物,24
29,空气,23
30,双鸭山,22
31,汉族,22
32,济源,21
33,杭氧乾鼎,21
34,制造业,21
35,工业气体,20
36,香港,20
37,建设,20
38,经开,19
39,水电费,19
40,集聚,19
41,化工,18
42,富阳,18
43,机械,18
44,科技,18
45,供气,17
46,江苏,17
47,换热,17
48,电镀,17
49,临安,17
50,装置,17
51,石化,17
52,吉林市,16
53,容器,16
54,铸造,16
55,压缩机,16
56,新建,16
57,河南,15
58,博大,15
59,透平,15
60,锻热,15
61,钢结构,15
62,储运,15
63,德国,15
64,数据,15
65,热,15
66,补偿款,15
67,山东,14
68,九江,14
69,备件,14
70,萍钢,14
71,浙江,14
72,能源,13
73,零售,13
74,成套,13
75,房地产,13
76,环境,13
77,国泰,12
78,杭氧龙泰,12
79,特大型,12
80,院长,12
81,葛,11
82,总包,11
83,装备,11
84,信息化,11
85,绿色,11
86,本科,11
87,工程师,11
88,漯河,10
89,填料,10
90,液化,10
91,工装,10
92,泵阀,10
93,氮气,10
94,职工代表,10
95,高新技术,10
96,技术改造,10
97,冶金,9
98,环境保护,9
99,内蒙古,9
100,物流,9
101,浙商,9
102,乙烯,9
103,研制,9
104,氮,9
105,氩,9
106,配件,9
107,氧,9
108,扶贫,9
109,补助款,9
110,九江市,9
111,蒋明,8
112,万洋,8
113,弘元,8
114,天健,8
115,表中,8
116,冷箱,8
117,部机,8
118,买方,8
119,信贷,8
120,维修,8
121,许可证,8
122,排放,8
123,教育,8
124,凯丰,8
125,任杭氧,8
126,建造,8
127,国资委,8
128,管道,7
129,湖北,7
130,萧山,7
131,膨胀机,7
132,液,7
133,液氧,7
134,所获,7
135,经济师,7
136,程惠芳,7
137,生物,7
138,电子,6
139,气,6
140,扩张,6
141,蚌埠,6
142,南京,6
143,物资公司,6
144,检测,6
145,氩气,6
146,国产化,6
147,煤化工,6
148,液氮,6
149,新兴产业,6
150,源于,6
151,技术创新,6
152,空,6
153,投资总额,6
154,机械设备,6
155,技术咨询,6
156,自其,6
157,广杰,6
158,商旅,6
159,安徽,6
160,昊源,6
161,污染,6
162,节能,6
163,中央,6
164,莫兆洋,6
165,总会计师,6
166,副处长,6
167,衢州市,6
168,年薪,6
169,负面影响,6
170,分解,6
171,结构性,6
172,套,6
173,技术水平,5
174,承德,5
175,氧化,5
176,医,5
177,饭店,5
178,和院,5
179,房产公司,5
180,企管,5
181,房产,5
182,特种,5
183,等级,5
184,精品,5
185,材料,5
186,金元,5
187,顺安,5
188,清理,5
189,共进,5
190,资源,5
191,文化,5
192,毛绍融,5
193,赵,5
194,大为,5
195,陈康远,5
196,顾昶,5
197,郭斌,5
198,徐,5
199,建军,5
200,总经济师,5
201,主持,5
202,博士,5
203,办,5
204,纪委书记,5
205,工会,5
206,工会主席,5
207,工作细则,5
208,发货,5
209,油气,5
210,政策性,5
211,第一批,5
212,江西省,5
213,工程项目,5
214,开发量,5
215,首台,5
216,杭年,5
217,河南省,5
218,外汇,5
219,划转,5
220,送,4
221,建德,4
222,贵州,4
223,苏州,4
224,合金,4
225,封头,4
226,杭氧空分,4
227,网站,4
228,有无,4
229,解读,4
230,此项,4
231,调整法,4
232,高纯,4
233,无论是,4
234,有助于,4
235,套万空分,4
236,深冷分离,4
237,套空分,4
238,调试,4
239,分类单位,4
240,出资额,4
241,预先,4
242,机电设备,4
243,稀有气体,4
244,应急,4
245,钢铁,4
246,易,4
247,创建,4
248,防治,4
249,公正,4
250,就业,4
251,监测,4
252,宏观,4
253,对冲,4
254,国有资本,4
255,监督管理,4
256,陶自平,4
257,黄申俊,4
258,黄建红,4
259,周赛,4
260,君,4
261,李立峰,4
262,周,4
263,智勇,4
264,韩一松,4
265,办事处,4
266,教授级,4
267,总经办,4
268,处长,4
269,齿轮箱,4
270,浙江大学,4
271,上表,4
272,大中型,4
273,销售业务,4
274,机械制造,4
275,分批,4
276,货未,4
277,北京,4
278,权证,4
279,低压,4
280,振兴,4
281,入园,4
282,黄淮,4
283,四市,4
284,富阳市,4
285,临安市,4
286,外贸,4
287,吉林省,4
288,盛隆,4
289,激烈,3
290,服务商,3
291,产业政策,3
292,特气,3
293,城区,3
294,中山北路,3
295,汪,3
296,加林,3
297,证券部,3
298,翁伟章,3
299,智华,3
300,技术装备,3
301,标志,3
302,脱氢,3
303,体现,3
304,氖,3
305,氦,3
306,氪,3
307,氙,3
308,新能源,3
309,航空航天,3
310,环保,3
311,传统产业,3
312,领先水平,3
313,奖,3
314,创新能力,3
315,始终保持,3
316,坚实,3
317,关键技术,3
318,新疆,3
319,天业,3
320,重点项目,3
321,核心技术,3
322,医用,3
323,服务质量,3
324,顺利,3
325,年份,3
326,超募,3
327,软件,3
328,通用,3
329,危险,3
330,精,3
331,竞争对手,3
332,不断加强,3
333,智能,3
334,贡献,3
335,不作,3
336,尚需,3
337,宁波,3
338,艺航,3
339,注将,3
340,方与,3
341,接受方,3
342,餐饮,3
343,健康,3
