,分词排序,词频
0,互联,215
1,科技,179
2,众应,145
3,上海,96
4,北京,87
5,游戏,87
6,信息,82
7,彩量,77
8,数据,51
9,宁波,37
10,香港,34
11,网络科技,33
12,互联网,31
13,冉盛,30
14,珠海,28
15,瀚德,26
16,房地产,26
17,新彩量,25
18,深圳,25
19,元众,25
20,资讯网,24
21,流量,23
22,摩伽,22
23,亿邦,21
24,瑞,20
25,燊,20
26,观麓,20
27,收益权,20
28,盛瑞,18
29,电子商务,18
30,虚拟,18
31,物品,18
32,方圆,18
33,长实,17
34,易迪,17
35,欧洲,16
36,商,16
37,能观,15
38,交易平台,15
39,紫游,15
40,霍市,14
41,娱乐,14
42,梅山,14
43,昆山,14
44,工程,14
45,郑玉芝,13
46,霍尔果斯,13
47,保税,13
48,港区,13
49,注册码,13
50,资源,13
51,摩,12
52,伽,12
53,浙江,12
54,兴华,11
55,横琴,11
56,区长,11
57,实,11
58,网站,11
59,银行,11
60,炫旗,11
61,建设,11
62,谷红亮,11
63,云南,11
64,土地,11
65,软件,10
66,分发,10
67,电商,10
68,中介,10
69,实时,10
70,卖家,10
71,文化,10
72,史克通,10
73,中信,10
74,市摩伽,9
75,传统,9
76,发货,9
77,投放,9
78,端,9
79,区块,9
80,矿场,9
81,杭州,9
82,信息技术,9
83,昺,9
84,陈家,9
85,达创,9
86,私募,9
87,苏州,9
88,建筑物,9
89,佛山,8
90,服务器,8
91,移动游戏,8
92,网络,8
93,矿池,8
94,技术咨询,8
95,马特,8
96,曹彤,8
97,策划,7
98,德语,7
99,链,7
100,莫,7
101,拜尔,7
102,亚太,7
103,技术转让,7
104,亿美元,7
105,保格,7
106,责任人,7
107,郭昌玮,7
108,东方号,7
109,养老保险,7
110,保险,7
111,生物,7
112,后本,7
113,股占,7
114,孝昌,7
115,明雅,7
116,带,6
117,东安,6
118,媒体,6
119,致力于,6
120,欧洲地区,6
121,玩家,6
122,社区,6
123,群体,6
124,忠实,6
125,自动化,6
126,欺诈,6
127,直播,6
128,市场占有率,6
129,新设,6
130,观注,6
131,计算机,6
132,跨境,6
133,金融服务,6
134,沃,6
135,环境,6
136,增至,6
137,声,6
138,信托,6
139,周长,6
140,厦门,6
141,山东,6
142,计算机软件,6
143,近期,6
144,商标,6
145,嵌入,6
146,登记日,5
147,微屏,5
148,春旭路,5
149,名下,5
150,刘炼,5
151,李云飞,5
152,宗洋,5
153,手机,5
154,多样化,5
155,主机,5
156,引入,5
157,体验,5
158,年底,5
159,本地化,5
160,数据分析,5
161,监测,5
162,矿机,5
163,亿智,5
164,管理系统,5
165,低值易耗品,5
166,网络游戏,5
167,艺术交流,5
168,应诉,5
169,年月否,5
170,每月,5
171,教育,5
172,住房,5
173,油气,5
174,金利,5
175,维修,5
176,买方,5
177,归类,5
178,利得税,5
179,太合,5
180,汇,5
181,股众,4
182,企业信用,4
183,室,4
184,孙铁明,4
185,服务平台,4
186,德国,4
187,广告业务,4
188,控制措施,4
189,海量,4
190,交易中心,4
191,反,4
192,考察,4
193,速度,4
194,旗下,4
195,周边,4
196,主流,4
197,用户群,4
198,版本,4
199,广告投放,4
200,主,4
201,返利,4
202,统计,4
203,更名,4
204,营收,4
205,承办,4
206,图文,4
207,软硬件,4
208,数据服务,4
209,九次,4
210,本身,4
211,技术水平,4
212,人巢,4
213,再融资,4
214,证券公司,4
215,监管部门,4
216,王艳侠,4
217,陶玉,4
218,日日,4
219,候选人,4
220,主要职责,4
221,公司财务,4
222,传媒,4
223,事务所律师,4
224,中联,4
225,厦门大学,4
226,元月,4
227,混合,4
228,审查,4
229,萨摩亚,4
230,宇瀚,4
231,保险费,4
232,成分,4
233,补助款,4
234,教育费,4
235,退款,4
236,基准日,4
237,社保,4
238,股股,3
239,盛盛瑞,3
240,互娱,3
241,零售,3
242,领导者,3
243,交易市场,3
244,竞争对手,3
245,认知度,3
246,高度,3
247,自动,3
248,匹配,3
249,北美,3
250,上线,3
251,群,3
252,既有,3
253,消费,3
254,深耕,3
255,北欧,3
256,扩张,3
257,年均,3
258,增长点,3
259,属性,3
260,广告主,3
261,租用,3
262,务,3
263,主板,3
264,第一名,3
265,深化,3
266,对接,3
267,接入,3
268,贡献,3
269,置入,3
270,石亚君,3
271,展览,3
272,展示,3
273,电脑,3
274,家具,3
275,复合,3
276,表现,3
277,科技领域,3
278,人工智能,3
279,衍生品,3
280,全球化,3
281,语言,3
282,依赖于,3
283,类产品,3
284,欧盟,3
285,紧密,3
286,负面影响,3
287,或期,3
288,杭州市中级人民法院,3
289,云南省,3
290,保山市,3
291,全景网,3
292,说明会,3
293,应有,3
294,不派,3
295,自增持,3
296,承,3
297,申请材料,3
298,如为,3
299,共青城,3
300,尽快,3
301,无异议,3
302,第三十四,3
303,举办,3
304,生日会,3
305,扶贫,3
306,环境保护,3
307,技术开发区,3
308,股巢,3
309,林,3
310,飞扬,3
311,咨询服务,3
312,汪涛,3
313,袁冰,3
314,朱恩乐,3
315,男月,3
316,吴军,3
317,炫踪,3
318,学士学位,3
319,教师,3
320,健康,3
321,江苏,3
322,首席,3
323,节日,3
324,医疗保险,3
325,生育,3
326,工伤保险,3
327,集体,3
328,人选,3
329,通信,3
330,利润率,3
331,保费,3
332,准备金,3
333,中央银行,3
334,益,3
335,企业法人,3
336,康铨,3
337,光电,3
338,嘉实,3
339,数在,3
340,指为,3
341,表中,3
342,获利,3
343,下述,3
344,一组,3
345,除此以外,3
346,电子商务系统,3
347,每一,3
348,纳税人,3
349,新疆,3
350,高新技术,3
351,款年,3
352,域名,3
353,续展,3
354,外汇,3
355,工作日内,3
356,作价,3
357,恒天,3
358,中岩,3
359,万台,3
360,袁丽华,2
361,对此,2
362,送,2
363,外文,2
364,网址,2
365,电子信箱,2
366,制造业,2
367,全案,2
368,确认书,2
369,至冉,2
370,海淀区,2
371,第三季度,2
372,统一标准,2
373,及盖娅,2
374,评估费,2
375,律师费,2
376,审计费,2
377,非金融,2
378,正版,2
379,专注,2
380,码,2
381,点卡,2
382,道具,2
383,预付费,2
384,卡,2
385,占据,2
386,奥地利,2
387,瑞士,2
388,领袖,2
389,在线,2
390,风向标,2
391,早期,2
392,位元,2
393,戏,2
394,赚取,2
395,服务体系,2
396,奠定,2
397,产品线,2
398,成熟,2
399,线上,2
400,公认,2
401,客户群,2
402,极高,2
403,经济损失,2
404,算法,2
405,常规,2
406,筛选,2
