,分词排序,词频
0,农业,741
1,金丰,602
2,工程,359
3,生态,307
4,肥料,120
5,资讯网,118
6,上海,110
7,山东,80
8,化肥,77
9,康朴,76
10,复合肥,73
11,信息,67
12,园艺,62
13,农化,61
14,肥,57
15,临沂,49
16,科技,47
17,植保,47
18,德国,46
19,种植,46
20,一号,42
21,土壤,41
22,家庭,41
23,农产品,39
24,控释,35
25,作物,33
26,夫特,32
27,电子商务,32
28,农民,32
29,排放,32
30,建设,31
31,农商,30
32,菏泽,29
33,沃,29
34,临沭县,27
35,农户,27
36,诺贝,27
37,培养基,27
38,废气,26
39,环保,25
40,丰,25
41,云南,24
42,亲土,24
43,土地,24
44,服务中心,24
45,陕西,24
46,硝基,23
47,北京,22
48,新疆,22
49,临沂市,22
50,自查,22
51,万连步,20
52,泰尔,20
53,大地,20
54,农服,20
55,生物,20
56,河南省,20
57,李计国,19
58,大信,19
59,种植业,19
60,贵州,19
61,营养,18
62,修复,18
63,农资,18
64,银行,18
65,云南省,18
66,水溶,17
67,现代农业,17
68,资源,17
69,农业产业,17
70,商品销售,17
71,农技,16
72,内蒙古,16
73,菏泽市,16
74,化学,15
75,数据,15
76,耕地,15
77,增效,15
78,天津,15
79,房地产,15
80,公正,15
81,市场价,15
82,现汇,15
83,超标,15
84,议,15
85,安徽,14
86,香港,14
87,土壤改良,14
88,化工,14
89,决,14
90,翟际栋,14
91,青岛,14
92,元金,13
93,临沭,13
94,全程,13
95,排放口,13
96,驻马店市,13
97,贵州省,13
98,培,13
99,河南,12
100,水溶性,12
101,崔彬,12
102,调理,12
103,液体,12
104,石膏,12
105,工程项目,12
106,工业,12
107,明斯特,12
108,广西省,12
109,河北省,12
110,化学工业,11
111,复合肥料,11
112,湖北,11
113,剂,11
114,瓮安,11
115,健康,11
116,环境,11
117,养基及,11
118,广东,10
119,硝酸,10
120,磷,10
121,灵活,10
122,信息化,10
123,东富,10
124,辽宁省,10
125,陕西省,10
126,指金,9
