,分词排序,词频
0,宁波,296
1,圣莱达,281
2,电器,234
3,信息,67
4,科技,54
5,北京,47
6,资讯网,47
7,温控器,40
8,材料,39
9,电热,34
10,文化,34
11,咖啡机,33
12,阳光,30
13,星美,30
14,江北区,27
15,土地,27
16,房地产,25
17,电热水壶,24
18,影业,23
19,影视,23
20,爱,23
21,普尔,23
22,江北,23
23,银行,19
24,小家电,18
25,超募,18
26,山路,16
27,工程,16
28,影视文化,16
29,配件,16
30,建筑物,15
31,上海,15
32,香港,14
33,禁入,14
34,圣利达,14
35,永利,12
36,互联网,12
37,加热,12
38,极速,12
39,软件,12
40,沪,12
41,亚太,11
42,数据,11
43,制造,11
44,中院,11
45,罚款,11
46,信托,11
47,裁判,11
48,宗,11
49,建设,10
50,环保,10
51,万台,10
52,影片,10
53,猎狐,10
54,洲际,10
55,通商,10
56,符,9
57,合资,9
58,向前,9
59,通缉令,9
60,策划,9
61,警告,9
62,处以,9
63,海军,9
64,元为,9
65,查阅,8
66,屹丰,8
67,节能,8
68,更名,8
69,验资,8
70,现金管理,8
71,滚动,8
72,责任人员,8
73,防治法,8
74,西藏,8
75,决策者,8
76,水,7
77,局中局,7
78,锻刀,7
79,人工,7
80,技术转让,7
81,电子产品,7
82,摄制,7
83,附属,7
84,瑞孚,7
85,工业,7
86,爱浦尔,7
87,摄影,7
88,索赔,7
89,决定书,7
90,虚增,7
91,生物,7
92,物联,6
93,深圳,6
94,圣典,6
95,网站,6
96,核心技术,6
97,康庄,6
98,南路,6
99,智能,6
100,传媒,6
101,技术咨询,6
102,日用品,6
103,计算机,6
104,众华,6
105,节余,6
106,展览,6
107,男年生,6
108,佛山,6
109,访谈,6
110,杨宁恩,6
111,银必信,6
112,中介,6
113,代理人,6
114,不派,5
115,未决,5
116,下滑,5
117,安全性,5
118,万套,5
119,中局,5
120,环境保护,5
121,计算机软件,5
122,银行贷款,5
123,工商银行,5
124,器材,5
125,机械设备,5
126,王晓媛,5
127,徐虹,5
128,赵晓光,5
129,张坤泉,5
130,协议书,5
131,晟,5
132,新创,5
133,加升,5
134,钟锦祥,5
135,教育,5
136,选聘,5
137,责任人,5
138,下属单位,5
139,文书,5
140,询问,5
141,真实性,5
142,油气,5
143,对外贸易,5
144,合作局,5
145,众会,5
146,盛阳,5
147,甬,5
148,版权,5
149,残疾,5
150,应纳,5
151,款年,5
152,圣莱达云,4
153,整机,4
154,胶囊,4
155,放缓,4
156,人工成本,4
157,去年同期,4
158,拍摄,4
159,题材,4
160,电影,4
161,死,4
162,战士,4
163,销售业务,4
164,资源,4
165,积极开展,4
166,国外,4
167,出库,4
168,宣传,4
169,余姚市,4
170,电子,4
171,办公用品,4
172,定期存款,4
173,投资总额,4
174,扩产,4
175,展示,4
176,环境,4
177,对此,4
178,提示性,4
179,撤诉,4
180,覃辉,4
181,刘锦源,4
182,崔天旨,4
183,第五次,4
184,创业,4
185,退还,4
186,补助款,4
187,影视作品,4
188,详情,4
189,华润,4
190,电机,4
191,杜,4
192,张彦博,4
193,辞去,4
194,友谊,4
195,东,4
196,济南,4
197,公正,4
198,年报,4
199,交流,4
200,日年,4
201,衡量,4
202,请参阅,4
203,发函,4
204,询证,4
205,外经贸,4
206,资管,4
207,函号,4
208,决策权,4
209,缺勤,4
210,强仁,4
211,祥云县,4
212,腾龙,4
213,违法行为,4
214,技术改造,4
215,第四批,4
216,工业区,4
217,充足,4
218,万万,4
219,李,3
220,红霞,3
221,证监局,3
222,有无,3
223,人符,3
224,于良,3
225,李孝念,3
226,零部件,3
227,上涨,3
228,开水,3
229,外观设计,3
230,严峻,3
231,播映,3
232,许可证,3
233,播放,3
234,洽谈,3
235,开拍,3
236,上线,3
237,英雄,3
238,无悔,3
239,天润,3
240,上映,3
241,亮视,3
242,中航,3
243,绿能,3
244,套,3
245,富达,3
246,国际贸易,3
247,款万转,3
248,电影局,3
249,投向,3
250,否不,3
251,随心,3
252,二号,3
253,拓户,3
254,第十五次,3
255,公司财务,3
256,零件,3
257,电热器,3
258,数据处理,3
259,旅游,3
260,艺术交流,3
261,会务,3
262,体育用品,3
263,盘活,3
264,早日,3
265,电视剧,3
266,艺术,3
267,谨慎,3
268,方以,3
269,书,3
270,证券市场,3
271,宋武华,3
272,核查,3
273,污染,3
274,污染物,3
275,排放,3
276,结构性,3
277,两部,3
278,陈树雄,3
279,创业投资,3
280,私募,3
281,经纪,3
282,证券期货,3
283,马建鸿,3
284,陈真,3
285,航天,3
286,广东,3
287,副经理,3
288,山东,3
289,绩效奖金,3
290,设有,3
291,工作效率,3
292,偏离,3
293,赔偿款,3
294,完整性,3
295,评估师,3
296,保费,3
297,准备金,3
298,中央银行,3
299,以北,3
300,区外,3
301,审号,3
302,外经贸局,3
303,雍,3
304,此次,3
305,确认书,3
306,志强,3
307,叶激艇,3
308,表及,3
309,下以,3
310,表时,3
311,取决于,3
312,以非,3
313,核算成本,3
314,专利权,3
315,保险费,3
316,带薪,3
317,政策性,3
318,教育费,3
319,庞,3
320,金汇,3
321,民事诉讼,3
322,上诉,3
323,终审,3
324,补,3
325,虚构,3
326,持本,3
327,主管人员,2
328,证监会,2
329,保荐人,2
330,监管局,2
331,互联,2
332,指星,2
333,文化传媒,2
334,圣莱,2
335,外文,2
336,网址,2
337,电子信箱,2
338,历次,2
339,孟红,2
340,统一标准,2
341,投资规模,2
342,厂商,2
343,认同,2
344,优点,2
345,热式,2
346,健康,2
347,商务,2
348,紧密,2
349,产品升级,2
350,热,2
351,载体,2
352,多样化,2
353,考核制度,2
354,生产成本,2
355,转化,2
356,传统,2
357,机,2
358,扭亏为盈,2
359,两处,2
360,扭亏,2
361,外销,2
362,饱和,2
363,组件,2
364,合作开发,2
365,革命,2
366,文献,2
367,纪录片,2
368,拿到,2
369,剧本,2
370,当中,2
371,现状,2
372,应用领域,2
373,确立,2
374,两大,2
375,发明专利,2
376,品牌形象,2
377,检测,2
378,力争,2
379,出货,2
380,分类单位,2
381,影视制作,2
382,其他软件,2
383,无锡,2
384,中新成,2
385,遂宁市,2
386,鑫诚,2
387,能源,2
388,天津,2
389,光伏,2
390,批文,2
391,投资额,2
392,涉,2
393,盈亏,2
394,网络计算机,2
395,前海亚,2
396,诗特,2
397,五一,2
398,原名,2
399,年待播,2
400,年份,2
401,去向,2
402,到位,2
403,高精度,2
404,钛,2
405,镍合金,2
406,记忆,2
407,自动化,2
408,冲击,2
409,白热化,2
410,第二十四,2
411,后于,2
412,第二十八,2
413,第十次,2
414,永久性,2
415,充分考虑,2
416,开支,2
417,顺利,2
418,贡献,2
419,净利,2
420,润,2
421,按计划,2
422,浙江,2
423,宝山,2
424,家用电器,2
425,发热管,2
426,文化产业,2
427,庆典礼仪,2
428,舞台,2
429,道具,2
430,建筑用,2
431,承办,2
432,化妆品,2
433,舞台灯光,2
434,音响设备,2
435,技术推广,2
436,发,2
437,消费,2
438,注入,2
439,梳理,2
440,加剧,2
441,公司业绩,2
442,寻找,2
443,外延,2
444,影视剧,2
445,审查,2
446,科学,2
447,在内,2
448,收购人,2
449,清理,2
450,工程项目,2
451,第二十七次,2
452,账务,2
453,审结,2
454,立,2
455,万年,2
456,深刻,2
457,控,2
458,建立健全,2
459,概况,2
460,扶贫,2
461,水污染,2
462,大气污染,2
463,噪声污染,2
464,固体废物,2
465,招商,2
466,暂定名,2
467,占该,2
468,外资股,2
469,融通,2
470,招商银行,2
471,集合,2
472,庄欣佳,2
473,刘寿莲,2
474,陈飞,2
475,钟文杰,2
476,股外,2
477,广发,2
478,食品,2
