,分词排序,词频
0,通鼎,526
1,信息,330
2,互联,309
3,钱慧芳,271
4,沈小平,167
5,否通鼎,137
6,网络,127
7,江苏,126
8,否沈小平,122
9,科技,99
10,百卓,89
11,通信,74
12,光电,71
13,苏州,61
14,光纤,56
15,宽带,49
16,北京,47
17,数据,44
18,光缆,42
19,上海,41
20,吴江,40
21,信息技术,39
22,苏州市,35
23,瑞翼,32
24,电缆,30
25,网络安全,29
26,棒,27
27,鼎,27
28,微能,26
29,建设,24
30,灏,23
31,线缆,22
32,工程,22
33,海滨,20
34,通鼎光,19
35,南京,19
36,土地,19
37,陈,19
38,浙江,18
39,元通,18
40,智能,18
41,运营商,17
42,材料,16
43,伟业,16
44,互联网,16
45,流量,16
46,银行,16
47,立项,16
48,创兴,14
49,电信,14
50,可视化,14
51,资讯网,14
52,房地产,14
53,开曼,13
54,高新技术,13
55,公里,13
56,信托,13
57,市场价,13
58,工程师,13
59,机电设备,12
60,应急,12
61,杭州,12
62,吴江市,12
63,保函否,12
64,无线,11
65,电子,11
66,光棒,11
67,任通鼎,11
68,盛信,10
69,外汇,10
70,资源,10
71,环境,10
72,霍尔果斯,10
73,永庆,9
74,李增业,9
75,光,9
76,预制,9
77,迪威普,9
78,无通鼎,9
79,鼎宇,8
80,传输,8
81,震泽镇,8
82,坚定,8
83,基础设施,8
84,义益,8
85,钛,8
86,迪,8
87,黄健,8
88,北京邮电大学,8
89,工业,8
90,基准日,8
91,南海,7
92,天衡,7
93,接入,7
94,大道,7
95,光通信,7
96,电力电缆,7
97,一体化,7
98,公共安全,7
99,文化,7
100,制造业,7
101,万芯,7
102,车间,7
103,陈斌,7
104,湾,7
105,大酒店,7
106,王博,7
107,单价,7
108,生物,7
109,颁发,7
110,王则斌,6
111,华臻,6
112,深圳,6
113,小平,6
114,中央,6
115,健康,6
116,万皮长,6
117,需求量,6
118,可转债,6
119,公司财务,6
120,技术改造,6
121,刘,6
122,后限售,6
123,蔡文杰,6
124,等于,6
125,农村,6
126,苏州大学,6
127,会计学,6
128,发货,6
129,光纤通信,6
130,被套,6
131,产品开发,6
132,值为,6
133,工业园区,6
134,瑞小云,5
135,集成,5
136,非金融,5
137,信息化,5
138,面向,5
139,态势,5
140,感知,5
141,智慧,5
142,数据分析,5
143,南京大学,5
144,易,5
145,科学,5
146,挑战,5
147,软件,5
148,超募,5
149,刘文斌,5
150,咏梅,5
151,朱健彦,5
152,陈亮,5
153,方晓亮,5
154,唐正国,5
155,实施细则,5
156,大会,5
157,财产损失,5
158,油气,5
159,厅,5
160,财政厅,5
161,新疆,5
162,结项,5
163,东洲,5
164,补偿款,5
165,经发局,5
166,技术开发区,5
167,吴财企,5
168,颜,4
169,林金桐,4
170,传感,4
171,子系统,4
172,指即,4
173,人颜,4
174,检测,4
175,南京市,4
176,顺利,4
177,三大,4
178,商用,4
179,斯达康,4
180,信息安全,4
181,管理系统,4
182,网络空间,4
183,网民,4
184,更好,4
185,国家级,4
186,传统,4
187,技术水平,4
188,国外,4
189,适度,4
190,投向,4
191,投资总额,4
192,最大化,4
193,战略规划,4
194,作价,4
195,经天衡,4
196,元不以,4
197,日鼎,4
198,无效,4
199,利用自身,4
200,谋求,4
201,黄佶张,4
202,尊重,4
203,平等,4
204,限售期,4
205,集合,4
206,摘要,4
207,提案,4
208,交流,4
209,教育,4
210,股无拟,4
211,新华,4
212,华鑫,4
213,商业银行,4
214,高志,4
215,荣,4
216,常务,4
217,创业投资,4
218,博士,4
219,国通,4
220,传媒,4
221,审计部,4
222,服务部,4
223,掌厅,4
224,黄页,4
225,验收单,4
226,小型,4
227,微利,4
228,税务局,4
229,损失率,4
230,涉案,4
231,软,4
232,评报,4
233,可回收,4
234,稳定期,4
235,为元注,4
236,信息产业,4
237,振兴,4
238,拨入,4
239,股股,3
240,线路,3
241,配线,3
242,电话线,3
243,通讯,3
244,多媒体,3
245,数字化,3
246,网站,3
247,联网,3
248,荆建明,3
249,崔爱萍,3
250,自由贸易,3
251,试验区,3
252,采集,3
253,政府部门,3
254,高带宽,3
255,通信产业,3
256,合成,3
257,产业布局,3
258,承载,3
259,网,3
260,高性能,3
261,公安,3
262,一支,3
263,奠定,3
264,互联网络,3
265,年底,3
266,伴随,3
267,纷纷,3
268,四期,3
269,具,3
270,所在地,3
271,生产成本,3
272,发明专利,3
273,光电子,3
274,高度,3
275,业务范围,3
276,这一,3
277,服务业,3
278,系本,3
279,下滑,3
280,投资额,3
281,益,3
282,技术咨询,3
283,技术转让,3
284,去向,3
285,否否否,3
286,拉丝,3
287,先期,3
288,结余,3
289,湖州,3
290,友好,3
291,面向未来,3
292,联通,3
293,大宗,3
294,黄健张,3
295,盛森,3
296,控,3
297,美学,3
298,对手,3
299,交易方式,3
300,西藏,3
301,莱沃,3
302,清理,3
303,公司员工,3
304,获批,3
305,苏州工业园区,3
306,体检,3
307,绿色,3
308,运输,3
309,股限售,3
310,张煜,3
311,斌,3
312,刘延辉,3
313,朱坤,3
314,东洋,3
315,王,3
316,庆丰,3
317,电缆厂,3
318,经济师,3
319,就职,3
320,行业协会,3
321,商学院,3
322,职工代表,3
323,股份有限,3
324,安讯,3
325,审查,3
326,送托,3
327,结酬,3
328,分成,3
329,送托到,3
330,账率,3
331,垂行,3
332,获客,3
333,排重,3
334,下载,3
335,个数,3
336,保费,3
337,准备金,3
338,中央银行,3
339,充足,3
340,抵消,3
341,参与者,3
342,余值,3
343,使本,3
344,税额,3
345,所得税率,3
346,教育费,3
347,免征,3
348,国家税务局,3
349,地方税务局,3
350,保险费,3
351,止为,3
352,注关,3
353,出让金,3
354,款元,3
355,预算内,3
356,补贴款,3
357,日元,3
358,反向,3
359,更名,2
360,棒瑞翼,2
361,金控,2
362,嘉吉,2
363,终端,2
364,楼,2
365,模拟,2
366,传输速率,2
367,第三代,2
368,高速,2
369,传送,2
370,声音,2
371,交互式,2
372,实时,2
373,缩写,2
374,外文,2
375,网址,2
376,电子信箱,2
377,媒体,2
378,电线电缆,2
379,同轴电缆,2
380,网页,2
381,计算机网络,2
382,道路,2
383,货物运输,2
384,无线通信,2
385,数据通信,2
386,有无,2
387,建邺区,2
388,机构名称,2
389,西南,2
390,比上,2
391,增,2
392,统一标准,2
393,缆,2
394,专网,2
395,存储,2
396,迎来,2
397,做强,2
398,根基,2
399,成熟,2
400,扩产,2
401,达产,2
402,中国移动,2
403,利用率,2
404,网关,2
405,多款,2
406,生态,2
407,领导小组,2
408,夯实,2
409,定,2
410,交叉,2
411,下一代,2
412,指挥,2
413,调度,2
414,统计,2
415,手机,2
416,海量,2
417,更快,2
418,套餐,2
419,游戏,2
420,阶段性,2
421,有所增加,2
422,对冲,2
423,远期,2
424,位居,2
425,经济效益,2
426,新工艺,2
427,推向市场,2
428,工作站,2
429,光子,2
430,硬件,2
431,快速增长,2
432,配合,2
433,客户资源,2
434,入围,2
435,售后服务,2
436,生产能力,2
437,延伸,2
438,主航道,2
439,安监,2
440,防灾,2
441,救灾,2
442,人工智能,2
443,管理机制,2
444,手段,2
445,生命周期,2
446,监测,2
447,预警,2
448,督促,2
449,研判,2
450,事故,2
451,健全,2
452,缩短,2
453,互联网安全,2
454,系在,2
455,下半年,2
456,放缓,2
457,消化,2
458,第一名,2
459,第二名,2
460,第三名,2
461,第四名,2
462,第五名,2
463,科技领域,2
464,商务信息,2
465,购入,2
466,售出,2
467,年份,2
468,塔,2
469,贡献,2
470,按计划,2
471,如期,2
472,勤峰,2
473,产业政策,2
474,在于,2
475,供需,2
476,开源节流,2
477,数据中心,2
478,借助,2
479,外延,2
480,把握住,2
481,专注,2
482,集群,2
483,集体,2
484,领先水平,2
485,动力,2
486,缺失,2
487,新兴产业,2
488,人力,2
489,清晰,2
490,透明,2
491,详细情况,2
492,煜,2
493,所作,2
494,每一项,2
495,经济损失,2
496,交,2
497,优于,2
498,不可避免,2
499,等价,2
500,有偿,2
501,签订协议,2
502,报批,2
503,善意,2
504,法人地位,2
505,谋取,2
506,正当,2
507,非法,2
508,售期,2
509,之时,2
510,因瑞翼,2
511,内向,2
512,金年,2
513,崔泽鹏,2
514,宋禹,2
515,陈裕珍,2
516,方现,2
517,存续,2
518,承接,2
519,绩,2
520,分拆,2
521,代扣,2
522,可比,2
523,调整法,2
524,交易类型,2
525,同类,2
526,之责,2
527,慈善,2
528,说明会,2
529,积极性,2
530,工会,2
531,菜单,2
532,合作伙伴,2
533,环境保护,2
534,节能,2
535,减排,2
536,工厂,2
537,股日,2
538,张月芳,2
539,陆建明,2
540,缪云鹏,2
541,光大银行,2
542,社保,2
543,股沈小平,2
544,性别,2
545,金桐,2
546,正国,2
547,彭声,2
548,谦,2
549,第十四次,2
550,鲈乡,2
551,小额贷款,2
552,国,2
553,发,2
554,工学,2
555,中专,2
556,通际,2
557,武汉,2
558,长光,2
559,通鼎非,2
560,网络科技,2
561,创办,2
562,现为,2
563,港湾,2
564,投资银行,2
565,部任,2
566,讲师,2
567,系主任,2
568,教授级,2
569,工业部,2
570,第二十三,2
571,电子设备,2
572,主任委员,2
573,电子元件,2
574,分会,2
575,理事长,2
576,金杯,2
577,电工,2
578,鸿,2
579,辉光,2
580,百川,2
581,导体,2
582,东吴,2
583,院长,2
584,沙钢,2
585,建科院,2
586,张家港,2
587,富淼,2
588,高中,2
589,成本会计,2
590,本节,2
591,华为技术有限公司,2
592,交换机,2
593,特种,2
594,商务,2
595,运营部,2
596,公正,2
597,年终奖,2
598,责任制,2
599,授课,2
600,板,2
601,召集,2
602,共人,2
603,人员构成,2
604,四个,2
605,职权,2
606,来访,2
607,利益者,2
608,明确规定,2
609,专职,2
610,面向市场,2
611,商标,2
612,非专利,2
613,无异议,2
614,中高级,2
615,纠正,2
616,重要性,2
617,审,2
618,如本,2
619,所示,2
620,开票,2
621,报关,2
622,订购,2
623,送托数,2
624,商品销售,2
625,抽样,2
626,支持性,2
627,并非,2
628,选用,2
629,元以,2
630,金融机构,2
631,股债,2
632,第十九次,2
633,共名,2
634,为元股,2
635,号文,2
636,制造,2
637,双芯,2
638,限定,2
639,户,2
640,日止,2
641,多方,2
642,付出,2
643,取决于,2
644,投出,2
645,因该,2
646,易于,2
647,于本,2
648,对以,2
649,组时,2
650,或应,2
651,指为,2
652,建筑物,2
653,机器设备,2
654,运输设备,2
655,中除,2
656,如可,2
657,社会保障,2
658,养老保险,2
659,医疗保险,2
660,住房,2
661,裁减,2
662,退休,2
663,退,2
664,换取,2
665,权在,2
666,日以,2
667,测量,2
668,每一,2
669,长期负债,2
670,款额,2
671,套,2
672,期本,2
673,符合条件,2
674,当本,2
675,随后,2
676,时自,2
677,房产,2
678,电子商务,2
679,软件产品,2
