,分词排序,词频
0,辉丰,384
1,江苏,360
2,农业,283
3,生物,278
4,化工,111
5,环保,106
6,排放,74
7,农药,71
8,信息,68
9,停产,60
10,菲特,54
11,嘉隆,52
12,工程,49
13,废水,49
14,连云港,49
15,车间,48
16,达标,47
17,盐城市,45
18,资讯网,42
19,原药,41
20,大丰,41
21,废气,40
22,环境,39
23,石化,39
24,石家庄,34
25,华通,34
26,上海,32
27,整治,31
28,土地,31
29,污染物,30
30,瑞凯,30
31,失信,30
32,被执行人,30
33,银行,29
34,罚款,29
35,建设,28
36,复产,27
37,焦点,25
38,责令,25
39,制剂,24
40,危险废物,24
41,排放口,24
42,化学,21
43,仲汉根,20
44,网站,20
45,化学品,20
46,盐城,20
47,科技,19
48,农化,19
49,涉嫌,19
50,安监,19
51,徐州,18
52,生化,18
53,数据,17
54,金源,17
55,间歇,17
56,临沂,16
57,房地产,16
58,任职期间,16
59,擅自,16
60,排口,16
61,最高人民法院,16
62,天健,15
63,焚烧,15
64,新宇,15
65,百分之五,15
66,南京,15
67,大宗,14
68,仓储,14
69,菊酯,14
70,北京,14
71,玉容,14
72,板,14
73,经在,14
74,装置,13
75,环境保护,13
76,环境保护局,13
77,东台市,13
78,致诚,13
79,技术改造,13
80,合成,12
81,固废,12
82,污染环境,12
83,环境污染,12
84,咪,12
85,同上,12
86,焚烧炉,12
87,响水,12
88,补助款,12
89,健康,11
90,油品,11
91,监测,11
92,水煤浆,11
93,污水,11
94,仲,11
95,粮食,10
96,可转债,10
97,关闭,10
98,修复,10
99,周立,10
100,夏烽,10
101,扶贫,10
102,轩凯,10
103,韦广权,9
104,危废,9
105,中间体,9
106,长顺,9
107,教育,9
108,材料,9
109,刑事诉讼,9
110,环评,9
111,设置,9
112,氟,9
113,物料,9
114,奚圣虎,9
115,孙永良,9
116,运输,8
117,博闰,8
118,国际贸易,8
119,草铵,8
120,膦,8
121,抗倒,8
122,酯,8
123,灌南县,8
124,罪,8
125,人民检察院,8
126,券报,8
127,露天,8
128,第一款,8
129,陈晓东,8
130,李萍,8
131,张建国,8
132,姜正霞,8
133,茅永根,8
134,郁金香,8
135,农一,8
136,总排,8
137,口同,8
138,裴柏平,8
139,清华大学,8
140,信用等级,8
141,资源,7
142,高新技术,7
143,内销,7
144,外销,7
145,致远,7
146,定期存款,7
147,蒸汽,7
148,触犯,7
149,责任人员,7
150,仓库,7
151,堆放,7
152,日报,7
153,报批,7
154,废,7
155,大气,7
156,氰,7
157,储存,7
158,危险,7
159,环,7
160,在线,7
161,司法机关,7
162,金文,7
163,氮氧化物,7
164,采,7
165,清洁,6
166,污染,6
167,人仲汉根,6
168,工业,6
169,三是,6
170,种子,6
171,油气,6
172,要素,6
173,非法,6
174,网,6
175,公示,6
176,由嘉隆,6
177,移送,6
178,配合,6
179,清理,6
180,活性炭,6
181,改正,6
182,违法行为,6
183,浓,6
184,鲜胺,6
185,标志,6
186,光气,6
187,谴责,6
188,日日,6
189,氨氮,6
190,尾气,6
191,生,6
192,国家税务局,6
193,免征,6
194,商业银行,6
195,制造业,6
196,发明专利,5
197,环保部门,5
198,三废,5
199,投资总额,5
200,审号,5
201,管理条例,5
202,渗漏,5
203,沟,5
204,工业园区,5
205,厅,5
206,港,5
207,公安局,5
208,分局,5
209,案,5
210,提起公诉,5
211,触及,5
212,解聘,5
213,罚,5
214,报及,5
215,副产,5
216,予,5
217,环境影响,5
218,废液,5
219,超标,5
220,联苯,5
221,氯,5
222,新上,5
223,防治法,5
224,酰胺,5
225,拆除,5
226,三氟氯菊酸,5
227,吡氟酰草胺,5
228,卞祥,5
229,彬彬,5
230,排污,5
231,二氧化硫,5
232,宏润,5
233,应急,5
234,送,5
235,杨进华,5
236,唐中,5
237,男年生,5
238,迪拜,5
239,股占,5
240,审计部,5
241,提单,5
242,以销定,5
243,生产费,5
244,建筑物,5
245,建造,5
246,换取,5
247,广西,5
248,朱,5
249,光华,5
250,源于,5
251,外汇,5
252,杨,4
253,理解,4
254,综合利用,4
255,事故,4
256,控制系统,4
257,防治,4
258,除草剂,4
259,杀菌剂,4
260,王港,4
261,闸,4
262,南首,4
263,低毒,4
264,物流,4
265,责任制,4
266,三水,4
267,获批,4
268,公司员工,4
269,开具,4
270,甲氧虫酰肼,4
271,种业,4
272,中央,4
273,市场营销,4
274,尽快,4
275,中所,4
276,派送,4
277,第十一次,4
278,六个月,4
279,无防,4
280,高浓度,4
281,复产注,4
282,文,4
283,公开栏,4
284,链接,4
285,注年,4
286,直属,4
287,立案侦查,4
288,生态环境,4
289,损害赔偿,4
290,初步,4
291,协议书,4
292,农用,4
293,金融机构,4
294,授信额度,4
295,有机,4
296,收集,4
297,证年,4
298,如实,4
299,台账,4
300,贮存,4
301,机关,4
302,氯苯,4
303,戊酮,4
304,连云港市,4
305,地面,4
306,处理厂,4
307,甲苯,4
308,场所,4
309,季自华,4
310,陈健,4
311,工会,4
312,农村,4
313,口,4
314,接管,4
315,无量,4
316,纲,4
317,颗粒物,4
318,顾国梁,4
319,辞去,4
320,大丰市,4
321,工程师,4
322,职,4
323,总股,4
324,内未,4
325,第条,4
326,处分,4
327,纠正,4
328,负面,4
329,对辉丰,4
330,港口,4
331,报关,4
332,海运,4
333,软件,4
334,交货,4
335,储运,4
336,毁损,4
337,新疆,4
338,生物科技,4
339,种植,4
340,募股,4
341,权证,4
342,振兴,4
343,信息化,4
344,付现,4
345,铜国用,4
346,王普国,3
347,已有,3
348,对此,3
349,见本,3
350,工艺技术,3
351,人类,3
352,采取相应,3
353,微生物,3
354,杀虫剂,3
355,海洋,3
356,南区,3
357,纬,3
358,二路,3
359,联系人,3
360,事务部,3
361,有无,3
362,朱国刚,3
363,张春洋,3
364,致力于,3
365,残留,3
366,农产品,3
367,高毒,3
368,发展前景,3
369,国家级,3
370,网络,3
371,稳定性,3
372,回升,3
373,对照,3
374,督察,3
375,压实,3
376,紧扣,3
377,细化,3
378,各个环节,3
379,人二是,3
380,减量,3
381,分离,3
382,登记证,3
383,人工成本,3
384,之中,3
385,更名,3
386,绿化,3
387,退市,3
388,督查,3
389,大力发展,3
390,早日,3
391,到位,3
392,追究,3
393,警示,3
394,转化,3
395,召集,3
396,动态,3
397,有毒,3
398,操作,3
399,透明,3
400,生产废水,3
401,填埋,3
402,当地政府,3
403,沿海,3
404,集中供热,3
405,中因,3
406,安道,3
407,麦,3
408,谅解,3
409,备忘录,3
410,堆沟港,3
411,表中,3
412,上表,3
413,原子,3
414,投产,3
415,残渣,3
416,盐,3
417,厂区,3
418,环唑,3
419,生产工艺,3
420,丙类,3
421,第二款,3
422,大气污染,3
423,第十九条,3
424,出水,3
425,分质,3
426,电,3
427,防范措施,3
428,负有,3
429,竣工,3
430,纪检,3
431,强制措施,3
432,仲汉,3
433,王,3
434,首期,3
435,摘要,3
436,名单,3
437,电子商务,3
438,日辉丰,3
439,体检,3
440,脱贫,3
441,需氧量,3
442,工业园,3
443,盐环,3
444,三行,3
445,导热油,3
446,炉排,3
447,氯化氢,3
448,没,3
449,许可证,3
450,各高管,3
451,季红进,3
452,新宇辉丰,3
453,受过,3
454,惩戒,3
455,事业,3
456,一部,3
457,河北,3
458,秘书长,3
459,副所长,3
460,颁发,3
461,适合,3
462,通报批评,3
463,根据上述,3
464,制衡,3
465,时报,3
466,工作细则,3
467,审,3
468,审阅,3
469,科学,3
470,鹏元,3
471,倍数,3
472,运送,3
473,函证,3
474,保费,3
475,准备金,3
476,中央银行,3
477,蔬菜,3
478,低值易耗品,3
479,包装物,3
480,承运人,3
481,政策性,3
482,余值,3
483,税额,3
484,教育费,3
485,建设工程,3
486,零星,3
487,负数,3
488,陕西,3
489,杨凌农,3
490,商行,3
491,刘必焕,3
492,孟宪民,3
493,国有土地,3
494,地块,3
495,由原,3
496,隆茂,3
497,否因,3
498,上诉,3
499,款个,3
500,不派,2
501,体现,2
502,能源,2
503,源头,2
504,全过程,2
505,财产损失,2
506,控制措施,2
507,得以,2
508,自动化,2
509,采集,2
510,剂型,2
511,害虫,2
512,网址,2
513,电子信箱,2
514,选定,2
515,媒体,2
516,座,2
517,元非,2
518,统一标准,2
519,非金融,2
520,作物,2
521,菌剂,2
522,微毒,2
523,环境友好,2
524,临港,2
525,放大,2
526,显现,2
527,人口,2
528,生产资料,2
529,低效,2
530,淘汰,2
531,多家,2
532,跨国公司,2
533,建有,2
534,科研,2
535,树立,2
536,商标,2
537,总局,2
538,检测,2
539,顺利,2
540,论证,2
541,证件,2
542,差异化,2
543,立项,2
544,进一步提高,2
545,实物,2
546,分类单位,2
547,走,2
548,定存,2
549,折耗,2
550,增,2
551,工行,2
552,投资额,2
553,年份,2
554,去向,2
555,超募,2
556,投向,2
557,试生产,2
558,预先,2
559,药制剂,2
560,抗性,2
561,产业政策,2
562,供给,2
563,外部环境,2
564,越来越,2
565,奖惩,2
566,筑牢,2
567,防火墙,2
568,规范化,2
569,全力,2
570,单品,2
571,路径,2
572,防范,2
573,四是,2
574,责任人,2
575,五是,2
576,吸引,2
577,产品价格,2
578,化工产品,2
579,清晰,2
580,完备,2
581,表达意见,2
582,诉求,2
583,便于,2
584,连续性,2
585,兼顾,2
586,正值,2
587,成熟期,2
588,成长期,2
589,近年,2
590,尚需,2
591,通股,2
592,时所作,2
593,三十六个,2
594,董监,2
595,其所,2
596,百分之二十五,2
597,半年,2
598,直系亲属,2
599,相近,2
600,一因,2
601,年本,2
602,雨,2
603,水管,2
604,有害,2
605,治污,2
606,擅注,2
607,托运,2
608,县政府,2
609,及省,2
610,产业园,2
611,凌云,2
612,热电,2
613,管网,2
614,全线,2
615,检修,2
616,政务,2
617,环保局,2
618,告知,2
619,书灌,2
620,环发,2
621,采取措施,2
622,下半年,2
623,继承,2
624,因本,2
625,磋商,2
626,意向,2
627,苏证,2
628,政府部门,2
629,着手,2
630,元均,2
631,逐一,2
632,自查,2
633,上报,2
634,强制,2
635,实施办法,2
636,第二条,2
637,第四条,2
638,第五条,2
639,条,2
640,省市,2
641,灌,2
642,河口,2
643,复产求,2
644,镇,2
645,一律,2
646,沪证,2
647,专,2
648,督促,2
649,解读,2
650,此项,2
651,调整法,2
652,方与,2
653,接受方,2
654,单次,2
655,层面,2
656,剩,2
657,置,2
658,回复,2
659,标签,2
660,咪唑,2
661,钾,2
662,蒸馏,2
663,桶,2
664,精馏,2
665,放,2
666,外泄,2
667,处以,2
668,按规定,2
669,精,2
670,氟丙,2
671,四氢呋喃,2
672,甲,2
673,乙类,2
674,伍万,2
675,政,2
676,柒仟,2
677,国家标准,2
678,国家有关,2
679,董,2
680,锅炉,2
681,铜盐,2
682,锰,2
683,叔丁醇,2
684,三氟氯,2
685,酸,2
686,第二十四条,2
687,限期,2
688,尾库,2
689,泄露,2
690,流,2
691,雨水,2
692,呈酸性,2
693,固体废物,2
694,含盐,2
695,原先,2
696,氧化,2
697,絮凝,2
698,苯甲酸,2
699,乙酯,2
700,溴苯,2
701,刑事责任,2
702,明进,2
703,纳米材料,2
704,沾,2
705,保温,2
706,棉,2
707,取保候审,2
708,自华,2
709,季红,2
710,进王,2
711,进华,2
712,证,2
713,调,2
714,结年,2
715,查论,2
716,积极性,2
717,同类,2
718,旅游,2
719,人之女,2
720,转账,2
721,和谐,2
722,交流,2
