,分词排序,词频
0,精制,562
1,沈阳,385
2,吉林,205
3,王民,177
4,张永侠,170
5,王建新,76
6,铝型材,67
7,工程,66
8,吉林省,49
9,信息,47
10,银行,45
11,资讯网,43
12,给付,41
13,辽源市,37
14,装备,37
15,轨道交通,36
16,调解,32
17,否王民,29
18,建设,28
19,建筑,25
20,装潢,25
21,深加工,23
22,制造,23
23,东北,23
24,装饰,23
25,辽源,23
26,材料,22
27,铝合金,22
28,挤压,21
29,信用等级,21
30,保全费,20
31,高级人民法院,20
32,拍卖,19
33,土地,18
34,函证,18
35,工业,17
36,元及,17
37,辽东,17
38,下调,17
39,民事裁定,17
40,沈阳市,17
41,失效,16
42,数据,15
43,长春,15
44,变卖,15
45,深圳,15
46,信托,15
47,辽宁省,15
48,上海,14
49,表面,14
50,房地产,14
51,否已,14
52,工程机械,14
53,诉讼费,14
54,轨道,13
55,罚息,13
56,律师费,13
57,兴业,13
58,车辆,12
59,金元,12
60,受偿,12
61,刘明英,12
62,年利率,12
63,民间,11
64,借贷,11
65,宁夏,11
66,长春市,11
67,铝,10
68,新建,10
69,铸造,10
70,天元,10
71,北京,10
72,东辽县,10
73,沈北,10
74,金属,9
75,模具,9
76,多笔,9
77,用材,9
78,吉帝通,9
79,刘宇,9
80,辞去,9
81,工程项目,9
82,回租,9
83,受偿权,9
84,诉讼费用,9
85,房产,8
86,龙山区,8
87,铝锭,8
88,铁路,8
89,科技,8
90,困境,8
91,下滑,8
92,复利,8
93,中建,8
94,保险费,8
95,债务纠纷,8
96,明月,8
97,浙商,8
98,国鼎晟,8
99,金源,8
100,农业,8
101,混凝土,8
102,男年生,8
103,负面,8
104,售后,8
105,如期,8
106,流失,7
107,大部分,7
108,施工,7
109,辽宁,7
110,江苏,7
111,建元,7
112,铸锭,7
113,合金,7
114,样车,7
115,试制,7
116,朱,7
117,李鹏,7
118,开庭审理,7
119,意商,7
120,砼,7
121,涉诉,7
122,满意,7
123,因未,7
124,名下,7
125,如约,7
126,中准,6
127,规格,6
128,铝棒,6
129,长江,6
130,环境,6
131,紧张,6
132,圆,6
133,控制系统,6
134,队伍,6
135,遭遇,6
136,上诉,6
137,撤回,6
138,横琴,6
139,中鑫,6
140,抵押物,6
141,担保责任,6
142,中融佰汇,6
143,中安百联,6
144,孙仁林,6
145,谴责,6
146,国泰,6
147,身体,6
148,替代性,6
149,欠付,6
150,债债项,6
151,建筑物,6
152,建造,6
153,高新技术,6
154,邮储,6
155,西宁,5
156,大路,5
157,方程,5
158,有色金属,5
159,期货,5
160,加工费,5
161,电解铝,5
162,铝加工,5
163,东北地区,5
164,四个,5
165,轨道车,5
166,局面,5
167,着色,5
168,走出,5
169,问询,5
170,回复,5
171,服务业,5
172,展期,5
173,机械,5
174,保全,5
175,虓,5
176,公告费,5
177,负担,5
178,铝业,5
179,亚泰,5
180,涉嫌,5
181,人为,5
182,刘,5
183,鹏飞,5
184,错,5
185,广泛性,5
186,账内,5
187,华林,5
188,除净,5
189,三洋,5
190,重工,5
191,起重机,5
192,质保金,5
193,扣押,5
194,刘以,5
195,李,5
196,春霖,5
197,株洲,5
198,河北,5
199,徐运生,4
200,焊接,4
201,现货,4
202,直销,4
203,远大,4
204,技术水平,4
205,型材,4
206,电子,4
207,交通,4
208,高铁,4
209,进口,4
210,周期性,4
211,季节性,4
212,工程施工,4
213,华北地区,4
214,实物,4
215,配比,4
216,齐全,4
217,一批,4
218,消化吸收,4
219,熔炼,4
220,引入,4
221,油气,4
222,钻探,4
223,电泳,4
224,危机,4
225,工程技术,4
226,脱困,4
227,停滞,4
228,资金短缺,4
229,自该,4
230,拟定,4
231,锦银,4
232,否未,4
233,邢,4
234,海燕,4
235,邮政储蓄,4
236,未付,4
237,连带保证,4
238,追偿,4
239,项下,4
240,源,4
241,保全申请,4
242,刘义豪,4
243,王建全,4
244,多重,4
245,华融,4
246,民生,4
247,汉族,4
248,姚,4
249,恩东,4
250,董秘,4
251,谭超,4
252,朱广峰,4
253,王立国,4
254,王文生,4
255,高原,4
256,中科,4
257,英华,4
258,时任,4
259,财务会计,4
260,报错,4
261,较多且,4
262,并未,4
263,引发,4
264,冻结资金,4
265,致使,4
266,竣工,4
267,私人,4
268,核查,4
269,此类,4
270,违规行为,4
271,资金周转,4
272,低值易耗品,4
273,包装物,4
274,以换,4
275,拨款,4
276,纳税人,4
277,金汇,4
278,建工,4
279,准许,4
280,家庭财产,4
281,海通,4
282,恒信,4
283,依约,4
284,签发,4
285,付清,4
286,以元,4
287,千分之,4
288,月利率,4
289,豪,4
290,杭州市中级人民法院,4
291,夫妻,4
292,亿隆,4
293,辽煤,4
294,木门,4
295,联宇,4
296,天津,4
297,峻,4
298,唯,4
299,张,3
300,彩云,3
301,联系人,3
302,网站,3
303,有无,3
304,赵德权,3
305,大街,3
306,第一季度,3
307,销售业务,3
308,交通运输,3
309,电力设备,3
310,门,3
311,车体,3
312,整车,3
313,材,3
314,技术参数,3
315,汽车,3
316,消费,3
317,集群,3
318,产品品质,3
319,模具设计,3
320,全自动,3
321,节能,3
322,辅以,3
323,装置,3
324,均匀,3
325,立式,3
326,空心,3
327,高技术,3
328,槽,3
329,在内,3
330,承接,3
331,信心,3
332,三是,3
333,省,3
334,市政府,3
335,开立,3
336,信用证,3
337,益,3
338,刘季,3
339,账,3
340,向锦银,3
341,中欧,3
342,内向,3
343,费元,3
344,尚欠,3
345,息,3
346,二审,3
347,金利源,3
348,扶贫,3
349,环境保护,3
350,舟山,3
351,北信瑞丰,3
352,阿拉山口,3
353,市弘通,3
354,新沃,3
355,金石,3
356,集合,3
357,谢仁国,3
358,渤海,3
359,康杰,3
360,广金,3
361,赵子琪,3
362,海伦,3
363,段德炳,3
364,徐申,3
365,珅,3
366,沙雨峰,3
367,常务,3
368,企管,3
369,工程师,3
370,软件,3
371,财政厅,3
372,运输,3
373,处分,3
374,每月,3
375,教育,3
376,等级,3
377,审计部,3
378,否定,3
379,面向市场,3
380,凭证,3
381,设有,3
382,券报,3
383,证,3
384,基准日,3
385,偏离,3
386,战略目标,3
387,板,3
388,固有,3
389,纽带,3
390,并于,3
391,完整性,3
392,编报,3
393,诸多,3
394,回函,3
395,暂估,3
396,未决,3
397,可控性,3
398,吉,3
399,调查结果,3
400,朝阳区,3
401,倍数,3
402,银行贷款,3
403,保费,3
404,准备金,3
405,生物,3
406,中央银行,3
407,机器设备,3
408,乘以,3
409,保险,3
410,保税区,3
411,政策性,3
412,代理人,3
413,张俊,3
414,后于,3
415,北京市第二中级人民法院,3
416,整,3
417,民事判决,3
418,任丽,3
419,鲁虢,3
420,日利率,3
421,代理费,3
422,大连市,3
423,自起,3
424,孔世海,3
425,开原市,3
426,多维,3
427,株洲市,3
428,天元区,3
429,桦盛,3
430,昊,3
431,宏禹,3
432,世润,3
433,智晟达,3
434,福源,3
435,不派,2
436,外文,2
437,网址,2
438,电子信箱,2
439,证券部,2
440,机构名称,2
441,座层,2
442,元非,2
443,统一标准,2
444,质量标准,2
445,电子电器,2
446,幕墙,2
447,半成品,2
448,车头,2
449,以销定产,2
450,权威,2
451,运输成本,2
452,一段时间,2
453,平均价格,2
454,发货,2
455,框架,2
456,生产方式,2
457,通用,2
458,成分,2
459,个性化,2
460,经销,2
461,门窗,2
462,最大化,2
463,零散,2
464,终端用户,2
465,交货,2
466,常年,2
467,上半年,2
468,致,2
469,仅次于,2
470,忠旺,2
471,石油化工,2
472,截面,2
473,加工能力,2
474,附加值,2
475,干线,2
476,城市轨道,2
477,地铁,2
478,公里,2
479,来源于,2
480,年均,2
481,铝价,2
482,技术装备,2
483,较长,2
484,意向,2
485,基建,2
486,环节,2
487,建筑业,2
488,开工,2
489,半径,2
490,这一,2
491,蓝海,2
492,前列,2
493,同行,2
494,先进设备,2
495,欠票,2
496,期末存货,2
497,进项,2
498,精密,2
499,工序,2
500,玻璃,2
501,熔铸,2
502,净化,2
503,燃气,2
504,在线,2
505,管式,2
506,精炼,2
507,热顶,2
508,半,2
509,有机,2
510,熟练掌握,2
511,至关重要,2
512,断面,2
513,操作,2
514,研制,2
515,管材,2
516,钢质,2
517,耐腐蚀,2
518,变径,2
519,无缝管,2
520,依赖,2
521,一套,2
522,颜色,2
523,军工,2
524,再融资,2
525,台,2
526,经验丰富,2
527,多元化,2
528,客户群,2
529,抗,2
530,频发,2
531,银行帐户,2
532,化解,2
533,投资人,2
534,金融机构,2
535,和解,2
536,职工队伍,2
537,依然,2
538,严峻,2
539,摆脱,2
540,大力支持,2
541,少,2
542,员工工资,2
543,福利待遇,2
544,壮大,2
545,砥砺,2
546,前行,2
547,蓄势待发,2
548,全力以赴,2
549,积极争取,2
550,步入,2
551,竭尽全力,2
552,积极探索,2
553,华东地区,2
554,华南地区,2
555,华中地区,2
556,分类单位,2
557,第一名,2
558,第二名,2
559,第三名,2
560,第四名,2
561,第五名,2
562,资金紧张,2
563,厂房设备,2
564,投资额,2
565,新设,2
566,开工率,2
567,多名,2
568,强制执行,2
569,长沙,2
570,雨峰,2
571,辞职,2
572,人事变动,2
573,频繁,2
574,近年,2
575,时所作,2
576,解禁,2
577,满个,2
578,经济损失,2
579,提议,2
580,元利,2
581,清理,2
582,元调,2
583,增长期,2
584,元重,2
585,解聘,2
586,王否民,2
587,最高人民法院,2
588,撤诉,2
589,金投,2
590,侠,2
591,限额,2
592,起日,2
593,授理,2
594,预拌,2
595,王建,2
596,建筑工程,2
597,拖欠,2
598,在案,2
599,涉,2
600,刘明,2
601,砍头,2
602,改判,2
603,质权,2
604,质,2
605,权有权,2
606,诉张,2
607,永侠,2
608,违,2
609,公规开,2
610,夫妇,2
