,分词排序,词频
0,达华,390
1,智能,373
2,福州,231
3,科技,143
4,蔡小如,87
5,厦门,86
6,北京,82
7,信息,81
8,服务业,81
9,中山市,59
10,中山,57
11,新东网,47
12,珠海,46
13,金锐,44
14,武汉,43
15,润兴,42
16,卫星,42
17,上海,38
18,显,35
19,青岛,34
20,广东,34
21,银行,34
22,融佳,32
23,金桥,31
24,孙,31
25,联网,30
26,香港,29
27,数据,28
28,工程,28
29,第个,28
30,江西,27
31,优码,27
32,卡友,27
33,深圳,27
34,慧通,23
35,小额贷款,23
36,软件,23
37,其于,23
38,陈融,22
39,东网,22
40,九方,22
41,福州市,22
42,房地产,22
43,轨位,21
44,数码科技,19
45,文化,19
46,关系密切,19
47,家庭成员,19
48,通信,18
49,圣,18
50,电子,17
51,广州,16
52,小榄,16
53,电视,16
54,资源,16
55,制造业,16
56,信息技术,15
57,晟,15
58,印务,14
59,电子标签,14
60,东,14
61,植诚,14
62,建筑物,14
63,迪隆,13
64,通讯,13
65,建设,13
66,植远,13
67,软件产品,13
68,圣地,12
69,电子科技,12
70,镇,12
71,系统集成,12
72,环境,12
73,电信,12
74,福建,12
75,回租,12
76,土地,12
77,软件技术,11
78,恒达,11
79,互联网,11
80,南方,11
81,南京,11
82,东东,11
83,亚华,11
84,苏州工业园区,10
85,达华嘉元,10
86,媒体,10
87,瑞华,10
88,主板,10
89,东莞市,10
90,江涛,10
91,金锐扬,10
92,新东,10
93,创达,9
94,资管,9
95,故本,9
96,方江涛,9
97,计算机,9
98,高新区,9
99,西城区,9
100,隽成,9
101,显年,9
102,彩霞,9
103,否娄,9
104,经营权,9
105,四川,8
106,德晟,8
107,制造,8
108,一带,8
109,一路,8
110,塞浦路斯,8
111,危机,8
112,健康,8
113,新媒,8
114,解直锟,8
115,咨询服务,8
116,测试报告,8
117,带,8
118,定制,8
119,飞鸿,8
120,馆,8
121,稳定期,8
122,外汇,8
123,小额,7
124,鼓楼区,7
125,硬件,7
126,机顶盒,7
127,杠杆,7
128,元器件,7
129,台州,7
130,达华沅泰,7
131,环保,7
132,手机,7
133,智能卡,7
134,预,7
135,售后,7
136,起任,7
137,刘铁鹰,7
138,否何,7
139,声屏,7
140,汇,7
141,生物,7
142,立项,7
143,商品销售,7
144,射频,6
145,软件园,6
146,退,6
147,牌照,6
148,卡,6
149,金融业务,6
150,安,6
151,轨道,6
152,联营公司,6
153,印刷业,6
154,电视机,6
155,之孙,6
156,达网,6
157,显德,6
158,江苏,6
159,节余,6
160,集成,6
161,电子产品,6
162,网络,6
163,武汉市,6
164,思明区,6
165,蔡小文,6
166,定向,6
167,机器设备,6
168,文科,6
169,专利权,6
170,王,6
171,百年,6
172,中国航天科技集团公司,6
173,投出,6
174,教育费,6
175,乐融致,6
176,融创,6
177,诚达,6
178,科盛,6
179,东莞,6
180,控股公司,6
181,汽车,5
182,达宏物联,5
183,资讯网,5
184,即征,5
185,斯里兰卡,5
186,金融机构,5
187,解禁,5
188,达华众,5
189,峰业,5
190,铭朋,5
191,铭朋向,5
192,扩建,5
193,操作系统,5
194,结余,5
195,国泰君安证券股份有限公司,5
196,拟将,5
197,终端,5
198,贡献,5
199,信息系统,5
200,越秀区,5
201,孙孙,5
202,海淀区,5
203,金控,5
204,民生,5
205,摘要,5
206,第期,5
207,体现,5
208,人力资源,5
209,远东,5
210,电子商务,5
211,政府部门,5
212,扶贫,5
213,人寿保险,5
214,中国籍,5
215,天宇,5
216,郭毅,5
217,方明,5
218,加拿大,5
219,衡思,5
220,否任泳霞,5
221,工作效率,5
222,准备金,5
223,油气,5
224,嵌入,5
225,组为,5
226,财务预算,5
227,组年,5
228,蔡小如及,5
229,徕,5
230,乾,5
