,分词排序,词频
0,火腿,375
1,金字,319
2,中钰,239
3,医疗,89
4,肉制品,62
5,金华市,58
6,科技,55
7,雕龙,50
8,金华,49
9,食品,48
10,数据,46
11,信息,46
12,巴玛,46
13,发酵,45
14,北京,43
15,健康,37
16,香肠,33
17,医药,32
18,施延军,30
19,瑞一,25
20,工程,25
21,武汉,24
22,娄底,23
23,制品,23
24,生物,21
25,诊所,20
26,医生,19
27,上海,19
28,银行,19
29,材料,19
30,贤明,18
31,延军,17
32,成都,16
33,创业投资,16
34,薛长煌,16
35,酱肉,15
36,传统,15
37,杭州,15
38,电商,14
39,建设,14
40,猪肉,13
41,农产品,13
42,飚,13
43,浙江,13
44,食品安全,12
45,医院,12
46,检测,12
47,人工,12
48,房地产,12
49,马,12
50,施雄,12
51,海门,11
52,安蒂康,11
53,人施,11
54,医药行业,11
55,营养,10
56,冷冻,10
57,大道,10
58,生物科技,10
59,资讯网,10
60,零售,10
61,抗体,10
62,消费,10
63,王徽,10
64,公记,10
65,吴月,9
66,春闱,9
67,达孜县,9
68,主营,9
69,十二三,9
70,任职期间,9
71,土地,9
72,技术改造,9
73,云南,8
74,都江堰,8
75,天健,8
76,资源,8
77,投资额,8
78,再融资,8
79,六个月,8
80,半年,8
81,都江堰市,8
82,环境,7
83,康健,7
84,数据服务,7
85,软件,7
86,路,7
87,冷链,7
88,新味,7
89,为元股,7
90,信托,7
91,消费者,6
92,环节,6
93,城,6
94,王启辉,6
95,系中钰,6
96,列为,6
97,系列产品,6
98,私募,6
99,卵黄,6
100,益基,6
101,源于,6
102,周期性,6
103,低盐,6
104,金涛,6
105,出资额,6
106,结构性,6
107,王波宇,6
108,禹勃,6
109,高新区,6
110,交易方式,6
111,成交价,6
112,迎水,6
113,教育,6
114,拆,6
115,工业,6
116,鄞州钰,6
117,冷库,5
118,欧式,5
119,海瑞,5
120,街,5
121,网站,5
122,中间体,5
123,社区,5
124,食用,5
125,浙味,5
126,营业房,5
127,应缴,5
128,毁损,5
129,益,5
130,许可证,5
131,货运,5
132,仓储,5
133,肉类,5
134,马晓钟,5
135,夏璠林,5
136,第二十五次,5
137,室,5
138,山西,5
139,街道,5
140,城区,5
141,管限售,5
142,南京,5
143,高科,5
144,徐杰震,5
145,晋升,5
146,抽样,5
147,油气,5
148,小型,5
149,微利,5
150,智慧,5
151,市区,5
152,外汇,5
153,朱美丹,4
154,进口,4
155,工序,4
156,自然,4
157,偏好,4
158,香气,4
159,浓郁,4
160,窖藏,4
161,惟精,4
162,隆达,4
163,中钰堂,4
164,民新,4
165,指中钰,4
166,工业园区,4
167,金帆,4
168,交割,4
169,此次,4
170,退出,4
171,鸡,4
172,喷剂,4
173,胎心,4
174,监护,4
175,基因,4
176,药,4
177,管理系统,4
178,定,4
179,风味,4
180,三大,4
181,太平桥,4
182,大街,4
183,年底,4
184,发明专利,4
185,网络,4
186,车间,4
187,低温,4
188,京东,4
189,高新技术,4
190,湖北省,4
191,中西医,4
192,王波,4
193,上表,4
194,原子,4
195,差旅,4
196,交通费,4
197,经营项目,4
198,生态,4
199,其所,4
200,吴开法,4
201,小区,4
202,单元,4
203,中路,4
204,湖南,4
205,换届,4
206,高管限售,4
207,英大,4
208,肖,4
209,兼职,4
210,月度,4
211,商品销售,4
212,担保物,4
213,准备金,4
214,建筑物,4
215,初加工,4
216,万条,4
217,金经,4
218,宁波,4
219,恒健,4
220,猪,3
221,腿,3
222,酒店,3
223,尚需,3
224,熟化,3
225,股股,3
226,钰,3
227,紫荆花,3
228,重庆,3
229,医盟,3
230,问诊,3
231,座,3
232,闾力,3
233,华章,3
234,智华,3
235,专注,3
236,知名度,3
237,稳步发展,3
238,三家,3
239,三板,3
240,开展业务,3
241,为母,3
242,多功能,3
243,流感病毒,3
244,互联网,3
245,肿瘤,3
246,定制,3
247,数据分析,3
248,慢病,3
249,统计,3
250,软件系统,3
251,诊疗,3
252,初级,3
253,包装物,3
254,服务平台,3
255,新品,3
256,社交,3
257,天猫,3
258,博览,3
259,馆,3
260,管理效率,3
261,武汉市,3
262,中钰禹勃马,3
263,宇及,3
264,瓶,3
265,单次,3
266,层面,3
267,改选,3
268,故自该,3
269,贡献,3
270,禹勃马,3
271,无需,3
272,运输,3
273,配送,3
274,总产量,3
275,不派,3
276,四届,3
277,陈珊,3
278,珊,3
279,王凤飞,3
280,经济实体,3
281,启辉,3
282,王强林,3
283,起到,3
284,清理,3
285,解聘,3
286,拟将,3
287,中海,3
288,众创,3
289,高桥,3
290,拱墅区,3
291,幢,3
292,扶贫,3
293,股占,3
294,潜龙,3
295,公司总裁,3
296,傅坚政,3
297,夏祖兴,3
298,主要职责,3
299,肉禽,3
300,水产,3
301,工程师,3
302,浙江师范大学,3
303,娃哈哈,3
304,试行,3
305,人力资源部,3
306,中长期,3
307,会计核算,3
308,如实,3
309,工作效率,3
310,偏离,3
311,服务收入,3
312,内销,3
313,期后,3
314,保费,3
315,中央银行,3
316,乘以,3
317,建造,3
318,政策性,3
319,见本,3
320,生产费,3
321,教育费,3
322,税额,3
323,生物制品,3
324,连片,3
325,环保,3
326,金市,3
327,计息,3
328,鄞州钰华,3
329,双峰县,3
330,恒山,3
331,仁济,3
332,同康,3
333,金忠凯钰,3
334,计算公式,3
335,受猪,2
336,生长,2
337,存栏,2
338,饲料,2
339,供求,2
340,价格低,2
341,时多,2
342,并存,2
343,放在,2
344,高时,2
345,食品质量,2
346,日趋,2
347,安全意识,2
348,保护意识,2
349,重中之重,2
350,辅料,2
351,道工序,2
352,作业,2
353,监测,2
354,重要环节,2
355,较长,2
356,新鲜,2
357,变质,2
358,营养成分,2
359,长时间,2
360,味道,2
361,越长,2
362,越,2
363,特级,2
364,下架,2
365,库,2
366,口感,2
367,水准,2
368,中所,2
369,瑞,2
370,基,2
371,达孜,2
372,鄞州,2
373,外文,2
374,网址,2
375,电子信箱,2
376,媒体,2
377,创业,2
378,元非,2
379,统一标准,2
380,现将,2
381,合伙制,2
382,契约型,2
383,对大,2
384,前端,2
385,端,2
386,介绍,2
387,整腿,2
388,烘焙,2
389,块,2
390,切片,2
391,及巴玛,2
392,卤,2
393,即食,2
394,远程,2
395,面向,2
396,临床,2
397,控费,2
398,控,2
399,最大化,2
400,商业模式,2
401,信息化,2
402,看病,2
403,小病,2
404,对接,2
405,四个,2
406,大类,2
407,子,2
408,含有,2
409,增香,2
410,提鲜,2
411,去腥,2
412,国人,2
413,国民经济,2
414,腊肠,2
415,广味,2
416,川味,2
417,风格,2
418,醇香,2
419,领导品牌,2
420,消费水平,2
421,单纯,2
422,温饱,2
423,便宜,2
424,美味,2
425,情感,2
426,发展前景,2
427,广阔,2
428,纯肉,2
429,群体,2
430,人民,2
431,银行贷款,2
432,付清,2
433,专利号,2
434,电子商务,2
435,业内,2
436,现代化,2
437,团购,2
438,事业,2
439,高附加值,2
440,高品质,2
441,吃饱,2
442,吃,2
443,全力,2
444,优品,2
445,生鲜,2
446,线下,2
447,增量,2
448,体验,2
449,宣传,2
450,主流,2
451,文化,2
452,同济,2
453,技术创新,2
454,展会,2
455,减资,2
456,退股,2
457,中钰堂瀚阳,2
458,慈济,2
459,创投,2
460,冻品,2
461,分类单位,2
462,客户资料,2
463,系非,2
464,价,2
465,按计划,2
466,中钰为,2
467,不含,2
468,站场,2
469,货运站,2
470,场,2
471,食品城,2
472,配载,2
473,理货,2
474,新设,2
475,稳步增长,2
476,裂变,2
477,开发新,2
478,队伍,2
479,分销,2
480,自营,2
481,操作,2
482,杜绝,2
483,营造,2
484,经济效益,2
485,审号,2
486,国家有关,2
487,至下,2
488,数股,2
489,三十二,2
490,尚待,2
491,若因,2
492,时所作,2
493,追缴,2
494,施延,2
495,肖王,2
496,徐杰,2
497,解读,2
498,此项,2
499,调整法,2
500,方与,2
501,接受方,2
502,中钰资,2
503,生,2
504,摘要,2
505,问询,2
506,回复,2
507,修订稿,2
508,本合同,2
509,承继,2
510,即原,2
511,未付,2
512,第三十一次,2
513,房产,2
514,位置,2
515,广垦,2
516,广场,2
517,昆明,2
518,武汉东湖新技术开发区,2
519,光谷,2
520,湖北,2
521,闵行区,2
522,股份有限,2
523,阿里,2
524,保利,2
525,天府,2
526,北段,2
527,号栋,2
528,天河,2
529,保育,2
530,附号,2
531,蒲江县,2
532,寿安镇,2
533,白岩村,2
534,育才,2
535,钰康,2
536,邱小萍,2
537,喻利,2
538,村,2
539,银杏,2
540,西川,2
541,江安,2
542,仁仁,2
543,中医,2
544,灌口,2
545,理,2
546,花园,2
547,竞舟,2
548,西湖区,2
549,股中证,2
550,登,2
551,尊赢,2
552,集合,2
553,新创,2
554,张宇,2
555,张旭,2
556,严小青为,2
557,人前,2
558,务,2
559,性别,2
560,中级职称,2
561,人大代表,2
562,评委,2
563,任中钰,2
564,金华县,2
565,庭,2
566,仲裁员,2
567,一剑,2
568,安泰,2
569,协会会长,2
570,知,2
571,杰正,2
572,律师协会,2
573,副会长,2
574,东晶,2
575,电子,2
576,市场部,2
577,厂长,2
578,本节,2
579,督查,2
580,自律,2
581,发号,2
582,意见书,2
583,第条,2
584,公众,2
585,傅坚,2
586,政夏祖兴,2
587,公司员工,2
588,本科,2
589,职级,2
590,当月,2
591,规章制度,2
592,分开,2
593,相近,2
594,经营场所,2
595,混合,2
596,准确无误,2
597,衡量,2
598,参照,2
599,交付给,2
600,方并经,2
601,服务项目,2
602,支持性,2
603,发货单,2
604,函证,2
605,核对,2
606,疑虑,2
607,金融机构,2
608,工商行政管理局,2
609,罐头,2
610,电信业务,2
611,市场经济,2
612,其于,2
613,持续时间,2
614,含个,2
615,回升,2
616,低值易耗品,2
617,转售,2
618,组在,2
619,组时,2
620,机器设备,2
621,运输工具,2
622,竣工,2
623,应予,2
624,专利权,2
625,非专利,2
626,日有,2
627,精算,2
628,上限,2
629,售出,2
630,使用费,2
631,凭证,2
632,法将,2
633,款额,2
634,余值,2
635,附加税,2
636,装卸,2
637,征收率,2
638,所得税法,2
639,条例,2
640,免征,2
641,药品,2
642,厅,2
643,财政厅,2
644,国家税务局,2
645,地方税务局,2
646,颁发,2
647,证书编号,2
648,票,2
649,施延军注,2
650,九二,2
651,支付宝,2
652,仁裕和康,2
653,春闱骐,2
654,创,2
655,工程项目,2
656,联网,2
657,工厂,2
658,动态,2
659,事,2
660,项中钰,2
661,互抵,2
662,保险费,2
663,及吨,2
664,补助金,2
665,农村,2
666,综办,2
667,市级,2
668,污水处理,2
669,熊猫,2
670,必需,2
671,被套,2
672,会务费,2
673,天岸,2
674,商务局,2
675,商务,2
676,东洲,2
677,英才,2
678,网络营销,2
679,技术开发区,2
680,服务业,2
681,招引,2
682,开办,2
683,期期,2
684,反向,2
685,资非,2
686,负非,2
687,计债,2
688,现额,2
689,流量,2
690,小计续,2
691,钰意,2
692,青海,2
693,黄山,2
694,泰山,2
695,乾,2
696,爱尔中钰,2
697,眼科,2
698,康贝健,2
699,鄂州,2
700,钰联,2
701,委托方,2
702,包方名,2
703,承包方,2
704,类称,2
705,称型,2
706,费出,2
707,证券期货,2
708,万隆,2
709,作价,2
710,第二十八,2
711,协商一致,2
712,控股公司,2
713,年化,2
714,天数,2
715,授出,2
716,肖及,1
717,主管人员,1
718,送,1
719,红,1
720,项指,1
721,城中,1
722,中钰瑞,1
723,一中,1
724,安蒂康益,1
725,钰医,1
726,指上,1
727,指益基,1
728,深圳,1
729,指中钰堂,1
730,连锁,1
731,指天健,1
732,证监会,1
733,证券交易,1
734,所指,1
735,中文名称,1
736,中文,1
737,缩写,1
738,联系人,1
739,联系方式,1
740,联系地址,1
741,电话传真,1
742,张利丹,1
743,选定,1
744,登载,1
745,钱江路,1
746,华润,1
747,主办人,1
748,西城区,1
749,武定,1
750,侯街,1
751,卓,1
752,著,1
753,戴菲,1
