,分词排序,词频
0,上海,415
1,英,329
2,网络,328
3,网络科技,308
4,游戏,284
5,浙江,239
6,传奇,118
7,九翎,100
8,科技,98
9,信息,77
10,盛,62
11,互联网,54
12,网页,52
13,美德,52
14,杭州,46
15,王悦,46
16,数据,43
17,北京,41
18,网络游戏,34
19,开元,33
20,欢游,32
21,娱,30
22,泰亚,29
23,为元及,29
24,信息技术,28
25,株式会社,27
26,著作权,26
27,分成,26
28,韩国,25
29,中院,25
30,存量,24
31,冯显,24
32,正当竞争,24
33,材料,24
34,陈永聪,23
35,腾讯,23
36,助手,23
37,日月,23
38,资讯网,22
39,海通,21
40,元恺英,21
41,分发,21
42,工程,21
43,侵权,21
44,香港,20
45,圣杯,20
46,天马,20
47,西安,20
48,告诉,20
49,骐飞,19
50,时空,19
51,精品,19
52,苹果,19
53,解禁,19
54,案现,19
55,当中,19
56,侵犯,19
57,王者,18
58,表现,18
59,绍兴,18
60,起诉状,18
61,德清,18
62,盛乐,18
63,心,18
64,中文名称,17
65,经济损失,17
66,位置,17
67,欣烁,16
68,海桐,16
69,经纬,16
70,创业投资,16
71,娱乐,16
72,上线,16
73,玩家,16
74,案号,16
75,诉讼费用,16
76,影视,16
77,代扣代缴,16
78,悦腾,15
79,苏州,15
80,兴息,15
81,创达,15
82,文化,15
83,虚拟,15
84,名下,15
85,元及,15
86,沪,15
87,软件,14
88,手游,14
89,闵行区,14
90,蓝月,14
91,知名,14
92,首页,14
93,阿拉德,14
94,之怒,14
95,长沙,14
96,传媒,14
97,二三,13
98,奇迹,13
99,宣传,13
100,颁发,13
101,最新,13
102,开支,13
103,否冯,13
104,显超,13
105,华泰,12
106,系本,12
107,房地产,12
108,至本,12
109,所获,12
110,英于,12
111,地下城,12
112,道具,12
113,体验,11
114,多款,11
115,充值,11
116,资源,11
117,海南,11
118,嘉兴,11
119,自动,11
120,相符,11
121,宁波,11
122,著作权人,11
123,官网,11
124,浙,11
125,深圳,11
126,鞋业,11
127,免征,11
128,瑞麟,10
129,移动游戏,10
130,手机,10
131,手机游戏,10
132,盛世,10
133,银行,10
134,版权,10
135,影视剧,10
136,庭审,10
137,为娱,10
138,金华,10
139,徐汇区,10
140,获,10
141,九彤,9
142,页,9
143,浦江,9
144,广场,9
145,楼楼,9
146,软硬件,9
147,流量,9
148,梁山,9
149,流水,9
150,专注,9
151,长,9
152,全民,9
153,端,9
154,建设,9
155,金丹,9
156,普陀区,9
157,扶贫,9
158,股因,9
159,否郝爽,9
160,反向,9
161,土地,9
162,税项,9
163,减半,9
164,一号,8
165,计算机系统,8
166,用户数,8
167,亚拓士,8
168,网站,8
169,陈,8
170,生命周期,8
171,敢,8
172,挖掘,8
173,层面,8
174,聚踪,8
175,盛烁,8
176,三十六个,8
177,赵勇,8
178,良,8
179,仲裁庭,8
180,管辖权,8
181,异议,8
182,诉恺英,8
183,勇者,8
184,复议,8
185,联想,8
186,租用,8
187,傅蔚冈,8
188,江西,8
189,运营商,8
190,指战,8
191,逗视,8
192,思度,8
193,期自,8
194,为止,8
195,盛晟,7
196,游,7
197,旗下,7
198,技术咨询,7
199,奕,7
200,微信,7
201,小游戏,7
202,环境,7
203,模型,7
204,精细化,7
205,战舰,7
206,海量,7
207,计算机软件,7
208,骑兵,7
209,营运,7
210,若本,7
211,无条件,7
212,李思韵,7
213,亿韩元,7
214,蓝沙,7
215,独占性,7
216,无不,7
217,三十天,7
218,澄清事实,7
219,征得,7
220,商标,7
221,案案,7
222,同类,7
223,学士学位,7
224,增发,7
225,教育费,7
226,颐侨,7
227,映蝶,7
228,影视文化,7
229,藤木,7
230,幻宝,6
231,传播,6
232,场景,6
233,客户端,6
234,骞,6
235,军法,6
236,计算机,6
237,英梦,6
238,高科技,6
239,用心,6
240,成熟,6
241,追求,6
242,独家代理,6
243,三国,6
244,群雄,6
245,传刺,6
246,沙,6
247,争锋,6
248,对决,6
249,格斗类,6
250,蓝,6
251,排行榜,6
252,类产品,6
253,该游戏,6
254,彩虹,6
255,后本,6
256,转让方,6
257,日日,6
258,小额贷款,6
259,工商行政管理局,6
260,大陆,6
261,赔偿金,6
262,律师费,6
263,保全,6
264,寄送,6
265,上诉,6
266,官方网站,6
267,开庭审理,6
268,禁令,6
269,听证,6
270,调频,6
271,神奇,6
272,工场,6
273,股占本,6
274,教育,6
275,成交价,6
276,郝爽,6
277,朱亚元,6
278,晶晶,6
279,辞去,6
280,任恺英,6
281,生物,6
282,换发,6
283,摄制,6
284,日有,6
285,上表,6
286,税额,6
287,郑州,6
288,百易,6
289,欢动,6
290,一见,6
291,恺鑫,5
292,聚,5
293,欣承,5
294,璞,5
295,友齐,5
296,予幻,5
297,暖水,5
298,自研,5
299,泉州市,5
300,技术转让,5
301,计算机信息,5
302,系统安全,5
303,创意,5
304,智能,5
305,热血,5
306,类手游,5
307,精益求精,5
308,态度,5
309,华为,5
310,闪击战,5
311,模拟,5
312,竞技,5
313,用户群,5
314,亿人次,5
315,生态,5
316,健康,5
317,统计,5
318,中联,5
319,合作方,5
320,掌趣,5
321,基准日,5
322,糖,5
323,鼎烽,5
324,王政,5
325,广州,5
326,预估,5
327,管理局,5
328,侵害,5
329,院,5
330,网,5
331,寄出,5
332,仲裁费,5
333,仲裁员,5
334,递交,5
335,暂计,5
336,敢客,5
337,判定,5
338,案,5
339,为恺英,5
340,飞瞬,5
341,增至,5
342,沈军,5
343,李原,5
344,控,5
345,为泰亚,5
346,企业法人,5
347,制片,5
348,盛韵,5
349,盛知,5
350,税务局,5
351,上饶市,5
352,否可,5
353,无需,5
354,制权,5
355,侵权行为,5
356,股限售,5
357,乐相,4
358,西藏,4
359,志睿,4
360,越霖,4
361,开放平台,4
362,浏览器,4
363,在线,4
364,玩,4
365,服务器,4
366,一款,4
367,腾讯网,4
368,技术开发区,4
369,计算机领域,4
370,天职,4
371,区块,4
372,链,4
373,卓越,4
374,定位,4
375,龙腾,4
376,传世,4
377,一家,4
378,稳居,4
379,畅销,4
380,榜前列,4
381,排名,4
382,亮眼,4
383,排行,4
384,为数不多,4
385,亿美金,4
386,俱乐部,4
387,一员,4
388,改编,4
389,商,4
390,敏锐,4
391,逐步形成,4
392,更大,4
393,入口,4
394,最大化,4
395,事,4
396,价,4
397,电信业务,4
398,超募,4
399,新闻出版,4
400,前置,4
401,消费,4
402,股年,4
403,人及,4
404,超出,4
405,务,4
406,社会保险,4
407,及前,4
408,零,4
409,无效,4
410,否无无无,4
411,文字,4
412,表述,4
413,蓝沙诉,4
414,软著,4
415,香港地区,4
416,在内,4
417,月度,4
418,救济,4
419,合法权利,4
420,代理律师,4
421,知,4
422,产院,4
423,网游,4
424,勇士,4
425,注册商标,4
426,专用权,4
427,界面,4
428,法制日报,4
429,一个月,4
430,百度,4
431,诉中,4
432,标识,4
433,域名,4
434,仙峰,4
435,烈焰,4
436,武尊,4
437,参照,4
438,萧山区,4
439,防治法,4
440,总成交,4
441,外资股,4
442,股股,4
443,案以,4
444,金锋,4
445,李刚,4
446,黄法,4
447,林彬,4
448,李立伟,4
449,文化传媒,4
450,商务,4
451,浙江大学,4
452,院长,4
453,董秘,4
454,大会,4
455,自营,4
456,无误,4
457,油气,4
458,国际贸易,4
459,法将,4
460,应缴,4
461,车船,4
462,税应,4
463,九晋,4
464,互娱,4
465,装修,4
466,房租,4
467,保险费,4
468,物业费,4
469,专项基金,4
470,服务业,4
471,拖欠,4
472,乐滨,3
473,翰迪,3
474,翰惠,3
475,扣非,3
476,证监会,3
477,端游,3
478,社交,3
479,下载,3
480,即可,3
481,商店,3
482,外文,3
483,行路,3
484,媒体,3
485,鞋及,3
486,鞋材,3
487,诗,3
488,叶慧,3
489,李靖,3
490,豪,3
491,元非,3
492,体育,3
493,协同效应,3
494,深厚,3
495,综合性,3
496,打开,3
497,推算,3
498,预判,3
499,秉持,3
500,极致,3
501,榜单,3
502,横板,3
503,新品,3
504,角色扮演,3
505,应景,3
506,休闲,3
507,各大,3
508,名列前茅,3
509,知名度,3
510,稳步,3
511,前列,3
512,初步,3
513,输出设备,3
514,生态圈,3
515,拐点,3
516,越来越,3
517,清晰可见,3
518,不俗,3
519,搜寻,3
520,力争,3
521,传奇世界,3
522,引入,3
523,健全,3
524,筛选,3
525,喜好,3
526,把握,3
527,寻找,3
528,捕捉,3
529,经典,3
530,高位,3
531,首款,3
532,机甲,3
533,推荐,3
534,竞,3
535,智能化,3
536,标签,3
537,以此,3
538,属性,3
539,计算机网络,3
540,第二类,3
541,投向,3
542,投资总额,3
543,结余,3
544,贡献,3
545,资源配置,3
546,信息网络,3
547,许可证,3
548,音数协,3
549,工委,3
550,伽马,3
551,扩张,3
552,登记表,3
553,应有,3
554,透明,3
555,限售期,3
556,后恺英,3
557,因未,3
558,住房,3
559,再次,3
560,受让方,3
561,周瑜,3
562,黄燕,3
563,张敬,3
564,超额完成,3
565,代扣,3
566,西安市,3
567,曲江,3
568,分局,3
569,汉鼎宇佑,3
570,汉鼎宇,3
571,佑,3
572,变为,3
573,拓士,3
574,故娱,3
575,国际商会,3
576,欢游于,3
577,故向,3
578,热血传奇,3
579,撤回,3
580,普陀,3
581,高度,3
582,游亿,3
583,民事裁定,3
584,公众,3
585,获批,3
586,为元续,3
587,租期,3
588,订立,3
589,详情请,3
590,脱贫,3
591,就业,3
592,续签,3
593,友好,3
594,内资,3
595,外资,3
596,股以,3
597,即股,3
598,方不,3
599,方日案,3
600,股恺英,3
601,申亮,3
602,市场总监,3
603,事业,3
604,群,3
605,现为,3
606,法学,3
607,人力资源,3
608,宝鸡,3
609,陕西,3
610,烁,3
611,速艺,3
612,公正,3
613,东,3
614,评估师,3
615,核对,3
616,保费,3
617,准备金,3
618,中央银行,3
619,外经贸,3
620,文,3
621,万港元,3
622,对外贸易,3
623,合作厅,3
624,闽,3
625,号文,3
626,作价,3
627,置入,3
628,由泰亚,3
629,据此,3
630,确认书,3
631,八在,3
632,原子,3
633,非上市,3
634,性交易,3
635,很小,3
636,项可供,3
637,款额,3
638,特许权,3
639,商标权,3
640,第项,3
641,政策性,3
642,河道,3
643,嵊州市,3
644,两免,3
645,贪玩,3
646,金江,3
647,成都,3
648,回声,3
649,鲸宝,3
650,恺业,3
651,重置成本,3
652,劳务费,3
653,折旧费,3
654,中国香港,3
655,天銮,3
656,制止,3
657,诉讼费,3
658,元二,3
659,室内设计,3
660,工程造价,3
661,鉴定,3
662,占本,3
663,主管人员,2
664,阐述,2
665,不派,2
666,项本,2
667,飞,2
668,若干,2
669,数据服务,2
670,交流,2
671,无须,2
672,社区,2
673,由恺英,2
674,中文,2
675,清,2
676,濛,2
677,美泰路,2
678,网址,2
679,电子信箱,2
680,由林,2
681,海淀区,2
682,第三季度,2
683,统一标准,2
684,狂蓝,2
685,利得元,2
686,便捷,2
687,共享,2
688,特性,2
689,硬件,2
690,火爆,2
691,不断扩大,2
692,延续,2
693,魔域,2
694,近,2
695,跻身,2
696,厂商,2
697,已近,2
698,长期投资,2
699,安,2
700,独立核算,2
701,海内外,2
702,擅长,2
703,潜心研究,2
704,限度,2
705,品牌价值,2
706,研运,2
707,倾注,2
708,精力,2
709,先锋,2
710,魔神,2
711,英雄传,2
712,机动,2
713,战士,2
714,幽游白书,2
715,新兴,2
716,力作,2
717,征途,2
718,接触,2
719,商谈,2
720,上架,2
721,测评,2
722,紧密,2
723,洞察力,2
724,慢慢,2
725,沉淀,2
726,这一,2
727,百余,2
728,数据分析系统,2
729,从中,2
730,孵化,2
731,热点,2
732,创立,2
733,心理,2
734,占据,2
735,强势,2
736,手段,2
737,军事,2
738,海战,2
739,群体,2
740,节奏,2
741,出版,2
742,积极性,2
743,盛和达,2
744,广告投放,2
745,游电,2
746,纵深,2
747,盛和为,2
748,迭代,2
749,个性化,2
750,开发者,2
751,搭建,2
752,投放,2
753,聚类,2
754,找到,2
755,定制,2
756,成绩斐然,2
757,位列,2
758,收紧,2
759,会计制度,2
760,现状,2
761,未决,2
762,汽车贷款,2
763,投资额,2
764,盈亏,2
765,教育软件,2
766,售出,2
767,益,2
768,年份,2
769,去向,2
770,国际版,2
771,啪啪,2
772,多屏,2
773,数据中心,2
774,际,2
775,实,2
776,定,2
777,第十九次,2
778,按计划,2
779,旨在,2
780,签署日,2
781,浙号,2
782,新设,2
783,契机,2
784,挑战,2
785,总署,2
786,国家版权局,2
787,审查,2
788,试图,2
789,之中,2
790,人才资源,2
791,从业,2
792,稳定性,2
793,技术创新,2
794,明晰,2
795,清晰,2
796,完备,2
797,表达意见,2
798,诉求,2
799,年恺英,2
800,时所作,2
801,王政限售,2
802,本月,2
803,份于,2
804,票,2
805,开,2
806,尊重,2
807,统称,2
808,促使,2
809,国家有关,2
810,将要,2
811,平等,2
812,担保责任,2
813,盛大网络,2
814,如恺英,2
815,需承担,2
816,斩龙,2
817,重剑,2
818,用房,2
819,机关,2
820,于限售,2
821,总和,2
822,人民,2
823,净利,2
824,一步,2
825,对手,2
826,第三十一次,2
827,分将,2
828,别为,2
829,清理,2
830,承租,2
831,澄迈县,2
832,自由贸易,2
833,试验区,2
834,监管局,2
835,嘉善县,2
836,当日,2
837,向恺,2
838,英娱,2
839,否娱,2
840,组建,2
841,听证会,2
842,裁决,2
843,上半年,2
844,其为,2
845,介绍,2
846,相近,2
847,英官,2
848,链接,2
849,涉嫌,2
850,撤诉,2
851,准许,2
852,案外人,2
853,共同开发,2
854,汉化版,2
855,运营权,2
856,改编权,2
857,修改权,2
858,但娱,2
859,一切权利,2
860,擅自,2
861,游行,2
862,韩,2
863,商事,2
864,申请书,2
865,延迟,2
866,金及,2
867,适格,2
868,履行合同,2
869,项下,2
870,奖励金,2
871,三方,2
872,特有,2
873,随后,2
874,质证,2
875,理,2
876,图形,2
877,装潢,2
878,损害赔偿,2
879,移送,2
880,管辖,2
881,拒绝,2
882,调解,2
883,公证费,2
884,新浪网,2
885,搜狐网,2
886,湘,2
887,今日,2
888,头条,2
889,就诉,2
890,海淀法院,2
891,法定期限,2
892,侵权案,2
893,为京,2
894,阿拉,2
895,徳,2
896,怒,2
897,乐,2
898,下载安装,2
899,賠偿,2
900,英诉,2
901,号案,2
902,复制,2
903,不良影响,2
904,轮候,2
905,人失联,2
906,提示性,2
907,转账,2
908,退租,2
909,街道,2
910,室,2
911,环境保护,2
912,排污,2
913,三位,2
