,分词排序,词频
0,重机,438
1,林州,429
2,权证,129
3,陵阳镇,128
4,林房,121
5,信息,72
6,北京,47
7,科技,46
8,制造,44
9,工业,43
10,手工,42
11,物排放,39
12,河南,38
13,工程,37
14,大气污染,36
15,煤机,34
16,林州市,34
17,采掘,33
18,河南省,32
19,颗粒物,32
20,郭现,31
21,平顶山,31
22,机械制造,31
23,煤矿,31
24,东联,30
25,钢铁,29
26,装备,29
27,生,28
28,生铁,28
29,永久性,26
30,球团,26
31,林国用,26
32,煤炭,25
33,烧结,25
34,成都,23
35,天科,23
36,精密,23
37,林钢,22
38,韩录,21
39,银行,21
40,建设,20
41,盈信,20
42,机械,20
43,矿建,19
44,自动,19
45,废气,19
46,数据,18
47,煤,17
48,通用,17
49,排放,17
50,故障,17
51,小时,17
52,土地,17
53,能源,16
54,军民,16
55,辽宁,16
56,监测,16
57,重型机械,15
58,安阳,15
59,材料,15
60,不动产,15
61,兴华,14
62,郭,14
63,高炉,14
64,房地产,14
65,铸锻,13
66,琅赛,13
67,控股公司,13
68,制造业,13
69,参照,13
70,炼铁,13
71,郭钏,13
72,平煤,12
73,神马,12
74,机械装备,12
75,郑州,12
76,铸造,12
77,环境,12
78,油气田,12
79,二氧化硫,12
80,烧结机,12
81,复生,12
82,土地证,12
83,曹庆平,11
84,煤炭行业,11
85,朗坤,11
86,鸡西,11
87,现生,11
88,军工,11
89,文化,11
90,工程技术,11
91,服务项目,11
92,传播,11
93,三叶虫,11
94,能源技术,11
95,环保,11
96,生物,11
97,氮氧化物,11
98,石油,10
99,金顶,10
100,液压,10
101,支架,10
102,机,10
103,一批,10
104,机器人,10
105,工程项目,10
106,艺鸣峰,10
107,技术升级,10
108,深圳,10
109,次季,10
110,陈景功,10
111,第一名,10
112,第二名,10
113,健全,9
114,物流,9
115,亿通,9
116,中智浩钏,9
117,同类,9
118,商,9
119,砼,9
120,锅炉,9
121,烟气,9
122,张,9
123,中原,9
124,第三名,9
125,第四名,9
126,权第号,9
127,三山,8
128,大道,8
129,媒体,8
130,刮板,8
131,开采,8
132,售后,8
133,扶贫,8
134,建造,8
135,否赵,8
136,正斌,8
137,第五名,8
138,整元,8
139,开发技术,8
140,天宫,7
141,康泰,7
142,鄂尔多斯市,7
143,零部件,7
144,双轮,7
145,下滑,7
146,资源,7
147,运输,7
148,车间,7
149,油气,7
150,中油,7
151,建筑物,7
152,市场价,7
153,教育,7
154,浓度,7
155,脱硫,7
156,次年,7
157,中央银行,7
158,维修,7
159,抵,7
160,素质,6
161,科林,6
162,西北,6
163,电缆,6
164,生元,6
165,汽车,6
166,年报,6
167,未到,6
168,价否,6
169,中科,6
170,虹霸,6
171,槽,6
172,厂区,6
173,李伟真,6
174,楚金桥,6
175,真实性,6
176,如是,6
177,模型,6
178,财,6
179,务,6
180,教育费,6
181,豫,6
182,中国银行,6
183,夫妇,6
184,服务商,5
185,需求量,5
186,论证,5
187,中融,5
188,吴凯,5
189,价,5
190,到位,5
191,天津,5
192,较长,5
193,由本,5
194,宋全启,5
195,采取有效,5
196,第十一次,5
197,上海,5
198,出铁场,5
199,污染,5
200,除尘,5
201,频次,5
202,抢险,5
203,辞职,5
204,经济师,5
205,控,5
206,郑州大学,5
207,商学院,5
208,河南师范大学,5
