,分词排序,词频
0,尔特,248
1,肥业,204
2,复合肥,101
3,宁国,57
4,信息,54
5,建设,53
6,安徽,44
7,健康,41
8,装置,40
9,宣城,40
10,肥料,39
11,贵州,39
12,工程,36
13,硫铁矿,35
14,农业,33
15,化肥,31
16,亳州,31
17,国购,28
18,农资,26
19,金国,25
20,生物,25
21,有机肥,24
22,宁国市,24
23,上海,24
24,硫酸,23
25,环境,22
26,排放,22
27,银行,22
28,配方,21
29,政立,21
30,清,20
31,环保,20
32,磷酸,20
33,造粒,20
34,肥,19
35,宣城市,19
36,数据,18
37,测土,17
38,施肥,17
39,生态,17
40,合肥,17
41,一铵,16
42,土壤,15
43,东晨,15
44,汉族,15
45,尾气,14
46,方君,13
47,山,13
48,微生物,12
49,生产资料,12
50,路发,12
51,土地,12
52,氨基酸,11
53,矿业,11
54,磷,11
55,调理,11
56,剂,11
57,农民,11
58,信息化,11
59,磷矿石,11
60,资源,10
61,混合,10
62,养分,9
63,电商,9
64,鑫,9
65,宏大,9
66,资讯网,9
67,马尾,9
68,磷矿,9
69,制酸,9
70,农村,9
71,环境保护,9
72,回售,9
73,扶贫,9
74,污染物,9
75,磐信,9
76,李刚,9
77,袁启宏,9
78,参与者,9
79,技术开发区,8
80,复混肥,8
81,科学,8
82,复合,8
83,水溶,8
84,服务平台,8
85,去年同期,8
86,新建,8
87,环评,8
88,环境保护局,8
89,竣工,8
90,大酒店,8
91,等于,8
92,嵌入,8
93,缓释,7
94,氮磷,7
95,有机,7
96,合肥市,7
97,深入开展,7
98,科技,7
99,绿色,7
100,工业,7
101,子项目,7
102,投产,7
103,康健,7
104,胡春燕,7
105,袁天荣,7
106,料,6
107,钾,6
108,菌,6
109,审众,6
110,环,6
111,磷复肥,6
112,第十二次,6
113,制备,6
114,网络,6
115,污染,6
116,增效,6
117,高塔,6
118,河南,6
119,开采,6
120,石膏,6
121,鑫宏,6
122,环保局,6
123,吴勇,6
124,材料,6
125,孙素明,6
126,鑫泰,6
127,典当,6
128,开阳县,6
129,五星,6
130,养殖,6
131,复合肥料,5
132,两种,5
133,硫基,5
134,高浓度,5
135,施用,5
136,无机,5
137,农产品,5
138,农作物,5
139,电子商务,5
140,汪溪,5
141,武汉市,5
142,一体化,5
143,中国农业大学,5
144,江西,5
145,零增长,5
146,农,5
147,规模化,5
148,信誉,5
149,大力发展,5
150,高新技术,5
151,南京农业大学,5
152,制造,5
153,队伍,5
154,质量检验,5
155,银行贷款,5
156,兼并,5
157,芜湖,5
158,方万鹏,5
159,教育,5
160,脱硫,5
161,道路,5
162,应急,5
163,金政辉,5
164,娥,5
165,武汉,5
166,名为,5
167,重要性,5
168,司尔债,5
169,授信额度,5
170,房地产,5
171,分拆,5
172,教育费,5
173,带息,5
174,对非,5
175,公众,4
176,氯基,4
177,王郁,4
178,汪紫玲,4
179,宣州,4
180,硝基,4
181,硫酸钾,4
182,湖南,4
183,农科院,4
184,转鼓,4
185,复肥,4
186,释放,4
187,全元,4
188,定制,4
189,领导,4
190,氨化,4
191,互联网,4
192,稳步,4
193,烟囱,4
194,化学肥料,4
195,下同,4
196,金融机构,4
197,第八次,4
198,氨酸,4
199,物流,4
200,人及,4
201,人事,4
202,二氧化硫,4
203,污水,4
