,分词排序,词频
0,银行,128
1,维生素,110
2,医药,78
3,科技,75
4,海宁,75
5,信息,68
6,化工,57
7,嘉兴市,49
8,皮革,41
9,工程,40
10,浙江,38
11,建设,33
12,志达,30
13,环境,28
14,氨基,23
15,环保,22
16,钱,21
17,江西,21
18,民生银行,20
19,环境保护,18
20,大丰,18
21,朱贵法,17
22,天健,16
23,数据,15
24,化学品,15
25,丙酸,15
26,达标,14
27,排放口,14
28,钱志明,14
29,房地产,13
30,彭泽,13
31,否苏为,13
32,药业,12
33,高新技术,12
34,可转债,12
35,吡啶,12
36,污水,12
37,污染,12
38,浙嘉,12
39,家具,11
40,商业银行,11
41,苯二酚,11
42,为元股,11
43,业经,11
44,工业,11
45,防治,11
46,彭泽县,11
47,土地,11
48,生物,10
49,江苏,10
50,烟酰胺,10
51,烟酸,10
52,中国民生银行,10
53,制药,10
54,裁定书,10
55,保,10
56,补助款,10
57,香港,9
58,原料药,9
59,江西省,9
60,化学,9
61,朗吉,9
62,退税,9
63,吨氰基,9
64,材料,9
65,第二十次,9
66,执民字,9
67,张永辉,8
68,股股,8
69,海宁市,8
70,衍生物,8
71,资源,8
72,验资,8
73,天健验,8
74,丙醇,8
75,中国银行,8
76,废气,8
77,高级人民法院,8
78,处理厂,8
79,中平,8
80,股占,8
81,否钱志明,8
82,民生,7
83,饲料,7
84,健康,7
85,热电,7
86,到位,7
87,每张,7
88,第九次,7
89,印度,7
90,嘉兴,7
91,第一个,7
92,九江,7
93,否钱,7
94,建筑物,7
95,农村,6
96,铬,6
97,鞣剂,6
98,造影剂,6
99,中间体,6
100,满意度,6
101,制革,6
102,作业,6
103,智能化,6
104,自动化,6
105,第八次,6
106,浙,6
107,判决书,6
108,期可,6
109,交通银行,6
110,排放,6
111,环境保护局,6
112,共有,6
113,李健平,6
114,审验,6
115,唐月强,6
116,周,6
117,能源,6
118,朗视,6
119,仪器,6
120,苏为,6
121,教育,6
122,倍数,6
123,乙酰基,6
124,丁,6
125,内脂,6
126,嘉仲字,6
127,作价,6
128,抵偿,6
129,送达,6
130,时起,6
131,化妆品,5
132,环节,5
133,制造业,5
134,近年,5
135,二期工程,5
136,香料,5
137,网络,5
138,承销商,5
139,结项,5
140,现金管理,5
141,起诉状,5
142,首期,5
143,召集,5
144,应急,5
145,高温,5
146,排入,5
147,废水,5
148,转换成,5
149,债转股,5
150,职称,5
151,阳新,5
152,代扣代缴,5
153,交付给,5
154,油气,5
155,换取,5
156,中共,5
157,源于,5
158,产品价格,4
159,周期性,4
160,登记日,4
161,人钱,4
162,海洲,4
163,街道,4
164,学林,4
165,街号,4
166,机构名称,4
167,表中,4
168,代扣,4
169,食品,4
170,顺利,4
171,最大化,4
172,清洁,4
173,创新能力,4
174,骨干,4
175,投产,4
176,绿色,4
177,第四年,4
178,联产,4
179,碘,4
180,益,4
181,投向,4
182,预先,4
183,第期,4
184,开立,4
185,私人,4
186,上诉,4
187,记录表,4
188,事,4
189,转让方,4
190,致使,4
191,名下,4
192,第十八次,4
193,第十三次,4
194,关心,4
195,就业,4
196,焚烧,4
197,罚款,4
198,获授,4
199,银元,4
200,清泉,4
201,夏德兵,4
202,金元,4
203,经济师,4
204,褚国弟,4
205,顾菊英,4
206,公司业绩,4
207,第一年,4
208,可转,4
209,派发,4
210,凭证,4
211,保费,4
212,准备金,4
213,生产费,4
214,发号,4
215,无以,4
216,不获,4
217,土建工程,4
218,蓄热,4
219,氧化,4
220,炉,4
221,基础设施,4
222,建设工程,4
223,元含,4
224,满个,4
225,后分,4
226,每期,4
227,市委,4
228,财政厅,4
229,工贸,4
230,元该,4
231,批发业,4
232,外汇,4
233,股市,3
234,送,3
235,农商,3
236,海翔,3
237,花园,3
238,联系人,3
239,钱柳华,3
240,沈培强,3
241,胡青,3
242,解读,3
243,化工行业,3
244,助剂,3
245,意识,3
246,长远,3
247,科学,3
248,控制措施,3
249,把握,3
250,销售策略,3
251,价,3
252,摩擦,3
253,污水处理,3
254,合成,3
255,经营风险,3
256,奠定,3
257,预防,3
258,紧紧围绕,3
259,技术创新,3
260,成交,3
261,信心,3
262,进项税额,3
263,减除,3
264,原股,3
265,万张,3
266,超募,3
267,氰基,3
268,先期,3
269,第二十三,3
270,审号,3
271,账号,3
272,产销,3
273,停产,3
274,信息化,3
275,添加剂,3
276,商务,3
277,节能,3
278,不服,3
279,文书,3
280,表兄弟,3
281,第十次,3
282,拟以,3
283,六个月,3
284,清理,3
285,浙民终,3
286,传票,3
287,至股,3
288,第七次,3
289,为关,3
290,联方,3
291,和谐,3
292,板,3
293,环境影响,3
294,车间,3
295,公益事业,3
296,积极参与,3
297,仓库,3
298,扶贫,3
299,需氧量,3
300,氨氮,3
301,二氧化硫,3
302,排,3
303,氮氧化物,3
304,投运,3
305,焚烧炉,3
306,固废,3
307,危废,3
308,厅,3
309,竣工,3
310,监测,3
311,条,3
312,沈,3
313,刘,3
314,王久亮,3
315,白骋,3
316,龙诚,3
317,港务,3
318,明达,3
319,北京,3
320,工程师,3
321,简历,3
322,人力资源,3
323,年报,3
324,非专利,3
325,审计部,3
326,修正,3
327,工作效率,3
328,偏离,3
329,第二年,3
330,第三年,3
331,第五年,3
332,第六年,3
333,计息,3
334,银行贷款,3
335,期后,3
336,具体方法,3
337,提单,3
338,出库,3
339,中央银行,3
340,无现金,3
341,近似,3
342,建造,3
343,转让费,3
344,应缴,3
345,税额,3
346,教育费,3
347,退税率,3
348,领导小组,3
349,第一批,3
350,第二批,3
351,五小计,3
352,催化,3
353,募股,3
354,陆续,3
355,期自,3
356,起满个,3
357,人钱志明,3
358,元系,3
359,收购价格,3
360,裁决书,3
361,执行款,3
362,至此,3
363,协助执行,3
364,执民,3
365,被执行人,3
366,代缴,3
367,加州,3
368,金奈,3
369,大丰市,3
370,市级,3
371,主管人员,2
372,阐述,2
373,未决,2
374,永太,2
375,华铁,2
376,网址,2
377,电子信箱,2
378,媒体,2
379,网站,2
380,资讯网,2
381,董秘,2
382,有无,2
383,历次,2
384,大街,2
385,元非,2
386,统一标准,2
387,系列产品,2
388,添加,2
