,分词排序,词频
0,建设,420
1,工程,237
2,宁波,127
3,千年,91
4,浙江,84
5,信息,83
6,施工,65
7,银行,52
8,资讯网,51
9,舟山,43
10,定增,41
11,上海,40
12,湖州,40
13,定期存款,40
14,移交,39
15,起个,39
16,股限售期,37
17,建筑业,34
18,科技,32
19,生态,29
20,控股公司,29
21,水利,27
22,建造,27
23,定期存单,25
24,高新区,24
25,文化,24
26,该行,24
27,一年期,24
28,冯全宏,21
29,工程项目,21
30,投标,21
31,杭州湾,21
32,建塘,21
33,停牌,21
34,工程师,21
35,工程施工,20
36,围涂,20
37,橙乐,20
38,新娱,20
39,建筑,19
40,业主,19
41,网络,19
42,环境,17
43,详情,17
44,宁海,17
45,仲成荣,17
46,土木工程,16
47,海堤,16
48,材料,16
49,房地产,16
50,杭州,16
51,王,16
52,宏力阳,16
53,市政,15
54,勘察,15
55,台州,15
56,金洋,15
57,坤,15
58,环保,14
59,建筑施工,14
60,建塘江,14
61,两侧,14
62,存单,14
63,邱春方,14
64,建造师,14
65,工程设计,13
66,勘测,13
67,数据,13
68,甬宁,13
69,奉化,13
70,高新技术,13
71,安杰,13
72,三年期,13
73,天健,12
74,资源,12
75,竣工,12
76,蓝,12
77,建设期,12
78,六横,12
79,天台,12
80,张子,12
81,掌权,12
82,乐卓,12
83,聚光,12
84,绘影,12
85,水利水电,11
86,水利工程,11
87,一体化,11
88,项目管理,11
89,承接,11
90,软基,11
91,长安,11
92,停工,11
93,永春,11
94,设计院,11
95,服务业,11
96,基础设施,10
97,壹级,10
98,住房,10
99,市场部,10
100,项目部,10
101,教育,10
102,旅游,10
103,安吉,10
104,六安,10
105,甬旺,10
106,天台县,10
107,华夏银行,10
108,温州,10
109,土地,10
110,会计核算,10
111,股股,9
112,城市规划,9
113,爆破,9
114,结构性,9
115,投融资,9
116,河道,9
117,水利建设,9
118,城乡,9
119,水,9
120,甬广,9
121,宝鸡,9
122,汇通,9
123,中央,9
124,一个月,9
125,无条件,9
126,桥梁,8
127,建筑安装,8
128,经理部,8
129,供方,8
130,江西,8
131,机,8
132,装置,8
133,越腾,8
134,市政工程,8
135,宏旺,8
136,乾瑞,8
137,乾海,8
138,板,8
139,承,8
140,生态建设,8
141,雄县,8
142,香港,8
143,北京,8
144,规划设计,7
145,工程建设,7
146,建设工程,7
147,配备,7
148,淤泥,7
149,绿色,7
150,江苏,7
151,宏顺,7
152,宏琏,7
153,滩涂,7
154,高新,7
155,滚存,7
156,全民,7
157,朗佐,7
158,占款,7
159,招投标,7
160,汪卫军,7
161,生物,7
162,甬,7
163,胡寿胜,6
164,陈伟,6
165,证券部,6
166,港口,6
167,浙商,6
168,水库,6
169,延伸,6
170,文创,6
171,引江济,6
172,淮,6
173,排水板,6
174,名单,6
175,金融机构,6
176,大禹,6
177,增,6
178,深水,6
179,作业,6
180,文旅,6
181,海弘,6
182,环赢,6
183,海涂,6
184,围垦,6
185,月底,6
186,第六次,6
187,时所作,6
188,监督管理,6
189,龙新,6
190,同受,6
191,减资,6
192,去世,6
193,蔡宁,6
194,九水,6
195,生产费,6
196,职能,6
197,拆,6
198,航道,5
199,下行,5
200,大部分,5
201,环境保护,5
202,公用,5
203,跨,5
204,责任人,5
205,拟定,5
206,领导小组,5
207,健全,5
208,专用设备,5
209,塑料,5
210,港航,5
211,顺利,5
212,工程技术,5
213,固化,5
214,节点,5
215,构造,5
216,机械,5
217,潜山县,5
218,猫,5
219,存储,5
220,中国建设银行,5
221,慧盈,5
222,对照表,5
223,第三十一次,5
224,现金管理,5
225,分阶段,5
226,督察,5
227,持续时间,5
228,日用,5
229,排放,5
230,服务收入,5
231,透明,5
232,金元,5
233,汤雷,5
234,李澄澄,5
235,获准,5
236,拆出,5
237,存入,5
238,开市,5
239,股前,5
240,网络科技,5
241,徐丽君,5
242,工会主席,5
243,期后,5
244,油气,5
245,扣留,5
246,数为,5
247,连云港,5
248,鄞州区,5
249,源于,5
250,已有,4
251,广,4
252,贤路,4
253,网站,4
254,相适应,4
255,策划,4
256,软件,4
257,小镇,4
258,流域,4
259,资质证书,4
260,建设部,4
261,安徽,4
262,江淮,4
263,难度,4
264,石料,4
265,项目经理,4
266,加固,4
267,设置,4
268,隐患,4
269,方针,4
270,荣获,4
271,奖,4
272,操作规程,4
273,研制,4
274,十九,4
275,片区,4
276,催收,4
277,东,4
278,上表,4
279,混凝土,4
280,建筑设计,4
281,健康,4
282,工业,4
283,电影,4
284,汤姆,4
285,承销商,4
286,业经,4
287,结余,4
288,三方,4
289,广发,4
290,即日起,4
291,舟山市,4
292,集聚,4
293,文化产业,4
294,政策性,4
295,街道,4
296,办事处,4
297,尽快,4
298,工程进度,4
299,至下,4
300,完整性,4
301,再融资,4
302,半年,4
303,东睿,4
304,限售期,4
305,多种形式,4
306,证件,4
307,款该,4
308,筹备,4
309,三林,4
