,分词排序,词频
0,广东,439
1,益智,322
2,造,316
3,领,309
4,科技,272
5,江门,137
6,领益,136
7,精密,134
8,江门市,125
9,深圳,121
10,江粉,97
11,磁材,89
12,亮彩,81
13,曾芳勤,75
14,电子,72
15,领胜,62
16,信息,59
17,帝晶,54
18,东莞,54
19,光电,52
20,材料,47
21,汪南东,44
22,江海区,44
23,制造,42
24,合力,36
25,反向,33
26,房地产,33
27,中岸,30
28,工程,29
29,江苏,29
30,通电子,28
31,东莞市,28
32,电子科技,26
33,苏州,26
34,领杰,24
35,通信,24
36,资讯网,22
37,数据,22
38,电机,22
39,银行,21
40,成都,21
41,安磁,21
42,领尚,20
43,赣州市,19
44,结构件,18
45,大宗,18
46,金属,18
47,国家税务局,18
48,高新技术,18
49,责任人,17
50,其所,17
51,限售期,17
52,证书编号,16
53,自动化,15
54,诚悦丰,15
55,建设,15
56,半年,15
57,鹤山市,15
58,郑州,15
59,地方税务局,15
60,杰富意,15
61,磁性,15
62,材,15
63,技术改造,15
64,金立,14
65,曹云,14
66,北京,14
67,谭军,14
68,陈国狮,13
69,环境,12
70,李,12
71,协议书,12
72,年生,12
73,否汪南东,12
74,建造,12
75,厅,12
76,财政厅,12
77,东睦新,12
78,中国香港,12
79,磁性材料,11
80,物流,11
81,吉文,11
82,换届,11
83,土地,11
84,资源,10
85,第一名,10
86,刘,10
87,李学华,10
88,小额贷款,10
89,马丁,10
90,领略,9
91,数控,9
92,制造业,9
93,追讨,9
94,第二名,9
95,盛翔,9
96,科智为,9
97,联恒,9
98,伟业,9
99,华辉,9
100,四方,9
101,聚美,9
102,金卓,9
103,致通,9
104,交运,9
105,江磁,9
106,线缆,9
107,领胜城,9
108,五金,9
109,否周,9
110,汇通,9
111,博弛,9
112,蓬江区,8
113,雄伟,8
114,模组,8
115,消费,8
116,第三名,8
117,第四名,8
118,第五名,8
119,领泰,8
120,工业,8
121,模具,8
122,侵占,8
123,买卖合同,8
124,环境保护,8
125,高科技,8
126,第六次,8
127,剑,8
128,生物,8
129,院,8
130,网站,7
131,触控,7
132,大华,7
133,智能,7
134,智造,7
135,正当,7
136,核查,7
137,江益,7
138,刘鸣源,7
139,赣州,7
140,领裕,7
141,领镒,7
142,其所持,7
143,刘胤琦,7
144,一道,7
145,医疗,7
146,无锡,7
147,物料,7
148,建筑物,7
149,广州,7
150,香港,7
151,江顺,7
152,东台,7
153,人民,7
154,龙湾,6
155,路,6
156,磁材于,6
157,亮彩原,6
158,德,6
159,为江粉,6
160,文云东,6
161,汪彦,6
162,罚款,6
163,第五次,6
164,向名,6
165,板,6
166,技,6
167,李晓青,6
168,金服,6
169,直系亲属,6
170,制品,5
171,拼搏,5
172,敢于,5
173,文化,5
