,分词排序,词频
0,生物,412
1,山东,313
2,龙力,290
3,少博,93
4,诉龙力,92
5,否程,84
6,科技,65
7,禹城市,58
8,信息,55
9,程少博,49
10,木糖,46
11,乙醇,43
12,高新技术,39
13,银行,39
14,工程,36
15,糖,35
16,北京,34
17,立新,34
18,禹城,33
19,担保人,33
20,创业投资,29
21,上海,28
22,建设,28
23,材料,27
24,德州,27
25,食品,25
26,环保,25
27,终审判决,25
28,健康,24
29,玉米芯,23
30,主合同,23
31,二年,23
32,鳌,22
33,龙,22
34,数据,22
35,中国农业银行,22
36,主债务,22
37,低聚,21
38,信托,21
39,木质素,20
40,农业,20
41,超募,20
42,程少,20
43,否已,19
44,否朱,19
45,木糖醇,18
46,快云,18
47,兆荣,17
48,土地,17
49,恒丰,17
50,聚,16
51,黑龙江,16
52,深圳,16
53,玉米,16
54,绿健,16
55,资金紧张,16
56,生物科技,14
57,上诉,14
58,高卫先,13
59,德州市,13
60,纤维素,13
61,综合利用,13
62,互联网,13
63,厦门,12
64,淀粉糖,12
65,危险,12
66,博朱,12
67,阿拉伯糖,11
68,添加剂,11
69,结晶,11
70,化学品,11
71,民间,11
72,借贷,11
73,扶贫,11
74,竣工,11
75,人程,10
76,淀粉,10
77,燃料,10
78,排放,10
79,文号,10
80,王奎旗,10
81,鲁信,10
82,出质,10
83,糖醇,9
84,高立娟,9
85,资源,9
86,饲料,9
87,危机,9
88,沼气,9
89,保健品,9
90,房地产,9
91,刘伯哲,8
92,委托人,8
93,雅正,8
94,欧洲,8
95,龙聚,8
96,废渣,8
97,制备,8
98,环境,8
99,济南,8
100,场所,8
101,分光,8
102,孔令军,8
103,消耗性,8
104,杜,7
105,聂伟才,7
106,功能性,7
107,龙信,7
108,秸秆,7
109,文化,7
110,发电,7
111,润,7
112,教育,7
113,调解,7
114,失信,7
115,福田,7
116,棉麻,7
117,环境保护,7
118,董监,7
119,倪浩嫣,7
120,男年生,7
121,青岛,7
122,颁发,6
123,龙益,6
124,新能源,6
125,酶,6
126,绿色,6
127,工业,6
128,产业政策,6
129,精制,6
130,食品级,6
131,联产,6
132,粉,6
133,终端,6
134,媒介,6
135,种植,6
136,歌伦,6
137,海海,6
138,撤诉,6
139,水,6
140,贺友,6
141,泉林,6
142,污水,6
143,污染,6
144,人类,6
145,工程师,6
146,错,6
147,代偿,6
148,诺誉,6
149,方正,6
150,东亚,6
151,立信,5
152,不派,5
153,纤维,5
154,繁殖,5
155,网站,5
156,解,5
157,中粮,5
158,获,5
159,产品成本,5
160,电价,5
161,电力,5
162,包装物,5
163,木质,5
164,列入,5
165,素质,5
166,华融,5
167,氨氮,5
168,监测,5
169,排污,5
170,生态,5
171,防治,5
172,急救,5
173,张冬,5
174,聚睿,5
175,否否否,5
176,报错,5
177,香港,5
178,除净,5
179,软件,5
180,第一名,5
181,第二名,5
182,第三名,5
183,华夏银行,5
184,延吉,5
185,路,5
186,纸业,5
187,齐康,5
188,药业,5
189,抵押物,5
190,现代农业,5
191,旅游,5
192,日该,5
193,违规行为,4
194,警示,4
195,物质,4
196,控股公司,4
197,姜干张,4
198,小惠,4
199,麦芽糖,4
200,生物质,4
201,全株,4
202,低碳,4
203,新兴产业,4
204,营养,4
205,抗性,4
206,糊精,4
207,晶体,4
208,一步,4
209,力争,4
210,阶梯,4
211,操作,4
212,预先,4
213,缺口,4
214,许可证,4
215,负面影响,4
216,清理,4
217,掌福,4
218,钜,4
219,赋,4
220,益,4
221,以有,4
222,拒不履行,4
223,法律文书,4
224,被执行人,4
225,数额较大,4
226,家园,4
227,污染物,4
228,等级,4
229,德环验,4
230,环境保护局,4
231,禹,4
232,环验,4
233,环保局,4
234,能量,4
235,光度法,4
236,王燕,4
237,黄小榕,4
238,曹星,4
239,尹吉增,4
240,职工代表,4
241,福瑞达,4
242,特约,4
243,机器设备,4
244,无效,4
245,政策性,4
246,以换,4
247,建筑物,4
248,收获,4
249,人工费,4
250,核对,4
251,获颁,4
252,发证,4
253,第四名,4
254,商业银行,4
255,水利,4
256,中国长城资产管理公司,4
257,办事处,4
258,自查,4
259,以其,4
260,荣辉,3
261,五部委,3
262,建筑,3
263,不足以,3
264,蔗糖,3
265,成分,3
266,网址,3
267,电子信箱,3
268,媒体,3
269,代,3
270,三大,3
271,制造,3
272,高分子,3
273,秸杆,3
274,挖掘,3
275,实时,3
276,符合国家,3
277,倡导,3
278,战略性,3
279,废弃物,3
280,农作物,3
281,网络,3
282,传播,3
283,商标,3
284,协助,3
285,起草,3
286,国家标准,3
287,在线,3
288,干部,3
289,勇于,3
290,担当,3
291,服务业,3
292,临邑,3
293,关键技术,3
294,二等奖,3
295,食品安全,3
296,投向,3
297,醇,3
298,银行贷款,3
299,以销定产,3
300,生产工艺,3
301,满负荷,3
302,永久性,3
303,蒸汽,3
304,为准,3
305,高新区,3
306,第七次,3
307,银行利息,3
308,票,3
309,咨询服务,3
310,通信,3
311,一代,3
312,配备,3
313,操作规程,3
314,配料,3
315,近亲属,3
316,配合,3
317,修订本,3
318,元调,3
319,增长期,3
320,元重,3
321,改聘,3
322,浙江,3
323,江,3
324,岚桥,3
325,医药,3
326,银砖,3
327,富国,3
328,天启,3
329,理,3
330,丰瑞恒盛,3
331,机械,3
332,涉嫌,3
333,创业,3
334,和谐,3
335,创建,3
336,公益活动,3
337,成就,3
338,小时,3
339,脱贫,3
340,排放口,3
341,检测,3
342,系统优化,3
343,应急,3
344,储存,3
345,保养,3
346,泄漏,3
347,车间,3
348,器材,3
349,污水处理,3
350,重量,3
351,电子天平,3
352,光度计,3
353,肖林,3
354,盛勇,3
355,杨锋,3
356,聂伟,3
357,刘国磊,3
358,刘立存,3
359,刘维秀,3
360,刘维,3
361,业务经理,3
362,齐鲁,3
363,博程,3
364,资讯网,3
365,审查,3
366,政府部门,3
367,保费,3
368,准备金,3
369,油气,3
370,中央银行,3
371,止本,3
372,蝴蝶,3
373,建造,3
374,乘以,3
375,公益性,3
376,农产品,3
377,企业资质,3
378,第五名,3
379,农村,3
380,朱,3
381,中海,3
382,龙江县,3
383,齐齐哈尔,3
384,示范园,3
385,灌溉,3
386,唐,3
387,益生素,3
388,酶法,3
389,转款,3
390,款年,3
391,因涉嫌,2
392,退市,2
393,惠通,2
394,功效,2
395,统称,2
396,人体,2
397,化合物,2
398,糖尿病,2
399,添加,2
400,抑制,2
401,便秘,2
402,品,2
403,含有,2
404,衍生物,2
405,外文,2
406,证券部,2
407,有无,2
408,年本,2
409,元非,2
410,统一标准,2
411,否大,2
412,工程技术,2
413,半,2
414,生化,2
415,葡萄糖,2
416,运营商,2
417,干,2
418,彰显,2
419,农林,2
420,大力支持,2
421,地域,2
422,河北,2
423,充足,2
424,大连,2
425,生态农业,2
426,自然,2
427,推荐,2
428,设有,2
429,糖类,2
430,发改委,2
431,无线,2
432,快云大,2
433,爆发,2
434,感恩,2
435,苹果,2
436,统计,2
437,分类单位,2
438,肽,2
439,有机肥,2
440,合生元,2
441,研究成果,2
442,纤维素酶,2
443,科技进步,2
444,精细,2
445,分离,2
446,工作站,2
447,房产,2
448,权证,2
449,去向,2
450,补流,2
451,投资总额,2
452,中介,2
453,间断,2
454,居高不下,2
455,发电所,2
456,低点,2
457,生产成本,2
458,规避,2
459,能源动力,2
460,第十七次,2
461,第二十次,2
462,六个月,2
463,以超募,2
464,当日,2
465,节余,2
466,迁至,2
467,面积,2
468,分次,2
469,实,2
470,可再生,2
471,大项,2
472,第条,2
473,提议,2
474,信息技术,2
475,亚健康,2
476,人群,2
477,增多,2
478,老龄化,2
479,规模化,2
480,用量,2
481,指南,2
482,呈现,2
483,三是,2
484,爆品,2
485,全员,2
486,主营,2
487,技术水平,2
488,杜绝,2
489,至上,2
490,严在,2
491,体现,2
492,散,2
493,冲击,2
494,服务商,2
495,氢气,2
496,事故,2
497,承,2
498,时所作,2
