,分词排序,词频
0,大连,376
1,电瓷,375
2,绝缘子,84
3,上海,81
4,信息,60
5,意隆,52
6,瓷,49
7,磁材,46
8,嘉兴,44
9,材料,42
10,稀土,39
11,工程,37
12,阜宁,36
13,建设,36
14,真灼,34
15,不动产,32
16,辽金,28
17,普,28
18,权第号,27
19,瑞航,26
20,朱冠成,24
21,惇,24
22,输变电,24
23,新驰,23
24,土地,23
25,锐奇,22
26,金具,22
27,福建,21
28,宁波,19
29,菲迪,19
30,涔,17
31,盛宝,17
32,数据,17
33,银行,17
34,浙江,16
35,铸造,15
36,拉普,15
37,大莲,15
38,电网,15
39,杭州,14
40,复合,14
41,制造,14
42,亿德,13
43,财通,13
44,电力,13
45,房地产,13
46,奇,13
47,应坚,13
48,特高压,12
49,环境,12
50,私募,12
51,资源,12
52,药业,11
53,线路,11
54,国家电网,11
55,飚,11
56,信息技术,10
57,东亚,10
58,输电,10
59,超期,10
60,拍卖,10
61,制造业,10
62,大瓷,9
63,大连经济技术开发区,9
64,厂家,9
65,南方电网,9
66,支柱,9
67,闽清县,9
68,起个,9
69,六个月,9
70,内及,9
71,法定期限,9
72,窦刚,9
73,永生,9
74,朱,9
75,轮候,9
76,名下,9
77,徐宇舟,9
78,建造,9
79,钟瑜涛,8
80,资讯网,8
81,隆磁材,8
82,高压,8
83,直流,8
84,工业,8
85,能源,8
86,江苏,8
87,王,8
88,金华,8
89,李远鹏,8
90,北京,8
91,止本,8
92,儿子,8
93,开立,8
94,大华,7
95,停产,7
96,科学,7
97,高新技术,7
98,授信额度,7
99,对此,7
100,王石,7
101,实缴,7
102,众能,7
103,马飞,7
104,生物,7
105,日止,7
106,建筑物,7
107,三箭,6
108,辽河,6
109,东路,6
110,关欣,6
111,证券部,6
112,供货商,6
113,中国银行,6
114,房产,6
115,主营,6
116,基金业,6
117,扶贫,6
118,盐城市,6
119,阜兴,6
120,凌晟,6
121,电力设备,6
122,管限售,6
123,铝,6
124,前任,6
125,总价,6
126,油气,6
127,教育费,6
128,可回收,6
129,双港,5
130,邱素珍,5
131,人应坚,5
132,竞标,5
133,文化,5
134,配方,5
135,交流,5
136,辽宁省,5
137,激烈,5
138,悬瓷,5
139,土地出让,5
140,下沉,5
141,网,5
142,退税,5
143,输配电,5
144,石磊,5
145,建湖县,5
146,该笔,5
147,成就,5
148,沪,5
149,教育,5
150,财务部门,5
151,包装物,5
152,刘桂雪,4
153,竞得,4
154,用瓷,4
155,电站,4
156,供货,4
157,采买,4
158,核对,4
159,利用率,4
160,投标,4
161,避雷器,4
162,工程项目,4
163,吸引,4
164,上涨,4
165,更为,4
166,这一,4
167,中低端,4
168,入伙,4
169,第十七次,4
170,青浦区,4
171,管理局,4
172,准予,4
173,基础设施,4
174,筹措,4
175,竞,4
176,承,4
177,磁材于,4
178,摘要,4
179,日为,4
180,金融机构,4
181,环境保护,4
182,实业集团,4
183,公拍网,4
184,裁定书,4
185,至锐,4
186,后锐,4
187,为锐,4
188,计算机,4
189,电子产品,4
190,安扬,4
191,张晨,4
192,周永林,4
193,阜宁县,4
194,任中,4
195,复旦大学,4
196,主任委员,4
197,权限,4
198,发货,4
199,出于,4
200,带息,4
201,退休,4
202,内退,4
203,模型,4
204,用地,4
205,出让,4
206,池园,4
207,镇宝,4
208,约元,4
209,权证,4
210,证编号,4
211,木业,4
212,辽,4
213,总厂,4
214,朱福红,3
215,闽清,3
216,网站,3
217,张昕,3
218,陈泓洲,3
219,开关,3
220,采购部,3
221,检测,3
222,入库,3
223,一支,3
224,成熟,3
225,高质量,3
226,唯一,3
