,分词排序,词频
0,玻璃,407
1,洛阳,288
2,北玻,216
3,北方,213
4,上海,121
5,北京,74
6,镀膜,71
7,电子,66
8,工程,66
9,信息,62
10,深加工,50
11,玻,47
12,自动化,44
13,工业,41
14,天津,41
15,机组,38
16,材料,38
17,银行,35
18,广东,34
19,玻璃钢,30
20,风机,28
21,建筑,28
22,节能,27
23,装备,26
24,北玻臻兴,25
25,钢化,25
26,低辐射,25
27,洛阳市,24
28,建设,24
29,台,24
30,预处理,22
31,资讯网,22
32,信风,20
33,创业投资,20
34,北玻硅巢,20
35,河南省,20
36,光伏,20
37,机,19
38,联讯北,18
39,数据,18
40,高学明,17
41,安全玻璃,17
42,永中,16
43,超募,16
44,制造,15
45,幕墙,15
46,建造,15
47,汽车玻璃,14
48,高新技术,14
49,硅巢,14
50,房地产,14
51,北玻台,13
52,仓储,13
53,技术改造,13
54,金元,13
55,环保,12
56,利随,12
57,本清,12
58,台信,11
59,西藏,11
60,刊载,11
61,学林,11
62,上诉,11
63,连线,10
64,钢化玻璃,10
65,绿色,10
66,节能型,10
67,侯学党,10
68,高新,10
69,超大,9
70,环境,9
71,联东,9
72,玻璃设备,9
73,加拿大,9
74,北,9
75,二审,9
76,对北,8
77,米,8
78,印刷,8
79,装饰,8
80,天津市,8
81,资源,8
82,制造业,8
83,永久性,8
84,案,8
85,交行,8
86,蕴通,8
87,财富,8
88,寿庆,8
89,生物,8
90,同受,8
91,夏冰,7
92,建筑物,7
93,德国,7
94,个性化,7
95,金泰,7
96,并表,7
97,颁发,7
98,丝网,7
99,人工,7
100,结构性,7
101,此次,7
102,冯,7
103,进军,7
104,台湾,7
105,信锋,7
106,半径,6
107,软件,6
108,一体,6
109,一带,6
110,一路,6
111,装配式,6
112,能源,6
113,松江区,6
114,科技,6
115,投资总额,6
116,节余,6
117,吴绍,6
118,工程项目,6
119,平安,6
120,起租,6
121,扶贫,6
122,土地,6
123,教育费,6
124,注本,6
125,深圳,5
126,人高学明,5
127,高新区,5
128,滨河路,5
129,延伸,5
130,旗舰店,5
131,板,5
132,模块化,5
133,弯钢,5
134,保温,5
135,易,5
136,技术创新,5
137,工程技术,5
138,客户服务,5
139,创新能力,5
140,建筑材料,5
141,联讯,5
142,垃圾,5
143,发明专利,5
144,科学,5
145,商务,5
146,印,5
147,拟将,5
148,东莞市,5
149,韩,5
150,寿命,5
151,经济损失,5
152,清理,5
153,发自,5
154,史,5
155,无效,5
156,衡量,5
157,油气,5
158,专利权,5
159,为个,5
160,裁减,5
161,退税率,5
162,签发,5
163,证书编号,5
164,退税款,5
165,装修,5
166,侵权,5
167,宝坻区,5
168,孙政军,4
169,赵利红,4
170,门窗,4
171,弯,4
172,纯平,4
173,无斑,4
174,超薄,4
175,切割,4
176,规格,4
177,高强度,4
178,玻璃产品,4
179,特种玻璃,4
180,技术水平,4
181,沉淀,4
182,广阔,4
183,绿色建材,4
184,硅巢板,4
185,一体化,4
186,轻质,4
187,环境保护,4
188,金融机构,4
189,智能,4
190,河南,4
191,外观设计,4
192,著作权,4
193,玻璃丝,4
194,产品开发,4
195,元较,4
196,立项,4
197,余万元,4
198,结余,4
199,臻,4
200,智能化,4
201,搭建,4
202,可回收,4
203,基础设施,4
204,核心技术,4
205,罚款,4
206,并未,4
207,抗拒,4
208,谨慎,4
209,中应,4
210,交,4
211,日增,4
212,利天,4
213,共赢,4
214,益,4
215,金文,4
216,吴跃平,4
217,熊熊,4
218,天津大学,4
219,公司员工,4
220,教育,4
221,此类,4
222,无风险,4
223,竣工,4
224,两者之间,4
225,组为,4
226,政策性,4
227,价,4
228,税务局,4
229,北玻于,4
230,税务总局,4
231,科技型,4
232,英国高等法院,4
233,天宝,4
234,开发技术,4
235,承受,4
236,创业,3
237,泰威,3
238,珠海,3
239,有无,3
240,机构名称,3
241,通用,3
242,阳光,3
243,机场,3
244,峰会,3
245,主会场,3
246,信息管理,3
247,标志性,3
248,著名,3
249,世界各地,3
250,隔墙,3
251,气垫,3
252,吸引,3
253,硬轴弯钢,3
254,传统,3
255,专用设备,3
256,更好,3
257,初步,3
258,高温,3
259,赢得,3
260,中空玻璃,3
261,隔音,3
262,定位,3
263,耐克,3
264,定制,3
265,多方,3
266,动态,3
267,一支,3
268,队伍,3
269,信息化,3
270,住房,3
271,首创,3
272,风积沙,3
273,尾矿,3
274,煤矸石,3
275,高强,3
276,耐火,3
277,防腐,3
278,集成,3
279,集,3
280,健康,3
281,发电,3
282,此项,3
283,含有,3
284,进项,3
285,领军,3
286,减反射膜,3
287,产品品质,3
288,技术设备,3
289,首选,3
290,高度,3
291,全过程,3
292,健全,3
293,控,3
294,未达,3
295,长远,3
296,紧密,3
297,换发,3
298,玻臻兴,3
299,北京市工商行政管理局,3
300,最大化,3
301,管理效率,3
302,参,3
303,分类单位,3
304,投向,3
305,预先,3
306,兴,3
307,实,3
308,打印,3
309,贡献,3
310,文化,3
311,高水平,3
312,人力资源,3
313,补,3
314,度,3
315,失误,3
316,致使,3
317,中长期,3
318,谈判,3
319,在内,3
320,直芳,3
321,李照,3
322,恒和昌,3
323,开庭审理,3
324,分拆,3
325,按规定,3
326,北玻诉,3
327,强制执行,3
328,宁夏,3
329,和解,3
330,回复,3
331,同类,3
332,获批,3
333,中信银行,3
334,就业,3
335,工商局,3
336,工商行政管理局,3
337,协议书,3
338,其后,3
339,股东会,3
340,票,3
341,雷敏,3
342,孟宪慧,3
343,杨渊晰,3
344,白雪,3
345,峰,3
346,高琦,3
347,韩琦,3
348,辉,3
349,刘葳,3
350,韩俊峰,3
351,制造厂,3
352,厂长,3
353,专职,3
354,工作效率,3
355,核实,3
356,并非,3
357,保费,3
358,准备金,3
359,中央银行,3
360,基准日,3
361,以未,3
362,豫,3
363,股批,3
364,施玉安何,3
365,光俊周,3
366,新元,3
367,嵌入式,3
368,低值易耗品,3
369,超出,3
370,即可,3
371,机器设备,3
372,抵债,3
373,专有,3
374,指除,3
375,余值,3
376,退税,3
377,元本,3
378,机电,3
379,年利率,3
380,弯曲,3
381,国家知识产权局,3
382,复审,3
383,残疾人,3
384,生产力,3
385,招商引资,3
386,地方性,3
387,补贴款,3
388,不派,2
389,保荐人,2
390,或北,2
391,外文,2
392,网址,2
393,电子信箱,2
394,常海明,2
395,媒体,2
396,网站,2
397,证券部,2
398,负有,2
399,统一标准,2
400,最初,2
401,风扇,2
402,诸如,2
403,青岛,2
404,上合,2
405,联合国,2
406,地理,2
407,德清,2
408,论坛,2
409,会址,2
410,甲骨文,2
411,强度,2
412,工艺技术,2
413,大板,2
414,软轴,2
415,长直,2
