,分词排序,词频
0,教育,627
1,科技,333
2,三垒,298
3,北京,281
4,大连,264
5,机器,249
6,信息,228
7,上海,190
8,天津,170
9,董监,150
10,文化,143
11,杰姆,130
12,传播,119
13,珠海,81
14,吉姆,79
15,融诚,53
16,沈阳,52
17,早教,40
18,楷德,32
19,房地产,31
20,机床,28
21,启星,27
22,保底,27
23,制造,23
24,俞,23
25,建模,23
26,自动化,21
27,广州,21
28,南京,20
29,月租金,20
30,超募,19
31,装备,18
32,促使,18
33,否李阳,18
34,陈鑫,17
35,数据,17
36,工程,17
37,刘俊君,17
38,美迪,17
39,儿童,16
40,三方,16
41,经营场所,16
42,物业,16
43,早期教育,15
44,俞洋,15
45,创意,15
46,面积,15
47,双壁,14
48,波纹管,14
49,中植,14
50,迈至,14
51,五轴,13
52,银行,13
53,企鹅,13
54,加盟,12
55,甲方,12
56,睿,12
57,煜,12
58,初,12
59,沈阳市,12
60,英语,12
61,商铺,12
62,抽成,12
63,海军,11
64,陈九飞,11
65,课程,11
66,家族,11
67,奥美,11
68,工业,10
69,服务业,10
70,谋求,10
71,美吉美,10
72,昆山,10
73,芮宝,10
74,美纶,10
75,曼美,10
76,培训中心,10
77,提成,10
78,塑机,9
79,婴幼儿,9
80,建设,9
81,否朱,9
82,否万亚娟,9
83,土地,9
84,免租,9
85,美智姆,9
86,美智美源,9
87,育美,9
88,达希,9
89,元月,9
90,连带保证,9
91,制造业,8
92,商标权,8
93,学校,8
94,中植启星,8
95,艾涂图,8
96,每月,8
97,法人代表,8
98,美思美智,8
99,美学,8
100,美慧美,8
101,美悦美,8
102,美名,8
103,美智培,8
104,卓培,8
105,塑料管道,7
106,留学,7
107,材,7
108,德罗斯,7
109,巴赫,7
110,第九次,7
111,素质教育,7
112,艺术,7
113,财富,7
114,霍晓馨,7
115,图,7
116,摘要,7
117,美智博思,7
118,材料,7
119,宁波,7
120,第五年,7
121,营业额,7
122,为元天,7
123,计租,7
124,深圳,6
125,产业园,6
126,光华路,6
127,机械制造,6
128,数控,6
129,精密,6
130,数控机床,6
131,领先地位,6
132,直营,6
133,利用自身,6
134,打印,6
135,复合,6
136,公共服务,6
137,第一名,6
138,第二名,6
139,第三名,6
140,大连市,6
141,安全性,6
142,市场推广,6
143,刘祎,6
144,王琰,6
145,王沈北,6
146,人如有,6
147,基准日,6
148,馨吉晟,6
149,智捷,6
150,金秉铎,6
151,解限售,6
152,恩泽,6
153,刘雅辞,6
154,李阳,6
155,久友,6
156,百年树人,6
157,迈,6
158,谷佳,6
159,建筑物,6
160,建造,6
161,麦赞,6
162,美真达,6
163,迈亿美,6
164,旺嘉,6
165,金颐,6
166,美至杰,6
167,重庆,6
168,福田,6
169,第一年,6
170,日历,6
171,第三年,6
172,第四年,6
173,第二个,6
174,第三个,6
175,物业管理,6
176,塑料机械,5
177,朝阳区,5
178,此次,5
179,单机,5
180,模具,5
181,经营权,5
182,机器人,5
183,第四名,5
184,第五名,5
185,调试,5
186,融远,5
187,融,5
188,高低,5
189,第十一次,5
190,岁,5
191,予,5
192,协助,5
193,中海,5
194,晟,5
195,公示,5
196,小强,5
197,朱谷佳,5
198,黄斌,5
199,宇顺,5
200,电子,5
201,湖北,5
202,美尔雅,5
203,新疆,5
204,准东,5
205,石油,5
206,信托,5
207,朱剑楠,5
208,于洋,5
209,郑联盛,5
210,中植融,5
211,环境,5
212,资讯网,5
213,测算,5
214,除净,5
215,吉安,5
216,美奕美,5
217,续约,5
218,美好,5
219,美鑫美,5
220,稚美,5
221,漕,5
222,美稚乐,5
223,宝睿,5
224,宝佳盈,5
225,美吉宝,5
226,迈志姆,5
227,嘉美,5
228,睿安,5
229,迈捷姆,5
230,致核,5
231,尚升,5
232,英然,5
233,优杰,5
234,卓尔,5
235,宝奕宏,5
236,致浦,5
237,美嘉智美,5
238,美吉睿德,5
239,怡晟,5
240,懿舍,5
241,港秀,5
242,美如美,5
243,卓时,5
244,尚胜,5
245,美瑞美,5
246,超洋,5
247,美栖姆,5
248,凯至姆,5
249,育德,5
250,缤纷,5
251,城,5
252,和平区,5
253,二者,5
254,为准,5
255,第四个,5
256,第五个,5
257,素质,4
258,二层,4
259,冉钦,4
260,股占,4
261,立信,4
262,及五轴,4
263,特许权,4
264,授课,4
265,延伸,4
266,一步,4
267,资源优势,4
268,早期,4
269,较强,4
270,实物,4
271,加盟费,4
272,拟将,4
273,第二十次,4
274,第十七次,4
275,暂未,4
276,第十次,4
277,滚动,4
278,供给,4
279,板,4
280,少儿,4
281,资源,4
282,行中,4
283,签订协议,4
284,履,4
285,增发,4
286,内本,4
287,称,4
288,参照,4
289,名单,4
290,核查,4
291,第十二次,4
292,人员名单,4
293,乙方,4
294,田,4
295,张源,4
296,俞洪彬,4
297,委派代表,4
298,解直锟,4
299,尹月,4
300,新湖,4
301,北京大学,4
302,学士,4
303,经济学,4
304,中国社会科学院,4
305,植启星,4
306,否朱剑楠,4
307,审查,4
308,样本,4
309,流水,4
310,以换,4
311,亚洲,4
312,养老保险,4
313,商品销售,4
314,中联,4
315,教育费,4
316,高企,4
317,广东,4
318,馨,4
319,智济百创,4
320,金沐尔乐,4
321,爱美,4
322,贝睿,4
323,商务信息,4
324,思嘉,4
325,美臻美,4
326,铁西,4
327,美智,4
328,美利,4
329,美嘉瑞美,4
330,美智嘉佳,4
331,美莘,4
332,美杰,4
333,美合,4
334,美麒美,4
335,育翔,4
336,卓伽,4
337,迈骏,4
338,金颉,4
