,分词排序,词频
0,金达威,364
1,厦门,331
2,海沧区,106
3,维生素,77
4,劳动就业,58
5,信息,56
6,社保,56
7,营养,40
8,内蒙古,38
9,食品,33
10,上海,33
11,资讯网,31
12,起任,30
13,补差,30
14,新加坡元,27
15,补充剂,24
16,海沧,24
17,工程,24
18,药业,23
19,膳食,23
20,第二季度,23
21,健康,22
22,数据,21
23,经营场所,21
24,生物科技,20
25,第一季度,19
26,环境,19
27,排放,19
28,环保,18
29,否江斌,18
30,国际贸易,17
31,制造,17
32,第四季度,17
33,应届,17
34,高校,17
35,建设,16
36,面积,16
37,银行,16
38,新加坡,15
39,中牧,15
40,协作,15
41,本市,15
42,户籍,15
43,香港,14
44,饮品,14
45,辅酶,14
46,有机,14
47,地方性,14
48,保健品,13
49,燃卡,13
50,艾贺博,13
51,第三季度,13
52,胶囊,13
53,发酵,13
54,应急,13
55,科技局,13
56,农村,13
57,科技,12
58,平方英尺,12
59,达标,12
60,首席,12
61,执行官,12
62,劳动力,12
63,毕业生,12
64,舞昆,11
65,北京,11
66,电子商务,11
67,王水,11
68,车间,11
69,社会保险,11
70,保险,11
71,海洋,11
72,第一批,11
73,开发技术,11
74,招商引资,11
75,环境保护,10
76,营销策划,10
77,消费,10
78,续签,10
79,废气,10
80,职校,10
81,株式会社,9
82,达威,9
83,鑫,9
84,体育,9
85,文化传媒,9
86,媒体,9
87,粉剂,9
88,房地产,9
89,刊载,9
90,扶贫,9
91,物排放,9
92,尾气,9
93,黄兴,9
94,发明专利,9
95,奖励金,9
96,江斌,8
97,保健食品,8
98,天然,8
99,消费者,8
100,烯酸,8
101,片剂,8
102,地方法院,8
103,锅炉,8
104,孪,8
105,任中牧,8
106,第二名,8
107,工业化,8
108,市级,8
109,中间体,8
110,合成,8
111,招用,8
112,商务局,8
113,信息化,7
114,技术创新,7
115,陈佳良,7
116,水陆,7
117,土地,7
118,新工艺,7
119,大气污染,7
120,第四名,7
121,第一名,7
122,局年,7
123,取决于,6
124,营养食品,6
125,人体,6
126,黄金,6
127,饲料,6
128,添加剂,6
129,新阳,6
130,包装物,6
131,材料,6
132,上诉,6
133,王,6
134,焚烧炉,6
135,工业,6
136,烟气,6
137,高志,6
138,松,6
139,华中,6
140,牧,6
141,保费,6
142,保险费,6
143,第三名,6
144,第五名,6
145,微生物,6
146,六碳醇,6
147,分离,6
148,呼和浩特市,6
149,重点高校,6
150,送,5
151,红,5
152,股股,5
153,合资,5
154,特工,5
155,生物,5
156,佰盛特,5
157,迪诺宝,5
158,饮料,5
159,工业区,5
160,洪彦,5
161,立信,5
162,电商,5
163,线上,5
164,审,5
165,张,5
166,华,5
167,止该,5
168,污染物,5
169,废水,5
170,区内,5
171,监测,5
172,内蒙古自治区,5
173,农业,5
174,本科,5
175,除净,5
176,联邦,5
177,微胶囊,5
178,第二批,5
