,分词排序,词频
0,科技,333
1,化工,171
2,检测,166
3,油脂,108
4,浙江,107
5,南通,97
6,凯塔,85
7,双马,72
8,杭州,71
9,表面,70
10,如皋市,69
11,活性剂,69
12,工程,57
13,信息,56
14,污水处理,50
15,新天,49
16,达美,46
17,环保,42
18,生物,35
19,杜,34
20,库达,34
21,科地,34
22,江苏,33
23,银行,32
24,制造,31
25,绿色,31
26,河南,30
27,正商,29
28,房地产,29
29,金马,27
30,磺化,26
31,诚鑫,25
32,维顿,25
33,脂肪酸,25
34,油化,23
35,化学品,23
36,食品,23
37,节能,23
38,杭环,22
39,绿普,22
40,日用化工,22
41,高新技术,22
42,嘉兴,21
43,杭康,21
44,韶关,21
45,环境,20
46,皮革,20
47,空气,20
48,资讯网,20
49,公正,19
50,建设,19
51,四川,18
52,润,18
53,制造业,18
54,股股,17
55,永银,17
56,一套,17
57,方银军,16
58,数据,16
59,土地,16
60,天门,15
61,眉山,15
62,油酸,15
63,材料,15
64,污水,15
65,印度尼西亚,15
66,武汉,14
67,蕲春,14
68,日化,14
69,高品质,14
70,液相,14
71,汞,14
72,印尼,14
73,天达美,13
74,补偿款,13
75,脂肪醇,13
76,类药物,13
77,第一个,13
78,拆,13
79,金正,12
80,微生物,12
81,研,12
82,色谱,12
83,经济损失,12
84,卢比,12
85,股占,12
86,工程师,12
87,河北,11
88,湖北,11
89,万源,11
90,硬脂酸,11
91,化妆品,11
92,装置,11
93,中种,11
94,样品,11
95,烷基,11
96,外汇,11
97,募股,11
98,天健,10
99,水务,10
100,珠海,10
101,离子,10
102,天然,10
103,洗涤,10
104,用品,10
105,载体,10
106,信用证,10
107,含量,10
108,皂甙,10
109,建筑物,10
110,信托,10
111,天亮,10
112,江征平,10
113,邵阳,9
114,新材,9
115,张惠琪,9
116,化工产品,9
117,工业,9
118,净化,9
119,水污染,9
120,宁波,9
121,元较,9
122,动物,9
123,开发新,9
124,地铁,9
125,开具,9
126,扶贫,9
127,邹欢,9
128,公式,9
129,华实,9
130,张,9
131,李洁君,9
132,宏正,8
133,检验,8
134,网站,8
135,助剂,8
136,健康,8
137,系本,8
138,防治,8
139,工程项目,8
140,运输,8
141,系列产品,8
142,生产工艺,8
143,制备,8
144,测定方法,8
145,残留量,8
146,尾气,8
147,资源,8
148,人参,8
149,交割,8
150,深圳,8
151,洪树鹏,8
152,城区,8
153,建造,8
154,水量,8
155,免征,8
156,坤,8
157,聚氧乙烯醚,8
158,硫酸钠,8
159,张文军,8
160,银军,7
161,新天达,7
162,三家,7
163,棕榈油,7
164,塑料,7
165,化工行业,7
166,保健品,7
167,生态,7
168,所在地,7
169,减排,7
170,复合,7
171,粉状,7
172,低质,7
173,油,7
174,串联,7
175,果实,7
176,柠檬,7
177,分离,7
178,活性,7
179,苯磺酸,7
180,稳定剂,7
181,浓度,7
182,远期,7
183,自建,7
184,补缴,7
185,教育,7
186,黄亚茹,7
187,嵩景,7
188,年生,7
189,税额,7
190,减半,7
191,江东,7
192,张剑豪,7
193,胡波,7
194,甲方,7
195,月数,7
196,媒体,6
197,新工艺,6
198,市场占有率,6
199,产销,6
200,修复,6
201,河流,6
202,银行贷款,6
203,产融,6
204,污染,6
205,棕榈,6
206,来料加工,6
207,进口,6
208,关键技术,6
209,加脂剂,6
210,质谱,6
211,柑橘,6
212,源性,6
213,残留,6
214,金属,6
215,能耗,6
216,功能型,6
217,大气,6
218,经济效益,6
219,真空,6
220,大大提高,6
221,室内,6
222,度,6
223,土壤,6
224,消解,6
225,配套工程,6
226,事故,6
227,负数,6
228,陆伟娟,6
229,第二十三,6
230,许荣,6
231,任国晓,6
232,名下,6
233,长安,6
234,抽样,6
235,哈博,6
236,退税,6
237,发火,6
238,新疆,6
239,青山湖,6
240,胡志,6
241,及维顿,6
242,购汇,6
243,马晗,5
244,带,5
245,红,5
246,生物科技,5
247,朱,5
248,英山,5
249,延伸,5
250,化工企业,5
251,甘油,5
252,碳系,5
253,水,5
254,处理厂,5
255,蕲春县,5
256,乡镇,5
257,创享,5
258,抵消,5
259,水体,5
260,材料价格,5
261,生物质,5
262,旨在,5
263,苦素,5
264,类化合物,5
265,化合物,5
266,食品安全,5
267,丙,5
268,二胺,5
269,很大,5
270,抗菌,5
271,技术创新,5
272,源,5
273,铅,5
274,维生素,5
275,质谱法,5
276,药物,5
277,非法,5
278,工作效率,5
279,列车,5
280,探讨,5
281,场所,5
282,重庆,5
283,许可证,5
284,环境保护,5
285,胡剑品,5
286,周黎,5
287,中央,5
288,上海,5
289,所示,5
290,支持性,5
291,换取,5
292,基础设施,5
293,单价,5
294,缴,5
295,退税率,5
296,公示,5
297,商业银行,5
298,环科,5
299,出资额,5
300,城,5
301,集聚,5
302,源于,5
303,送,4
304,指赞宇,4
305,西湖区,4
306,古墩,4
307,路,4
308,楼,4
309,上半年,4
310,剂,4
311,乳化剂,4
312,宝洁,4
313,纺织,4
314,技术咨询,4
315,滤池,4
316,贬值,4
317,安全性,4
318,控制措施,4
319,自然,4
320,填料,4
321,产业布局,4
322,大宗,4
323,内销,4
324,酸,4
325,结晶,4
326,排放,4
327,一步,4
328,基,4
329,甲酯,4
330,禁用,4
331,安神,4
332,鉴别,4
333,抗,4
334,组胺,4
335,联用,4
336,一价,4
337,添加,4
338,废气,4
339,微,4
340,实验,4
341,贡献,4
342,喹诺酮,4
343,鉴定,4
344,新风量,4
345,新鲜空气,4
346,挥发性,4
347,室内环境,4
348,采样,4
349,变异,4
350,萃取,4
351,节省,4
352,技术转让,4
353,限定,4
354,货运,4
355,危险,4
356,射阳,4
357,防范,4
358,创业,4
359,停产,4
360,数元,4
361,申诉,4
362,提醒,4
363,第十九次,4
364,提示性,4
365,增选,4
366,入伙,4
367,中融,4
368,王亮,4
369,徐亚明,4
370,钟明强,4
371,胡世华,4
372,陈美杉,4
373,武汉市,4
374,非专利,4
375,并未,4
376,出库,4
377,油气,4
378,专用设备,4
379,专利权,4
380,公共,4
381,保底,4
382,按应,4
383,下发,4
384,第一批,4
385,国科,4
386,霍尔果斯,4
387,元系,4
388,不获,4
389,均系,4
390,补助款,4
391,评报,4
392,华夏银行,4
393,等位,4
394,镇江,4
395,徐建勇,4
396,委派,4
397,高张,4
398,正涛,4
399,胡志高,4
400,此前,4
401,额为,4
402,乙方,4
403,梁慧琴,3
404,人方,3
405,有无,3
406,大为,3
407,崔文正,3
408,奠定,3
409,两大,3
410,科研,3
411,华东,3
412,涂料,3
413,明显改善,3
414,协同效应,3
415,资金投入,3
416,工艺流程,3
417,湖泊,3
418,水质,3
419,工程建设,3
420,湖北省,3
421,重庆市,3
422,宁夏回族自治区,3
423,及运维,3
424,内因,3
425,美未,3
426,陆续,3
427,得以,3
428,退出,3
429,稳步,3
430,结构调整,3
431,金融机构,3
432,强有力,3
433,兼并,3
434,人力资源,3
435,回升,3
436,服务收入,3
437,质检,3
438,外销,3
439,否赞宇,3
440,办公大楼,3
441,植物油,3
442,装备,3
443,省,3
444,关键设备,3
445,废渣,3
446,水解,3
447,改性,3
448,酯,3
449,提,3
450,公共服务,3
451,酶,3
452,制革,3
453,干燥,3
454,高附加值,3
455,相当于,3
456,气相,3
457,工艺技术,3
458,广阔,3
459,不饱和,3
460,木炭,3
461,起到,3
462,浮岛,3
463,研制,3
464,人力,3
465,进口产品,3
466,顺利,3
467,水性,3
468,钙,3
469,锌,3
470,水溶性,3
471,技术支持,3
472,在线,3
473,水产品,3
474,添加剂,3
475,减肥,3
476,科学,3
477,实用,3
478,果蔬,3
479,睾酮,3
480,浓缩,3
481,具,3
482,客室,3
483,通风,3
484,污染物,3
485,人类,3
486,婴幼儿,3
487,危害,3
488,原子,3
489,评定,3
490,衡量,3
491,病原体,3
492,工作者,3
493,豆芽,3
494,零星,3
495,盈亏,3
496,浠水,3
497,散花,3
498,示范区,3
499,银川,3
500,南川,3
501,都市,3
502,休闲,3
503,产业园,3
504,石首市,3
505,城北,3
506,二期工程,3
507,印染助剂,3
508,机械设备,3
509,化学,3
510,品,3
511,鼓励类,3
512,树立,3
513,人才队伍,3
514,不断扩大,3
515,建立健全,3
516,期货,3
517,持续时间,3
518,回避,3
519,同赞宇,3
520,同类,3
521,不向,3
522,正商企,3
523,平等,3
524,财务会计,3
525,稽查,3
526,解聘,3
527,中小板,3
528,房产,3
529,海清,3
530,脱贫,3
531,王金飞,3
532,华文,3
533,起个,3
534,首期,3
535,翁晓斌,3
536,东平,3
537,王晓辉,3
538,轻工业,3
539,第三批,3
540,驻,3
541,代表处,3
542,港口,3
543,年月生,3
544,娃哈哈,3
545,人力资源部,3
546,负面影响,3
547,补偿性,3
548,发票,3
549,提单,3
550,保费,3
551,准备金,3
552,中央银行,3
553,包装物,3
554,故本,3
555,通用设备,3
556,款额,3
557,软件,3
558,经营权,3
559,实测,3
560,政策性,3
561,余值,3
562,教育费,3
563,领导小组,3
564,第一笔,3
565,经营收入,3
566,第一年,3
567,第六年,3
568,即征,3
569,退,3
570,新久,3
571,博荣,3
572,伽运,3
573,希纳,3
574,预缴,3
575,生产成本,3
576,系因,3
577,数万元,3
578,元以,3
579,水利建设,3
580,应计,3
581,扩建,3
582,不能转让,3
583,东湖,3
584,高新区,3
585,湖州,3
586,管理决策,3
587,赵荣林,3
588,上表,3
589,张正涛,3
590,再生资源,3
591,数已,3
592,伽乐,3
593,已有,2
594,邵阳市,2
595,天门市,2
596,外文,2
597,城头,2
598,巷号,2
599,网址,2
600,电子信箱,2
601,历次,2
602,人由方,2
603,年本,2
604,元非,2
605,统一标准,2
606,代扣,2
607,夯实,2
608,环境治理,2
609,阴离子,2
610,紧密,2
611,特性,2
612,联合利华,2
613,华南,2
614,西南,2
615,东南亚,2
616,中东,2
617,诚鑫及,2
618,脂肪,2
619,树脂,2
620,教训,2
621,竞争能力,2
622,更大,2
623,环境污染,2
624,城镇,2
625,水资源,2
626,营运,2
627,乡村,2
628,华中,2
629,介入,2
630,前景,2
631,印尼盾,2
632,精细化工,2
633,成效,2
634,终端,2
635,交流,2
636,原理,2
637,曝气,2
638,氧,2
639,工厂,2
640,运输成本,2
641,行业龙头,2
642,仁油,2
643,竞争对手,2
644,物流,2
645,较强,2
646,健全,2
647,头寸,2
648,产品价格,2
649,传导,2
650,长短期,2
651,有息,2
652,升值,2
653,下滑,2
654,工业园区,2
655,领导,2
656,土建工程,2
657,施工,2
658,统计,2
659,分类单位,2
660,装修费,2
661,冷冻,2
662,压滤,2
663,催化剂,2
664,废水,2
665,固体,2
666,自制,2
667,反应器,2
668,粉体,2
669,试验装置,2
670,降低生产,2
671,脂剂,2
672,有助于,2
673,产品线,2
674,磺酸盐,2
675,规格,2
676,色谱法,2
677,技术水平,2
678,苦素类,2
679,畜肉,2
680,水产,2
681,蛋类,2
682,兽药,2
683,灵敏,2
684,成本低,2
685,机理,2
686,公用,2
687,研对,2
688,热,2
689,流质,2
690,研的,2
691,使该,2
692,表现,2
693,优于,2
694,配置,2
695,灵活性,2
696,究,2
