,分词排序,词频
0,教育,405
1,光电,383
2,东莞,310
3,龙文,296
4,科技,167
5,照明,160
6,广州,135
7,东莞市,119
8,北京,96
9,信息,95
10,英伦,71
11,半导体,65
12,杨勇,51
13,上海,39
14,深圳,39
15,杭州,39
16,工程,38
17,房地产,35
18,路灯,35
19,节能,33
20,彩易,30
21,超募,29
22,李旭亮,29
23,年月否,28
24,环球,27
25,在线教育,25
26,辅导,25
27,陈永洪,22
28,室内,21
29,建设,21
30,嘉兴,21
31,广东,20
32,江厦,20
33,学校,20
34,大功率,20
35,乙方,20
36,文化,19
37,决定书,19
38,傅皓,19
39,关键技术,19
40,银行,18
41,香港,18
42,数据,17
43,网点,17
44,安徽,17
45,建造,17
46,景观,15
47,培训中心,15
48,爱迪,15
49,新华,15
50,粤,15
51,常平镇,14
52,横,14
53,个性化,14
54,户外,14
55,使用费,14
56,教学,13
57,教学点,13
58,龙舞,13
59,轮候,13
60,框架,13
61,宁波,13
62,荣享,13
63,封装,13
64,重庆市,13
65,买卖合同,13
66,资讯网,12
67,显示屏,12
68,华夏,12
69,甲方,12
70,涉案,12
71,大勤,12
72,禁入,12
73,大连,12
74,风光,12
75,互补,12
76,重庆,12
77,瑞华,11
78,首批,11
79,退出,11
80,智能化,11
81,工业,11
82,合明,11
83,温琦,11
84,能源管理,10
85,学员,10
86,负担,10
87,校外,10
88,非公,10
89,对勤,10
90,天是,10
91,创业投资,10
92,建筑物,10
93,芯片,10
94,土地,10
95,天津,10
96,邓军,9
97,鸿,9
98,能源,9
99,传播,9
100,咨询服务,9
101,资源,9
102,线材,9
103,亮化,9
104,九霄,9
105,成都,9
106,罚款,9
107,扶贫,9
108,文体,9
109,可元,9
110,霁,9
111,否张,9
112,素芬,9
113,丙方,9
114,石龙,9
115,村,8
116,电器,8
117,学生,8
118,环境,8
119,小班化,8
120,发,8
121,警告,8
122,备忘录,8
123,拉萨,8
124,公学,8
125,钱,8
126,以元,8
127,湖州,8
128,太原,8
129,光源,7
130,线下,7
131,新兴,7
132,高校,7
133,永久性,7
134,再审,7
135,一案,7
136,该案,7
137,上诉,7
138,处以,7
139,杨红,7
140,材料,7
141,惠州,7
142,莱,7
143,福士,7
144,一对一,7
145,背光源,7
146,电源,7
147,湖北,7
148,智能,7
149,省,7
150,外汇,7
151,互联网,6
152,艺术,6
153,商务信息,6
154,搭建,6
155,办学,6
156,万套,6
157,万个,6
158,第一名,6
159,第二名,6
160,第三名,6
161,第三十次,6
162,第二十次,6
163,三方,6
164,第五次,6
165,天下,6
166,信中利,6
167,终结,6
168,无需,6
169,案,6
170,澳展,6
171,友好,6
172,创业,6
173,凹凸,6
174,长沙,6
175,思齐,6
176,深国,6
177,华顿,6
178,辞去,6
179,保险,6
180,黄锦波,6
181,商标,6
182,投出,6
183,高新技术,6
184,路,6
185,西安,6
186,鄂尔多斯市,6
187,划款,6
188,检测,6
189,热阻,6
190,型基,6
191,尺寸,6
192,超薄,6
193,动态,6
194,平板,6
195,兴贸,6
196,人眼,6
197,舒适,6
198,环境友好,6
199,高功率,6
200,自给,6
201,照明灯,6
202,具,6
203,村横,6
204,圣圆,6
205,合众,6
206,德,6
207,元及,6
208,反诉,6
209,富华,6
210,仲长昊,5
211,马锐,5
212,通信,5
213,家长,5
214,层面,5
215,讲师,5
216,中小学生,5
217,面向,5
218,教师,5
219,人工工资,5
220,投资总额,5
221,银行贷款,5
222,条,5
223,皓,5
224,公正,5
225,一致意见,5
226,李淑贤,5
227,人寿,5
228,张晶,5
229,龙啸,5
230,佛山,5
231,国策,5
232,半年,5
233,调解,5
234,不服,5
235,事,5
236,梅山,5
237,保税,5
238,港区,5
239,人寿保险,5
240,鞠,5
241,王治强,5
242,江苏,5
243,尚明,5
244,电子,5
245,无锡,5
246,倍数,5
247,届满时,5
248,中国人民银行,5
249,退休,5
250,学费,5
251,维修,5
252,盛世,5
253,南宁,5
254,威,5
255,灯,5
256,工程技术,5
257,城市道路,5
258,丁方,5
259,温州,5
260,厦门,5
261,一路,5
262,科技大楼,5
263,内向,5
264,很大,4
265,监管局,4
266,发光,4
267,高中,4
268,用品,4
269,策划,4
270,有无,4
271,课程,4
272,尊重,4
273,知名度,4
274,学科,4
275,广阔,4
276,去年同期,4
277,营收,4
278,变为,4
279,共有,4
280,第四名,4
281,第五名,4
282,产学研,4
283,计较,4
284,系当期,4
285,结余,4
286,存储,4
287,工作日内,4
288,需对,4
289,补偿款,4
290,富凯,4
291,杨,4
292,三十六个,4
293,益,4
294,八在,4
295,科技开发,4
296,日度,4
297,二审,4
298,原审,4
299,芜湖市,4
300,扣押,4
301,十万元,4
302,证券市场,4
303,鼎兴,4
304,量子,4
305,横琴,4
306,觅见,4
307,经荣享,4
308,吴坚,4
309,承诺书,4
310,姚丽萍,4
311,壹拾,4
312,玖,4
313,犯,4
314,行贿罪,4
315,判处,4
316,分厂,4
317,联盟,4
318,清华大学,4
319,江西,4
320,鄂尔多斯,4
321,金融机构,4
322,生物,4
323,油气,4
324,五金,4
325,超出,4
326,订立,4
327,自用,4
328,毁损,4
329,一次性,4
330,归类,4
331,教育费,4
332,公主岭,4
333,光,4
334,萧山,4
335,温岭,4
336,柳州,4
337,金普,4
338,苏州,4
339,台州,4
340,海宁,4
341,南京,4
342,郑州,4
343,证书编号,4
344,受限制,4
345,期未到,4
346,道路,4
347,见习,4
348,商务局,4
349,廊坊市,4
350,泉州,4
351,上诉人,4
352,法律效力,4
353,中恒派,4
354,应于,4
355,五日,4
356,取决于,3
357,证监局,3
358,商业模式,3
359,联系人,3
360,媒体,3
361,网站,3
362,可见光,3
363,制造,3
364,软件,3
365,开,3
366,志强,3
367,兼顾,3
368,学,3
369,领袖,3
370,规范化,3
371,立足于,3
372,教研,3
373,现行,3
374,体现,3
375,加剧,3
376,放缓,3
377,下滑,3
378,剥离,3
379,教育部,3
380,单价,3
381,教材,3
382,扩张,3
383,减轻,3
384,课外,3
385,视,3
386,关停,3
387,国外,3
388,投向,3
389,为准,3
390,按原,3
391,缩减,3
392,对原,3
393,具体实施,3
