,分词排序,词频
0,北京,371
1,荣之联,326
2,科技,111
3,数据,106
4,赞融,103
5,电子,101
6,信息技术,98
7,互联,95
8,信息,86
9,联网,85
10,车网,83
11,生物,82
12,佳通,62
13,软件,60
14,泰合,54
15,银行,52
16,医疗,49
17,车,47
18,王东辉,45
19,奥力锋,38
20,建设,35
21,春辉,35
22,服务业,33
23,黄翊张,27
24,之联,26
25,人工智能,26
26,工程,25
27,上海,24
28,韩炎,24
29,洪波,22
30,互联网,21
31,聂志勇,21
32,令霞,21
33,工业,19
34,房产,19
35,霍向琦程,19
36,孙,19
37,志民,19
38,联数,18
39,海淀区,18
40,资讯网,18
41,翊,17
42,辉,17
43,高新技术,17
44,数据中心,16
45,系统集成,16
46,终端,16
47,房地产,16
48,及翊辉,16
49,财年,16
50,第十八次,16
51,深圳,15
52,香港,15
53,网,15
54,东辉,14
55,第一个,14
56,一维,13
57,资源,13
58,信息化,13
59,环境,13
60,能源,13
61,多维,13
62,扶贫,13
63,人力资源,12
64,荣,12
65,运营商,12
66,电信,12
67,车辆,12
68,荣之联荣,12
69,联荣,12
70,汽车,12
71,删除,12
72,健康,11
73,数据分析,11
74,分子,11
75,土地,11
76,北京分行,11
77,吴敏,11
78,交割日,11
79,霍向琦,11
80,十堰,11
81,天地,10
82,车载,10
83,数字化,10
84,保险,10
85,信托,10
86,医学,10
87,装置,10
88,经济实体,10
89,不满,10
90,应于,10
91,日内,10
92,友奇,10
93,工贸,10
94,海涛,9
95,沈阳,9
96,西路,9
97,存储,9
98,荣联康瑞,9
99,智能,9
100,上线,9
101,计算机,9
102,面向,9
103,平安,9
104,荣途,9
105,文化,9
106,见本,9
107,侯,9
108,卫民,9
109,市政,9
110,中燕,9
111,机械制造,9
112,下发,9
113,数融,8
114,智能化,8
115,网络,8
116,共享,8
117,发明专利,8
118,下滑,8
119,一次性,8
120,利润率,8
121,财富,8
122,材料,8
123,聘用,8
124,张,8
125,已满个,8
126,否王,8
127,复审,8
128,西安,7
129,数据服务,7
130,第四季度,7
131,传统,7
132,智慧,7
133,灵活,7
134,年底,7
135,著作权,7
136,软件产品,7
137,制造,7
138,成熟,7
139,大规模,7
140,呈现,7
141,中融,7
142,公有,7
143,安徽,7
144,科学,7
145,核心成员,7
146,李全,7
147,伍利娜,7
148,昊天,7
149,衡量,7
150,建筑物,7
151,买方,7
152,汇票,7
153,鞠,6
154,季节性,6
155,壮志凌云,6
156,兴华,6
157,数据业务,6
158,服务公司,6
159,基因,6
160,集成,6
161,服务商,6
162,单元,6
163,计算机软件,6
164,客户资源,6
165,医院,6
166,中央,6
167,基因组,6
168,新闻,6
169,和物,6
170,家为,6
171,哈勃,6
172,智远,6
173,电子设备,6
174,证书编号,6
175,冻结资金,6
176,保险公司,6
177,基础设施,6
178,通信,6
179,高质量,6
180,复合,6
181,股股,6
182,赵传胜,6
183,王琳,6
184,就职,6
185,教育,6
186,庞钊,6
187,中未,6
188,稳定期,6
189,产业政策,5
190,华大基因,5
191,人王,5
192,北四环,5
193,号层,5
194,肖丽娟,5
195,浪潮,5
196,边缘,5
197,结项,5
198,项目管理,5
199,远程,5
200,通用,5
201,压缩,5
202,谨慎,5
203,很大,5
204,下半年,5
205,对车,5
206,进程,5
207,大幅度,5
208,存储系统,5
209,检验,5
210,测序,5
211,自助,5
212,金运,5
213,名下,5
214,花旗银行,5
215,授信额度,5
216,年份,5
217,定,5
218,信息产业,5
219,上云,5
220,联,5
221,万亿元,5
222,台,5
223,黄翊,5
224,转让方,5
225,超出,5
226,保全,5
227,张彤,5
228,定向,5
229,光明,5
230,张然,5
231,旭辉,5
232,验收报告,5
233,陆仟,5
234,关系密切,5
235,家庭成员,5
236,中水联,5
237,致源,4
238,视频,4
239,邓前,4
240,媒体,4
241,网站,4
242,有无,4
243,路,4
244,邢博晖,4
245,一体机,4
246,中关村,4
247,顺利,4
248,生态,4
249,不佳,4
250,初步,4
251,响应,4
252,统计分析,4
253,定位,4
254,国家标准,4
255,采集,4
256,沉淀,4
257,华为,4
258,越来越,4
259,贡献,4
260,群体,4
261,招商银行,4
262,新华,4
263,运维,4
264,综合信息,4
265,相继,4
266,裁撤,4
267,创业,4
268,南京,4
269,临床,4
270,解读,4
271,场景,4
272,房租,4
273,身份,4
274,星云,4
275,管理系统,4
276,豌豆,4
277,由本,4
278,江场,4
279,弄,4
280,东方通信,4
281,汽车保险,4
282,分成,4
283,主管机构,4
284,盈利模式,4
285,另一方,4
286,大华,4
287,汇通,4
288,短期内,4
289,金融机构,4
290,感知,4
291,国务院,4
292,消费,4
293,行动计划,4
294,电子商务,4
295,送,4
296,将相,4
297,或车,4
298,死亡,4
299,或泰合,4
300,孙睿,4
301,赵雷,4
302,为准,4
303,汽车底盘,4
304,二审,4
305,暂未,4
306,暂无,4
307,方勇,4
308,彭俊林,4
309,林钢,4
310,获,4
311,北京大学光华管理学院,4
312,长青,4
313,弘远,4
314,吉林,4
315,绩效评价,4
316,改制,4
317,积极开展,4
318,偏离,4
319,服务收入,4
320,油气,4
321,发起人,4
322,仍为,4
323,获准,4
324,增发,4
325,下以,4
326,因购买,4
327,划归,4
328,日以,4
329,科学技术委员会,4
330,国家税务局,4
331,地方税务局,4
332,损失率,4
333,期等,4
334,中国民生银行,4
335,第年,4
336,每季度,4
337,外汇,4
338,充足,4
339,该行,4
340,湖北省,4
341,曾媛,3
342,缩写,3
343,诊断系统,3
344,证监会,3
345,酒仙桥,3
346,第一季度,3
347,第二季度,3
348,第三季度,3
349,覆盖全国,3
350,合作伙伴,3
351,导入,3
352,区块,3
353,链,3
354,云端,3
355,为此,3
356,数据管理,3
357,操作系统,3
358,信息安全,3
359,工信部,3
360,奖,3
361,创始人,3
362,计算中心,3
363,经济收益,3
364,有机,3
365,稳步,3
366,业务部门,3
367,账务,3
368,精细化,3
369,简单,3
370,更好,3
371,完备,3
372,主导,3
373,报批,3
374,内审,3
375,紧密,3
376,复制,3
377,延伸,3
378,服务体系,3
379,搭建,3
380,快,3
381,原先,3
382,政府部门,3
383,早日,3
384,交通,3
385,装修,3
386,这部分,3
387,已获,3
388,转化,3
389,国债,3
390,海关总署,3
391,模块,3
392,生物科技,3
393,诊断,3
394,思路,3
395,驾驶,3
396,全年收入,3
397,统计,3
398,人工成本,3
399,家孙,3
400,节九在,3
401,理,3
402,检测,3
403,安全可靠,3
404,自动化,3
405,爱,3
406,速度,3
407,荣之联车,3
408,推荐,3
409,这一,3
410,借入,3
411,长期贷款,3
412,民生银行,3
413,学清路,3
414,座,3
415,签订合同,3
416,电子城,3
417,产业园,3
418,及层,3
419,房地产权证,3
420,沪,3
421,房地,3
422,闸,3
423,福田区,3
424,中心区,3
425,益田路,3
