,分词排序,词频
0,鞍山,230
1,矿山,227
2,重型,213
3,机器,213
4,振动筛,82
5,鞍重,76
6,信息,65
7,工程,60
8,建筑,54
9,杨永柱,34
10,鞍山市,33
11,成套设备,33
12,科技,30
13,鞍,28
14,建设,27
15,混凝土,24
16,银行,23
17,制造,21
18,数据,20
19,煤炭,20
20,材料,20
21,湖北,20
22,温萍,19
23,物料,18
24,预制构件,16
25,重重,16
26,工,16
27,工业化,15
28,筛分,15
29,武汉,14
30,房地产,14
31,台,13
32,江苏,13
33,超募,12
34,上海,12
35,昱,12
36,装配式,11
37,机械设备,11
38,美好,11
39,扶贫,11
40,圆,10
41,销户,10
42,北京,10
43,京山,10
44,生物,10
45,山东,10
46,备件,9
47,工厂,9
48,翔科,9
49,灵山,9
50,石化,9
51,东明,9
52,预制,8
53,构件,8
54,温热,8
55,立山区,8
56,机械业,8
57,破碎,8
58,环保,8
59,餐厨,8
60,人工,8
61,扩建,8
62,矿山设备,8
63,辽宁省,8
64,单元,7
65,工程师,7
66,冶金,7
67,条,7
68,工业,7
69,杨琪,7
70,华夏,7
71,封海霞,6
72,华,6
73,普天,6
74,健,6
75,工程机械,6
76,沥青,6
77,高新技术,6
78,环境,6
79,钢铁,6
80,砼,6
81,供货,6
82,订购,6
83,模具,6
84,节能,6
85,加气,6
86,咨询服务,6
87,杨永伟,6
88,韩秀冰,6
89,辽宁,6
90,建材,6
91,南通,6
92,际铨,6
93,每次,6
94,国债,6
95,免租,6
96,近似,5
97,产品编号,5
98,高频,5
99,垃圾,5
100,矿山机械,5
101,严格控制,5
102,煤炭行业,5
103,银行账号,5
104,三期,5
105,工程项目,5
106,第十一次,5
107,重工,5
108,工商行政管理局,5
109,环保型,5
110,否不,5
111,机械,5
112,汽车,5
113,建造,5
114,股日,5
115,西凤茹,5
116,任鞍重,5
117,程国彬,5
118,鞍顺,5
119,工贸,5
120,对鞍重,5
121,土地,5
122,工作细则,5
123,油气,5
124,依次,5
125,缺勤,5
126,煤,5
127,科工,5
128,北京华,5
129,宇,5
130,山西,5
131,矿业,5
132,送,4
133,称为,4
134,运动,4
135,轨迹,4
136,洗选,4
137,筑路,4
138,砂石,4
139,系列产品,4
140,振动,4
141,有所增加,4
142,台台,4
143,结构件,4
144,永久性,4
145,适合,4
146,益,4
147,加油,4
148,配件,4
149,钢材,4
150,中将,4
151,分拆,4
152,教育,4
153,黄涛,4
154,女年,4
155,微微,4
156,蒋辉,4
157,机器设备,4
158,混合,4
159,资讯网,4
160,自营,4
161,相一致,4
162,乘以,4
163,集体,4
164,保险费,4
165,带薪,4
166,精算,4
167,日以,4
168,申克,4
169,天津,4
170,众泰,4
171,发电,4
172,运销,4
173,吕梁,4
174,孝龙,4
175,内蒙古,4
176,大千,4
177,博,4
178,清查,4
179,故未,4
180,教育费,4
181,投标,4
182,当日,4
183,原件,4
184,李琴,3
185,液体,3
186,垂直于,3
187,筛面,3
188,纵剖面,3
189,筛箱,3
190,机,3
191,圆形,3
192,料,3
193,鞍千路,3
194,周继伟,3
195,媒体,3
196,李晓刚,3
197,张凤红,3
198,服务公司,3
199,队伍,3
200,全方位,3
201,一代,3
202,健康,3
203,推行,3
204,拓宽,3
205,尽快,3
206,浙江,3
207,九好,3
208,查实,3
209,不符,3
210,运输,3
211,苏州,3
212,瑞至通,3
213,陕西,3
214,金属材料,3
215,钢铁集团,3
216,定期存款,3
217,区别,3
218,使本,3
219,先期,3
220,熠腾,3
221,投向,3
222,募,3
223,剧烈,3
224,一致同意,3
225,核查,3
226,气体,3
227,发票,3
228,零售,3
229,管廊,3
230,很大,3
231,清晰,3
232,近年,3
233,除鞍重,3
234,清理,3
235,调整法,3
236,订立,3
237,脱贫,3
238,环境保护,3
239,即以,3
240,永春,3
241,人为,3
242,之女,3
243,亲属,3
244,否否否,3
245,徐晶明,3
246,李卓,3
247,明丽,3
248,冯,3
249,温家,3
250,暖,3
251,王大明,3
252,机器厂,3
253,荣誉称号,3
254,就职,3
255,副教授,3
256,聚龙,3
257,中专,3
258,警告,3
259,处以,3
260,罚款,3
261,报经,3
262,信誉,3
263,审,3
264,审阅,3
265,会计报表,3
266,工作效率,3
267,偏离,3
268,重要性,3
269,经济损失,3
270,负面影响,3
271,按该,3
272,保费,3
273,准备金,3
274,中央银行,3
275,机电设备,3
276,表时,3
277,取决于,3
278,流量,3
279,另一方,3
