,分词排序,词频
0,国盛,395
1,信托,226
2,科技,148
3,北京,104
4,凤凰,93
5,信息,83
6,深圳,76
7,华声,63
8,扶贫,56
9,杜力,49
10,财智,48
11,江,47
12,建设,39
13,张巍,39
14,极盛,37
15,财富,33
16,金控,32
17,期货,29
18,盛,29
19,江西,27
20,数据,27
21,趣店,26
22,净收入,24
23,香港,24
24,财鑫,23
25,江西省,23
26,上海,23
27,经纪,23
28,远大,22
29,天津,21
30,渤海,21
31,银行,21
32,融券,21
33,互联网,21
34,反诉,21
35,补足,21
36,赵岑,20
37,快乐,20
38,助力,20
39,中江,20
40,争议,20
41,广东,20
42,委派代表,20
43,立信,19
44,教育,19
45,资管,18
46,环境,18
47,广州,17
48,集合,17
49,工程,17
50,信安,16
51,四川,16
52,投后,16
53,资讯网,16
54,大嘉豪,15
55,脱贫,15
56,电器,15
57,珠海,14
58,前海弘,14
59,人杜力,14
60,顺德区,14
61,证券公司,14
62,分支机构,14
63,资源,14
64,操作,14
65,信息技术,14
66,李,14
67,英明,14
68,八期,14
69,信号,14
70,回售,14
71,尹艺花,13
72,公益,13
73,春生,13
74,四期,13
75,环球,12
76,互联,12
77,金融信息,12
78,防范,12
79,江信,12
80,智能,11
81,存出,11
82,强国,11
83,报字,11
84,交易方式,11
85,备付,11
86,西藏,10
87,迅杰,10
88,钰信,10
89,稳步,10
90,文化,10
91,投行,10
92,券商,10
93,投资决策,10
94,共享,10
95,志愿者,10
96,房地产,10
97,周,10
98,会师,10
99,个人消费,10
100,赣州,10
101,职,10
102,准备金,10
103,担保物,10
104,成份,10
105,带,9
106,横琴,9
107,金融服务,9
108,融入,9
109,自营,9
110,风控,9
111,限额,9
112,消费,9
113,金融机构,9
114,课堂,9
115,计息,9
116,融出,9
117,下称,9
118,赣粤高速,8
119,全钰,8
120,容桂,8
121,中介,8
122,定向,8
123,深化,8
124,区块,8
125,链,8
126,席位,8
127,荣获,8
128,奖,8
129,本表,8
130,刘世明,8
131,裁判,8
132,所涉,8
133,徐,8
134,仁诺,8
135,融通,8
136,凭证,8
137,银行业务,7
138,推荐,7
139,软件,7
140,科创板,7
141,人力资源,7
142,营业部,7
143,微贷,7
144,于都县,7
145,村民,7
146,第一名,7
147,第二名,7
148,成就,7
149,此类,7
150,财,7
151,促使,7
152,刘琛,7
153,第五次,7
154,电子,7
155,可回收,7
156,折,7
157,土地,7
158,建筑物,7
159,发起,7
160,岫,6
161,晞,6
162,公路,6
163,网站,6
164,金融业,6
165,赚取,6
166,证券业,6
167,传统,6
168,高度,6
169,极大,6
170,计算机,6
171,线缆,6
172,事前,6
173,监测,6
174,面向,6
175,量化,6
176,攻坚,6
177,寻乌县,6
178,脐橙,6
179,学生,6
180,证券期货,6
181,弘大嘉豪,6
182,第三名,6
183,第四名,6
184,第五名,6
185,生物,6
186,营运,6
187,诚实信用,6
188,恶意,6
189,促成,6
190,三名,6
191,已获,6
192,智杜力,6
193,公正,6
194,市场价,6
195,于本,6
196,含本,6
197,数万元,6
198,测试报告,6
199,混合,6
200,真实性,6
201,完整性,6
202,身份,6
203,交由,6
204,年化,6
205,厦门,6
206,农产品,6
207,李平,6
208,首席,6
209,倍数,6
210,六十一,6
211,损失率,6
212,成交,6
213,包销,6
214,折算率,6
215,邗江区,6
216,业务部门,6
217,投资国,5
218,新科,5
219,街道,5
220,金融中心,5
221,媒体,5
222,机械,5
223,期货经纪,5
224,专业化,5
225,类产品,5
226,配置,5
227,在线,5
228,吸引,5
229,信息化,5
230,省内,5
231,评选,5
232,业务流程,5
233,上线,5
234,赋能,5
235,顾问,5
236,结对,5
237,监管部门,5
238,滇,5
239,金丝猴,5
240,售出,5
241,不大,5
242,健康,5
243,可控,5
244,代销,5
245,嵌入,5
246,对手,5
247,建立健全,5
248,证券交易,5
249,清理,5
250,六个月,5
251,高级人民法院,5
252,本诉,5
253,开庭审理,5
254,督促,5
255,之二,5
256,低值,5
257,补偿款,5
258,文书,5
259,展期,5
260,趣,5
261,环保,5
262,十九,5
263,生态,5
264,中心小学,5
265,贡献奖,5
266,二十,5
267,叶强,5
268,李娥,5
269,会员,5
270,浙江,5
271,官,5
272,张,5
273,金国,5
274,大街,5
275,日为,5
276,顺延,5
277,取决于,5
278,三十,5
279,五十四,5
280,二十三,5
281,开曼,5
282,除净,5
283,外汇,5
284,材料,5
285,一个月,5
286,补助款,5
287,经理层,5
288,福田区,4
289,方胜,4
290,杨志平,4
291,潘留焱,4
292,投资银行,4
293,三板,4
294,居民,4
295,进程,4
296,投资规模,4
297,中国证券业协会,4
298,排名,4
299,杠杆,4
300,人工智能,4
301,体验,4
302,网点,4
303,设有,4
304,公募,4
305,八十余,4
306,场,4
307,路演,4
308,举办,4
309,对接,4
310,流动比率,4
311,投研,4
312,适度,4
313,首单,4
314,网络科技,4
315,有助于,4
316,梧桐,4
317,落地,4
318,协助,4
319,杭州,4
320,纽约证券交易所,4
321,老区,4
322,赣州市,4
323,横峰县,4
324,养蜂,4
325,人民日报,4
326,云南省,4
327,来源于,4
328,投向,4
329,抓住,4
330,环节,4
331,基建,4
332,充足,4
333,信息系统,4
334,盯市,4
335,应急,4
336,诉求,4
337,或本,4
338,劳动人事,4
339,经营场所,4
340,职能部门,4
341,如中江,4
342,超出,4
343,竞争性,4
344,同类,4
345,故意,4
346,足额,4
347,会计核算,4
348,赔偿损失,4
349,效力,4
350,为准,4
351,侵权,4
352,之诉,4
353,江苏,4
354,获评,4
355,董监,4
356,软硬件,4
357,扬州,4
358,创业投资,4
359,鼎耀,4
360,海国,4
361,小额贷款,4
362,弊服,4
363,网,4
364,按年,4
365,不计,4
366,复利,4
367,还本,4
368,基金业,4
369,上调,4
370,信用等级,4
371,如遇,4
372,节假日,4
373,休息日,4
374,其后,4
375,第个,4
376,模型,4
377,二十九,4
378,四十五,4
379,二十二,4
380,三十一,4
381,家用电器,4
382,分拆,4
383,含个,4
384,以换,4
385,建造,4
386,住房,4
387,养老保险,4
388,发售,4
389,教育费,4
390,款年,4
391,原子,4
392,注本,4
393,装修,4
394,社保,4
