,分词排序,词频
0,猛狮,712
1,新能源,516
2,科技,383
3,广东,331
4,电池,140
5,汽车,134
6,深圳,120
7,福建,109
8,储能,102
9,汕头市,91
10,能源,82
11,工程,79
12,上海,76
13,清洁,73
14,信息,73
15,锂电池,70
16,光伏,70
17,陈乐伍,68
18,湖北,61
19,材料,61
20,蓄电池,58
21,沪,53
22,澄海区,52
23,建设,52
24,银行,51
25,峰谷,50
26,源,50
27,华力,49
28,厦门,48
29,电源,48
30,江苏,47
31,特,46
32,电力,44
33,喜,44
34,信托,44
35,工业,43
36,车辆,43
37,郑州,41
38,陈再,40
39,房地产,39
40,扶贫,39
41,动力,38
42,资讯网,38
43,铅,37
44,主合同,37
45,达喀尔,33
46,智能,33
47,本合同,32
48,锂离子,30
49,制造,30
50,陈银卿,28
51,汕头,28
52,宜城,27
53,前海易德,27
54,光电,26
55,新疆,26
56,配偶,26
57,酒泉,25
58,陈乐强,25
59,锂,25
60,电站,24
61,资金紧张,24
62,润科,22
63,电动汽车,22
64,宝,22
65,土地,21
66,柳州市,20
67,台州,19
68,发电,19
69,三元,19
70,镇江,19
71,吉林,19
72,数据,18
73,屠方魁,18
74,德顺,18
75,升,18
76,金控,18
77,台鹰,17
78,诏安,17
79,环境,17
80,高新技术,17
81,国兴,17
82,燃料电池,16
83,动力系统,16
84,负极,16
85,凯盛,16
86,浙商,16
87,建材,16
88,陈爱素,16
89,排放,16
90,郧西县,16
91,山东,16
92,遂宁,15
93,博德,15
94,玉龙,15
95,华戎,15
96,电气,15
97,资源,15
98,漳州市,15
99,能源开发,15
100,陈乐,15
101,前海易,15
102,可回收,15
103,金融机构,14
104,整车,14
105,硫,14
106,浙江,14
107,潮人,13
108,张家口,13
109,电动,13
110,电网,13
111,交通,13
112,环保,13
113,战略规划,13
114,等于,13
115,展期,13
116,杭州,13
117,捷能,13
118,正中,12
119,珠江,12
120,宏成,12
121,十堰,12
122,西藏,12
123,漳州,12
124,主,12
125,能量,12
126,香港,12
127,责任人,12
128,足额,12
129,项下,12
130,履行期,12
131,天津,12
132,奖励金,12
133,已有,11
134,登载,11
135,中试,11
136,变配电,11
137,充电,11
138,北京,11
139,中亚,11
140,石墨,11
141,伍先生,11
142,派能,11
143,颁发,11
144,新华,11
145,指南,11
146,完结,11
147,松岳,10
148,韩国,10
149,联明,10
150,承,10
151,主债务,10
152,诏安县,10
153,评审,10
154,技术论证,10
155,太鼎,9
156,高性能,9
157,微,9
158,河北,9
159,宁夏,9
160,苏州,9
161,易,9
162,中进,9
163,拟以,9
164,易德,9
165,家庭成员,9
166,回复,9
167,凯莱,9
168,酒店,9
169,环境保护,9
170,污染物,9
171,兴,9
172,郧,9
173,广州,9
174,国家税务局,9
175,地方税务局,9
176,取得联系,9
177,交易中心,9
178,按年,9
179,工程技术,8
180,售后服务,8
181,调试,8
182,硅,8
183,智慧,8
184,软件,8
185,陕西,8
186,容量,8
187,当年度,8
