,分词排序,词频
0,百洋,301
1,火星时代,162
2,广西,150
3,食品,141
4,科技,120
5,饲料,118
6,教育,93
7,楷魔,78
8,水产,70
9,视觉,64
10,罗非鱼,62
11,信息,58
12,北京,53
13,渔业,46
14,广东,43
15,工程,43
16,养殖,42
17,海南,42
18,百跃,41
19,忠义,40
20,艺术,40
21,农牧,38
22,广西南宁,37
23,深圳,37
24,水产品,36
25,新余,32
26,火星人,32
27,海洋生物,29
28,饲料原料,29
29,生物,27
30,蔡晶,26
31,佳德信,24
32,环保,24
33,影视,24
34,财务部门,24
35,地方性,24
36,南宁市,23
37,解禁,23
38,招商引资,23
39,日鑫,22
40,鸿,22
41,生源,22
42,人孙,21
43,文化,20
44,南宁,19
45,工场,19
46,元百洋,19
47,特效,19
48,自该,19
49,信托,19
50,湛江,18
51,荣成市,18
52,网络科技,18
53,孙,17
54,检测,17
55,明胶,17
56,上海,17
57,社保,17
58,王琦,16
59,环境,16
60,荣成,15
61,喀什,15
62,董监,15
63,大信,14
64,佳洋,14
65,资讯网,14
66,数据,14
67,防城港市,13
68,桂平市,13
69,南盘江,13
70,香港,13
71,食品安全,13
72,游戏,13
73,已满个,13
74,免征,13
75,生态农业,12
76,课程,12
77,生物制品,12
78,释放,12
79,就业,12
80,建设,12
81,补缴,12
82,住房,12
83,银行,12
84,盘点,12
85,合星,12
86,佛山,11
87,乐业县,11
88,雨嘉,11
89,水产饲料,10
90,明洋,10
91,养殖场,10
92,材料,10
93,高新技术,10
94,高新,10
95,南京,10
96,污水处理,10
97,化州市,10
98,任百洋,10
99,股东会,10
100,示例,10
101,欧顺明,9
102,生态,9
103,百,9
104,维生物,9
105,海庆,9
106,武汉,9
107,山东,9
108,业内,9
109,资源,9
110,降幅,9
111,占股,9
112,中融,9
113,软件,9
114,稳定期,9
115,网箱,9
116,冷冻,8
117,百嘉,8
118,厦门,8
119,工业,8
120,鱼粉,8
121,消费者,8
122,导演,8
123,桂谱,8
124,捕捞,8
125,鱼类,8
126,证券市场,8
127,送红股,8
128,孳息,8
129,青萍,8
130,夫妇,8
131,兴业,8
132,日日,8
133,土地,8
134,农产品,8
135,补助款,8
136,前身,7
137,北海,7
138,三丰,7
139,检验,7
140,加工厂,7
141,零售商,7
142,网络,7
143,创意,7
144,广州,7
145,电竞,7
146,教学,7
147,火星,7
148,集合,7
149,银信,7
150,农民工,7
151,排放,7
152,东海,7
153,农业,7
154,保险费,7
155,送,6
156,百丰,6
157,钦国,6
158,吉林省,6
159,粮食,6
160,农户,6
161,健康,6
162,四路,6
163,赵,6
164,冻,6
165,文化教育,6
166,杭州,6
167,成都,6
168,西安,6
169,延伸,6
170,稳步增长,6
171,互联网,6
172,带动,6
173,帐款,6
174,产业布局,6
175,学生,6
176,学员,6
177,楷魔后,6
178,监测,6
179,时所作,6
180,工商银行,6
181,富立,6
182,天瑞,6
183,华商,6
184,思华,6
185,高晓东,6
186,高程,6
187,影视剧,6
188,学费,6
189,消耗性,6
190,霍尔果斯,6
191,北流,6
192,嘉盈,5
193,操作,5
194,环境保护,5
195,东平,5
196,前端,5
197,室内设计,5
198,重庆,5
199,济南,5
200,郑州,5
201,鱼,5
202,中国饲料,5
203,季节性,5
204,网民,5
205,电影,5
206,持续增长,5
207,消耗,5
208,商业模式,5
209,口碑,5
210,增长幅度,5
211,贬值,5
212,招生,5
213,否无是,5
214,为此,5
215,洋,5
216,王琦侯,5
217,按规定,5
218,污水,5
219,茂名市,5
220,杨,5
221,量化,5
222,王运生,5
223,张雯丽,5
224,数码,5
225,缺失,5
226,利润率,5
227,开班,5
228,期后,5
229,房地产,5
230,项且,5
231,建造,5
232,日有,5
233,荆州,5
234,税务机关,5
235,远洋,5
236,专项基金,5
237,月权,5
238,新田,5
239,桂普,4
240,制品,4
241,文昌,4
242,生物科技,4
243,致力于,4
244,邹,4
245,宏文,4
246,黎程,4
247,料,4
248,多层次,4
249,欧盟,4
250,出口量,4
251,龙头企业,4
252,传统,4
253,美术,4
254,线下,4
255,教学中心,4
256,创作,4
257,顶尖,4
258,协同效应,4
259,综合利用,4
260,胶原蛋白,4
261,海关,4
262,统计,4
263,手机,4
264,结构性,4
265,补偿款,4
266,客户资源,4
267,精深,4
268,充分利用,4
269,环节,4
270,副产品,4
271,鱼油,4
272,老师,4
273,文化产业,4
274,万亿元,4
275,动漫,4
276,交割,4
277,梳理,4
278,否百洋,4
279,信息化,4
280,海洋,4
281,配置,4
282,失误,4
283,灾害,4
284,疫情,4
285,民办教育,4
286,条例,4
287,自本,4
288,捌,4
289,瑕疵,4
290,其所,4
291,高阳,4
292,尊重,4
293,扶贫,4
294,氨氮,4
295,建有,4
296,北信瑞丰,4
297,招商银行,4
298,平安,4
299,王玲,4
300,张美芬,4
301,潘,4
302,航宇,4
303,机器设备,4
304,主营,4
305,测算,4
306,油气,4
307,高新区,4
308,货运,4
309,池塘,4
310,规格,4
311,重量,4
312,饲养,4
313,结果表明,4
314,生育,4
315,西部,4
316,桂,4
317,所得税法,4
318,退税款,4
319,祥和,4
320,款年,4
321,肽,4
322,商务局,4
323,经贸局,4
324,保险,4
325,化州,4
326,红,3
327,乐业,3
328,检疫,3
329,养殖户,3
330,控制点,3
331,英国,3
332,药物,3
333,年代,3
334,制造,3
335,紧密,3
336,媒体,3
337,流水,3
338,安全控制,3
339,首位,3
340,视效,3
341,鱼皮,3
342,饲料行业,3
343,总产量,3
344,不断扩大,3
345,扩展,3
346,几年,3
347,快,3
348,旺季,3
349,票房,3
350,银幕,3
351,后期制作,3
352,一套,3
353,树立,3
354,越来越,3
355,市场占有率,3
356,主产区,3
357,技术创新,3
358,师资,3
359,专注,3
360,出版,3
361,影视制作,3
362,作品,3
363,去向,3
364,海关总署,3
365,环境影响,3
366,产业政策,3
367,来看,3
368,营收,3
369,二系,3
370,毕方,3
371,魔,3
372,超募,3
373,投向,3
374,贡献,3
375,招生人数,3
376,上游,3
377,战略目标,3
378,深化,3
379,科学,3
380,高校,3
381,经营场所,3
382,短期内,3
383,事故,3
384,一致同意,3
385,因涉嫌,3
386,司法机关,3
387,立案侦查,3
388,统称,3
389,中百,3
390,退出,3
391,人孙宇,3
392,大写,3
393,仟,3
394,再融资,3
395,林豫松,3
396,高度重视,3
397,和谐,3
398,信誉,3
399,毕业生,3
400,国家有关,3
401,污染物,3
402,废水,3
403,海口市,3
404,环保部门,3
405,每季度,3
406,凤凰山,3
407,六号,3
408,私募,3
409,国海,3
410,广发,3
411,混合型,3
412,融耀定,3
413,增号,3
414,灵活,3
415,中国建设银行,3
416,无百洋,3
417,江虹锐,3
418,易泽喜,3
419,起任,3
420,兼职,3
421,为百洋,3
422,厅,3
423,副所长,3
424,副教授,3
425,按劳分配,3
426,责权利,3
427,收入水平,3
428,长远利益,3
429,短期行为,3
430,有奖,3
431,有惩,3
432,并重,3
433,男女,3
434,技巧,3
435,人均,3
436,开设,3
437,失效,3
438,业务流程,3
439,负面影响,3
440,较强,3
441,核对,3
442,核实,3
443,频繁,3
444,函证,3
445,样本,3
446,发票,3
447,疑虑,3
448,保费,3
449,准备金,3
450,中央银行,3
451,工商行政管理局,3
452,胡,3
453,金莲,3
454,孙宇,3
455,经营项目,3
456,计算方法,3
457,包装物,3
458,低值易耗品,3
459,水生动物,3
460,存塘,3
461,存鱼,3
462,依赖,3
463,建筑物,3
464,运输设备,3
465,政策性,3
466,煋,3
467,实训,3
468,创科讯,3
469,楷魔视效,3
470,第一款,3
471,牲畜,3
472,新疆,3
473,数为,3
474,取整,3
475,改扩建,3
476,组与,3
477,沪,3
478,房租,3
479,现行,3
480,历年,3
481,注年,3
482,土地出让,3
483,北流市,3
484,南发,3
485,生物性,3
486,制备,3
487,折旧费,3
488,技术改造,3
489,经济损失,3
490,各分部,3
491,对此,2
492,指百洋,2
493,百渔,2
494,危害,2
495,可控,2
496,采购商,2
497,系为,2
498,联盟,2
499,可追溯,2
500,城镇,2
501,公认,2
502,国际标准化组织,2
503,国际标准,2
504,质量保证,2
505,转化,2
506,运输,2
507,添加剂,2
508,协助,2
509,高度,2
510,有无,2
511,外文,2
512,网址,2
513,电子信箱,2
514,号百洋,2
515,统一标准,2
516,否一,2
517,畜禽,2
518,发达,2
519,选用,2
520,切入,2
521,一线,2
522,向下,2
523,集,2
524,一体,2
525,新兴,2
526,聚集,2
527,增长点,2
528,副产物,2
529,鱼鳞,2
530,保健品,2
531,挖掘,2
532,起于,2
533,四十余年,2
534,稳步发展,2
535,渗透率,2
536,进一步提高,2
537,信息网,2
538,初统,2
539,成品,2
540,增,2
541,猪料,2
542,深受,2
543,青睐,2
544,知名度,2
545,刺,2
546,气候,2
547,两广,2
548,次年,2
549,产销,2
550,位居,2
551,年底,2
552,保持稳定,2
553,人才需求,2
554,高速,2
555,传播,2
556,端,2
557,观影,2
558,人次,2
559,影片,2
560,表现,2
561,拉动,2
562,节能,2
563,减排,2
564,加工过程,2
565,领先水平,2
566,独具特色,2
567,立业,2
568,之本,2
569,发达国家,2
570,欧美,2
571,区域性,2
572,周期性,2
573,充足,2
574,产区,2
575,分散,2
576,经营风险,2
577,内销,2
578,自治区,2
579,分中心,2
580,二十年,2
581,创始人,2
582,三维动画,2
