,分词排序,词频
0,美盛,389
1,文化,357
2,创意,211
3,动漫,117
4,游戏,76
5,杭州,74
6,信息,67
7,赵,50
8,小强,50
9,同道,43
10,衍生品,42
11,大叔,38
12,网络,37
13,媒体,35
14,真趣,28
15,工程,28
16,香港,27
17,上海,26
18,原创,25
19,捷木,25
20,娱乐,24
21,爱华,24
22,文化产业,23
23,数据,23
24,元美盛,23
25,酷米,20
26,银行,20
27,天津,19
28,鱼骨头,19
29,天健,17
30,影视,17
31,生态圈,17
32,服务平台,16
33,泛,16
34,上线,15
35,服饰,15
36,荷兰,14
37,资源,14
38,房地产,14
39,网络科技,13
40,高新技术,13
41,二次元,12
42,科技,12
43,北京,12
44,业盛,11
45,新昌县,11
46,影视作品,11
47,播放,11
48,星,11
49,星座,11
50,动画,11
51,建设,11
52,滨江区,11
53,郭瑞,11
54,土地,11
55,美盛爱,10
56,广州,10
57,传播,10
58,漫画,10
59,浙江,10
60,星梦,9
61,工坊,9
62,新昌,9
63,作品,9
64,纯真,9
65,年代,9
66,以元,9
67,月数,9
68,微媒,8
69,上下游,8
70,视频,8
71,国产,8
72,优加,8
73,互娱,8
74,五一,8
75,饰品,7
76,消费,7
77,徐迪旻,7
78,结余,7
79,此次,7
80,网络游戏,7
81,合作方,7
82,工作细则,7
83,增发,7
84,信托,7
85,石炜萍,7
86,男否,7
87,核对,7
88,生物,7
89,控,7
90,许可证,7
91,资源整合,6
92,指美盛,6
93,创幻,6
94,电子商务,6
95,互联网,6
96,态势,6
97,动画片,6
98,形象,6
99,顶级,6
100,消费者,6
101,更为,6
102,首日,6
103,对美盛,6
104,一体化,6
105,株式会社,6
106,永久性,6
107,超募,6
108,面积,6
109,划转,6
110,快速增长,6
111,日美盛,6
112,宏盛,6
113,软件,6
114,教育,6
115,召集,6
116,摄制,6
117,制权,6
118,退税,5
119,美源,5
120,电商,5
121,漫联,5
122,初步,5
123,零售,5
124,延伸,5
125,儿童剧,5
126,环节,5
127,精品,5
128,全网,5
129,播出,5
130,版权,5
131,场所,5
132,近年,5
133,美盛以,5
134,交接,5
135,益,5
136,结项,5
137,黄浦区,5
138,限售期,5
139,三十六个,5
140,应予,5
141,帐款,5
142,苏州,5
143,油气,5
144,幻趣,5
145,注年,5
146,数为,5
147,车间,5
148,源于,5
149,不派,4
150,万盛,4
151,网站,4
152,赵海荣,4
153,陈艳,4
154,开发商,4
155,发行商,4
156,电影,4
157,表现,4
158,有望,4
159,速度,4
160,文学,4
161,魔法,4
162,礼服,4
163,档,4
164,排名,4
165,灵,4
166,手环,4
167,剧,4
168,深化,4
169,部署,4
170,网,4
171,体验,4
172,产业布局,4
173,出品,4
174,文化传媒,4
175,协同效应,4
176,作价,4
177,零元,4
178,第二十五次,4
179,第十六次,4
180,投资总额,4
181,板,4
182,六个月,4
183,董监,4
184,易,4
185,工作日内,4
186,二年,4
187,建立健全,4
188,环境,4
189,股于,4
190,华信,4
191,主要职责,4
192,会计学,4
193,女否,4
194,存储,4
195,运营商,4
196,服务商,4
197,广告主,4
198,抽样,4
199,业经,4
200,制片,4
201,电视剧,4
202,建筑物,4
203,指针,4
204,教育费,4
205,减半,4
206,退税款,4
207,原乡,4
208,文旅,4
209,名扬,4
210,置,4
211,外汇,4
212,石军龙,3
213,已有,3
214,瑛,3
215,麒,3
216,触手,3
217,嵊州市,3
218,创业投资,3
219,豆萌,3
220,证监会,3
221,南岩,3
222,无需,3
223,致力于,3
224,轻,3
225,电视台,3
226,观众,3
227,玩家,3
228,计费,3
229,统计,3
230,开启,3
231,粉丝,3
232,主导,3
233,成熟,3
234,火爆,3
235,发达国家,3
236,进程,3
237,扩张,3
238,光,3
239,契约,3
240,风云,3
241,手机游戏,3
242,酒店,3
243,学园,3
244,腾讯,3
245,妖神记,3
246,收视率,3
247,爱奇艺,3
248,第二季,3
249,生态,3
250,一个月,3
251,榜,3
252,聚集,3
253,演艺,3
254,传统媒体,3
255,受众,3
256,增多,3
257,实时,3
258,这一,3
259,发起,3
260,联盟,3
261,载体,3
262,不断加强,3
263,网剧,3
264,啪啪,3
265,啪,3
266,高度,3
267,传统,3
268,和解,3
269,日元,3
270,徐迪旻及,3
271,调解,3
272,共向,3
273,借给,3
274,便,3
275,价,3
276,投向,3
277,扩产,3
278,银行贷款,3
279,实,3
280,长远,3
281,快,3
282,人民,3
283,旺盛,3
284,技术创新,3
285,产值,3
286,产业结构,3
287,立足,3
288,创意设计,3
289,有待,3
290,媒介,3
291,终端,3
292,抢夺,3
293,拟定,3
294,新余,3
295,乐活,3
296,款元,3
297,巨潮资,3
298,若该,3
299,后美盛,3
300,清理,3
301,交,3
302,同类,3
303,价美盛,3
304,为关,3
305,联方,3
306,邀请,3
307,纸张,3
308,扶贫,3
309,宏德盛,3
310,售股,3
311,类限,3
312,类限售,3
313,工,3
314,服装,3
315,辞去,3
316,李学文,3
317,绍兴市,3
318,李茂生,3
319,博士生,3
320,导师,3
321,闯,3
322,雷新途,3
323,浙江工业大学,3
324,镜外,3
325,潘晶,3
326,资讯网,3
327,工作效率,3
328,经济损失,3
329,内销,3
330,货运,3
331,提单,3
332,后台,3
333,支持性,3
334,保费,3
335,准备金,3
336,中央银行,3
337,瑾,3
338,馨,3
339,梅酒,3
340,著作权,3
341,法将,3
342,建造,3
343,售出,3
344,电信,3
345,毁损,3
346,税额,3
347,曾华雄,3
348,达成协议,3
349,见本,3
350,财政补贴,3
351,康元,3
352,人寿,3
353,性交易,3
354,补偿款,3
355,中合,3
356,国信,3
357,西安,3
358,欧米茄,3
359,带,2
360,否定,2
361,文创,2
362,不及,2
363,加剧,2
364,工场,2
365,夜,2
366,白熊,2
367,杰克,2
368,数码科技,2
369,保荐人,2
370,华林,2
371,外文,2
372,网址,2
373,电子信箱,2
374,元非,2
375,统一标准,2
376,否一,2
377,紧密,2
378,智能,2
379,渠道商,2
380,向泛,2
381,源头,2
382,迪士尼,2
383,经济体,2
384,支柱产业,2
385,这是,2
386,动力,2
387,越来越,2
388,度,2
389,易于,2
390,喜爱,2
391,捕捉,2
392,成都,2
393,晋升,2
394,北美,2
395,亚洲,2
396,人气,2
397,题材,2
398,登陆,2
399,第一季,2
400,排行,2
401,搜狐,2
402,芒果,2
403,亿次,2
404,潘朵拉,2
405,秘境,2
406,热烈,2
407,入选,2
408,作品版权,2
409,摘得,2
410,评为,2
411,逾,2
412,之中,2
413,几年,2
414,一部,2
415,动画网,2
416,剧于,2
417,屡次,2
418,热门,2
419,榜单,2
420,风云榜,2
421,火热,2
422,网络平台,2
423,国漫,2
424,妖,2
425,神记,2
426,周边产品,2
427,漫威,2
428,超级,2
429,超人,2
430,总动员,2
431,套装,2
432,正版,2
433,周边,2
434,分发,2
435,展示,2
436,通道,2
437,全方位,2
438,搭建,2
439,玩具,2
440,线下,2
441,近几年,2
442,个性化,2
443,选择性,2
444,形式多样,2
445,交互性,2
446,全息,2
447,数字化,2
448,网络化,2
449,展开,2
450,直播,2
451,新兴产业,2
452,手游,2
453,签约,2
454,作家,2
455,联动,2
456,星星,2
457,情感,2
458,品牌化,2
459,第一个,2
460,青春,2
461,监制,2
462,独家,2
463,吸引,2
464,入围,2
465,十佳,2
466,导演,2
467,有助于,2
468,认同,2
469,创作,2
470,更好,2
471,黏性,2
472,以人为本,2
473,人才培养,2
474,持平,2
475,投资额,2
476,购入,2
477,年份,2
478,去向,2
479,拟将,2
480,二非,2
481,补足,2
482,月经,2
483,第二十二次,2
484,第十次,2
485,超额,2
486,施,2
487,国家级,2
488,交通,2
489,便利,2
490,发达,2
491,地理位置,2
492,较近,2
493,便于管理,2
494,合适,2
495,原在,2
496,办公楼,2
497,总面积,2
498,近两年,2
499,先期,2
500,定,2
501,项本,2
502,装修费,2
503,方兴未艾,2
504,来看,2
505,流量,2
506,健康,2
507,新旧,2
508,分化,2
