,分词排序,词频
0,瑞金,554
1,奥,498
2,上海,133
3,北京,100
4,湖北,91
5,信息,81
6,饮料,68
7,原龙,64
8,科技,51
9,中粮,51
10,食品,45
11,山东,44
12,周云杰,40
13,罐,39
14,江苏,38
15,资讯网,33
16,灌装,31
17,金属包装,31
18,奥瑞泰,31
19,体育,30
20,元阳,29
21,材料,28
22,欧塞尔,28
23,永新,28
24,建设,28
25,称,27
26,元二,27
27,海南,26
28,房地产,26
29,咸宁,26
30,工程,25
31,银行,25
32,天津,24
33,红牛,24
34,扶贫,24
35,差异化,22
36,制罐,22
37,西藏,22
38,环境,21
39,广西,21
40,深圳,21
41,香港,20
42,普华永道,20
43,印刷,19
44,青鑫,19
45,四四,18
46,原价,18
47,二片,17
48,浙江,17
49,金属,17
50,容器,17
51,智能,17
52,环保,17
53,建筑物,17
54,排放,17
55,中国籍,17
56,倍数,17
57,二年,17
58,鸿金,16
59,河北,16
60,鸿,16
61,数据,16
62,一到,16
63,奥众,15
64,俱乐部,15
65,沃田,15
66,环境保护,15
67,社保,15
68,奥宝,14
69,奥金智策,14
70,不超,14
71,半年,14
72,番茄,14
73,黄志锋,14
74,张丽娜,14
75,板,14
76,土地,14
77,联营公司,14
78,催收,14
79,恶化,14
80,中国香港,14
81,二十一,13
82,成都,13
83,陕西,13
84,饮料罐,13
85,三片,13
86,工业,13
87,污水处理,13
88,评估师,13
89,元六在,13
90,广东,12
91,怀柔区,12
92,食品饮料,12
93,教育,12
94,日元,12
95,贝亚,11
96,环球,11
97,废气,11
98,章良德,11
99,王冬,11
100,回售,11
101,二到,11
102,续于,11
103,龙口,10
104,甘南,10
105,法国,10
106,宏泰奥瑞,10
107,卡乐,10
108,波尔,10
109,罐及,10
110,脱贫,10
111,苏州,10
112,周原,10
113,模型,10
114,已过,10
115,暂未,10
116,外汇,10
117,精益,9
118,龙华,9
119,临沂,9
120,美食,9
121,马口铁,9
122,高树,9
123,智能化,9
124,机器设备,9
125,第五次,9
126,监测,9
127,沈陶,9
128,联合会,9
129,中天,9
130,审字,9
131,聘用,9
132,绍兴,8
133,新疆,8
134,漳州,8
135,辽宁,8
136,堆龙鸿晖,8
137,瑞达,8
138,纪鸿,8
139,检测,8
140,生产布局,8
141,意向,8
142,生产工艺,8
143,应急,8
144,职工代表,8
145,前限售,8
146,国,8
147,西部,8
148,信托,8
149,新美,8
150,等于,8
151,八页,8
152,派驻,8
153,消费,7
154,欣原,7
155,龙京联,7
156,原龙京,7
157,阳原,7
158,龙京原,7
159,指奥,7
160,发起人,7
161,河南,7
162,泰州,7
163,黄山,7
164,军,7
165,互联网,7
166,球员,7
167,青岛,7
168,技术咨询,7
169,利润率,7
170,公益事业,7
171,健康,7
172,学校,7
173,屯河,7
174,代表大会,7
175,该限售,7
176,限售期,7
177,四年,7
178,第一个,7
179,名下,7
180,证券交易,7
181,陈中革,7
182,合数,7
183,网络,7
184,泰安,7
185,一名,7
186,定位,6
187,名牌,6
188,高礼兵,6
189,香芮,6
190,昆明,6
191,景润,6
192,包装容器,6
193,龙鸿晖,6
194,维他命,6
195,啤酒,6
196,铝材,6
197,资源,6
198,面向,6
199,亚太,6
200,基层,6
201,干部,6
202,万罐,6
203,立体仓库,6
204,文化,6
205,泰国,6
206,天丝,6
207,专有,6
208,成交价,6
209,为元股,6
210,日年,6
211,贡献,6
212,就业,6
213,股自年,6
214,日限售,6
215,其本,6
216,马斌,6
217,陈玉飞,6
218,魏琼,6
219,红,6
220,赵宇晖,6
221,宝钢,6
222,云视,6
223,该次,6
224,财产损失,6
225,二者,6
226,称奥,6
227,四于,6
228,金属制品,6
229,养老保险,6
230,组合分析,6
231,华源,6
232,澳华,6
233,监管部门,5
234,高新技术,5
235,规模化,5
236,互联,5
237,雁栖,5
238,信息化,5
239,力求,5
240,产品包装,5
241,一体化,5
242,商业模式,5
243,引入,5
244,积极性,5
245,工厂,5
246,战马,5
247,送,5
248,环境影响,5
249,决定书,5
250,捐助,5
251,可回收,5
252,建档立卡,5
253,贫困户,5
254,污水,5
255,排污权,5
256,无奥,5
257,武汉,5
258,民主选举,5
259,交易系统,5
260,度,5
261,吴多全,5
262,开立,5
263,张月,5
264,单喆,5
265,慜,5
266,姜先达,5
267,硕士学位,5
268,非上市,5
269,健全,5
270,设置,5
271,财务部门,5
272,计息,5
273,四十五,5
274,同受,5
275,转播权,5
276,铭讯,5
277,带息,5
278,抵押物,5
279,经由,5
280,共名,5
281,派出,5
282,故本,5
283,击剑,5
284,约元,5
285,放缓,4
286,法律纠纷,4
287,得以,4
288,金融机构,4
289,快,4
290,消品,4
291,在于,4
292,践行,4
293,济仕,4
294,乐,4
295,节能,4
296,覆膜,4
297,宋爽,4
298,任小琛,4
299,第一季度,4
300,制造,4
301,吸引,4
302,自动化,4
303,配备,4
304,盖,4
305,劳动生产率,4
306,建立健全,4
307,多样化,4
308,岗,4
309,元奥,4
310,表面,4
311,防范,4
312,积极参与,4
313,一套,4
314,谈论,4
315,合称,4
316,第六次,4
317,环保局,4
318,怀环罚,4
319,收集,4
320,股占,4
321,住房,4
322,基础设施,4
323,贫困地区,4
324,贫困,4
325,核查,4
326,污染物,4
327,达标排放,4
328,两家,4
329,交易商,4
330,安柯尔,4
331,金莱华,4
332,宏睿泰坤,4
333,五零四,4
334,零,4
335,吴坚,4
336,完美,4
337,辞去,4
338,农村,4
339,商业银行,4
340,福建,4
341,美特,4
342,创业投资,4
343,多米,4
344,熊,4
345,续聘,4
346,年报,4
347,审查,4
348,指除,4
349,增信,4
350,去年同期,4
351,授信额度,4
352,页,4
353,性及,4
354,商务,4
355,后本,4
356,续本,4
357,于本,4
358,续以,4
359,低值易耗品,4
360,计算机软件,4
361,售后,4
362,租回,4
363,续可供,4
364,四奥,4
365,冰,4
366,市值,4
367,二线,4
368,宣传费,4
369,招待,4
370,交通,4
371,港元,4
372,元五,4
373,无锡,4
374,文昌,4
375,拉萨,4
376,元八,4
377,互换,4
378,升值,4
379,贬值,4
380,知名,3
381,更为,3
382,秉承,3
383,希望,3
384,把握,3
385,中央,3
386,民营企业,3
387,出路,3
388,曾用名,3
389,印,3
390,铁制,3
391,享源,3
392,奥瑞,3
393,传媒,3
394,冰上运动,3
395,奶粉,3
396,网址,3
397,联系人,3
398,产品设计,3
399,标识,3
400,体育运动,3
