,分词排序,词频
0,欧浦智网,305
1,钢铁,165
2,欧浦,145
3,中基,110
4,广东,107
5,陈礼豪,90
6,物流,88
7,顺德区,86
8,顺德,76
9,银行,75
10,信息,73
11,仓储,53
12,乐,51
13,暂无,50
14,信托,50
15,土地,49
16,房地产,44
17,陈礼,42
18,该案,40
19,担保人,40
20,佛山,40
21,资讯网,35
22,失效,34
23,上海,31
24,房产,30
25,借款人,30
26,烨,29
27,辉,29
28,六个月,29
29,顺钢,27
30,豪田洁贞,27
31,动产,26
32,下称,26
33,案情,26
34,电子商务,24
35,工程,24
36,涉案,24
37,深圳,24
38,广发,23
39,远东,23
40,小额贷款,22
41,复利,22
42,厦门,20
43,仓库,19
44,印章,19
45,承诺书,19
46,商业银行,19
47,中国农业银行,19
48,纳海,18
49,英顺,18
50,钢网,18
51,短期贷款,18
52,钢铁贸易,18
53,粤,18
54,环境,17
55,建筑物,17
56,农村,17
57,顺丰,17
58,物资供应,17
59,停滞,16
60,钢材,16
61,科技,16
62,保管,16
63,出借,16
64,蔡小如,16
65,未决,15
66,巨额,15
67,罚息,15
68,中行,15
69,警示,14
70,萍乡,14
71,欧陆,14
72,农行,14
73,汇入,14
74,主,14
75,中山市,14
76,危机,13
77,青岛,13
78,钢管,13
79,主合同,13
80,辞职,13
81,廖海辉,13
82,新余市,12
83,智能,12
84,管理控制,12
85,期自,12
86,即行,12
87,预,12
88,审,12
89,异议,12
90,珠海,12
91,吴佳怡,12
92,太仓,12
93,案号,12
94,数据,11
95,九江,11
96,期且,11
97,内审,11
98,仲,11
99,判,11
100,裁,11
101,理,11
102,决,11
103,汉河,11
104,管辖权,11
105,抵押物,11
106,收益权,11
107,华夏银行,11
108,扶贫,11
109,运输,10
110,资源,10
111,座,10
112,拆迁,10
113,钢,10
114,恶化,10
115,谨慎,10
116,售后,10
117,欧浦乐,10
118,建设,10
119,由本,10
120,权证,10
121,农商,10
122,金泳,10
123,江阴,10
124,华中,10
125,荣南,10
126,江苏,10
127,华微电子,10
128,云南,10
129,电器,10
130,准备金,10
131,拍卖,9
132,乐从,9
133,家居,9
134,涉诉,9
135,梳理,9
