,分词排序,词频
0,金贵,340
1,郴州市,291
2,银业,263
3,白银,152
4,矿业,96
5,铅,78
6,曹永贵,76
7,信息,59
8,工程,52
9,冶炼,49
10,有色金属,49
11,资源,48
12,湖南,47
13,信托,47
14,西藏,39
15,资讯网,39
16,上海,35
17,银行,34
18,期货,33
19,金江,30
20,湖南省,29
21,综合利用,29
22,被套,29
23,清洁,28
24,工业,27
25,许丽,27
26,郴州,25
27,房地产,25
28,建设,23
29,环保,22
30,俊龙,22
31,精矿,20
32,之中,19
33,回售,19
34,香港,18
35,金属,18
36,排放,18
37,福银,17
38,深加工,16
39,汐麟,16
40,扶贫,16
41,教育,16
42,中国籍,16
43,贵龙,15
44,数据,15
45,环境,15
46,意向,15
47,联祥,15
48,深圳,15
49,旅游,14
50,曹,14
51,永德,14
52,采矿权,14
53,农发,14
54,再生,13
55,锑,13
56,稷业,13
57,张,13
58,集合,13
59,人力资源部,13
60,科技,12
61,电,12
62,黄金,12
63,冰铜,12
64,达产,12
65,电解,11
66,国际贸易,11
67,酒店,11
68,投产,11
69,城,11
70,制品,11
71,北京,11
72,年生,11
73,合作社,11
74,属性,10
75,渣,10
76,国家级,10
77,银都,10
78,东谷,10
79,车间,10
80,平西,10
81,房产,10
82,任职期间,10
83,天津,10
84,金贵债,10
85,探矿权,10
86,金皇,9
87,铋,9
88,高新技术,9
89,矿山,9
90,竞拍,9
91,云商,9
92,应急,9
93,框架,9
94,信用等级,9
95,陈占齐,8
96,物流,8
97,选矿,8
98,天健,8
99,材料,8
100,现货,8
101,宇邦,8
102,土地,8
103,精深,8
104,纯银,8
105,未有,8
106,许军,8
107,上调,8
108,朗杰林,8
109,阳极泥,7
110,系本,7
111,铜,7
112,贵金属,7
113,有价,7
114,二次,7
115,上游,7
116,永兴县,7
117,监测,7
118,天弘,7
119,混合型,7
120,金银,7
121,开具,7
122,拉萨市,7
123,前列,6
124,节能,6
125,改扩建,6
126,硝酸银,6
127,主题,6
128,工程项目,6
129,嘉宇,6
130,农业,6
131,生产资料,6
132,回,6
133,刘承,6
134,锰,6
135,资管,6
136,桂阳,6
137,银星,6
138,污染物,6
139,运输,6
140,李振水,6
141,甲方,6
142,乙方,6
143,万向,6
144,配置,6
145,冶炼厂,6
146,厂长,6
147,还本,6
148,收市,6
149,登记在册,6
150,每张,6
151,实施办法,6
152,提示性,6
153,金融机构,6
154,信用证,6
155,外汇,6
156,氧,5
157,赤峰,5
158,补偿款,5
159,远东,5
160,污染,5
161,银锭,5
162,文化,5
163,金融服务,5
164,矿产品,5
165,否否否,5
166,废气,5
167,均价,5
168,加工区,5
169,贫困,5
170,超标,5
171,危废,5
172,拟以,5
173,后金,5
174,农业银行,5
175,华宝,5
176,灵活,5
177,平安,5
178,弘盈,5
179,加工厂,5
180,外训,5
181,尽快,5
182,无效,5
183,存续,5
184,金诚,5
185,元泽,5
186,募股,5
187,债年,5
188,开立,5
189,源于,5
190,刘宗俊,5
191,王晓蓉,5
192,粗,4
193,再生资源,4
194,含银,4
195,混合,4
196,精,4
197,苏仙区,4
198,大道,4
199,证券部,4
200,刘钢跃,4
201,周毅,4
202,机构名称,4
203,退税,4
204,富含,4
205,锌,4
206,特性,4
207,制造,4
208,硫酸,4
209,合金,4
210,走势,4
211,余热,4
212,发电,4
213,旋流,4
214,生产工艺,4
215,致力于,4
216,浙商,4
217,陆续,4
218,对金,4
219,扩建,4
220,风景区,4
221,展示,4
222,体验,4
223,统计,4
224,线上,4
225,氧化锌,4
226,经营层,4
227,协助,4
228,起到,4
229,托克,4
230,唐,4
231,加选,4
232,投向,4
233,保全,4
234,银行账号,4
235,民事裁定,4
236,书京,4
237,环境保护,4
238,补偿金,4
239,曹永,4
240,贵在,4
241,私自,4
242,加盖,4
243,公章,4
244,产业园,4
245,农村,4
246,脱贫,4
247,核定,4
248,过滤,4
249,防治,4
250,临武,4
