,分词排序,词频
0,珠宝,353
1,爱迪尔,311
2,珠宝首饰,80
3,狄爱玲,59
4,信息,58
5,钻石,56
6,大盘,52
7,苏,47
8,永明,46
9,苏日明,42
10,千年,30
11,深圳,25
12,上海,23
13,自营,23
14,黄金,22
15,关爱,22
16,银行,21
17,否苏,20
18,日明,20
19,工程,19
20,江苏,18
21,数据,18
22,钻,17
23,饰品,17
24,店,17
25,文化,17
26,灵感,16
27,北京,16
28,蜀茂,16
29,建设,16
30,成品,15
31,加盟店,15
32,清香,15
33,成都,13
34,香港,13
35,镶嵌,13
36,加盟,13
37,杭州,12
38,爱,12
39,铂金,11
40,金鼎,11
41,朱新武,11
42,房地产,11
43,惠州市,10
44,消费,10
45,嘉华,10
46,苏日,10
47,龙岩,9
48,龙岩市,9
49,罗湖区,9
50,经销,9
51,终端,9
52,首饰,9
53,非凡,9
54,苗志国,9
55,珍迪美,9
56,沈阳,8
57,关闭,8
58,苏衍茂,8
59,皓,8
60,王斌康,8
61,广东,8
62,明苏,8
63,李城峰,7
64,爱航,7
65,东晓路,7
66,北楼,7
67,立信,7
68,资源,7
69,材料,7
70,加盟费,7
71,苏啟,7
72,福建,7
73,生物,7
74,邮寄,7
75,新设,7
76,济南,6
77,重庆市,6
78,杭,6
79,爱华,6
80,红润,6
81,一号,6
82,金银珠宝,6
83,教育,6
84,群体,6
85,克拉,6
86,职能,6
87,湖南,6
88,四平市,6
89,苏州,6
90,西藏,6
91,外汇,6
92,苏建,6
93,检测,5
94,二三,5
95,朱新,5
96,广场,5
97,知名度,5
98,班,5
99,宿迁,5
100,丰扬,5
101,街道,5
102,互联网,5
103,开放平台,5
104,零售,5
105,结余,5
106,南京,5
107,慈善,5
108,金燕,5
109,工商管理,5
110,环境,5
111,研究会,5
112,保费,5
113,油气,5
114,除净,5
115,土地,5
116,创业投资,5
117,明郎,5
118,娇翀,5
119,红,4
120,惠州,4
121,武汉,4
122,中宝协,4
123,楼,4
124,廖家河,4
125,徐士宝,4
126,概况,4
127,直营,4
128,委外,4
129,创意,4
130,落地,4
131,科学,4
132,充足,4
133,定位,4
134,健全,4
135,换届选举,4
136,专卖店,4
137,黄金饰品,4
138,募,4
139,营运,4
140,凡事,4
141,事业,4
142,证监会,4
143,总和,4
144,专利技术,4
145,宝泰,4
146,翠,4
147,和谐,4
148,确认书,4
149,任职期间,4
150,王春华,4
151,苏茂先,4
152,吴炜圳,4
153,丰乐,4
154,人力资源部,4
155,介绍,4
156,分开,4
157,公司公告,4
158,重要性,4
159,以换,4
160,建造,4
161,养老保险,4
162,教育费,4
163,爱鼎,4
164,稳岗,4
165,某种,4
166,公用事业,4
167,必要产品,4
168,价格控制,4
169,苏华清,4
170,鲍俊芳,3
171,送,3
172,武汉市,3
173,网站,3
174,机构名称,3
175,市场占有率,3
176,奠定,3
177,品类,3
178,网络,3
179,加盟商,3
180,该类,3
181,依赖,3
182,信息化,3
183,原创,3
184,策划,3
185,商标,3
186,时尚,3
187,明星,3
188,人才培养,3
189,无锡,3
190,商业职业,3
191,开设,3
192,选取,3
193,贡献,3
194,产品设计,3
195,新娘,3
196,蜀,3
197,茂,3
198,华东,3
199,西南地区,3
200,新罗区,3
201,撤店,3
202,初,3
203,配件,3
204,金饰品,3
205,分类单位,3
206,消费者,3
207,信用证,3
208,定期存款,3
209,超募,3
210,投向,3
211,搭建,3
212,缺乏,3
213,使命,3
214,践行,3
215,适合,3
216,货品,3
217,子孙,3
218,元以,3
219,发展前景,3
220,拟以,3
221,杜光,3
222,毛建涛,3
223,梁映,3
224,吴,3
225,顺水,3
226,平均价格,3
227,日日,3
228,资讯网,3
229,商标权,3
230,清理,3
231,工程项目,3
232,获批,3
233,积极参与,3
234,般的,3
235,传递,3
236,家园,3
237,创建,3
238,党建,3
239,带,3
240,公益,3
241,扶贫,3
242,至股,3
243,刘丽,3
244,夫妇,3
245,苏江,3
246,职工代表,3
247,黄翠娥,3
248,玉石,3
249,副会长,3
250,客座教授,3
251,课程,3
252,结业,3
253,人力资源,3
254,业务经理,3
255,巴州,3
256,贤耀,3
257,现行,3
258,召集,3
259,利益者,3
260,信誉,3
261,财务部门,3
262,工作细则,3
263,无效,3
264,流失,3
265,报字,3
266,价,3
267,监盘,3
268,准备金,3
269,中央银行,3
270,低值易耗品,3
271,工会,3
272,缴费,3
273,商品销售,3
274,应纳,3
275,税额,3
276,进口,3
277,互保,3
278,通讯费,3
279,保险费,3
280,高新,3
281,惠阳区,3
282,秋长,3
283,办事处,3
284,两新,3
285,省,3
286,来源于,3
287,苏衍,3
288,汇金,3
289,股股,2
290,宝协,2
291,深,2
292,毛坯,2
293,交易中心,2
294,外文,2
295,网址,2
296,电子信箱,2
297,优,2
298,媒体,2
