,分词排序,词频
0,重庆,337
1,三圣,280
2,医药,124
3,周廷,95
4,娥,95
5,混凝土,90
6,建材,84
7,重庆市,77
8,潘先文,76
9,先文,51
10,化工,51
11,信息,51
12,春瑞,50
13,否潘,42
14,健康,38
15,药业,37
16,硫酸,37
17,工程,36
18,中间体,34
19,银行,34
20,医化,33
21,膨胀剂,33
22,建设,32
23,特种,31
24,青峰,29
25,外加剂,25
26,国际化,24
27,排放,24
28,数据,23
29,石膏,23
30,圣,22
31,百康,21
32,碚,21
33,二氧化硫,21
34,埃塞俄比亚,21
35,需氧量,21
36,制造,20
37,原料药,20
38,减水剂,19
39,土地,18
40,贵阳,17
41,药品,17
42,化学,17
43,制剂,16
44,多元化,15
45,氨氮,15
46,汉族,15
47,制药,14
48,环保,13
49,天健,12
50,万家,12
51,辽源市,12
52,三圣埃塞,12
53,工业,12
54,水泥,12
55,环境,12
56,投产,12
57,兰州,11
58,圣志,11
59,高新,11
60,盐酸,11
61,石膏矿,11
62,材料,11
63,呈,11
64,杨志云,10
65,高新技术,10
66,延续,10
67,房地产,10
68,制造业,10
69,潘,10
70,潘先,10
71,注潘,10
72,渝,10
73,氮氧化物,10
74,污水处理,10
75,江北,10
76,比尔,10
77,北碚,9
78,资源,9
79,监测,9
80,张志强,9
81,杨兴志,9
82,恭,9
83,总磷,9
84,污水,9
85,上调,9
86,武胜,8
87,两江,8
88,药物,8
89,硬石膏,8
90,开采,8
91,新型建材,8
92,联产,8
93,快,8
94,采矿权,8
95,建材行业,8
96,北碚区,8
97,资讯网,8
98,开元,8
99,同受,8
100,号房,8
101,地证,8
102,主,8
103,履行期,8
104,生化,8
105,锅炉,8
106,车间,8
107,计息,8
108,送货,8
109,中悦,8
110,对春瑞,7
111,一带,7
112,一路,7
113,高性能,7
114,埃塞三圣,7
115,西部,7
116,生产成本,7
117,办公楼,7
118,否碚圣,7
119,污染物,7
120,郝廷艳,7
121,回售,7
122,建筑物,7
123,四川,6
124,三圣债,6
125,普鲁卡因,6
126,合成,6
127,对接,6
128,商标,6
129,长江,6
130,医药产业,6
131,教育,6
132,吉林,6
133,招股,6
134,曹兴,6
135,曹兴成,6
136,德露,6
137,物流,6
138,权证,6
139,环境保护,6
140,股占,6
141,潘呈恭,6
142,商业银行,6
143,魏晓明,6
144,特材,6
145,合著,6
146,西南,6
147,第个,6
148,增信,6
149,顺延,6
150,倍数,6
151,款年,6
152,面向,5
153,张凯,5
154,建筑材料,5
155,定制,5
156,兼并,5
157,羧酸,5
158,并表,5
159,非洲,5
160,积极开展,5
161,技术创新,5
162,在线,5
163,统计,5
164,第一名,5
165,第二名,5
166,第三名,5
167,第四名,5
168,第五名,5
169,工资福利,5
170,致使,5
171,绿色,5
172,医药工业,5
173,许可证,5
174,拟以,5
175,潘敬坤,5
176,范玉金,5
177,杨敏,5
178,意向书,5
179,科技,5
180,超标,5
181,粉尘,5
182,处理厂,5
183,物排放,5
184,烟尘,5
185,废气,5
186,周廷国,5
187,谢云,5
188,钱觉,5
189,杜勇,5
190,金融机构,5
191,信用等级,5
192,人华创,5
193,抵债,5
194,奥罗,5
195,米亚,5
196,州,5
197,源于,5
198,带,4
199,凌驾于,4
200,之上,4
201,巴中,4
202,证监会,4
203,汽车修理,4
204,大道,4
205,媒体,4
206,片剂,4
207,医药行业,4
208,复配,4
209,熟料,4
210,预拌,4
211,稳步,4
212,设有,4
213,规模化,4
214,多家,4
215,来源于,4
216,重庆地区,4
217,经济带,4
218,超募,4
219,投资规模,4
220,基础设施,4
221,肖卿萍,4
222,纠正,4
223,自动,4
224,后春瑞,4
225,若春瑞,4
226,评报,4
227,不动产,4
228,权第号,4
229,之日否,4
230,召集,4
231,排放口,4
232,间歇,4
233,大气污染,4
234,总氮,4
235,有机,4
236,环保局,4
237,一笔,4
238,陈都,4
239,厂长,4
240,学术,4
241,交流会,4
242,论文集,4
243,博士,4
244,同上,4
245,其后,4
246,年期,4
247,划转,4
248,单上,4
249,每月,4
250,开具,4
251,生产费,4
252,建筑工程,4
253,工业园,4
254,异地,4
255,信用证,4
256,张家港市,4
257,冶金,4
258,外汇,4
259,不获,4
260,股股,3
261,夫妇,3
262,区三圣,3
263,水土,3
264,产业园,3
265,云汉,3
266,联系人,3
267,网站,3
268,投资部,3
269,弋守川,3
270,唐明,3
271,氯霉素,3
272,对乙酰氨基酚,3
273,苯海拉明,3
274,酸钠,3
275,法莫替丁,3
276,浓度,3
277,产品价格,3
278,持续增长,3
279,所在地,3
280,建成投产,3
281,经营风险,3
282,专利技术,3
283,适应性,3
284,实践,3
285,等级,3
286,建筑,3
287,公司总部,3
288,前身,3
289,西南地区,3
290,萘系,3
291,聚,3
292,氨基,3
293,种,3
294,上游,3
295,地利,3
296,产业结构,3
297,放缓,3
298,依然,3
299,战略性,3
300,互联互通,3
301,紧张,3
302,多元,3
303,产业布局,3
304,二期工程,3
305,工艺技术,3
306,万立方米,3
307,万片,3
308,千袋,3
309,去年同期,3
310,合作方,3
311,投向,3
312,投资总额,3
313,预先,3
314,其于,3
315,很大,3
316,国民经济,3
317,城镇化,3
318,高质量,3
319,落地,3
320,战略规划,3
321,搅拌站,3
322,国际贸易,3
323,沟通交流,3
324,早日,3
325,拟定,3
326,陈勇,3
327,成黎伟,3
328,日止,3
329,在此期间,3
330,信心,3
331,文向,3
332,并未,3
333,意识,3
334,责任人,3
335,监管部门,3
336,督促,3
337,健,3
338,提醒,3
339,无条件,3
340,起个,3
341,参会,3
342,透明度,3
343,来访,3
344,交流,3
345,排污,3
346,甲烷,3
347,总烃,3
348,排污口,3
349,除尘器,3
350,废水,3
351,水,3
352,水质,3
353,尾气,3
354,装置,3
355,竣工,3
356,应急,3
357,三峡,3
358,证,3
359,当中,3
360,潘先东,3
361,苑书涛,3
362,王洪进,3
363,黎伟,3
364,胡向博,3
365,膨胀,3
366,砼,3
367,新工艺,3
368,高中,3
369,副厂长,3
370,辽源,3
371,专长,3
372,渝北区,3
373,技术部,3
374,保险费,3
375,工作效率,3
376,财务部门,3
377,经营收入,3
378,经济损失,3
379,公众,3
380,评定,3
381,节假日,3
382,休息日,3
383,每次,3
384,另计,3
385,拆出,3
386,保费,3
387,准备金,3
388,生物,3
389,油气,3
390,中央银行,3
391,包装物,3
392,率年,3
393,专用设备,3
394,款额,3
395,专利权,3
396,非专利,3
397,型号,3
398,供应量,3
399,发票,3
400,运输,3
401,政策性,3
402,余值,3
403,应缴,3
404,税额,3
405,注注,3
406,教育费,3
407,暂按,3
408,征收率,3
409,拍卖,3
410,以房,3
411,机器设备,3
412,至本,3
413,民营企业,3
414,科技型,3
415,通讯费,3
416,杜,3
417,卡姆,3
418,晟,3
419,白,3
420,峡口,3
421,指潘,2
422,孙,2
423,华创,2
424,外文,2
425,网址,2
426,电子信箱,2
427,上海,2
428,颗粒剂,2
429,硬,2
430,胶囊剂,2
431,历次,2
432,统一标准,2
433,非金融,2
434,否一,2
435,化肥,2
436,头孢西丁,2
437,抗生素,2
438,青霉素,2
439,解热,2
440,镇痛,2
441,氧化钙,2
442,计算机,2
443,配料,2
444,细度,2
445,粉状,2
446,存储,2
447,煅烧,2
448,分解,2
449,气体,2
450,三氧化硫,2
451,环节,2
452,自产自销,2
453,直销,2
454,转固,2
455,整治,2
456,上涨,2
457,预制件,2
458,中年,2
459,综合利用,2
460,双轮,2
461,迎来,2
462,分散,2
463,关联性,2
464,周期性,2
465,引致,2
466,安全性,2
467,配方,2
468,多样化,2
469,泵送,2
470,高强,2
471,专注,2
472,新药,2
473,研制,2
474,化学品,2
475,致力于,2
476,旗下,2
477,一批,2
478,上下游,2
479,供给,2
480,清晰,2
481,动态,2
482,组建,2
483,科研,2
484,收集,2
485,各个方面,2
486,职能,2
487,防水剂,2
488,品牌优势,2
489,管理模式,2
490,市场占有率,2
491,紧密,2
492,所产,2
493,带动,2
494,区位,2
495,地处,2
496,定位,2
497,于长江,2
498,联结,2
499,开放,2
500,雄厚,2
501,潜力,2
502,试验区,2
503,严峻,2
504,步伐,2
505,水针,2
506,母子公司,2
507,结构调整,2
508,发明专利,2
509,较强,2
510,荣获,2
511,获批,2
512,招录,2
513,构件,2
514,贵州,2
515,人工,2
516,三非,2
517,投资额,2
518,盈亏,2
519,圣毅,2
520,圣康,2
521,去向,2
522,号文,2
523,承销商,2
524,申万,2
525,宏源证券,2
526,网下,2
527,社会公众,2
528,汇入,2
529,减除,2
530,到位,2
531,业经,2
532,关停,2
533,审号,2
534,节余,2
535,结余,2
536,配置,2
537,依赖于,2
538,运行状况,2
539,投融资,2
540,高位,2
541,工业化,2
542,信息化,2
543,农业,2
544,同步,2
545,城市群,2
546,基建,2
547,十九,2
548,高速,2
549,智能,2
550,大部分,2
551,居民,2
552,附加值,2
553,稳,2
554,事业部制,2
555,思路,2
556,周边地区,2
557,走,2
558,政策法规,2
559,采矿,2
560,矿山,2
561,境况,2
562,自供,2
563,利用率,2
564,政府部门,2
565,希望,2
566,矿产,2
567,矿区,2
568,缓冲,2
569,力量,2
570,择优,2
571,邻近地区,2
572,适时,2
573,贡献度,2
574,近年,2
575,时所作,2
576,吕丹,2
577,潘金贵,2
578,证券交易,2
579,道歉,2
580,机关,2
581,没收,2
582,文本,2
583,发,2
584,日月,2
585,将作,2
586,自所持,2
587,日日,2
588,利润率,2
589,附属,2
590,经办,2
591,风险意识,2
592,法律意识,2
593,淡薄,2
594,顺从,2
595,追究,2
596,自查自纠,2
597,采取有效,2
598,解读,2
599,此项,2
600,调整法,2
601,清理,2
602,方与,2
603,接受方,2
604,负面影响,2
605,临时性,2
606,先文注,2
607,房地,2
608,证字,2
609,先文为,2
610,反担保,2
611,见证,2
612,网络,2
613,投票,2
614,核定,2
615,雾,2
616,五日,2
617,悬浮物,2
618,颗粒物,2
619,化学合成,2
620,水污染,2
621,准,2
622,废气污水,2
623,布袋,2
624,电除尘器,2
625,脱硫,2
626,高度重视,2
627,预处理,2
628,微,2
629,专职,2
630,化验,2
631,环评,2
632,联网,2
633,坚定信心,2
634,农村,2
635,涉嫌,2
636,潘先伟,2
637,潘先福,2
638,周廷建,2
639,王方德,2
640,管限售,2
641,中央,2
642,汇金,2
643,林乐芬,2
644,李元发,2
645,恭为,2
646,之子,2
647,东为,2
648,文之弟,2
649,之弟,2
650,陈,2
651,妹夫,2
652,姐夫,2
653,利川市,2
654,嘉华,2
655,性别,2
656,企业家,2
657,建材厂,2
658,主持,2
659,研制开发,2
660,质量标准,2
661,著,2
662,文章,2
663,新华,2
664,受薪,2
665,就职,2
666,经济师,2
667,化学工业,2
668,重庆大学,2
669,博士生,2
670,导师,2
671,西南政法大学,2
672,实务,2
673,职工代表,2
674,女年,2
675,司令部,2
676,动员,2
677,物业管理,2
678,时苑,2
679,书涛,2
680,基本工资,2
681,薪资,2
682,福利待遇,2
683,充分调动,2
684,积极性,2
685,侵害,2
686,通道,2
687,探讨,2
688,业务部门,2
689,内审,2
690,无效,2
691,偏离,2
692,下午,2
693,收市,2
694,深圳,2
695,登记在册,2
696,张,2
697,商务,2
698,机构名称,2
699,账号,2
700,留意,2
701,流动比率,2
702,起息,2
703,年间,2
704,日遇,2
705,日为,2
706,暂缓,2
707,性支出,2
708,银行贷款,2
709,授信额度,2
710,疑虑,2
711,盛德,2
712,龙,2
713,市场经济,2
714,持续时间,2
715,含个,2
716,期后,2
717,回升,2
718,低值易耗品,2
719,影,2
720,响,2
721,运输工具,2
722,办公设备,2
723,相当于,2
724,建造,2
725,应予,2
726,日有,2
727,售出,2
728,运,2
729,抽查,2
730,填写,2
731,表由,2
732,当月,2
733,单价,2
734,装入,2
735,运输车,2
736,槽,2
737,罐前,2
738,合格证,2
739,回执,2
740,毁损,2
741,法将,2
742,财企号,2
743,租,2
744,计征,2
745,鼓励类,2
746,汇算,2
747,清缴,2
748,纳税人,2
749,增值税率,2
750,三维,2
751,竞盟,2
752,华强,2
753,装修费,2
754,改建工程,2
755,膜,2
756,脱水,2
757,阻燃剂,2
758,事,2
759,装修,2
760,办公用房,2
761,质保金,2
762,未到,2
763,资源税,2
764,可视化,2
765,管理系统,2
766,基金项目,2
767,清洁,2
768,能源,2
769,燃煤,2
770,场,2
771,补,2
772,氮曲南,2
773,单环,2
774,母核,2
775,规上,2
776,成长性,2
777,营运,2
778,材料费,2
779,燃料,2
780,动力,2
781,检测费,2
782,仪器设备,2
783,零星,2
784,赔偿款,2
785,加计,2
786,汇票,2
787,英文名,2
788,住所,2
789,注射剂,2
790,武经,2
791,信号,2
792,小计续,2
793,上表,2
794,见本,2
795,加油站,2
796,八仙洞,2
797,煤业,2
798,水电费,2
799,房款,2
800,权属,2
801,长期投资,2
802,承兑人,2
803,故本,2
804,票据法,2
805,持票人,2
806,原件,2
807,杨志云及,1
808,主管人员,1
809,财务会计,1
810,计划性,1
811,中九,1
812,详细描述,1
813,送,1
814,红,1
815,项指,1
816,人三圣,1
817,汽修,1
818,三圣埃,1
819,塞利,1
820,春瑞碚圣,1
821,曾用名,1
822,指春瑞医,1
823,化子,1
824,投指华创,1
825,中文名称,1
826,中文,1
827,缩写,1
828,镇,1
829,街道,1
830,联系方式,1
831,丁仁均,1
832,号汉,1
833,联系地址,1
834,电话传真,1
835,选定,1
836,登载,1
837,除原,1
838,涉足,1
839,有无,1
840,西溪路,1
841,新湖,1
842,商务大厦,1
843,楼,1
844,年本,1
845,比上,1
846,八分,1
847,第一季度,1
848,第二季度,1
849,第三季度,1
850,第四季度,1
851,其加,1
852,九非,1
853,元非,1
854,冲销,1
855,广泛应用,1
856,民用建筑,1
857,高速公路,1
858,铁路桥梁,1
859,隧道,1
860,机场,1
861,水利水电,1
862,轻工,1
863,纺织,1
864,钢铁,1
865,用酸,1
866,酸,1
867,氨曲南,1
868,奥利,1
869,氯哌丁,1
870,甲磺酸,1
871,左,1
872,氧氟沙星,1
873,贝诺酯,1
874,复方,1
875,氨酚,1
876,氯哌丁片,1
877,克拉,1
878,霉素,1
879,缓释片,1
880,双氯酚,1
881,肠溶片,1
882,药抗,1
883,丙肝,1
884,索非布,1
885,韦,1
886,糖尿病,1
887,坎格,1
888,列净,1
889,苄,1
890,星,1
891,化妆品,1
892,抗病毒,1
893,抗菌,1
894,咳嗽,1
895,过敏,1
896,局部,1
897,麻醉,1
898,独立自主,1
899,物资供应,1
900,出发点,1
901,特性,1
902,属性,1
903,定点,1
904,以销定产,1
905,母液,1
906,各异,1
907,即将,1
908,硫,1
909,铝酸钙,1
910,研磨,1
911,物质,1
912,均化库,1
913,装运,1
914,发货,1
915,分厂,1
916,破碎,1
917,矿物质,1
918,检测,1
919,后粉,1
920,磨成,1
921,生料,1
922,均化,1
923,后经,1
924,回转窑,1
925,高温,1
926,氧化,1
927,生成,1
928,稀硫酸,1
929,制成,1
930,订单式,1
931,售后服务,1
932,重要环节,1
933,下以,1
934,经销,1
935,为辅,1
936,河道,1
937,紧缺,1
938,增大,1
939,全性,1
940,安,1
941,管已,1
942,理,1
943,增,1
944,财长,1
945,月理,1
946,财,1
947,务,1
948,管务,1
949,领先地位,1
950,初步,1
951,紧随,1
952,发力,1
953,达产,1
954,较小能,1
955,合作开发,1
956,途径,1
957,核心技术,1
958,科委,1
959,工程技术,1
960,理论,1
961,高性价比,1
962,密实,1
963,裂缝,1
964,高层,1
965,轨道交通,1
966,超高层,1
967,专门从事,1
968,药物制剂,1
969,中试,1
970,消化道,1
971,呼吸道,1
972,至今已有,1
973,数十年,1
974,产品组合,1
975,安全可靠,1
976,声誉,1
977,锻炼,1
978,技术骨干,1
979,把握,1
980,敏锐,1
981,切合实际,1
982,妥善处理,1
983,技术支持,1
984,磺酸盐,1
985,剂,1
986,缓凝剂,1
987,早强剂,1
988,防冻剂,1
989,速凝剂,1
990,早强,1
991,耐久性,1
992,抗渗,1
993,产品品种,1
994,衡量,1
995,成绩,1
996,普药,1
997,余种,1
998,双氯芬,1
999,硝苯地平,1
1000,呋塞米,1
1001,诺氟沙星,1
1002,基,1
1003,临床,1
1004,常用,1
1005,驰名商标,1
1006,以三圣,1
1007,凭借着,1
1008,强大,1
1009,技术实力,1
1010,设置,1
1011,得天独厚,1
1012,高度,1
1013,东北地区,1
1014,化学原料,1
1015,药制剂,1
1016,吉林省,1
1017,骨干企业,1
1018,生产厂家,1
1019,多款,1
1020,话语权,1
1021,群体,1
1022,知名,1
1023,相关性,1
1024,系列产品,1
1025,链,1
1026,共享,1
1027,国外,1
1028,节约,1
1029,增长极,1
1030,内陆,1
1031,高地,1
1032,统筹,1
1033,城乡,1
1034,更大,1
1035,愈加,1
1036,有增无减,1
1037,下滑,1
1038,荒使,1
1039,融资难,1
1040,价格上涨,1
1041,加重,1
1042,负担,1
1043,恶化,1
1044,垫资,1
1045,难,1
