,分词排序,词频
0,科迪,460
1,乳业,400
2,河南,280
3,食品,109
4,信息,55
5,乳制品,53
6,河南省,50
7,生物,50
8,洛阳,43
9,张清海,40
10,巨尔,39
11,资讯网,32
12,奶牛,30
13,工程,28
14,许秀云科迪,25
15,清海,24
16,洛阳市,23
17,牧场,22
18,许秀云,21
19,养殖,21
20,土地,21
21,任科迪,21
22,农业,20
23,材料,20
24,低温,19
25,速冻,19
26,建设,18
27,数据,16
28,人张,15
29,商丘,14
30,物流,13
31,电子商务,13
32,迪,13
33,信托,13
34,夫妇,12
35,乳品,12
36,冷链,12
37,工作细则,12
38,乳,11
39,房地产,11
40,磨坊,10
41,科迪面业,10
42,上海,9
43,小区,9
44,农产品,9
45,农开,9
46,邱洪生,9
47,科迪大,9
48,虞城县,8
49,工业,8
50,农村,8
51,常温,8
52,自控,8
53,奶源,8
54,将相,8
55,改为,8
56,五大连池市,8
57,郑州,8
58,否张,8
59,消耗性,8
60,灭菌,7
61,郑州市,7
62,制造业,7
63,毁损,7
64,不动产,7
65,权第号,7
66,中所作,7
67,对科迪,7
68,王莉婷,7
69,银行,7
70,农副产品,7
71,胡文猛,6
72,生鲜,6
73,改扩建,6
74,动物,6
75,疫病,6
76,农用地,6
77,三十六个,6
78,为止,6
79,苏文忠,6
80,农投,6
81,安阳,6
82,矿务局,6
83,牧业,6
84,生物工程,6
85,列支,6
86,教育费,6
87,进项,6
88,温度,5
89,集聚,5
90,大道,5
91,张,5
92,永立,5
93,消费者,5
94,进项税额,5
95,健康,5
96,环节,5
97,现代化,5
98,环境,5
99,山东,5
100,豫,5
101,检测,5
102,第一款,5
103,因本,5
104,尽量避免,5
105,填补,5
106,刘新强,5
107,黄,5
108,新民,5
109,超市,5
110,就读于,5
111,煤矿,5
112,海科,5
113,机器设备,5
114,油气,5
115,乳饮料,4
116,饮品,4
117,超高温,4
118,亚太,4
119,唐,4
120,自强,4
121,张慢,4
122,繁育,4
123,苏皖,4
124,网络,4
125,饲养,4
126,充足,4
127,资源,4
128,原奶,4
129,软件,4
130,集体,4
131,暂行条例,4
132,其所,4
133,东科迪,4
134,招股,4
135,证券交易,4
136,新设,4
137,协助,4
138,业务范围,4
139,退出,4
140,置入,4
141,最新,4
142,工会,4
143,扶贫,4
144,环境保护,4
145,集合,4
146,华能,4
147,北京,4
148,财智,4
149,小村,4
150,大米,4
151,大豆,4
152,张枫华,4
153,李明,4
154,咨询师,4
155,铜冶,4
156,财务咨询,4
157,宋昆冈,4
158,商丘市,4
159,公司财务,4
160,职能部门,4
161,孙,4
162,保险费,4
163,款年,4
164,高新区,4
165,场,4
166,否迪面业,4
167,李建全,3
168,杀菌,3
169,混合,3
170,添加,3
171,无菌,3
172,添加剂,3
173,饮料,3
174,秒,3
175,路,3
176,消费,3
177,控,3
178,奶源部,3
179,采购部,3
180,辅助材料,3
181,时期,3
182,饮用水,3
183,去年同期,3
184,安徽,3
185,第三名,3
186,房产,3
187,零,3
188,四方,3
189,超募,3
190,信心,3
191,召集,3
192,职能,3
193,大规模,3
194,爆发,3
195,牛,3
196,保险,3
197,用地,3
198,号文,3
199,流转,3
200,鲜奶,3
201,所得税法,3
202,条例,3
203,十六条,3
204,初加工,3
205,免交,3
206,第十四次,3
207,分配比例,3
208,意向,3
209,至科迪,3
210,若有,3
211,致使,3
212,中科,3
213,利益冲突,3
214,确实,3
215,中有,3
216,清理,3
217,罐头,3
218,赵晖,3
219,王修平,3
220,陈青霞,3
221,高晴,3
222,李盛玺,3
223,张魁众,3
224,王守礼,3
225,便民,3
226,罐头食品,3
227,绿色,3
228,转基因,3
