,分词排序,词频
0,卫浴,351
1,厦门,210
2,瑞尔,201
3,特,188
4,冲水,140
5,组件,121
6,配件,105
7,节水型,73
8,房地产,65
9,制造,62
10,智能,58
11,信息,54
12,卫生陶瓷,49
13,邓光荣,47
14,王兵,45
15,节水,42
16,便器,41
17,张剑波,41
18,水箱,38
19,罗远良,36
20,科技,34
21,水滴,30
22,知名,30
23,银行,28
24,提案,27
25,一点,26
26,坐便器,26
27,工程,24
28,盖板,23
29,用水量,23
30,工业,23
31,数据,22
32,厂商,22
33,建筑,21
34,水资源,21
35,结构性,21
36,商,19
37,卫生洁具,18
38,高新技术,18
39,补助款,17
40,资讯网,16
41,升,15
42,万限售,15
43,年生,15
44,低端,14
45,模具,14
46,用水,13
47,建设,13
48,土地,13
49,冲洗,12
50,环境,12
51,任何一方,12
52,便,11
53,海沧区,11
54,下滑,11
55,兴业银行,11
56,陈绍明,10
57,夫特,10
58,环节,10
59,消费市场,10
60,统计,10
61,淘汰,10
62,居民,10
63,带动,10
64,材料,9
65,器具,9
66,智能化,9
67,放缓,9
68,优瑞新,9
69,海沧,9
70,扶贫,9
71,潘越,9
72,直系亲属,9
73,静音,8
74,缓降,8
75,隐藏式,8
76,工程塑料,8
77,博力,8
78,新建,8
79,水产品,8
80,同步,8
81,占据,8
82,消费,8
83,陶瓷,8
84,激烈,8
85,第一名,8
86,伴随,8
87,万套,8
88,技术改造,8
89,国家标准,8
90,建造,8
91,协调一致,8
92,为元元,8
93,代扣代缴,8
94,排水阀,7
95,装置,7
96,器,7
97,后祥路,7
98,装配,7
99,检验,7
100,终端,7
101,换修,7
102,成熟,7
103,福马,7
104,洁具,7
105,性价比,7
106,发达国家,7
107,攀升,7
108,挑战,7
109,竣工,7
110,落户,7
111,第二名,7
112,第三名,7
113,第四名,7
114,第五名,7
115,蹲,7
116,保护主义,7
117,爱华,7
118,崔静红,7
119,厦门大学,7
120,内审,7
121,福建,7
122,生物,7
123,业经,7
124,验资,7
125,自动,6
126,预先,6
127,挂式,6
128,致力于,6
129,住宅,6
130,广东,6
131,国际贸易,6
132,威迪,6
133,严峻,6
134,越来越,6
135,参差不齐,6
136,两极分化,6
137,较强,6
138,协作,6
139,劳动力,6
140,调控,6
141,洗牌,6
142,加剧,6
143,在内,6
144,普及率,6
145,马桶,6
146,自动化,6
147,网络,6
148,远期,6
149,外汇,6
150,等级,6
151,退出,6
152,代理人,6
153,谢桂琴,6
154,罗金辉,6
155,庞愿,6
156,王伊娜,6
157,文明,6
158,自本,6
159,保持一致,6
160,立场,6
161,每一,6
162,派发,6
163,邹雄,6
164,肖珉,6
165,福州大学,6
166,衡量,6
167,卢良明,6
168,姜正芳,6
169,为罗远良,6
170,建筑物,6
171,教育费,6
172,水阀,5
173,水位,5
174,排水,5
175,雪峰,5
176,上海,5
177,立信,5
178,路,5
179,物料,5
180,半成品,5
181,直销,5
182,农村,5
183,存量,5
184,紧张,5
185,年代,5
186,国务院,5
187,强制,5
188,航标,5
189,近年,5
190,艺术化,5
191,卫生,5
192,节能,5
193,减排,5
194,下行,5
195,环保,5
196,面积,5
197,人口,5
198,换,5
199,修,5
200,规范化,5
201,现金管理,5
202,总局,5
203,强制性,5
204,限定值,5
205,水效,5
206,至股,5
207,罗文,5
208,吴宾疆,5
209,职工代表,5
210,回避,5
211,设置,5
212,张,5
213,傅,5
214,邓佳,5
215,王小英,5
216,吴玉莲,5
217,剑波,5
218,油气,5
219,除净,5
220,重力,4
221,人罗远良,4
222,陈,4
223,有无,4
224,节约,4
225,安全性,4
226,家庭,4
227,卫生间,4
228,交货,4
229,经销,4
230,核对,4
231,周期性,4
232,现阶段,4
233,制造商,4
234,吉,4
235,政策性,4
236,恶化,4
237,亿立方米,4
238,出台,4
239,产业政策,4
240,公共建筑,4
241,中节,4
242,以旧换新,4
243,研制,4
244,少数几家,4
245,牌惠达,4
246,较长,4
247,取代,4
248,呈,4
249,现代化,4
250,卫浴设备,4
251,景气,4
252,度,4
253,贡献,4
254,欧洲,4
255,市场占有率,4
256,阳明,4
257,改扩建,4
258,强大,4
259,产品品质,4
260,摩擦,4
261,外部环境,4
262,宏观调控,4
263,万平方米,4
264,健康,4
265,城镇化,4
266,多家,4
267,保持良好,4
268,契机,4
269,成本上升,4
270,制造业,4
271,人力资源,4
272,同等,4
273,起息,4
274,中山,4
275,新兴,4
276,行业标准,4
277,检疫,4
278,双冲式,4
279,市场经济,4
280,颁发,4
281,退税,4
282,中所,4
283,事先,4
284,之内,4
285,方秀凤,4
286,沈志明,4
287,一致意见,4
288,弃权票,4
289,计票,4
290,监票人,4
291,清理,4
292,教育,4
293,辉,4
294,协议书,4
295,亲属,4
296,罗红贞,4
297,卢瑞娟,4
298,赵晓虎,4
299,堃,4
300,候选人,4
301,创始人,4
302,导师,4
303,评审,4
304,会员,4
305,否张,4
306,机器设备,4
307,工作细则,4
308,顺利完成,4
309,换届,4
310,选取,4
311,样本,4
312,准备金,4
313,股东会,4
314,以换,4
315,工程项目,4
316,养老保险,4
317,计征,4
318,发展局,4
319,元该,4
320,取决于,3
321,很大,3
322,详细情况,3
323,进水,3
324,水量,3
325,操纵,3
326,动作,3
327,附件,3
328,机架,3
329,成型,3
330,陶瓷制品,3
331,塑料,3
332,陈延柏高,3
333,军磊,3
334,机构名称,3
335,部件,3
336,依赖,3
337,订购,3
338,高等,3
339,入库,3
340,供给,3
341,发货,3
342,亚洲,3
343,更好,3
344,知名度,3
345,厨卫,3
346,展,3
347,客户资源,3
348,供货,3
349,国外,3
350,最新,3
351,定,3
352,更为,3
353,水中,3
354,自上,3
355,全民,3
356,选用,3
357,科学,3
358,占有,3
359,金牌,3
360,恒洁,3
361,特等,3
362,稳固,3
363,特吉,3
364,优良,3
365,主流,3
366,主流产品,3
367,主导地位,3
368,廉价,3
369,较为简单,3
370,非主流,3
371,分工,3
372,产品设计,3
373,发展中国家,3
374,全球化,3
375,专业化,3
376,国民经济,3
377,多样化,3
378,人民,3
379,清洁,3
380,娱乐,3
381,投资规模,3
382,稳定增长,3
383,排名,3
384,增多,3
385,模具设计,3
386,稳定性,3
387,产品认证,3
388,方针,3
389,生存,3
390,领先地位,3
391,达产,3
392,内外部,3
393,双重,3
394,频繁,3
395,重压,3
396,遭遇,3
397,寒冬,3
398,生产国,3
399,住房,3
400,农业,3
401,万万,3
402,概况,3
403,企业家,3
404,营收,3
405,建陶,3
406,促使,3
407,绿色,3
408,高质量,3
409,迎来,3
410,是因为,3
411,人工成本,3
412,局面,3
413,负面影响,3
414,两家,3
415,技术创新,3
416,去年同期,3
417,金融机构,3
418,售出,3
419,投向,3
420,会师,3
421,报字,3
422,五金,3
423,福建厦门,3
424,亚等,3
425,技术水平,3
426,浙江,3
427,三是,3
428,势必,3
429,升年,3
430,较差,3
431,过剩,3
432,市场前景,3
433,马桶盖,3
434,维修,3
435,宏观,3
436,经济波动,3
437,依赖于,3
438,要素,3
439,退还,3
440,充分考虑,3
441,听取,3
442,含有,3
443,成熟期,3
444,方可,3
445,投票,3
446,半数以上,3
447,聘用,3
448,解聘,3
449,平等,3
450,协商一致,3
451,信托,3
452,人及,3
453,各方对,3
454,票,3
455,公正,3
456,元元重,3
457,表时,3
458,脱贫,3
459,资源,3
460,由股,3
461,父亲,3
462,否罗远良,3
463,陈培,3
464,副教授,3
465,会计学,3
466,博士生,3
467,法学,3
468,法学院,3
469,否王兵,3
470,否罗红贞,3
471,审阅,3
472,续聘,3
473,工作效率,3
474,偏离,3
475,保费,3
476,中央银行,3
477,厦,3
478,中洲,3
479,厦中,3
480,验字,3
481,限定,3
482,若干,3
483,退税款,3
484,一类,3
485,自制,3
486,额外,3
487,当月,3
488,缴费,3
489,保险费,3
490,货梯,3
491,信息化,3
492,赊销,3
493,开启,2
494,单次,2
495,污物,2
496,冲离,2
497,存水,2
498,弯,2
499,排入,2
500,排放系统,2
501,圈,2
502,外文,2
503,网址,2
504,电子信箱,2
505,媒体,2
506,广发,2
507,元非,2
508,统一标准,2
509,否一,2
510,宾馆酒店,2
511,规格型号,2
512,常用,2
513,生成,2
514,注塑,2
515,门,2
516,展会,2
517,近几年,2
518,河北,2
519,发票,2
520,获批,2
521,橡胶,2
522,塑料制品,2
523,角色,2
524,水危机,2
525,日趋严重,2
526,干旱,2
527,缺水,2
528,水利部,2
529,公报,2
530,日常生活,2
531,中便器,2
532,消耗,2
533,附属,2
534,相继,2
535,工信部,2
536,十二五,2
537,减量化,2
538,大力推广,2
539,委等,2
540,行动计划,2
541,小区,2
542,清单,2
