,分词排序,词频
0,环球,293
1,西安,278
2,印务,269
3,医药,85
4,陕西,77
5,领凯,63
6,网络科技,56
7,信息,51
8,互联网,46
9,工程,46
10,霍尔果斯,43
11,天津,37
12,印刷,33
13,扶贫,32
14,陕药,27
15,环保,27
16,陕西省,27
17,香港,27
18,数据,26
19,西安市,25
20,医药包装,25
21,永鑫,23
22,德宝,22
23,制药,22
24,材料,22
25,上海,21
26,药品,20
27,药用,18
28,科技,18
29,消费品,18
30,环境,17
31,银行,17
32,参照,17
33,防伪,16
34,纸盒,16
35,同受,16
36,资讯网,15
37,建设,15
38,媒体,14
39,原石,14
40,纸业,13
41,教育,13
42,软件,12
43,永旭,11
44,资源,11
45,房地产,11
46,社会公众,11
47,土地,11
48,贫困,11
49,国家级,11
50,滨海,10
51,健康,10
52,瓦楞纸箱,10
53,履行期,10
54,永发,10
55,李移岭,9
56,一路,9
57,策划,9
58,制造,9
59,著作权,9
60,智能化,9
61,工业,9
62,比特,9
63,高新区,8
64,希格玛,8
65,折叠,8
66,消费,8
67,监测,8
68,智能,8
69,食品,8
70,装潢,8
71,脱贫,8
72,生物,8
73,信息技术,7
74,仓储,7
75,践行,7
76,医药行业,7
77,域名,7
78,码,7
79,电子,7
80,电汇,7
81,就业,7
82,林蔚,6
83,网络,6
84,铝管,6
85,专有,6
86,四个,6
87,信息化,6
88,包装盒,6
89,思想,6
90,北京,6
91,网络广告,6
92,填补,6
93,道歉,6
94,经济损失,6
95,海欣,6
96,应急,6
97,商务厅,6
98,会计报表,6
99,高新技术,6
100,系本,6
101,电子商务,5
102,外包装,5
103,传统,5
104,领先地位,5
105,精细化工,5
106,电子产品,5
107,医药产业,5
108,环境保护,5
109,党,5
110,造纸,5
111,酒类,5
112,彩盒,5
113,监管部门,5
114,招股,5
115,金元,5
116,孙学军,5
117,杨军,5
118,张明禹,5
119,扣留,5
120,如因,5
121,住房,5
122,罚款,5
123,同类,5
124,天宁,5
125,企业家,5
126,总会计师,5
127,药业,5
128,油气,5
129,两者之间,5
130,组为,5
131,未到,5
132,投标,5
133,久旭,5
134,营销策划,4
135,王侠,4
136,杨树,4
137,杰,4
138,自动,4
139,溯源,4
140,更好,4
141,国民经济,4
142,十大,4
143,广告主,4
144,两化,4
145,废气,4
146,挥发性,4
147,有机物,4
148,在线,4
149,贯彻,4
150,十九,4
151,三方,4
152,纸制品,4
153,人工,4
154,借助,4
155,包装材料,4
156,金湖县,4
157,千里,4
158,网络传媒,4
159,否不,4
160,食品药品,4
161,科学,4
162,经营规模,4
163,蔡,4
164,红军,4
165,赵建平,4
166,筹划,4
167,如未,4
