,分词排序,词频
0,吉宏,336
1,厦门,284
2,电子商务,117
3,北京,89
4,科技,82
5,跨境,78
6,电商,66
7,信息,62
8,吉客,60
9,印,57
10,环保,54
11,龙域,53
12,香港,45
13,西安,44
14,互联网,43
15,济南,42
16,吉联,38
17,金印,33
18,纸业,33
19,印刷,32
20,之星,31
21,霍尔果斯,30
22,数据,28
23,工程,28
24,网络科技,26
25,纸袋,22
26,银行,22
27,信息技术,21
28,金域,20
29,彩色,20
30,上海,19
31,土地,19
32,和平,19
33,客,18
34,西部,18
35,丹骏,16
36,陕西,16
37,永鑫,16
38,制造业,16
39,滦州,15
40,西藏,15
41,呼和浩特市,15
42,资讯网,15
43,塔克,15
44,联,15
45,中国香港,15
46,海沧区,14
47,零售,14
48,物流,14
49,芜湖,14
50,高新技术,14
51,呼市,13
52,思,13
53,宁夏,13
54,正奇,12
55,廊坊市,12
56,软包装,12
57,房地产,12
58,庄澍,12
59,扶贫,12
60,庄浩,11
61,鑫,11
62,泷悦,11
63,包装箱,11
64,塑料,11
65,龚红鹰,11
66,减资,11
67,西安市,11
68,软件,11
69,孝感市,10
70,鼓励类,10
71,陕西省,10
72,永悦,9
73,郑州,9
74,斯塔,9
75,纸盒,9
76,流量,9
77,安徽,9
78,维致,9
79,纸品,9
80,庄浩庄澍,9
81,张,9
82,郭光,9
83,维斯塔,8
84,诗超,8
85,并表,8
86,重庆市,8
87,阿欧,8
88,艾,8
89,百泽惠,8
90,银行贷款,8
91,贺静颖,8
92,廊坊,7
93,数据分析,7
94,永中,7
95,消费者,7
96,制造,7
97,传统,7
98,数字化,7
99,外贸,7
100,系本,7
101,泰戈,7
102,美晴,7
103,海格,7
104,禾邦,7
105,黑蚁,7
106,日元,7
107,招股,7
108,否张,7
109,生物,7
110,结清,7
111,金润悦,6
112,东孚,6
113,环境,6
114,算法,6
115,定位,6
116,群体,6
117,台湾,6
118,建设,6
119,深圳,6
120,李亚威,6
121,追索权,6
122,抵押物,6
123,内蒙古自治区,6
124,需经,6
125,自本,6
126,社会保险,6
127,夫妻关系,6
128,混合,6
129,可回收,6
130,不含,6
131,绿色,6
132,运输,5
133,工业区,5
134,浦头路,5
135,创意设计,5
136,快,5
137,交易系统,5
138,仓储,5
139,进口,5
140,消费,5
141,资源,5
142,广告费,5
143,宁波,5
144,预先,5
145,基准日,5
146,所载,5
147,吴明贵,5
148,厦门大学,5
149,核对,5
150,油气,5
151,列明,5
152,机器设备,5
153,保险,5
154,滦县,5
155,农民工,5
156,泰铢,5
157,港元,5
158,黄冈,4
159,外包装,4
160,箱,4
161,人群,4
162,媒体,4
163,容器,4
164,消品,4
165,原生,4
166,推送,4
167,线上,4
168,中东,4
169,东南亚,4
170,环节,4
171,就业,4
172,一带,4
173,一路,4
174,引流,4
175,信息化,4
176,经营规模,4
177,营运,4
178,结构性,4
179,人工工资,4
180,正奇于,4
181,金爪,4
182,爪,4
183,商务,4
184,控制系统,4
185,原纸,4
186,保理款,4
187,结余,4
188,贡献,4
189,按计划,4
190,海关总署,4
191,税收政策,4
192,土默特左旗,4
193,设在,4
194,股不送,4
195,再融资,4
196,周承东,4
197,监管部门,4
198,停牌,4
199,真实性,4
200,交易方式,4
201,学校,4
202,剑阁县,4
203,教育,4
204,第二十六次,4
205,黄炳艺,4
206,春晓,4
207,否庄浩,4
208,否庄澍,4
209,负面影响,4
210,样本,4
211,抽取,4
212,人庄浩,4
213,嵌入,4
214,教育费,4
215,内蒙古,4
216,防治,4
217,劳动就业,4
218,新加坡元,4
219,河北省,4
220,新疆省,4
221,伊犁州,4
222,芜湖市,4
223,强申,4
224,人庄浩为,4
225,詹,3
226,文明,3
