,分词排序,词频
0,丰元,262
1,山东,246
2,化学,211
3,草酸,121
4,材料,77
5,信息,51
6,工程,33
7,锂,31
8,锂电池,31
9,正极,30
10,磷酸,30
11,电池,29
12,三元,27
13,铁锂,26
14,赵,25
15,光辉,25
16,电容器,21
17,新能源,20
18,青岛,18
19,枣庄市,17
20,数据,17
21,建设,17
22,精制,15
23,超级,15
24,科技,13
25,化工,13
26,储能,13
27,环境,13
28,排放,13
29,国际贸易,12
30,环保,12
31,镍,12
32,房地产,12
33,银行,12
34,精细,11
35,工业,11
36,检测,11
37,台儿庄,10
38,密度,10
39,能量,10
40,环境保护,10
41,生物,10
42,杂质,9
43,电子,9
44,电压,9
45,扶贫,9
46,污染物,9
47,枣庄,9
48,大信,8
49,含量,8
50,氧化,8
51,资讯网,8
52,稀土,8
53,稀土矿,8
54,开采,8
55,新兴,8
56,锂电,8
57,车型,8
58,电动,8
59,意向,8
60,清静,7
61,硝酸钠,7
62,应用领域,7
63,传统,7
64,试生产,7
65,汽车,7
66,制备,7
67,乘用车,7
68,硼酸,7
69,厂区,7
70,邓燕,7
71,锅炉,7
72,废气,7
73,监测,7
74,建造,7
75,张,6
76,硝酸,6
77,台儿庄区,6
78,能源,6
79,博士,6
80,表面,6
81,复合材料,6
82,自行车,6
83,铅酸,6
84,废水,6
85,而定,6
86,万福,6
87,崔光磊,6
88,油气,6
89,专用设备,6
90,之内,6
91,刘艳,5
92,制药,5
93,电子陶瓷,5
94,矿山,5
95,山,5
96,需求量,5
97,国外,5
98,第一名,5
99,第二名,5
100,第三名,5
101,第四名,5
102,第五名,5
103,自动,5
104,氟,5
105,铁,5
106,新建,5
107,股份有限,5
108,致使,5
109,车间,5
110,陈令国,5
111,何雪萍,5
112,王建军,5
113,谷艳,5
114,职,5
115,酒店,5
116,教育费,5
117,金属,4
118,离子,4
119,硫酸根,4
120,分子式,4
121,玉山,4
122,路,4
123,陈金波,4
124,加拿大,4
125,松下,4
126,厂家,4
127,成熟,4
128,资源,4
129,首席,4
130,带领,4
131,韩国,4
132,转固,4
133,电极,4
134,动力电池,4
135,试车,4
136,制造,4
137,操作,4
138,双电层,4
139,体制改革,4
140,大宗,4
141,社会公众,4
142,招股,4
143,为准,4
144,应元元,4
145,清理,4
146,节能,4
147,教育,4
148,区域性,4
149,大气,4
150,氮氧化物,4
151,前限售,4
152,李桂臣,4
153,钟伟澜,4
154,王荣铭,4
155,钟环,4
156,杨桂朋,4
157,刘胜民,4
158,研究员,4
159,所长,4
160,声誉,4
161,负面,4
162,盈园,4
163,度假,4
164,结果表明,4
165,土地,4
166,龙克玉,3
167,送,3
168,中泰,3
169,葡萄糖,3
170,草酸盐,3
171,东,3
172,杨立振,3
173,系列产品,3
174,维生素,3
175,分离,3
176,陶瓷,3
177,铜矿,3
178,产线,3
179,投产,3
180,产品开发,3
181,高能量,3
182,官金佑成,3
183,中试,3
184,领先水平,3
185,领先地位,3
186,蒸发,3
187,母液,3
188,生产成本,3
189,蓄电,3
190,安全性,3
191,规模化,3
192,主流,3
193,车企,3
194,稳步,3
195,智能,3
196,搭载,3
197,理解,3
198,来看,3
199,精细化工,3
200,人工,3
201,消耗,3
202,投资额,3
203,释放,3
204,逐年,3
205,南美洲,3
206,清洗,3
207,充放电,3
208,电源,3
209,电解液,3
210,大规模,3
211,万辆,3
212,共户,3
213,型号,3
214,燃料电池,3
215,基站,3
216,电网,3
217,梯次,3
218,完备,3
219,清晰,3
220,公正,3
221,丰元化,3
222,时须,3
223,若本,3
224,特此说明,3
225,督促,3
226,获批,3
227,不定期,3
228,脱贫,3
229,中东部,3
230,标准表,3
231,治污,3
232,在线,3
233,应急,3
234,共享,3
235,查看,3
236,庄传莉,3
237,贾继明,3
238,海洋大学,3
239,海洋,3
240,兼年,3
241,月度,3
242,财务部门,3
243,极大,3
244,战略目标,3
245,非正常,3
246,公众,3
247,对系统,3
248,完整性,3
249,改动,3
250,消息,3
251,保费,3
252,准备金,3
253,中央银行,3
254,益,3
255,流量,3
256,量化,3
257,计算方法,3
258,低值易耗品,3
259,建筑物,3
260,机器设备,3
261,保险费,3
262,工会,3
263,政策性,3
264,节水,3
265,抵免,3
266,退税款,3
267,外汇,3
268,或本,2
269,纯度,2
270,又名,2
271,高纯度,2
272,衍生品,2
273,草,2
274,碳水化合物,2
275,水解,2
276,外文,2
277,顺路,2
278,网址,2
279,电子信箱,2
280,电话传真,2
281,网站,2
282,有无,2
283,机构名称,2
284,代表人,2
285,泰,2
286,统一标准,2
287,否一,2
288,稀土元素,2
289,提纯,2
290,多层,2
291,钴,2
292,盐,2
293,铁矿,2
294,更为,2
295,化学品,2
296,富士,2
297,十余家,2
298,一线,2
299,推向市场,2
300,动力,2
301,知名,2
302,高度集中,2
303,占据,2
304,技术创新,2
305,市场占有率,2
306,汽车产业,2
307,曾现,2
308,退坡,2
309,上游,2
310,确立,2
311,一支,2
312,国际化,2
313,前任,2
314,技术指标,2
315,综合利用,2
316,关键技术,2
317,低温,2
318,氨,2
319,还原,2
320,古龙,2
321,酸,2
322,突破性,2
323,石墨,2
324,复合,2
325,年底,2
326,硫,2
327,寿命,2
328,上下游,2
329,组建,2
330,为首,2
331,表现,2
332,接近,2
333,无人机,2
334,装备,2
335,几年,2
336,长寿命,2
337,专用车,2
338,广阔,2
339,土壤改良,2
340,呈现,2
341,网络,2
342,限产,2
343,产品认证,2
344,增长点,2
345,现象,2
346,玻璃,2
347,华东地区,2
348,分类单位,2
349,结晶,2
350,经济效益,2
351,自建,2
352,按计划,2
353,年份,2
354,募,2
355,拉动,2
356,态势,2
357,相继,2
358,电子行业,2
359,广泛应用,2
360,装置,2
361,容量,2
362,功率,2
363,储电量,2
364,备用,2
365,发展前景,2
366,锂离子,2
367,成膜,2
368,抑制,2
369,气胀,2
370,添加,2
371,添加剂,2
372,工信部,2
373,产销,2
374,客车,2
375,路线,2
376,有款,2
377,强制,2
378,差距,2
379,国标,2
380,价格下降,2
381,侧,2
382,追求,2
383,物流,2
384,加剧,2
385,固态,2
386,至股,2
387,详细情况,2
388,事由,2
389,时所作,2
390,承,2
391,任职期间,2
392,半年,2
393,如遇,2
394,拒绝,2
395,三十六个,2
396,赵凤芹,2
397,赵学忠,2
398,六个月,2
399,发,2
400,配股,2
401,天津,2
402,承世,2
403,完,2
404,企,2
405,一步,2
406,准,2
407,要约,2
408,流通股东,2
409,报上,2
410,固,2
411,元定,2
412,建工,2
413,元程,2
414,付,2
415,解聘,2
416,保荐人,2
417,同类,2
418,严格管理,2
419,投票,2
420,吸纳,2
421,就业,2
422,健康,2
423,排放口,2
424,东南部,2
425,废水处理,2
426,南水北调,2
427,沿线,2
428,水污染,2
429,保护区,2
430,单吨,2
431,氨氮,2
432,排放量,2
433,池,2
434,两套,2
435,除尘,2
436,环境影响,2
437,环保部门,2
438,污染源,2
439,银河证券,2
440,悦,2
441,丰新,2
442,广东,2
443,喜喜,2
444,孚威,2
445,创业投资,2
446,四名,2
447,六名,2
448,国泰君安证券股份有限公司,2
449,性别,2
450,传莉,2
451,李恒文,2
452,鑫联,2
453,化学系,2
454,院长,2
455,会计学,2
456,旭正,2
457,德国,2
458,马普,2
459,博士后,2
460,中科院,2
461,投资银行,2
462,辰龙,2
463,审计部,2
464,设置,2
465,板,2
466,自主经营,2
467,企业法人,2
468,依赖,2
469,职能部门,2
470,职能,2
471,积极开展,2
472,流失,2
473,重大损失,2
474,轻微,2
475,偏离,2
476,度,2
477,不符,2
478,低下,2
479,司法机关,2
480,审字,2
481,相符,2
482,对贵,2
483,调试,2
484,运转,2
485,拆出,2
486,许可证,2
487,体现,2
488,方以,2
489,母子公司,2
490,下以,2
491,表时,2
492,当有,2
493,期后,2
494,反弹,2
495,包装物,2
496,在内,2
497,运输工具,2
498,否本,2
499,试运行,2
500,每一,2
501,医疗保险,2
502,工伤保险,2
503,生育,2
504,住房,2
505,教育经费,2
506,所得税法,2
507,票,2
508,古城,2
509,旅游,2
510,市级,2
511,元该,2
512,税额,2
513,赣州,2
514,中辰,2
515,工程项目,2
516,淀粉糖,2
517,事,2
518,互抵,2
519,拨款,2
520,合资,2
521,被套,2
522,运杂费,2
523,折旧费,2
524,车辆,2
525,中介机构,2
526,修理费,2
527,期期,2
528,反向,2
529,资非,2
530,负非,2
531,计债,2
532,现额,2
533,委托方,2
534,包方名,2
535,承包方,2
536,类称,2
537,称型,2
538,费出,2
539,主管人员,1
540,红,1
541,股股,1
542,项指,1
543,指中泰,1
544,指大信,1
545,指据,1
546,乙二酸,1
547,修酸,1
548,简单,1
549,二元酸,1
550,为根,1
551,指型,1
552,合成,1
553,法工,1
554,国家标准,1
555,生产工艺,1
556,指艺,1
557,统称,1
558,百万分之一,1
559,淀粉,1
560,酯,1
561,酰胺,1
562,酰氯,1
563,乙醛酸,1
564,高聚体,1
565,通式,1
566,二糖,1
567,麦芽糖,1
568,化指,1
569,学式,1
570,单糖,1
571,化学式,1
572,指酸,1
573,钠硝石,1
574,智利硝,1
575,副产物,1
576,中文名称,1
577,中文,1
578,缩写,1
579,联系人,1
580,联系方式,1
581,联系地址,1
582,选定,1
583,媒体,1
584,登载,1
585,历次,1
586,海淀区,1
587,知春路,1
588,室,1
589,济南市,1
590,市中区,1
591,七路,1
592,陈春芳,1
593,仓勇,1
594,年本,1
595,比上,1
596,八分,1
597,第一季度,1
598,第二季度,1
599,第三季度,1
600,第四季度,1
601,其加,1
602,九非,1
603,元非,1
604,冲销,1
605,化工原料,1
606,用作,1
607,土霉素,1
608,金霉素,1
609,四环素,1
610,原料药,1
611,离子型,1
612,采选,1
613,沉淀,1
614,镧,1
615,铕,1
616,片式,1
617,磁性材料,1
618,新工艺,1
619,必需,1
620,快速增长,1
621,全球化,1
622,除日,1
623,韩,1
624,东南亚,1
625,中南美洲,1
626,重大突破,1
627,生产能力,1
628,步入,1
629,与鹏辉,1
630,比克,1
631,遨优,1
632,嘉拓,1
633,沃泰通,1
634,信心,1
635,尽快,1
636,比亚迪,1
637,亿纬锂,1
638,能孚,1
639,生产厂家,1
640,几家,1
641,以丰元,1
642,通辽,1
643,金煤龙,1
644,翔实,1
645,业为,1
646,三家,1
647,龙头企业,1
648,领跑者,1
649,名列,1
650,前茅,1
651,得益于,1
652,国家补贴,1
653,加据,1
654,厂商,1
655,倾斜,1
656,进一步提高,1
657,伊始,1
658,差异化,1
659,下高,1
660,多效,1
661,催化,1
662,技术升级,1
663,初期,1
664,研发部门,1
665,不懈努力,1
666,核心技术,1
667,气氛,1
668,烧结,1
669,控制技术,1
670,发明,1
671,高压,1
672,实,1
673,锰,1
674,改性,1
675,稀,1
676,高性能,1
677,工艺技术,1
678,洗涤,1
679,包覆,1
680,干燥,1
681,层状,1
682,残留,1
683,稳定性,1
684,迭代,1
685,建有,1
686,电子科技,1
687,四十三,1
688,科学院,1
689,中南大学,1
690,河北,1
691,科研机构,1
692,高等院校,1
693,人才培养,1
694,开放式,1
695,质,1
696,把握,1
697,能源动力,1
698,强劲,1
699,驱动力,1
700,引进人才,1
701,前沿技术,1
702,顾问,1
703,梁,1
704,广川,1
705,顶级,1
706,工艺性能,1
707,强有力,1
708,灵活,1
709,年终奖,1
710,奖及,1
711,吸引,1
712,营造,1
713,人文环境,1
714,充分考虑,1
715,职业规划,1
716,成就感,1
717,感激,1
718,更大,1
719,潜能,1
720,输出,1
721,超长,1
722,远远,1
