,分词排序,词频
0,牧场,393
1,庄园,343
2,兰州,313
3,乳业,110
4,信息,101
5,奶牛,68
6,西安,59
7,养殖,59
8,甘肃,54
9,乳制品,45
10,甘肃省,45
11,生物,44
12,青海,43
13,乳,37
14,建设,34
15,香港,27
16,扶贫,27
17,自助,26
18,监测,25
19,消费,24
20,工程,24
21,排放,22
22,上海,21
23,生鲜,21
24,兰州市,21
25,榆中县,21
26,招股,21
27,福牛,20
28,进口,20
29,换届选举,20
30,牧业,19
31,环保,19
32,宁夏,18
33,母牛,18
34,榆中,17
35,瑞丰,17
36,临夏县,17
37,牛,17
38,马红富,16
39,人马,16
40,红富,16
41,数据,16
42,环境,16
43,育成,15
44,奶,15
45,创,14
46,青海湖,14
47,杀菌,14
48,消费者,14
49,银行,14
50,售奶,14
51,机及,14
52,年生,14
53,西宁,12
54,促使,12
55,模型,12
56,否黄楚,12
57,相当于,12
58,王国福,11
59,圣亚,11
60,瑞兴,11
61,瑞安,11
62,犊牛,11
63,村,11
64,土地,11
65,陕西,11
66,前限售,11
67,天津,10
68,瑞园,10
69,资讯网,10
70,奶源,10
71,乳品,10
72,饲养,10
73,万头,10
74,自动,10
75,脱贫,10
76,刘志军,10
77,恒,10
78,收获,10
79,圣源,9
80,武威,9
81,瑞达,9
82,发酵,9
83,巴氏,9
84,鲜奶,9
85,商会,9
86,经销,9
87,办公楼,9
88,称号,9
89,原奶,9
90,良种,9
91,青海省,9
92,北京,9
93,户,9
94,污水,9
95,房地产,9
96,农产品,9
97,第一阶段,9
98,第二阶段,9
99,第三阶段,9
100,临夏,8
101,高原,8
102,灭菌,8
103,瑞华,8
104,直销,8
105,乡镇,8
106,检测,8
107,瑞嘉,8
108,发售,8
109,售奶机,8
110,西宁市,8
111,投放,8
112,第六次,8
113,本招股,8
114,搬迁,8
115,排放口,8
116,废水,8
117,否叶,8
118,健聪,8
119,成分,8
120,富坤,7
121,液体,7
122,灌装,7
123,乳饮料,7
124,证券部,7
125,制造业,7
126,农村,7
127,带动,7
128,污染物,7
129,教育,7
130,广告宣传,7
131,健康,7
132,政策性,7
133,评估师,7
134,外资股,7
135,实,7
136,致使,7
137,证券交易,7
138,承,7
139,国家有关,7
140,此类,7
141,胡克,7
142,氨氮,7
143,应急,7
144,新民,7
145,中央银行,7
146,自然,7
147,参照,7
148,概率,7
149,泌乳期,7
150,创业投资,6
151,低温,6
152,玉米,6
153,市场占有率,6
154,龙头企业,6
155,网络,6
156,资源,6
157,乳及,6
158,澳洲,6
159,新西兰,6
160,县城,6
161,三十六个,6
162,日月,6
163,自本,6
164,将相,6
165,无效,6
166,内本,6
167,建平,6
168,选用,6
169,香港联交所,6
170,金融机构,6
171,建档立卡,6
172,物流,6
173,排污,6
174,科技,6
175,陈玉海,6
176,联席,6
177,宋晓鹏,6
178,赵,6
179,货品,6
180,款年,6
181,证监会,5
182,重庆,5
183,容银,5
184,富弘,5
185,饲料,5
186,温度,5
187,保质期,5
188,有益,5
189,三角,5
190,城乡,5
191,城关区,5
192,路,5
193,张骞,5
194,予,5
195,食品,5
196,分销,5
197,着力,5
198,三线,5
199,纵深,5
200,文化,5
201,人均,5
202,农业,5
203,居民,5
204,地级市,5
205,疾病,5
206,已有,5
207,摘要,5
208,价,5
209,社区,5
210,亭,5
211,约头,5
212,公司财务,5
213,频繁,5
214,互联网,5
215,经营风险,5
216,增发,5
217,填补,5
218,为止,5
219,足额,5
220,住房,5
221,下本,5
222,半年,5
223,条例,5
224,环境保护,5
225,合作社,5
226,种植,5
227,养殖户,5
228,污水处理,5
229,流量,5
230,事故,5
231,厂界,5
232,监测点,5
233,黄楚恒,5
234,工作细则,5
235,淘汰率,5
236,拆出,5
237,油气,5
238,以摊,5
239,消耗性,5
240,多鲜,5
241,免征,5
242,如是,5
243,吴忠市,5
244,陈孟干,4
245,费用率,4
246,深圳,4
247,富凯,4
248,青贮,4
249,乳酸菌,4
250,牛奶,4
251,常温奶,4
252,含有,4
253,雁园,4
254,座层,4
255,李宗义,4
256,张有,4
257,冷链,4
258,配方,4
259,针对性,4
260,下沉,4
261,一家,4
262,健全,4
263,主板,4
264,港交所,4
265,农户,4
266,可控,4
267,荣获,4
268,评为,4
269,学生,4
270,调制,4
271,既有,4
272,区域性,4
273,扩张,4
274,去年同期,4
275,差异化,4
276,促销,4
277,金昌市,4
278,建立健全,4
279,实物,4
280,证券期货,4
281,毕马威,4
282,否不,4
283,营运,4
284,牛群,4
285,动用,4
286,元含,4
287,售卖机,4
288,不利于,4
289,顺利,4
290,防范,4
291,真实性,4
292,资者,4
293,中遭,4
294,其所,4
295,票,4
296,摊,4
297,薄,4
298,旨在,4
299,配偶,4
300,家庭成员,4
301,补缴,4
302,保险,4
303,争议,4
304,许可证,4
305,报酬率,4
306,经本,4
307,施行,4
308,对比,4
309,核查,4
310,通函,4
311,养老保险,4
312,设置,4
313,双,4
314,店子,4
315,全株,4
316,草,4
317,市场价,4
318,改扩建,4
319,建造,4
320,环境影响,4
321,环境污染,4
322,工业,4
323,经纪,4
324,魏琳,4
325,孙闯,4
326,职工代表,4
327,首席,4
328,官,4
329,粮,4
330,获,4
331,项目经理,4
332,否马红富,4
333,贵金属,4
334,参与者,4
335,建筑物,4
336,人工成本,4
337,各单项,4
338,运送,4
339,临夏州,4
340,加剧,3
341,上涨,3
342,股股,3
343,太阳雨,3
344,牛成,3
345,挤奶,3
346,消毒,3
347,秒,3
348,无菌,3
349,辅料,3
350,乳含,3
351,饮料,3
352,媒体,3
353,网站,3
354,电商,3
355,配合,3
356,配置,3
357,新品,3
358,忠诚度,3
359,头,3
360,西北,3
361,单产,3
362,差距,3
363,县级市,3
364,高速,3
365,百利,3
366,中亚,3
367,领先地位,3
368,人群,3
369,来看,3
370,消费水平,3
371,人民,3
372,酸牛奶,3
373,举办,3
374,科学,3
375,继续加强,3
376,多种形式,3
377,认知度,3
378,基石,3
379,协同效应,3
380,共赢,3
381,形象,3
382,中层,3
383,分类单位,3
384,人工,3
385,直营,3
386,港元,3
387,第次,3
388,更改,3
389,六个月,3
390,提述,3
391,扣减,3
392,超募,3
393,选取,3
394,本地,3
395,公平合理,3
396,州,3
397,现状,3
398,拟将,3
399,定,3
400,青海地区,3
401,对接,3
402,树立,3
403,制订,3
404,遗,3
405,下同,3
406,敦促,3
407,督促,3
408,看好,3
409,发展前景,3
410,六十个,3
411,名下,3
412,减资,3
413,缩股,3
414,前应,3
415,新设,3
416,协助,3
417,无论是,3
418,国外,3
419,合作开发,3
420,不逊于,3
421,业务范围,3
422,退出,3
423,所载,3
424,每一项,3
425,经济损失,3
426,索赔,3
427,与此相关,3
428,载,3
429,子女,3
430,关系密切,3
431,原则上,3
432,此种,3
433,优于,3
434,禁养区,3
435,畜禽,3
436,关,3
437,事,3
438,若干,3
439,良丁,3
440,财务预算,3
441,按摊,3
442,当该,3
443,调整法,3
444,第十次,3
445,名单,3
446,正天合,3
447,反馈,3
448,无异议,3
449,为关,3
450,联方,3
451,板,3
452,公正,3
453,用工,3
454,月度,3
455,医疗保险,3
456,工伤保险,3
457,生育,3
458,管理机构,3
459,专职,3
460,镇,3
461,中央,3
462,周边,3
463,每吨,3
464,生态,3
465,营造,3
466,氛围,3
467,污染,3
468,管网,3
469,同步,3
470,环境保护局,3
471,环境噪声,3
472,频次,3
473,悬浮物,3
474,粪,3
475,采样,3
476,噪声,3
477,分析方法,3
478,样品,3
479,商务,3
480,广发,3
481,其所持,3
482,潘锦,3
483,阎彬,3
484,杜魏,3
485,李兆彬,3
486,李宝柱,3
487,马添,3
488,陈建录,3
489,叶健聪,3
490,工商管理,3
491,兰州大学,3
492,结业,3
493,现为,3
494,从业,3
495,研修班,3
496,学士学位,3
497,艾爵,3
498,制药,3
499,电工,3
500,人力资源,3
501,审计师,3
502,人员构成,3
503,签订合同,3
504,缺乏,3
505,仓库,3
506,产奶量,3
507,保费,3
508,准备金,3
509,可变,3
510,编报,3
511,其后,3
512,相一致,3
513,短缺,3
514,或源生,3
515,简化,3
516,并未,3
517,组别,3
518,机器设备,3
519,每一,3
520,至该,3
521,保险费,3
522,另一方,3
523,所得税法,3
524,购牛款,3
525,工程项目,3
526,利通区,3
527,联交所,2
528,财鼎,2
529,久丰,2
530,华人,2
531,月龄,2
532,泌乳,2
533,繁殖,2
534,营养,2
535,保存,2
536,加热,2
