,分词排序,词频
0,浙江,262
1,电气,243
2,锋龙,240
3,零部件,144
4,汽车,117
5,园林机械,99
6,绍兴,49
7,上虞,47
8,信息,44
9,董剑刚,32
10,银行,32
11,绍兴市,29
12,昊龙,27
13,诚锋,25
14,电机,22
15,制造,22
16,工程,21
17,厂商,20
18,整机,20
19,威龙,18
20,精密,17
21,俞小莉,17
22,数据,16
23,制造业,16
24,万件,16
25,新建,16
26,知名,15
27,电机厂,15
28,飞轮,14
29,材料,14
30,天健,14
31,环境,14
32,压铸,14
33,社会公众,14
34,香港,13
35,杜商,13
36,彭,13
37,吴晖,13
38,杭州,13
39,年生,13
40,点火器,12
41,铝压铸,12
42,压铸件,12
43,自动化,12
44,街道,12
45,建设,11
46,国华,11
47,扶贫,11
48,卧龙,11
49,董剑,10
50,杜商毅诚,10
51,雷德,10
52,彩霞,10
53,招股,10
54,土地,10
55,汽缸,9
56,王思远,9
57,上海,9
58,铝合金,9
59,宁波,8
60,电子,8
61,精机,8
62,工业园区,8
63,发达国家,8
64,专用设备,8
65,板,8
66,劳动力,8
67,嘉兴,7
68,媒体,7
69,整车,7
70,较强,7
71,欧美,7
72,汽车行业,7
73,环保,7
74,友,7
75,教育,7
76,哥特,6
77,制动,6
78,杜,6
79,罗杰,6
80,交货,6
81,九州,6
82,梁湖,6
83,晶晶,6
84,国外,6
85,人力,6
86,速度,6
87,每月,6
88,电动,6
89,汽油机,6
90,半年,6
91,科达,6
92,厉,6
93,科技,6
94,机电,6
95,曹娥,6
96,东关,6
97,夏焕强,5
98,稳定性,5
99,倪禄路,5
100,潘,5
101,李亚娟,5
102,来看,5
103,发展中国家,5
104,节能,5
105,铝量,5
106,学会,5
107,传统,5
108,万辆,5
109,装备,5
110,工艺水平,5
111,能源,5
112,下滑,5
113,黎达,5
114,其所,5
115,股份有限,5
116,填补,5
117,东昊,5
118,上虞市,5
119,货运,5
120,签收,5
121,供方,5
122,仓,5
123,退税,5
124,换取,5
125,产品成本,5
126,掉,5
127,商业银行,5
128,源于,5
129,外汇,5
130,浙富,4
131,桐君,4
132,油气,4
133,诺尔,4
134,东风,4
135,新能源,4
136,国民经济,4
137,消费,4
138,愈发,4
139,减重,4
140,进一步提高,4
141,深化,4
142,同步,4
143,高新技术,4
144,核对,4
145,吸引,4
146,备货,4
147,定期存款,4
148,益,4
149,业经,4
150,验资,4
151,消耗,4
152,动力,4
153,模具,4
154,放缓,4
155,结构性,4
156,王,4
157,张建,4
158,龙钟,4
159,进林,4
160,足额,4
161,气,4
162,刚付,4
163,李中,4
164,偏离,4
165,顺位,4
166,道歉,4
167,如因,4
168,获,4
169,黄,4
170,听取,4
171,职工代表,4
172,职员,4
173,工程师,4
174,浙江大学,4
175,博众,4
176,房地产,4
177,提单,4
178,对账,4
179,不获,4
180,故本,4
181,近亲属,4
182,个体,4
183,工商户,4
184,送,3
185,桐庐,3
186,能量,3
187,机器,3
188,机加工,3
189,东,3
190,科克,3
191,机械,3
192,富士,3
193,汤姆森,3
194,产品设计,3
195,生产商,3
196,国际贸易,3
197,路,3
198,网站,3
199,资讯网,3
200,致力于,3
201,国家统计局,3
202,机械化,3
203,养护,3
204,持续增长,3
205,不断扩大,3
206,越来越,3
207,壁垒,3
208,工业,3
209,发展前景,3
210,呈现,3
211,上涨,3
212,铝材,3
213,单车,3
214,每辆车,3
215,千克,3
216,车辆,3
217,整备,3
218,外销,3
219,力争,3
220,附加值,3
221,装修费,3
222,公司员工,3
223,设有,3
224,发明专利,3
225,专利证书,3
226,安全性,3
227,知名度,3
228,售后服务,3
229,借助,3
230,减除,3
231,审计费,3
232,律师费,3
233,健康,3
234,资源管理,3
235,精度,3
236,内销,3
237,否否否,3
238,去向,3
239,到位,3
240,超募,3
241,投资总额,3
242,先期,3
243,审号,3
244,外资,3
245,便利,3
246,人工成本,3
247,务实,3
248,降本增效,3
249,兑,3
250,成本上升,3
251,进口,3
252,需提交,3
253,内如,3
254,任职期间,3
255,张建龙,3
256,百分之二十五,3
257,百分之五十,3
258,刚厉,3
259,锋龙电,3
260,匹配,3
261,平等,3
262,如本,3
263,具体措施,3
264,触发,3
265,每次,3
266,五个,3
267,补救措施,3
268,工作日内,3
269,李中卢,3
270,摊,3
271,薄,3
272,据此,3
273,致使,3
274,证券交易,3
275,单日,3
276,公正,3
277,脱贫,3
278,环境保护,3
279,网上网,3
280,申购,3
281,卢,3
282,咨询服务,3
283,钟黎达,3
284,日日,3
285,高中,3
286,微电机,3
287,博士生,3
288,导师,3
289,科长,3
290,公司财务,3
291,否钟,3
292,召集,3
293,利益者,3
294,自主经营,3
295,非专利,3
296,工作效率,3
297,抽样,3
298,函证,3
299,运杂费,3
300,担保物,3
301,期后,3
302,保费,3
303,准备金,3
304,生物,3
305,中央银行,3
306,近似,3
307,资源,3
308,政策性,3
309,应缴,3
310,税额,3
311,教育费,3
312,北仑,3
313,交通银行,3
314,募股,3
315,仁智,3
316,宝木,3
317,斌,3
318,彬,3
319,杭州湾,3
320,技术开发区,3
321,主管人员,2
322,燃料,2
323,回,2
324,转速,2
325,动能,2
326,活塞,2
327,金属,2
328,发动机,2
329,气压,2
330,调节阀,2
331,控制系统,2
332,部件,2
333,涨,2
334,紧轮,2
335,传动装置,2
336,组建,2
337,调温,2
338,天册,2
339,瑜,2
340,指为,2
341,常用,2
342,术语,2
343,装运港,2
344,船上,2
345,完税,2
346,目的地,2
347,外文,2
348,网址,2
349,电子信箱,2
350,有无,2
351,机构名称,2
352,西宁市,2
353,南川,2
354,创业,2
355,年本,2
356,元非,2
357,统一标准,2
358,否一,2
359,品规,2
360,传动,2
361,十几年,2
362,响应,2
363,高质,2
364,大部分,2
365,长时间,2
366,保持稳定,2
367,两类,2
368,不高,2
369,园艺,2
370,机具,2
371,园林绿化,2
372,家庭,2
373,时期,2
374,起步,2
375,较晚,2
376,城市化,2
377,进程,2
378,引入,2
379,绿化,2
380,纷纷,2
381,组装,2
382,在内,2
383,多种形式,2
384,金属制品,2
385,汽车产业,2
386,轻量化,2
387,北美,2
388,用量,2
389,铝,2
390,数值,2
391,接近,2
392,中国汽车工业协会,2
393,年产量,2
394,海关,2
395,多样化,2
396,年均,2
397,复合,2
398,稳步,2
399,所在地,2
400,活力,2
401,公告日,2
402,赢得,2
403,口碑,2
404,内燃机,2
405,科技型,2
406,列入,2
407,可靠性,2
408,高度,2
409,质量体系,2
410,产品认证,2
411,该类,2
412,营运,2
413,跨地区,2
414,美誉度,2
415,摩擦,2
416,回落,2
417,人口,2
418,挑战,2
419,人才培养,2
420,降本,2
421,登陆,2
422,力量,2
423,立足,2
424,号文,2
425,民币,2
426,公众股,2
427,坐扣,2
428,能为,2
429,月度,2
430,凝聚力,2
431,依然,2
432,统计,2
433,科学,2
434,文体活动,2
435,集体,2
436,途径,2
437,住,2
438,第一名,2
439,第二名,2
440,第三名,2
441,第四名,2
442,第五名,2
443,稳,2
444,净流量,2
445,价,2
446,购入,2
447,天健验,2
448,投向,2
449,预先,2
450,厂商会,2
451,多功能,2
452,依赖,2
453,持续上升,2
454,减排,2
455,手段,2
456,排放,2
457,强度,2
458,易,2
459,前景,2
460,竞争者,2
461,激烈,2
462,四个,2
463,密集型,2
464,检测,2
465,制备,2
466,方案设计,2
467,模具设计,2
468,驱动力,2
469,产品品质,2
470,早日,2
471,不懈努力,2
472,新老,2
473,测算,2
474,中高层,2
475,经济波动,2
476,带来不利,2
477,中国人民银行,2
478,美元汇率,2
479,削弱,2
480,换算,2
481,单价,2
482,加剧,2
483,冲压件,2
484,漆包线,2
485,塑料件,2
486,电路板,2
487,近几年,2
488,价格上涨,2
489,时所作,2
490,再融资,2
491,接,2
492,龙,2
493,自动,2
494,在此期间,2
495,付进林,2
496,友李,2
497,承,2
498,公司业绩,2
499,规,2
500,思远,2
501,自本,2
502,若本,2
503,将相,2
504,原则上,2
505,或本,2
506,股限,2
507,具体条件,2
508,建龙,2
509,基准日,2
510,配股,2
511,单次,2
512,需经,2
513,实,2
514,原已,2
515,回避,2
516,赞成票,2
517,继承,2
518,强制执行,2
519,投资决策,2
520,侵占,2
521,动用,2
522,主管部门,2
523,一金,2
524,工作日,2
525,采取相应,2
526,为止,2
527,天册律,2
528,师,2
529,解读,2
530,此项,2
531,调整法,2
532,清理,2
533,方与,2
534,接受方,2
535,券商,2
536,尊重,2
537,一如既往,2
538,关爱,2
539,配置,2
540,返乡,2
541,多样,2
542,环境保护部,2
543,门,2
544,排污,2
545,防治法,2
546,元后,2
547,刘聪,2
548,人为,2
549,配偶,2
550,建兴,2
551,西藏,2
552,诚桐,2
553,创业投资,2
554,锋启,2
555,性别,2
556,副总,2
557,男月,2
558,共有,2
559,驾驶员,2
560,四川,2
561,专员,2
562,博士,2
563,法学院,2
564,上海交通大学,2
565,就裁,2
566,电子商务,2
567,凌云,2
568,万业,2
569,康强,2
570,汇丽,2
571,建材,2
572,工商大学,2
573,中恒,2
574,德华,2
575,兔,2
576,宝宝,2
577,装饰,2
578,新材,2
579,诚邦,2
580,生态环境,2
581,工程学院,2
582,理事长,2
583,圣通,2
584,浙大,2
585,星月,2
586,科技开发,2
587,泰格,2
588,金华,2
589,亚太,2
590,坐标,2
591,无锡,2
592,威孚,2
593,高科技,2
594,富特,2
595,技术员,2
596,建筑,2
597,决策机构,2
598,监督机构,2
599,权责,2
600,选聘,2
601,人员构成,2
602,绩效评价,2
603,透明,2
604,超越,2
605,分开,2
606,面向市场,2
607,授信额度,2
608,财务会计,2
609,控,2
610,探讨,2
611,审查,2
612,高会,2
613,衡量,2
614,所示,2
615,支持性,2
616,发货单,2
617,损失率,2
618,当前情况,2
619,疑虑,2
620,金融机构,2
621,市场经济,2
622,其于,2
623,持续时间,2
624,含个,2
625,回升,2
626,通用设备,2
627,运输工具,2
628,建造,2
629,竣工,2
630,存入,2
631,应予,2
632,专利权,2
633,软件,2
634,日以,2
635,售出,2
636,使用费,2
637,报关,2
638,零,2
639,法将,2
640,计征,2
641,租,2
642,浙商,2
643,承兑人,2
644,票据法,2
645,持票人,2
646,尼尔,2
647,金库,2
648,天然气,2
649,中坚,2
650,蘊通,2
651,财富,2
652,华龙,2
653,凭证,2
654,工程项目,2
655,零星,2
656,元以,2
657,互抵,2
658,保险费,2
659,城镇,2
660,水电费,2
661,认证费,2
662,初存,2
663,汇票,2
664,新界,2
665,注本,2
666,小计续,2
667,上表,2
668,计息,2
669,南片,2
670,智造,2
671,聚集区,2
672,详细描述,1
673,红,1
674,股股,1
675,项指,1
676,人指,1
677,刚元,1
678,杜商毅,1
679,诚锋龙,1
680,指能,1
681,一瞬间,1
682,点燃,1
683,煤粉,1
684,火焰,1
685,装置,1
686,转轴,1
687,转动惯量,1
688,轮状,1
