,分词排序,词频
0,西安,275
1,自动化,269
2,宝德,262
3,供求,175
4,庆汇,134
5,北京,120
6,借入,118
7,中植,106
8,易迪,72
9,财富,71
10,信息,67
11,植瑞,63
12,视,62
13,晟,58
14,恒天,57
15,环保,55
16,重庆,51
17,大唐,50
18,赵敏,46
19,中新融,46
20,中岩,43
21,华陆,41
22,石油,41
23,水务,38
24,信托,37
25,科技,32
26,创,31
27,咨询服务,29
28,湖州,26
29,天下,26
30,陕西,25
31,智能,24
32,邢连鲜,24
33,工程,24
34,钻采,22
35,银行,21
36,永泰,21
37,陆,19
38,创业板,19
39,建设,19
40,使用费,19
41,江阴,18
42,宝,17
43,德华,17
44,较长,17
45,珠海,17
46,被套,17
47,资讯网,16
48,数据,16
49,华中,16
50,王,16
51,西安市,15
52,能源,15
53,环境,14
54,被执行人,14
55,优先级,14
56,次级,13
57,房地产,13
58,融汇,13
59,文水县,12
60,霍尔果斯,12
61,电控,12
62,节能,12
63,油田,12
64,首拓,12
65,石化,12
66,文水,11
67,青铜峡,11
68,机械,11
69,财信,11
70,恒泰,11
71,扶贫,11
72,油价,10
73,横琴,10
74,高新区,10
75,陕西省,10
76,元系,10
77,资源,10
78,一体化,10
79,教育,10
80,土地,10
81,刘悦,10
82,新疆,10
83,指庆汇,9
84,投放,9
85,油气,9
86,鸿元,9
87,复迦,9
88,西北大学,9
89,张,8
90,亚东,8
91,工程设计,8
92,健康,8
93,强制执行,8
94,广西,8
95,满仓,8
96,高晟,8
97,青铜峡市,7
98,王志强,7
99,网站,7
100,第三十二,7
101,收益权,7
102,证券化,7
103,对此,7
104,划拨,7
105,公募,7
106,独资,7
107,工程师,7
108,经济学,7
109,抵押物,7
110,年薪,7
111,建筑物,7
112,建造,7
113,贵司,7
114,甲方,7
115,乙方,7
116,足额,6
117,化工,6
118,工业,6
119,材料,6
120,控制系统,6
121,草堂,6
122,产业基地,6
123,秦岭,6
124,大道,6
125,西付,6
126,补偿款,6
127,软件,6
128,两家,6
129,解聘,6
130,城建,6
131,允,6
132,协否,6
133,商,6
134,融泽,6
135,借出,6
136,大同,6
137,杭州,5
138,希格玛,5
139,开采,5
140,多计元,5
141,施工,5
142,装备,5
143,专业化,5
144,电气,5
145,工程技术,5
146,著作权,5
147,动力,5
148,积极探索,5
149,健和诚,5
150,石油机械,5
151,维修,5
152,减排,5
153,回,5
154,智能化,5
155,未决,5
156,新星,5
157,负担,5
158,市否,5
159,场,5
160,三期,5
161,脱贫,5
162,杨子善,5
163,祁,5
164,徐嘉斌,5
165,衡量,5
166,除净,5
167,加剧,4
168,技术创新,4
169,人力资源,4
170,工程项目,4
171,夫妇,4
172,互联网,4
173,邱程,4
174,铁军,4
175,三家,4
176,并非,4
177,筹划,4
178,传统,4
179,出发,4
180,尽职,4
181,来源于,4
182,致力于,4
183,高素质,4
184,发明专利,4
185,手段,4
186,集团化,4
187,不良,4
188,及庆汇,4
189,过渡期,4
190,杠杆,4
191,天然气,4
192,原油价格,4
193,回升,4
194,现状及,4
195,自该,4
196,有价证券,4
197,拍卖,4
198,二次,4
199,同上,4
200,否已,4
201,扣押,4
202,申请事项,4
203,三人,4
204,三人应,4
205,中植浩源,4
206,植信,4
207,上海,4
208,渤海,4
209,文化,4
210,刊于,4
211,瀚诺,4
212,安徽,4
213,李柏佳,4
214,副教授,4
215,导师,4
216,胡维波,4
217,建中,4
218,房坤,4
219,徐军,4
220,辞去,4
221,学士学位,4
222,中海,4
223,博士后,4
224,审计部,4
225,创展,4
226,上半年,4
227,含个,4
228,以换,4
229,养老保险,4
230,外汇,4
231,教育费,4
232,款及,4
233,浙江,4
234,嘉恒,4
235,唐信,4
236,新湖,4
237,北京市高级人民法院,4
238,回售,4
239,理解,3
240,承接,3
241,庆联,3
242,庆瑞,3
243,抽油机,3
244,机器设备,3
245,媒体,3
246,红王,3
247,编报,3
248,有误,3
249,少计,3
250,创因,3
251,作业,3
252,领先地位,3
253,复苏,3
254,景气,3
255,提供商,3
256,审查,3
257,金融机构,3
258,拓宽,3
259,资本运作,3
260,高新技术,3
261,针对性,3
262,核心技术,3
263,人力,3
264,抗,3
265,态势,3
266,推行,3
267,规范化,3
268,素质,3
269,梯队,3
270,光伏,3
271,游戏,3
272,信息技术,3
273,特殊性,3
274,激烈,3
275,中经瑞益,3
276,何平,3
277,会师,3
278,报字,3
279,超募,3
280,投向,3
281,微电子,3
282,光机电,3
283,自控,3
284,机械设备,3
285,液压,3
286,软件设计,3
287,系统集成,3
288,物业管理,3
289,经营项目,3
290,消费,3
291,制造,3
292,科学,3
293,外延,3
294,充分利用,3
295,公司员工,3
296,周期性,3
297,勘探,3
298,按规定,3
299,创未,3
300,超出,3
301,竞,3
302,新融,3
303,股争,3
304,融创,3
305,东,3
306,如因,3
307,触发,3
308,创于,3
309,了结,3
310,法对,3
311,有无,3
312,胜诉,3
313,受偿,3
314,咸阳,3
315,石油化工,3
316,五洲,3
317,轮候,3
318,二千,3
319,三百,3
320,不足以,3
321,变卖,3
322,履行义务,3
323,奥其斯,3
324,获批,3
325,人入,3
326,融兴,3
327,对庆汇,3
328,滚动,3
329,机构名称,3
330,期期,3
331,订立,3
332,基准日,3
333,建工,3
334,住房,3
335,贫困学生,3
336,厂区,3
337,创出,3
338,具,3
339,汇入,3
340,提案,3
341,数为,3
342,英泓,3
343,瑞益,3
344,荣融,3
345,硕士生,3
346,杜,3
347,李涛,3
348,获工学,3
349,硕士学位,3
350,清华大学,3
351,获,3
352,西安交通大学,3
353,系主任,3
354,院长,3
355,坤,3
356,召集,3
357,人为,3
358,名其,3
359,利益者,3
360,王满,3
361,仓房,3
362,第二十三,3
363,事前,3
364,财务部门,3
365,超额,3
366,无效,3
367,工作效率,3
368,期后,3
369,以此,3
370,保费,3
371,准备金,3
372,生物,3
373,中央银行,3
374,益,3
375,后本,3
376,当本,3
377,或息费,3
378,欠付,3
379,竣工,3
380,缴费,3
381,无需,3
382,政策性,3
383,并未,3
384,高度,3
385,非金融,3
386,额及,3
387,免抵,3
388,免征,3
389,财政厅,3
390,西工大,3
391,高商,3
392,款年,3
393,长运,3
394,矿业,3
395,狮子山,3
396,系庆汇,3
397,为元以,3
398,以庆汇,3
399,尾款,3
400,补贴款,3
401,对手,3
402,原子,3
403,唐鼎,3
404,耀华,3
405,中泰,3
406,西藏,3
407,惠,3
408,利升,3
409,恒享,3
410,工作日内,3
411,主管人员,2
412,而设,2
413,汇,2
414,外文,2
415,网址,2
416,电子信箱,2
417,浐,2
418,灞,2
419,吉林省,2
420,元庆汇,2
421,统一标准,2
422,现金管理,2
423,常规,2
424,偶发性,2
425,产业结构,2
426,剥离,2
427,专注,2
428,尝试,2
429,能源需求,2
430,放缓,2
431,碳,2
432,燃料,2
433,国际化,2
434,立项,2
435,评审,2
436,租息,2
437,银行贷款,2
438,惯例,2
439,顾问,2
440,售后,2
441,回租,2
442,协助,2
443,成本上升,2
444,不良率,2
445,道路,2
446,并举,2
447,并重,2
448,路径,2
449,服务商,2
450,现已,2
451,外观设计,2
452,项均,2
453,钻井,2
454,采油,2
455,自动控制,2
456,起重,2
457,定位,2
458,奠定,2
459,技术化,2
460,因年,2
461,操作,2
462,服从,2
463,层面,2
464,各个环节,2
465,进一步提高,2
466,经营风险,2
467,精细化,2
468,常态,2
469,创新性,2
470,多元,2
471,用人,2
472,组建,2
473,审慎,2
474,集聚,2
475,适时,2
476,广播,2
477,电影,2
478,电视,2
479,华东,2
480,华北,2
481,西南,2
482,暂未,2
483,公司业绩,2
484,净流量,2
485,投资额,2
486,年份,2
487,去向,2
488,投资总额,2
489,出于,2
490,谨慎,2
491,趋紧,2
492,持续上升,2
493,结余,2
494,租赁经营,2
495,电气设备,2
496,机电设备,2
497,须经,2
498,通讯设备,2
499,电力设备,2
500,医疗,2
501,印刷,2
502,交通运输,2
503,附带,2
504,软件技术,2
505,一度,2
506,呈现,2
507,通道,2
508,高水平,2
509,持续增长,2
510,演变,2
511,浪潮,2
512,四起,2
513,自然,2
514,之势,2
515,运输,2
516,炼制,2
517,内在,2
518,长远,2
519,战略规划,2
520,深化,2
521,控制技术,2
522,结构调整,2
523,绿色,2
524,差异化,2
525,防范措施,2
526,多元化,2
527,最大化,2
528,紧抓,2
529,油服,2
530,竞争对手,2
531,弱化,2
532,国兴,2
533,地产,2
534,第三期,2
535,年底,2
536,尚存,2
537,监管部门,2
538,防范,2
539,登记表,2
540,透明,2
541,详细情况,2
542,提议,2
543,时所作,2
544,限售期,2
545,控,2
546,交,2
547,邢连易,2
548,敏,2
549,或许,2
550,专有,2
551,专,2
552,补,2
553,偿,2
554,因当期,2
555,内蒙古,2
556,润佳,2
557,审结,2
558,中成,2
559,无锡,2
560,三千,2
561,三十三,2
562,加倍,2
563,延迟,2
564,罚息,2
565,费及,2
566,法律文书,2
567,集,2
568,公证费,2
569,送达,2
570,罗嗣国,2
571,连带保证,2
572,同类,2
573,有人,2
574,公场,2
575,资金运用,2
576,内任,2
577,概况,2
578,安全性,2
579,较差,2
580,高风险,2
581,受托人,2
582,年化,2
583,法定程序,2
584,中信,2
585,石家庄,2
586,汇融,2
587,农村,2
588,孙村,2
589,东亚银行,2
590,福州,2
591,股份有限,2
592,华夏银行,2
593,否无,2
594,建立健全,2
595,交流,2
596,以人为本,2
597,营造,2
598,医疗保险,2
599,保险金,2
600,工伤保险,2
601,生育,2
602,互利,2
603,共赢,2
604,沟通交流,2
605,就业,2
606,环境保护,2
607,防治法,2
608,纸张,2
609,空调,2
610,节约,2
611,办公楼,2
612,创已,2
613,股股,2
614,配股,2
615,参会,2
616,建议权,2
617,转让权,2
618,财产性,2
619,拟以,2
620,外资股,2
621,身份,2
622,深圳,2
623,任职期间,2
624,崔,2
625,亚娜,2
626,李昕,2
627,强周,2
628,增荣,2
629,金兆玉,2
630,邢连鲜系,2
631,夫妻关系,2
632,八名,2
633,创始人,2
634,亲属,2
635,营销策划,2
636,项目管理,2
637,商务信息,2
638,性别,2
639,戴青,2
640,范勇建,2
641,免去,2
642,第二十六次,2
643,理工大学,2
644,工商管理,2
645,泰,2
646,丰,2
647,经管,2
648,丝路,2
649,公共,2
650,所长,2
651,容电器,2
652,成都,2
653,华泽,2
654,钴,2
655,镍,2
656,晨曦,2
657,航空,2
658,博导,2
659,流体,2
660,能动,2
661,永中,2
662,鼎盛,2
663,名城,2
664,达刚,2
665,路面,2
666,工程部,2
667,组长,2
668,机械设计,2
669,杨薇,2
670,专员,2
671,人事,2
672,融海,2
673,通讯,2
674,锦程,2
675,日年,2
676,否刘悦,2
677,共有,2
678,旨在,2
679,或应,2
680,自主经营,2
681,妥善,2
682,保存,2
683,职工代表,2
684,经理层,2
685,绩效评价,2
686,更好,2
687,异议,2
688,事中,2
689,事后,2
690,系数,2
691,利润率,2
692,果,2
693,偏离,2
