,分词排序,词频
0,天龙,373
1,光电,356
2,华盛,222
3,江苏,219
4,上海,78
5,科技,76
6,材料,68
7,常州市,66
8,信息,62
9,常州,62
10,炉,53
11,光伏,46
12,电子,46
13,金坛,36
14,广东,35
15,太阳能,33
16,潘燕萍,31
17,单晶,29
18,工程,28
19,杰姆斯,28
20,超日,25
21,房地产,23
22,盛融,23
23,财富,23
24,多晶,18
25,博森,18
26,制造,16
27,半导体,16
28,创业板,16
29,新疆,16
30,建设,16
31,中兴,15
32,财,15
33,台,15
34,赛宝,15
35,硅,15
36,诺亚,15
37,机械,15
38,光华,14
39,单晶硅,14
40,多晶硅,14
41,伦,14
42,土地,14
43,倍,14
44,崧,14
45,洛阳,14
46,扬州,13
47,北京,13
48,添,13
49,浙江,12
50,天晟,11
51,原子,11
52,陈华,11
53,周俭,11
54,陈敬,11
55,陈云,10
56,数据,10
57,发货,10
58,天利,10
59,恩泽,10
60,三分之一,10
61,起诉状,10
62,给付,10
63,晟,10
64,纳吉,10
65,铸锭,9
66,停产,9
67,内蒙古,9
68,博森光,9
69,新源县,9
70,那拉提,9
71,群英,9
72,聚腾,9
73,转账,9
74,代收,9
75,代付款,9
76,孙利,8
77,秀,8
78,实验,8
79,追缴,8
80,新乡市,8
81,中国籍,8
82,段落,7
83,能源,7
84,石墨,7
85,市场部,7
86,刑事,7
87,新北区,7
88,新能源,7
89,付清,7
90,数控,7
91,人之子,7
92,冯金生,7
93,银行,7
94,生物,7
95,外汇,7
96,配偶,7
97,带,6
98,大容量,6
99,停工,6
100,热场,6
101,金刚,6
102,采购部,6
103,工业,6
104,直拉,6
105,无锡,6
106,资源,6
107,高效能,6
108,工作日内,6
109,该笔,6
110,解聘,6
111,涉案,6
112,于本,6
113,终结,6
114,二审,6
115,顾颂华,6
116,方前,6
117,暂未,6
118,欧阳,6
119,令南,6
120,嵌入,6
121,高新技术,6
122,江西,6
123,高科技,6
124,电力,6
125,诉讼费,6
126,折旧费,6
127,出席会议,5
128,于涛,5
129,已有,5
130,华城,5
131,路,5
132,交货,5
133,树脂,5
134,博森向,5
135,非法,5
136,公众,5
137,环境,5
138,苏,5
139,发还,5
140,涉案人员,5
141,中无无,5
142,调解,5
143,恒能,5
144,乐萌,5
145,冯金,5
146,生之子,5
147,呼和浩特,5
148,梁弘毅,5
149,平,5
150,王思远,5
151,汀,5
152,建新,5
153,赵国,5
154,男年生,5
155,同济大学,5
156,化工,5
157,衡量,5
158,中院,5
159,油气,5
160,归类,5
161,电气,5
162,级晶,5
163,清洁,5
164,技术改造,5
165,日元,5
166,陈文,4
167,互联网,4
168,展开,4
169,厂房设备,4
170,米,4
171,发电,4
172,一份,4
173,本部,4
174,清理,4
175,催收,4
176,套,4
177,共份,4
178,碳素,4
179,售后服务,4
180,石英,4
181,充分利用,4
182,健康,4
183,督促,4
184,再融资,4
185,达元,4
186,未作,4
187,不良资产,4
188,受让方,4
189,交验,4
190,证明书,4
191,挂账,4
192,判决书,4
193,提醒,4
194,巨额,4
195,不足以,4
196,元及,4
197,建筑安装,4
198,冯龚,4
199,股外,4
200,史方,4
201,徐旭,4
202,吕明,4
203,尤,4
204,闫晓莉,4
205,河南,4
206,中晟,4
207,召集,4
208,投票,4
209,机器设备,4
210,晶体生长,4
211,建筑物,4
