,分词排序,词频
0,科技,578
1,教育,476
2,文化,384
3,广东,328
4,翡翠,171
5,陶瓷,164
6,信息,162
7,软件,153
8,北京,148
9,网络科技,134
10,上海,96
11,职业培训,79
12,潮州市,73
13,信息技术,67
14,深圳,65
15,西安,61
16,三级,60
17,数据,59
18,联汛,55
19,广州,52
20,智游臻龙,50
21,创意,50
22,完美,49
23,世家,48
24,蔡廷祥,46
25,南京,46
26,郑州,45
27,网络,44
28,建设,42
29,成都,42
30,天津,42
31,新余,39
32,潮州,39
33,信息化,39
34,学校,39
35,河南,36
36,著作权,35
37,登记号,35
38,智慧,34
39,武汉,32
40,吴淡珠,32
41,互联网,31
42,重庆,31
43,房地产,31
44,杭州,30
45,大连,30
46,资源,29
47,山西,25
48,注浆,25
49,学员,24
50,工程,24
51,智游,24
52,河北,24
53,创思兰博,24
54,翊,24
55,思卓,24
56,智能,24
57,艺术,23
58,废弃,23
59,镭,22
60,智趣,21
61,职业技能,21
62,济南,21
63,海南,21
64,一款,21
65,霍尔果斯,20
66,沈阳,20
67,常州,20
68,南昌,20
69,苏州,20
70,民营,19
71,湖南,19
72,银行,19
73,校园,18
74,计算机,18
75,宁波,18
76,绿色,17
77,管理系统,17
78,数据服务,17
79,自动,17
80,许高,17
81,兰德,16
82,昊育,15
83,瓷艺,15
84,瓷业,15
85,软件开发,15
86,新疆,15
87,郑州市,15
88,模型,15
89,酒瓶,14
90,数据库,14
91,成型,14
92,龙,14
93,顺位,14
94,广发,13
95,系统集成,13
96,创思,13
97,后台,13
98,骨质瓷,13
99,工业,13
100,大华,12
101,枫溪,12
102,课程,12
103,产品设计,12
104,操作,12
105,创业板,12
106,长沙,12
107,电子,12
108,教育局,12
109,企业家,12
110,高新技术,12
111,传输,12
112,任锋,11
113,教学,11
114,土地,11
115,材料,11
116,设置,11
117,数据分析,11
118,爱峰,11
119,臻,11
120,保险,11
121,顺利,10
122,就业,10
123,动漫,10
124,陶瓷原料,10
125,福州,10
126,南宁,10
127,青岛,10
128,贵阳,10
129,柳州,10
130,哈尔滨,10
131,昆明,10
132,烟台,10
133,自动化,10
134,维修,10
135,设计师,10
136,安卓易,10
137,款年,10
138,利民,9
139,资讯网,9
140,免费,9
141,艺术设计,9
142,粤科,9
143,城,9
144,手机,9
145,数码科技,9
146,易,9
147,众妙,9
148,合一,9
149,网络游戏,9
150,润潮,9
151,氧化锆,9
152,存储,9
153,区块,9
154,链,9
155,配合,9
156,超募,9
157,交易方式,9
158,信公,9
159,新兴,9
160,注原,9
161,崇明,9
162,对此,8
163,商融,8
164,软硬件,8
165,经济效益,8
166,传统,8
167,终端,8
168,视频,8
169,朝阳区,8
170,昭阳,8
171,志趣,8
172,卓新思创,8
173,品优,8
174,卓新,8
175,安逆杰,8
176,磐岳,8
177,卓运,8
178,天成,8
179,卓雅,8
180,并轨,8
181,畅晟,8
182,宏达,8
183,世宏南骏,8
184,中钰睿泓,8
185,点积,8
186,无锡市,8
187,天空,8
188,卡戎,8
189,盛逸,8
190,盛世,8
191,光影,8
192,传媒,8
193,凯宣,8
194,众云,8
195,金泰,8
196,南跃,8
197,易达讯,8
198,钰陆,8
199,智帆,8
200,阿克,8
201,提吾,8
202,之星,8
203,拓客,8
204,优逸,8
205,睿智,8
206,星联,8
207,联核,8
208,攻源,8
209,卓越,8
210,新腾,8
211,诺博连,8
212,龙果,8
213,创想,8
214,嗣峰,8
215,卓思,8
216,迅杰,8
217,犇,8
218,迩,8
219,创智,8
220,腾讯,8
221,飞,8
222,华腾,8
223,天创,8
224,凡格,8
225,墨本,8
226,小鸡,8
227,卓米,8
228,智世睿通,8
229,果脉,8
230,深层,8
231,纬度,8
232,墨林,8
233,迅奇,8
234,灵动,8
235,长春市,8
236,聚谦,8
237,九点,8
238,千程,8
239,万码,8
240,添力,8
241,米果,8
242,凌点,8
243,创睿,8
244,网之合,8
245,佳岷,8
246,丛聚,8
247,正致,8
248,贺州市,8
249,索思,8
250,艾特,8
251,湖北,8
252,巅峰,8
253,云柯,8
254,人工,8
255,废瓷,8
256,环境,8
257,商城,8
258,账,8
259,嘉兴,8
260,卓智,8
261,梅山,8
262,港区,8
263,御泓,8
264,卓趣,8
265,配偶,8
266,生物,8
267,建造,8
268,装修费,8
269,朱,7
270,学生,7
271,院校,7
272,游戏,7
273,第八次,7
274,文化产业,7
275,类产品,7
276,万泉,7
277,三江,7
278,艺术品,7
279,厦门,7
280,五芒星,7
281,盛东,7
282,睿斯博,7
283,花纸,7
284,瓷板画,7
285,瓷板,7
286,制造业,7
287,广阔,7
288,汽车,7
289,上门,7
290,玩具,7
291,股股,7
292,为准,7
293,工作细则,7
294,罗晨鹏,6
295,蔡陇,6
296,大道,6
297,媒体,6
298,定制,6
299,一体化,6
300,主管部门,6
301,一家,6
302,专注,6
303,推荐,6
304,建筑物,6
305,产区,6
306,成熟,6
307,陶瓷产品,6
308,装饰,6
309,粤,6
310,服务平台,6
311,运营商,6
312,实践,6
313,消费者,6
