,分词排序,词频
0,环保,1028
1,安徽,582
2,电力,504
3,中科,263
4,发电,167
5,工程,157
6,重工,149
7,机械,142
8,垃圾焚烧,118
9,垃圾,92
10,建设,84
11,信息,79
12,北京,68
13,开晓胜,63
14,枣庄,54
15,桐城市,53
16,科技,52
17,安庆,48
18,桐城,41
19,待定,39
20,合肥,38
21,钢结构,37
22,银行,37
23,鹰潭,35
24,济宁,35
25,生物质,30
26,阜新,30
27,输送,29
28,建造,29
29,能源,28
30,房地产,26
31,制造,26
32,生物,26
33,宣城,26
34,经营权,25
35,通用,25
36,排放,25
37,工程施工,24
38,无害化,24
39,锦州,24
40,绿色,23
41,筹建,22
42,凯里,21
43,淮安,21
44,节能,20
45,垃圾处理,20
46,建筑安装,20
47,金乡,20
48,深圳,20
49,资源,19
50,乌兰察布,19
51,综合利用,19
52,兴业银行,19
53,审华,18
54,轩慧,18
55,德江,18
56,协助,18
57,国信,18
58,土地,18
59,宁阳,18
60,信用等级,18
61,污水,18
62,否开晓胜,18
63,数据,17
64,清欠,17
65,拉萨,17
66,皖能,17
67,包头市,16
68,海阳,16
69,审查,16
70,桐庐,16
71,完工后,16
72,固废,15
73,上海,15
74,热电,15
75,开晓胜否,15
76,列入,15
77,余热,15
78,专用设备,14
79,担保责任,14
80,解保,14
81,污染物,13
82,安庆市,13
83,合肥市,13
84,餐厨,13
85,一体化,13
86,环境工程,13
87,润达,13
88,招远,13
89,会计报表,13
90,元注,13
91,服务业,12
92,建筑,12
93,环境治理,12
94,兴业,12
95,配合,12
96,建安,12
97,环境,12
98,环科,12
99,中院,12
100,否无无无,12
101,伊春,12
102,材料,12
103,刘玉斌,11
104,杨宝,11
105,污泥,11
106,焚烧,11
107,收集,11
108,总包,11
109,流化床,11
110,施工,11
111,承德,11
112,西乡,11
113,山东,11
114,工作组,11
115,失信,11
116,孟津,11
117,接管,11
118,国投,11
119,颗粒物,11
120,垃圾处置,10
121,城镇,10
122,第三名,10
123,清理,10
124,中安,10
125,信托,10
126,被执行人,10
127,名单,10
128,新疆,10
129,超标,10
130,机械制造,10
131,浦发银行,10
132,环卫,9
133,干法,9
134,脱硫,9
135,原子,9
136,慈航,9
137,乐陵,9
138,化解,9
139,责任人,9
140,公安局,9
141,证监会,9
142,烟囱,9
143,营运,9
144,办事处,9
145,管网,9
146,环境保护,8
147,创业板,8
148,工程项目,8
149,调试,8
150,除尘,8
151,金洲,8
152,惠民,8
153,京城,8
154,庐江,8
155,当地政府,8
156,锅炉,8
157,凌云,8
158,机械工程,8
159,鹰潭市,8
160,玉树,8
161,辞职,8
162,项目经理,8
163,中国长城资产管理公司,8
164,资讯网,8
165,西部,8
166,华福,8
167,增至,8
168,兴晟运安,8
169,路,7
170,城乡,7
171,基础设施,7
172,技术咨询,7
173,尾气,7
174,净化,7
175,国务院,7
176,停工,7
177,儋州,7
178,增,7
179,第一名,7
180,第二名,7
181,罚息,7
182,固体废物,7
183,新能源,7
184,胡,7
185,决定书,7
186,财务部门,7
187,机器设备,7
188,会计核算,7
189,包头,7
190,开明,7
191,对盛运,7
192,众禄,7
193,马鞍山,7
194,高科技,7
195,常务,7
196,盛运年,7
197,下调,7
198,淮南,7
199,桐庐县,7
200,包河区,7
201,生物质能,7
202,经营项目,7
203,开工,6
204,核心技术,6
205,紧张,6
206,工业,6
207,废旧,6
208,废弃物,6
209,焚烧炉,6
210,复工,6
211,竣工,6
212,凤城,6
213,内因,6
214,巴彦淖尔,6
215,陇南,6
216,商水,6
217,西安市,6
218,第四名,6
219,第五名,6
220,梳理,6
221,解聘,6
222,源于,6
223,追缴,6
224,金属,6
225,龙润,6
226,工程师,6
227,中国农业银行,6
228,盛运盛,6
229,中信银行,6
230,油气,6
231,农安,6
232,图们,6
233,鹤壁,6
234,款年,6
235,运输,6
236,中国民生银行,6
237,补助款,6
238,电,6
239,越来越,5
240,失效,5
241,工程建设,5
242,不派,5
243,汽车,5
244,烟气,5
245,总体设计,5
246,发电厂,5
247,面向,5
248,进驻,5
249,车辆,5
250,核查,5
251,权已,5
252,市盛运,5
253,集贤,5
254,三穗县,5
255,莘县,5
256,运,5
257,临潼区,5
258,延安,5
259,瓦房店,5
260,金融机构,5
261,资产额,5
262,物料,5
263,代偿,5
264,市委,5
265,应急,5
266,领导,5
267,小组,5
268,天津,5
269,长江,5
270,热力,5
271,安,5
272,涉嫌,5
273,第二十二次,5
274,中商龙润,5
275,教育,5
276,二氧化硫,5
277,氮氧化物,5
278,氨氮,5
279,监测,5
280,经济犯罪,5
281,铸造,5
282,南昌,5
283,后限售,5
284,先盛,5
285,热电厂,5
286,运债项,5
287,乌兰浩特市,5
288,石家庄,5
289,枣庄市,5
290,划归,5
291,建筑物,5
292,归类,5
293,管理系统,5
294,上表,5
295,恶化,5
