,分词排序,词频
0,玻璃,367
1,金刚,346
2,广东,240
3,防火,107
4,科技,58
5,吴江,53
6,信息,47
7,工程,46
8,窗,36
9,型材,33
10,门窗,32
11,建筑,30
12,汕头市,30
13,苏州,27
14,苏州市,25
15,耐火,22
16,建设,21
17,材料,19
18,钢,18
19,拉萨市,17
20,特种玻璃,15
21,幕墙,15
22,房地产,14
23,防爆,13
24,澳门,13
25,创业板,12
26,节能,11
27,香港,11
28,数据,11
29,安防,11
30,保温,11
31,汕头,11
32,光伏,11
33,陈小卫,11
34,林仰,10
35,北京,10
36,铝合金,10
37,防,10
38,银行,10
39,上海,9
40,工程项目,9
41,扶贫,9
42,庄大建,8
43,高科技,8
44,深圳,8
45,完整性,8
46,教育,8
47,金平区,8
48,代,8
49,齐全,8
50,工业区,7
51,隔热,7
52,深加工,7
53,高新技术,7
54,太阳能,7
55,资讯网,7
56,林文卿,7
57,生物,7
58,艳媚,6
59,铂,6
60,路叠金,6
61,网站,6
62,澳门币,6
63,小时,6
64,复合,6
65,起到,6
66,工作细则,6
67,土地,6
68,第二批,6
69,梁,5
70,永拓,5
71,周期性,5
72,国民经济,5
73,网络,5
74,凤凰,5
75,龙,5
76,绿建,5
77,人庄,5
78,大建,5
79,领先地位,5
80,镀膜,5
81,门,5
82,建筑设计,5
83,驻,5
84,大使馆,5
85,组件,5
86,能级,5
87,卓悦,5
88,代理人,5
89,陈伟英,5
90,佩玉,5
91,卢侠巍,5
92,肖蔚,5
93,红,5
94,蔡祥,5
95,油气,5
96,钢化,5
97,夹层玻璃,5
98,下该,5
99,建造,5
100,技术开发区,5
101,全自动,5
102,磨边机,5
103,结清,5
104,知识产权局,5
105,外汇,5
106,公共建筑,4
107,高层住宅,4
108,浮法玻璃,4
109,一批,4
110,互联网,4
111,吕润波,4
112,玻璃产品,4
113,钢质,4
114,玻璃幕墙,4
115,高强度,4
116,机场,4
117,设有,4
118,总包,4
119,较强,4
120,环境,4
121,工业,4
122,西藏,4
123,已应,4
124,窗以,4
125,用到,4
126,气密性,4
127,水密,4
128,级抗,4
129,风压,4
130,空气,4
131,隔声,4
132,自动,4
133,表面,4
134,防范,4
135,罗伟广,4
136,人罗伟广,4
137,支配,4
138,安吉,4
139,郑鸿生,4
140,工程师,4
141,等于,4
142,发电,4
143,无因,4
144,流量,4
145,届满时,4
146,售后,4
147,回租,4
148,奥地利,4
149,炉,4
150,澳门元,4
151,已有,3
152,借助,3
153,扩张,3
154,力争,3
155,涉嫌,3
156,凯瑞,3
157,林臻,3
158,徐玉超,3
159,研制开发,3
160,核心技术,3
161,隔墙,3
162,爆炸,3
163,建筑物,3
164,多方,3
165,业主,3
166,分包,3
167,工程进度,3
168,施工,3
169,消防工程,3
170,资源,3
171,科学,3
172,意识,3
173,信息化,3
174,己任,3
175,平安,3
176,一代,3
177,一体化,3
178,公司业绩,3
179,军民,3
180,把握,3
181,抵消,3
182,配合,3
183,友好,3
184,撤回,3
185,游戏,3
186,软件,3
187,供货,3
188,新设,3
189,台风,3
190,广,3
191,通用,3
192,类非,3
193,高性能,3
194,建筑防火,3
195,透过,3
196,透光率,3
197,拓宽,3
198,玻璃制品,3
199,促进作用,3
200,清洁,3
201,易,3
202,抑菌,3
203,净流,3
204,盾,3
205,南京,3
206,智能,3
207,建筑业,3
208,队伍,3
209,清晰,3
210,义务人,3
211,住房,3
212,无条件,3
213,代为,3
214,罚款,3
215,文卿,3
216,拟定,3
217,环保,3
218,环境保护,3
219,脱贫,3
220,依其,3
221,提示性,3
222,参照,3
223,在职,3
224,黄培君,3
225,李秀,3
226,唐仲品,3
227,郜长林,3
228,未有,3
229,层面,3
230,庄毓新,3
231,苏,3
232,林顺福,3
233,肖华,3
234,杨时,3
235,电气,3
236,科技局,3
237,中国建设银行,3
238,人力资源部,3
239,历次,3
240,真实有效,3
241,保费,3
242,准备金,3
243,中央银行,3
244,益,3
245,外经贸,3
246,中空玻璃,3
247,方自,3
248,机器设备,3
249,运输设备,3
250,办公设备,3
251,切割机,3
252,双直,3
253,印刷,3
254,保险费,3
255,教育费,3
256,业务部,3
257,年报,2
258,委托人,2
259,京永审字,2
260,息息相关,2
261,稳定性,2
262,宏观调控,2
263,外界,2
264,尝试,2
265,越来越,2
266,关键技术,2
267,工艺水平,2
268,先发,2
269,大幅度,2
270,高速成长,2
271,延伸,2
272,急速,2
273,外聘,2
274,内选,2
275,外文,2
276,网址,2
277,电子信箱,2
278,统一标准,2
279,技术水平,2
280,元较,2
281,系列产品,2
282,塑钢,2
283,铝塑,2
284,单片,2
285,低辐射,2
286,地铁,2
287,制造,2
288,收集,2
289,市场调研,2
290,接洽,2
291,客户资源,2
292,动态,2
293,明确规定,2
294,新建,2
295,飓风,2
296,多功能,2
297,安全玻璃,2
298,龙头,2
299,品牌优势,2
300,技术创新,2
301,高度重视,2
302,不断加强,2
303,发明专利,2
304,非专利,2
305,力量,2
306,绿色,2
307,造福,2
308,列为,2
309,广泛应用,2
310,德国,2
311,上涨,2
312,上下游,2
313,更好,2
314,控,2
315,整窗,2
316,大赛,2
317,荣获,2
318,附加值,2
319,生产商,2
320,响应,2
321,军工,2
322,成就,2
323,首批,2
324,炸弹,2
325,历时,2
326,长且,2
327,广播,2
328,电影,2
329,电视,2
330,实物,2
331,阿联酋,2
332,阿布扎比,2
333,航站楼,2
334,大楼,2
335,元约,2
336,瑞权,2
337,第一名,2
338,第二名,2
339,隆源,2
340,第三名,2
341,第四名,2
342,第五名,2
343,东莞,2
344,运费,2
345,范,2
346,带,2
347,闭,2
348,窗器,2
349,可见光,2
350,抗灰易洁,2
351,窗外,2
352,光催化,2
353,二氧化钛,2
354,降解,2
355,有机,2
356,污染物,2
357,功能性,2
358,杀菌,2
359,建,2
360,霉,2
361,璃,2
362,信用证,2
363,投资额,2
364,定,2
365,玻,2
366,定位,2
367,文化,2
368,梯队,2
369,公正,2
370,健全,2
371,实时,2
372,协助,2
373,理解,2
374,积极性,2
375,登记表,2
376,第三十六,2
377,完备,2
378,应有,2
379,尚需,2
380,日日,2
381,如本,2
382,不可避免,2
383,任职期间,2
384,时所作,2
385,之内,2
386,日为,2
387,补,2
388,追究,2
389,详情请,2
390,解聘,2
391,为关,2
392,联方,2
393,有无,2
394,应尽,2
395,平等,2
396,创造性,2
397,顾客,2
398,满意,2
399,和谐,2
400,事故,2
401,限度,2
402,能源,2
403,预防,2
404,负面影响,2
405,就业,2
406,投票制,2
407,二分之一,2
408,过半数,2
409,不足以,2
410,外资股,2
411,董监,2
412,李亨,2
413,堃,2
414,邓应尧,2
415,前海,2
416,广发,2
417,半数以上,2
418,机械,2
419,性别,2
420,申,2
421,何清,2
422,青,2
423,范波,2
424,罗嘉贤,2
425,财务主管,2
426,润科,2
427,生物工程,2
428,联泰,2
429,金钟,2
430,汽车零件,2
431,泰恩康,2
432,医药,2
433,龙湖,2
434,汕头大学,2
435,商学院,2
436,导师,2
437,邦联,2
438,常务副,2
439,计算机,2
440,任市,2
441,张,2
442,坚华,2
443,设计师,2
444,财务股,2
445,副经理,2
446,职,2
447,岗位职责,2
448,清,2
449,波罗,2
450,嘉贤,2
451,绩效奖金,2
452,建立健全,2
453,结合实际,2
454,经理层,2
455,投票,2
456,尽职,2
457,审慎,2
458,科学决策,2
459,自主经营,2
460,人事,2
461,有形资产,2
462,会计核算,2
463,陈伟,2
464,无效,2
465,当错,2
466,日止,2
467,拆出,2
468,元二,2
469,钢化玻璃,2
470,彩釉,2
