,分词排序,词频
0,医疗,576
1,科技,447
2,博爱,343
3,生物,203
4,生物科技,176
5,武汉,101
6,北京,97
7,三济,97
8,测序,87
9,诊断,86
10,呵尔,83
11,基因,81
12,晶能,80
13,信息,75
14,医用,70
15,上海,69
16,检测,67
17,制剂,55
18,广州,55
19,制药,50
20,收益权,48
21,资讯网,48
22,长沙,45
23,坚强,45
24,乙烯基,43
25,剂,42
26,吡咯烷酮,39
27,试剂,39
28,医学,39
29,博爱县,39
30,食品,38
31,用药,37
32,药用,37
33,杨海江,37
34,细胞,36
35,河南省,36
36,工程,35
37,辅料,35
38,药物,34
39,高新技术,34
40,假牙,34
41,医药,33
42,天津,33
43,化学,33
44,软件,33
45,建设,32
46,医疗器械,32
47,人类,32
48,共聚物,31
49,工业,29
50,疾病,28
51,临床,28
52,王东虎,28
53,分子,27
54,数据,27
55,仪器,27
56,药品监督管理局,26
57,杭州,26
58,试剂盒,25
59,出让,24
60,澄清,24
61,聚乙烯,23
62,健康,23
63,工作室,23
64,武汉市,23
65,昆明,23
66,虎王,23
67,化学品,22
68,检验,22
69,肿瘤,22
70,发明,22
71,银行,22
72,方华生,21
73,甲醚,21
74,筛查,21
75,牙科,21
76,装置,20
77,芯片,20
78,创业板,20
79,基因组学,20
80,国人,20
81,药品,19
82,山西,19
83,王东,19
84,马来,18
85,酸酐,18
86,焦作市,18
87,光谷,18
88,癌症,17
89,样本,17
90,早期,17
91,社会公众,17
92,系列产品,16
93,环保,16
94,聚维酮,16
95,材料,16
96,土地,16
97,河北,16
98,重庆,15
99,聚合物,14
100,治疗,14
101,粘合剂,14
102,牙用,14
103,湖南,14
104,环境,13
105,扩增,13
106,护理,13
107,第栋,13
108,生产工艺,13
109,分型,13
110,染色,13
111,王,13
112,再次,13
113,液,12
114,交联,12
115,全自动,12
116,岳麓区,12
117,麓,12
118,云路,12
119,防腐剂,12
120,基因突变,12
121,鄂汉械备,12
122,苏州,12
123,房地产,12
124,刘,11
125,预防,11
126,宫颈癌,11
127,科学,11
128,精细化工,11
129,自动,11
130,化学试剂,11
131,工业用,11
132,原料药,11
133,口气,11
134,清新,11
135,漱口剂,11
136,医院,11
137,实验,11
138,车间,11
139,郑州,11
140,新联,11
141,制备,10
142,碘,10
143,清洁,10
144,仪,10
145,焦磷酸,10
146,文化路,10
147,过滤,10
148,许可证,10
149,排放,10
150,河南,10
151,焦作,10
152,中旅,10
153,大龙,10
154,深圳,10
155,提案,10
156,康熙,10
157,翰楚,10
158,顾问,10
159,事前,10
160,闵行区,10
161,爱民,9
162,聚合,9
163,药典,9
164,欧瑞姿,9
165,序列,9
166,表达,9
167,基因组,9
168,东段,9
169,网站,9
170,饮料,9
171,瑞典,9
172,兽医,9
173,啤酒,9
174,树脂,9
175,牙膏,9
176,凝胶,9
177,器械,9
178,技术咨询,9
179,己内酰胺,9
180,沈阳,9
181,无锡,9
182,科学仪器,9
183,华生,9
184,联谊,9
185,扶贫,9
186,友滤材,9
187,一职,9
188,开发技术,9
189,乙炔,8
190,环境保护,8
191,能源,8
192,资源,8
193,雅瑞姿,8
194,精细,8
195,乳腺癌,8
196,人造,8
197,织物,8
198,剂牙用,8
199,复染,8
200,机械,8
201,铂,8
202,万例,8
203,源,8
204,关键技术,8
205,检测仪,8
206,东胜,8
207,兴业,8
208,承,8
209,燕南,8
210,日日,8
211,吴,8
212,德军,8
213,为个,8
