,分词排序,词频
0,沃特玛,1125
1,陕西,680
2,电池,595
3,资讯网,479
4,新能源,446
5,深圳,360
6,科技,358
7,汽车,322
8,李瑶,204
9,追索权,189
10,款及,179
11,民富,140
12,沃能,130
13,于本,125
14,银行,123
15,中国人民银行,107
16,西安,99
17,电子,98
18,中否,97
19,安徽,96
20,预交,95
21,材料,94
22,中沃,82
23,负担,82
24,内向,80
25,新沃,80
26,运力,80
27,保全费,79
28,绿源,78
29,十日,71
30,信息,70
31,北京,68
32,湖南,68
33,坚瑞,67
34,动力电池,67
35,工程,66
36,元及,64
37,郭鸿宝,63
38,付清,63
39,以元,62
40,东莞市,61
41,危机,58
42,消防,58
43,达明,57
44,铜陵市,57
45,运输,56
46,旅游,54
47,储能,53
48,提出申请,51
49,锂电池,50
50,三日,48
51,坪,47
52,撤诉,46
53,同类,45
54,灭火,44
55,汇票,43
56,十堰,42
57,五日,42
58,气溶胶,41
59,装置,41
60,电动汽车,41
61,车辆,41
62,江西,41
63,给付,40
64,服务业,40
65,特玛,36
66,江苏,36
67,前海鼎利,36
68,基准利率,35
69,保全,34
70,瑞利,33
71,罚息,33
72,十堰市,32
73,房地产,32
74,上海,32
75,争议,32
76,坚,31
77,否已,31
78,西安市,29
79,湖北,29
80,磷酸,28
81,制造,28
82,新建,28
83,铜陵,28
84,沃特玛于,28
85,升华,28
86,锂离子,27
87,增发,27
88,反诉,27
89,建设,26
90,亚洲,26
91,制造业,26
92,天津,25
93,荆州市,25
94,山,25
95,应于,25
96,否李瑶,25
97,进平,24
98,电池组,24
99,自动,24
100,土地,24
101,广东,24
102,纯,23
103,合肥,23
104,厦门,23
105,电子科技,23
106,和解,23
107,重庆,23
108,消防产品,22
109,降幅,22
110,舒城县,22
111,台,22
112,结项,22
113,郴州市,22
114,创业板,21
115,电动,21
116,南京,21
117,壹号,21
118,等否,21
119,鑫,21
120,山区,21
121,中车,21
122,拍卖,20
123,能量,20
124,利同,20
125,台型,20
126,节余,20
127,拖欠,20
128,电芯,19
129,密度,19
130,苏州,19
131,东风,19
132,临汾,19
133,安达,18
134,浙江,18
135,诉讼费用,18
136,铁,18
137,数据,18
138,物流,18
139,客车,18
140,临汾市,18
141,李金林,18
142,元因,18
143,广州,18
144,奥新,18
145,建造,18
146,名下,17
147,凯瑞达,17
148,充电,17
149,减半,17
150,汉口,17
151,沃博源,17
152,陕西省,16
153,追偿,16
154,动力,16
155,能源,16
156,电气,16
157,特汽,16
158,元为,16
159,童建明,16
160,工行,16
161,租售,15
162,营运,15
163,舒城,15
164,郴州,15
165,在内,15
166,商业银行,15
167,荆州,15
168,补偿金,15
169,昊,15
170,通电子,15
171,亚德,15
172,爆发,14
173,辆,14
174,裁决,14
175,高新区,14
176,盘点,14
177,抵偿,14
178,渭南,14
179,专用车,14
180,抵债,14
181,型号,14
182,建筑物,14
183,预先,14
184,童,14
185,客,14
186,农村,14
187,年利率,14
188,电路,14
189,三明,14
190,合盛,14
191,云天化,14
192,消防设备,14
193,请求权,13
194,申明,13
195,智能,13
196,电源,13
197,致使,13
198,快,13
199,成都,13
200,内蒙古,13
201,宁乡,13
202,机电设备,13
203,气体,13
204,日内,13
205,充王,13
206,连带保证,13
207,七日,13
208,丰明润,13
209,程玲志,13
210,理,13
211,长沙,13
212,宁波,12
213,补偿款,12
214,万辆,12
215,参照,12
216,火灾,12
217,叉车,12
218,起计,12
219,海通,12
220,恒信,12
221,配件,12
222,劳动人事,12
223,绿能,12
224,科友,12
225,一次性,12
226,益,12
227,安保,12
228,化工,12
229,纽米,12
230,教育,12
231,负,11
232,铁锂,11
233,三元,11
234,自动化,11
235,停工,11
236,热,11
237,消防工程,11
238,圆柱,11
239,车,11
240,产销,11
241,乘用车,11
242,圆柱形,11
243,服务网络,11
244,报警,11
245,平安,11
