,分词排序,词频
0,环保,667
1,装备,610
2,节能,601
3,启源,183
4,天融,140
5,科技,125
6,工程,109
7,六合,105
8,信息,90
9,兆,86
10,中环,85
11,盛,85
12,西安,82
13,环境,77
14,监测,76
15,制造,64
16,北京,62
17,建设,56
18,脱硝,54
19,智能,53
20,环境监测,51
21,智慧,50
22,西安市,48
23,脱硫,46
24,数据,45
25,电工,40
26,陕西,39
27,周震球,38
28,方不,38
29,大气污染,34
30,房地产,30
31,建造,29
32,材料,29
33,雷宇,28
34,催化剂,28
35,陕西省,28
36,烟气,28
37,黑龙江,28
38,工程设计,27
39,超募,27
40,大气,26
41,周兆华,26
42,山东,25
43,排放,25
44,工业,25
45,容维,25
46,江苏,24
47,陕装,24
48,羊云芬,24
49,动能,23
50,大荣,23
51,水务,23
52,能效,22
53,检测,22
54,垃圾,22
55,元中,22
56,防治,21
57,水,21
58,污水处理,21
59,专用设备,21
60,建华,21
61,土地,21
62,高新技术,20
63,机电,19
64,变压器,19
65,尹曙辉,19
66,日效,19
67,资源,18
68,唐山,18
69,能源,18
70,污染,18
71,套,18
72,制造业,18
73,环能,18
74,划转,18
75,程序化,18
76,金久盛,18
77,银行,17
78,扶贫,17
79,石墨,16
80,固废,16
81,系统集成,15
82,指中,15
83,传统,15
84,年生,15
85,黄以,14
86,烯,14
87,电压,14
88,中央,14
89,电力,14
90,监管局,14
91,电子,13
92,煤,13
93,减排,13
94,超低,13
95,长江,13
96,无锡市,13
97,周,13
98,李强,12
99,华,12
100,创业板,12
101,技术开发区,12
102,智能化,12
103,热电,12
104,唐山市,12
105,研制,12
106,技术装备,12
107,落地,12
108,首台,12
109,河北,12
110,顾问,12
111,教育,12
112,朱彤,11
113,电气,11
114,河南,11
115,热解,11
116,数据服务,11
117,水质,11
118,生物,11
119,土壤,11
120,生态,11
121,仪器,11
122,铁心,11
123,王羽泽,11
124,司法机关,11
125,黑龙江省,11
126,暂行办法,11
127,李俊,10
128,闫,10
129,长乐,10
130,上海,10
131,气化,10
132,垃圾处理,10
133,散热器,10
134,环境保护,10
135,新旧,10
136,硝,10
137,冶金,10
138,节余,10
139,促使,10
140,商业机会,10
141,中科,10
142,承,10
143,学成,10
144,工程师,10
145,机工程,10
146,建筑物,10
147,天津,10
148,武,9
149,叶,9
150,正光,9
151,致诚,9
152,福建,9
153,网站,9
154,天运,9
155,调试,9
156,特高压,9
157,一体化,9
158,创新能力,9
159,波纹,9
160,永久性,9
161,后本,9
162,暂行规定,9
163,房产,9
164,文峰,9
165,中关村,9
166,孵化,8
167,哈尔滨,8
168,工程施工,8
169,应急,8
170,污染源,8
171,服务商,8
172,在线,8
173,农村,8
174,车间,8
175,着力,8
176,软件,8
177,蓄电池,8
178,金融机构,8
179,因本,8
180,余天,8
181,融兴,8
182,权属,8
183,新安,8
184,李秉祥,8
185,沈坚,8
186,赵,8
187,机械,8
188,无中,8
189,成都,8
190,圣明,7
191,再生,7
192,互联网,7
193,服务业,7
194,分布式,7
195,片式,7
196,电网,7
197,钢铁,7
198,迎来,7
199,高质量,7
200,紧抓,7
201,经济带,7
202,售后,7
203,助力,7
204,顺利,7
205,课题,7
206,工程技术,7
207,三级,7
208,深圳,7
209,中介,7
210,送红股,7
211,孳息,7
212,为启源,7
213,无效,7
214,刑事责任,7
215,郭炜,7
216,郭,7
217,周宜,7
218,住房,7
219,监理,7
220,院长,7
221,起任,7
222,表现,7
223,增量,6
224,季节性,6
225,有机,6
226,气体,6
227,齐岳,6
228,增发,6
229,退,6
230,方案设计,6
231,技术咨询,6
232,集成,6
233,数据分析,6
234,修复,6
235,河北省,6
236,组件,6
237,实验,6
238,环境治理,6
239,细,6
240,颗粒物,6
241,信息化,6
242,政府部门,6
243,小型,6
244,抓手,6
245,夯实,6
246,把握,6
247,科学,6
248,国外,6
249,贡献,6
250,台,6
251,容维金久盛,6
252,王羽泽周,6
253,名兆盛,6
254,样机,6
255,脱,6
256,否中,6
257,污水,6
258,健康,6
259,期有,6
260,方不个,6
261,如本,6
262,所载,6
263,每一项,6
264,争议,6
265,无锡,6
266,因涉嫌,6
267,立案侦查,6
268,依法追究,6
269,机关,6
270,中介机构,6
271,罚款,6
272,保险,6
273,环境保护局,6
274,筑路,6
275,总会计师,6
276,证书编号,6
277,回租,6
278,外汇,6
279,较长,5
280,环节,5
281,放在,5
282,力争,5
283,雷宇启源,5
284,贵州,5
285,兴德,5
286,鼎旺,5
287,前景,5
288,联网,5
289,业主,5
290,工程项目,5
291,竣工,5
292,凤城,5
293,十二路,5
294,年本,5
295,即征,5
296,工程建设,5
297,钢厂,5
298,能源管理,5
299,自动化,5
300,清洁,5
301,行动计划,5
302,机组,5
303,空气质量,5
304,承接,5
305,土壤污染,5
306,业界,5
307,定位,5
308,十九,5
309,试验设备,5
310,响应,5
311,机器人,5
312,场所,5
313,供热,5
314,绿色,5
315,非电,5
316,污染物,5
317,定向,5
318,网格化,5
319,监测仪,5
320,结果表明,5
321,燃气,5
322,示范园,5
323,对启源,5
324,扬州市,5
325,废气,5
326,平等,5
327,易,5
328,坤健,5
329,信托,5
330,中机,5
331,企,5
332,义务人,5
333,号本,5
334,汇报,5
335,未决,5
336,赵县,5
337,规章,5
338,完整性,5
339,延军,5
340,身份,5
341,王,5
342,中交,5
343,教授级,5
344,博士,5
345,油气,5
346,教育费,5
347,退税率,5
348,潍坊,5
349,高新,5
350,聚合,5
351,创生,5
352,商务,5
353,呈现,4
354,施工,4
355,不断扩大,4
356,多样化,4
357,监测技术,4
358,骏诚,4
359,火电厂,4
360,出台,4
361,发电,4
362,电厂,4
363,烧结机,4
364,运维,4
365,成套设备,4
366,扩充,4
367,综合利用,4
368,速,4
369,采暖炉,4
370,尚无,4
371,高压,4
372,除尘,4
373,异常,4
374,几年,4
375,改电,4
376,燃煤,4
377,烧结,4
378,清晰,4
379,排污,4
380,效应,4
381,渗,4
382,滤液,4
383,技术储备,4
384,党,4
